[000:00:01;468] "FOX NEWS SUNDAY."
[000:02:35;522] COMMUNITY TO STEP UP EFFORTS TO
[000:02:37;056] HELP SYRIA END THE WAR.
[000:02:38;691] THE POPE ADDRESSED TENS OF
[000:02:40;160] THOUSANDS OF WORSHIPPERS IN ST.
[000:02:43;496] PETER'S SQUARE, SPEAKING ABOUT
[000:02:45;932] THE TERRIBLE IMAGES SHOWING
[000:02:47;333] INNOCENT CIVILIANS UNDER ATTACK.
[000:02:48;701] HE RENEWED CALLS FOR THE SYRIAN
[000:02:50;537] GOVERNMENT AND REBELS TO PUT
[000:02:51;871] DOWN ARMS AND START TALKING.
[000:02:53;540] POPE FRANCIS ALSO EXPRESSING
[000:02:55;708] LOVE WITH PRAYERS AND SOLIDARITY
[000:02:56;976] TO VICTIMS OF THE CONFLICT AND
[000:02:59;045] THOSE SUFFERING, ESPECIALLY THE
[000:03:00;146] CHILDREN.
[000:03:00;513] NOW TO THE NEW REACTION IN
[000:03:03;316] WASHINGTON.
[000:03:03;716] JUST HOURS AGO, LAWMAKERS FROM
[000:03:05;385] BOTH POLITICAL PARTIES CALLING
[000:03:06;619] FOR A LIMITED MILITARY RESPONSE.
[000:03:10;223] THE REPORTED CHEMICAL ATTACK IN
[000:03:13;159] SYRIA'S CAPITAL CITY, KILLING
[000:03:14;827] HUNDREDS.
[000:03:15;195] THE U.N. ANNOUNCING SYRIA IS
[000:03:16;963] CLAIMING IT WILL ALLOW A TEAM OF
[000:03:19;999] INSPECTORS TO EXAMINE THE SITE.
[000:03:22;135] THAT'S SET TO BEGIN TOMORROW.
[000:03:24;003] A SENIOR OBAMA ADMINISTRATION
[000:03:25;271] OFFICIAL SAYING THERE'S VERY
[000:03:26;172] LITTLE DOUBT PEOPLE WERE GASSED.
[000:03:27;774] SENATOR BOB CORKER OF TENNESSEE,
[000:03:30;043] RANKING MEMBER OF THE FOREIGN
[000:03:31;477] RELATIONS COMMITTEE IS AMONG THE
[000:03:32;645] LAWMAKERS GOING ON THE RECORD
[000:03:35;348] TODAY.
[000:03:35;682] >> I THINK WE WILL RESPOND IN A
[000:03:37;250] SURGICAL WAY AND I HOPE THE
[000:03:38;785] PRESIDENT AS SOON AS WE GET BACK
[000:03:40;587] TO WASHINGTON WILL ASK FOR
[000:03:43;323] AUTHORIZATION FROM CONGRESS TO
[000:03:44;057] DO SOMETHING IN A VERY SURGICAL
[000:03:45;858] AND PROPORTIONAL WAY, SOMETHING
[000:03:48;328] THAT GETS THEIR ATTENTION, THAT
[000:03:50;129] CAUSES THEM TO UNDERSTAND THAT
[000:03:51;197] WE ARE NOT GOING TO PUT UP WITH
[000:03:52;899] THIS KIND OF ACTIVITY.
[000:03:54;033] WE HAVE TO VERIFY IT WAS
[000:03:59;772] DIRECTED BY THE ASSAD REGIME.
[000:04:01;307] THAT WILL ALLOW US TO BUILD AN
[000:04:03;376] INTERNATIONAL COALITION AND THAT
[000:04:04;811] IS NECESSARY TO TAKE FURTHER
[000:04:06;079] STEPS IN SYRIA, ALSO WILL HELP
[000:04:08;448] DIFFUSE SOME OF THE COUNTRIES
[000:04:09;482] LIKE IRAN, RUSSIA, TRYING TO
[000:04:11;351] PAWN THIS OFF ON THE REBELS.
[000:04:13;486] >> AND THE SECOND LAWMAKER, OF
[000:04:15;154] COURSE, YOU SAW THERE WAS
[000:04:17;724] SENATOR JACK REED WHO TALKED
[000:04:19;492] ABOUT DIFFUSING COUNTRIES LIKE
[000:04:21;160] IRAN AND HE MENTIONED RUSSIA,
[000:04:22;762] LONG TIME ALLY OF THE SYRIAN
[000:04:26;232] PRESIDENT, BASHAR AL-ASSAD.
[000:04:29;869] THE RUSSIAN FOREIGN MINISTRY
[000:04:32;839] SAYS ANY BILATERAL ACTIONS THAT
[000:04:34;741] BYPASSES UNITED NATIONS WOULD
[000:04:35;441] HAVE A DEVASTATING IMPACT ON
[000:04:36;743] SECURITY IN THE MIDDLE EAST.
[000:04:39;779] ELIZABETH PRAN WITH MORE.
[000:04:41;781] >> WE HEARD FROM THE
[000:04:42;782] ADMINISTRATION OVER THE WEEKEND,
[000:04:43;983] THE NAVY STATION DESTROYERS IN
[000:04:46;886] THE EASTERN MEDITERRANEAN SEE,
[000:04:48;955] BUT NO WORD ON PLANS FOR THE
[000:04:51;257] SHIPS.
[000:04:51;557] THE ADMINISTRATION SAYS A QUICK
[000:04:53;192] INTERVENTION WOULD BE
[000:04:54;494] PROBLEMATIC, WHILE SOME
[000:04:55;161] LAWMAKERS THINK LEADERS SHOULD
[000:04:55;995] BE ACTING OUT OF ABUNDANCE OF
[000:04:58;331] CAUTION, OTHERS SAY THERE SHOULD
[000:05:00;600] BE MORE ACTIVITY.
[000:05:01;467] >> WE KNOW THERE ARE FOUR WAR
[000:05:04;170] SHIPS, AGAIN, OFF THE COAST OF
[000:05:07;540] SYRIA, MISSILES ARE AN OPTION TO
[000:05:10;410] TRY TO TAKE OUT THE CHEMICAL
[000:05:11;911] STOCK PILES.
[000:05:12;512] >> JUST STANDING OFF, THROWING A
[000:05:14;547] FEW MISSILES, DROPPING A FEW
[000:05:18;384] BOMBS ON KEY TARGETS ARE WHAT WE
[000:05:20;586] IN THE MILITARY CALL A FEEL GOOD
[000:05:22;622] BOMBING.
[000:05:22;955] IT GIVES THE PRESIDENT THE
[000:05:24;123] ABILITY TO SAY HE'S DONE
[000:05:26;592] SOMETHING, PERHAPS SOME IN
[000:05:27;360] AMERICA FEEL BETTER, BUT IN
[000:05:28;528] TERMS OF DEGRADING THE ABILITY
[000:05:30;063] OF THE SYRIAN ARMY TO ATTACK ITS
[000:05:32;298] OWN PEOPLE IN THIS CIVIL WAR, I
[000:05:35;268] DON'T THINK MUCH IS GOING TO
[000:05:36;102] COME OUT OF IT.
[000:05:37;403] >> SECRETARY OF STATE JOHN KERRY
[000:05:38;905] HAS ALSO BEEN IN CONTACT WITH
[000:05:42;175] DOMESTIC AND FOREIGN COLLEAGUES
[000:05:42;909] OVER THE WEEKEND.
[000:05:44;110] HARRIS?
[000:05:44;444] >> A COUPLE HOURS AGO, WE
[000:05:45;778] LEARNED THE PRESIDENT SPOKE WITH
[000:05:46;813] THE PRESIDENT OF FRANCE TODAY.
[000:05:48;314] WHAT DO YOU KNOW ABOUT WHAT THEY
[000:05:49;482] SAID?
[000:05:49;782] >> WE KNOW HE SPOKE WITH THE
[000:05:53;453] FRENCH PRESIDENT TODAY.
[000:05:54;487] ACCORDING TO THE ADMINISTRATION,
[000:05:55;755] THEY DISCUSSED POSSIBLE FUTURE
[000:05:57;957] RESPONSES BY THE INTERNATIONAL
[000:05:59;225] COMMUNITY AND AGREED TO STAY IN
[000:06:01;728] CONSTANT COMMUNICATION.
[000:06:02;428] JUST YESTERDAY, THE PRESIDENT
[000:06:03;863] SPENT MORE THAN 40 MINUTES
[000:06:05;598] SPEAKING WITH THE BRITISH PRIME
[000:06:08;568] MINISTER DAVID CAMERON.
[000:06:10;136] THEY AGREE THE CRISIS IS
[000:06:12;004] UPGRADED, WARRANTS SERIOUS
[000:06:13;506] RESPONSE.
[000:06:13;873] TWO LEADERS AGREE ALL OPTIONS TO
[000:06:15;141] BE ON THE TABLE.
[000:06:15;908] OF COURSE, HARRIS, ALL OF THE
[000:06:20;680] MEN EXPRESS GREAT CONCERN ABOUT
[000:06:21;414] THE ALLEGED USE OF CHEMICAL
[000:06:23;816] WEAPONS.
[000:06:24;150] >> ELIZABETH PRANN, THANK YOU.
[000:06:27;253] INSPECTORS ARE SET TO VISIT THE
[000:06:29;455] SITE OF THE ALLEGED CHEMICAL
[000:06:31;591] ATTACK.
[000:06:31;924] THE SYRIAN GOVERNMENT AGREED TO
[000:06:36;929] ALLOW THEM TO GO IN.
[000:06:38;297] THEY WILL BEGIN FACT-FINDING IN
[000:06:39;465] SYRIA IN A FEW HOURS.
[000:06:41;734] IT IS ALREADY MONDAY THERE.
[000:06:44;070] SENIOR U.S. OFFICIALS SAY IT MAY
[000:06:46;239] BE TOO LATE TO FIND ANYTHING.
[000:06:47;707] IF THE SYRIANS HAD NOTHING TO
[000:06:49;675] HIDE, WOULD HAVE LET THEM IN
[000:06:51;077] FIVE DAYS AGO.
[000:06:52;845] BRITAIN'S FOREIGN SECRETARY SAYS
[000:06:53;713] EVIDENCE OF THAT ATTACK MAY BE
[000:06:55;882] GONE.
[000:06:56;182] >>> COMING UP, INSIDE THE FOX
[000:06:58;351] REPORT, YOU HEARD US SO FAR
[000:06:59;852] REPORT TWO THREATS, ONE FROM
[000:07:01;387] IRAN, ONE FROM RUSSIA.
[000:07:02;822] IF OUR MILITARY WERE TO MAKE A
[000:07:04;457] MOVE IN SYRIA OUTSIDE THE UNITED
[000:07:06;826] NATIONS.
[000:07:07;160] TO GET A BETTER IDEA WHAT THE
[000:07:08;961] THREATS MEAN AND WHETHER THEY
[000:07:10;196] WOULD ACTUALLY DETER US MAKING A
[000:07:12;198] MOVE, WE BRING IN FORMER U.S.
[000:07:14;500] AMBASSADOR TO UNITED NATIONS,
[000:07:15;968] JOHN BOLTON.
[000:07:16;569] I'LL ASK HIM ABOUT IT.
[000:07:21;941] >>> AN INFERNO BURNING NEAR THE
[000:07:24;043] NORTHERN BORDER OF YOSEMITE
[000:07:26;212] NATIONAL PARK COVERS WELL OVER
[000:07:27;480] 200 SQUARE MILES.
[000:07:28;648] THAT BREAKING DEVELOPMENT JUST
[000:07:29;816] HOURS AGO.
[000:07:30;550] IT IS NOW THE SIZE OF THE CITY
[000:07:32;452] OF CHICAGO.
[000:07:33;286] JUST OVERNIGHT IT GREW BY MORE
[000:07:34;821] THAN SEVEN SQUARE MILES IN SIZE.
[000:07:36;722] FIREFIGHTERS FACED WITH STRONG
[000:07:38;024] WINDS IN THE FORECAST FOR
[000:07:39;826] TONIGHT.
[000:07:40;827] FOREST LAND, HOMES, LIVES, ALL
[000:07:42;361] IN THE PATH OF THE SO-CALLED RIM
[000:07:46;432] FIRE.
[000:07:46;732] >> 15 MINUTES TO BE OUT OF OUR
[000:07:48;468] HOUSE.
[000:07:49;068] WE ONLY GOT OUR KIDS, OUR
[000:07:50;970] ANIMALS, A LITTLE BIT OF
[000:07:53;406] PICTURES AND OF PAPERWORK WE
[000:07:54;774] REALLY NEEDED.
[000:07:55;475] IT WAS HARD.
[000:07:56;075] >> IT IS A LOT NOW.
[000:07:57;844] JUST MOVED IN THREE MONTHS AGO.
[000:07:59;879] WE'RE JUST GETTING ON OUR FEET,
[000:08:02;148] GETTING STABLE.
[000:08:02;748] >> ADDING TO THE SENSE OF ALARM,
[000:08:05;151] CREWS ONLY ABLE TO CONTAIN THE
[000:08:07;119] FIRE BY ABOUT 7%.
[000:08:08;421] AS YOU MAY KNOW.
[000:08:09;455] IT HAS BEEN A VERY ACTIVE
[000:08:11;791] WILDFIRE SEASON WITH 50 BURNING
[000:08:13;860] CURRENTLY ACROSS WESTERN STATES,
[000:08:15;228] YOU SEE ON THE MAP.
[000:08:17;763] REPORTS DENSE SMOKE FROM SOME
[000:08:19;198] FIRES IS POURING INTO RENO,
[000:08:21;400] NEVADA, CREATING MAJOR HEALTH
[000:08:23;903] CONCERNS.
[000:08:24;537] VISIBILITY SO BAD THERE THEY
[000:08:26;472] CAN'T CARE FLIGHT AMBULANCES IN
[000:08:31;344] THE AIR.
[000:08:34;981] DOMINIC DID I NA TALLY HAS MORE.
[000:08:37;683] >> Reporter: YOU'RE LOOKING AT A
[000:08:45;958] MASSIVE VOLUME OF SMOKE.
[000:08:47;126] IT BURST OUT IN THE PAST FEW
[000:08:48;861] MOMENTS.
[000:08:49;262] WE WERE SEEING THE ORANGE GLOW
[000:08:50;429] OF THE FIRE ON THE EDGE OF THE
[000:08:52;131] CITY.
[000:08:52;632] THIS IS THE MOMENT THE FIRE
[000:08:54;634] CRUCIAL HAVE BEEN ABSOLUTELY
[000:08:57;136] DREADING THE PAST 48 HOURS.
[000:08:58;204] THEY HAVE BEEN MAKING MAKE OR
[000:08:59;505] BREAK EFFORTS TO PROTECT THIS
[000:09:00;840] CITY FROM THE FIRE AS IT COMES
[000:09:03;042] IN.
[000:09:03;309] THE FIRE IS BURNING TWO
[000:09:04;510] DIFFERENT COLORS, WHITE IS FUEL,
[000:09:07;613] SO HOT.
[000:09:08;548] THE GREEN FUEL IS PUTTING BLACK
[000:09:10;750] WAVES INTO THE AIR.
[000:09:12;285] AIR VURZ IS GOING OVER.
[000:09:13;920] HAD A MASSIVE AIR TANKER, FOUR
[000:09:16;289] PROP PLANE LOOKING TO SEE WHERE
[000:09:21;894] IT SHOULD PUT RETARDANT.
[000:09:23;462] ABOUT 16,000 HOMES HERE OR
[000:09:25;398] SORRY, 1600 HOMES THAT NEED
[000:09:27;366] PROTECTING.
[000:09:28;134] 2,000 FIRE CREW.
[000:09:29;101] SOME MEMBERS OF THE CREW FROM
[000:09:31;671] SUNNYVALE AND PALO ALTO ARE
[000:09:33;873] LOOKING AT THAT COLUMN OF SMOKE,
[000:09:36;008] EXTREMELY WORRIED.
[000:09:37;243] A FEW COLLEAGUES MOMENTS BEFORE
[000:09:38;911] WE CAME ON AIR LEFT IN THE FIRE
[000:09:41;047] TRUCK, HEADED IN THEIR
[000:09:44;116] DIRECTION.
[000:09:44;483] YOU KNOW AN EXTRA 2,000
[000:09:45;885] FIREFIGHTERS WERE BROUGHT IN
[000:09:47;453] YESTERDAY TO PROTECT THIS TOWN.
[000:09:49;689] ALMOST 8 FIREFIGHTERS PER HOME.
[000:09:52;592] WITH EASTERLY WINDS COMING IN
[000:09:54;393] AND PUSHING IN THIS DIRECTION,
[000:09:56;796] THIS REALLY IS NOT WHAT THEY
[000:09:57;730] WANTED TO SEE.
[000:09:58;898] BUT THEY KNEW WINDS WOULD BE A
[000:10:01;734] RISK, GOING ANYTHING FROM 10 TO
[000:10:03;736] 40 MILES PER HOUR GOING OVER THE
[000:10:05;871] HILLSIDE.
[000:10:06;238] THAT KIND OF WIND GUARANTEES HOW
[000:10:09;842] MANY LINES THEY CREATE, THE FIRE
[000:10:12;678] CAN JUMP THE LINES AND THAT WILL
[000:10:14;080] BE DEVASTATING FOR THE TOWN.
[000:10:15;748] BACK TO YOU.
[000:10:16;215] >> THE FIRST IMAGE WAS FROM YOUR
[000:10:17;683] OWN CAMERA.
[000:10:19;585] I KNEW FROM MY NOTES YOU WOULD
[000:10:24;256] BE LIVE NEAR IT.
[000:10:25;391] YOU'RE FAIRLY CLOSE TO IT.
[000:10:27;059] CAN YOU SMELL THE SMOKE?
[000:10:29;195] >> OH, YES.
[000:10:30;429] IT HAS BEEN THICK THROUGH THE
[000:10:31;597] DAY.
[000:10:31;864] YOU CAN FEEL IT ON THE BACK OF
[000:10:33;432] OUR THROAT, COATING LIKE A
[000:10:35;701] POWDER, IN OUR NOSTRILS.
[000:10:37;503] IT IS QUITE DIFFICULT.
[000:10:38;704] BLUE SKY ABOVE IT ONE SIDE AND
[000:10:41;107] SMOKE KEEPS WASPING IN.
[000:10:42;842] I HAVE TO SAY THIS DOES NOT LOOK
[000:10:44;176] GOOD FOR THE TOWN.
[000:10:45;911] THERE'S ALREADY ADVISORY,
[000:10:51;751] EVACUATION.
[000:10:52;151] LOOKS LIKE ANY TIME SOON A
[000:10:53;819] MANDATORY EVACUATION.
[000:10:54;820] WE WERE TIPPED OFF BY CAL FIRE
[000:10:56;989] SAYING THAT PROBABLY WILL HAPPEN
[000:10:58;391] TODAY.
[000:10:59;659] LOOKING AT THE SIZE AND THE RACE
[000:11:00;993] IT IS APPROACHING, I WOULDN'T BE
[000:11:02;595] SURPRISED IF EVACUATION WAS PUT
[000:11:03;929] IN IN MINUTES, CERTAINLY IN A
[000:11:06;098] MATTER OF HOURS.
[000:11:07;466] >> THAT WILL EFFECT EVERYBODY,
[000:11:08;701] INCLUDING YOU.
[000:11:09;235] REAL QUICKLY, BEFORE I LET YOU
[000:11:11;370] GO, MASSIVE HISTORIC FIRE.
[000:11:13;639] FROM WHAT I AM READING, THEY'RE
[000:11:15;141] NOT TRYING TO PUT IT OUT
[000:11:16;909] EXACTLY, THEY'RE GOING TO TRY TO
[000:11:19;412] DIVERT IT?
[000:11:20;279] >> Reporter: IT IS TOO BIG.
[000:11:22;014] UNCONTROLLABLE WINDS, VERY
[000:11:24;417] DIFFICULT.
[000:11:25;184] THEY'LL CREATE DIVISION LINES,
[000:11:26;652] TRY TO DIRECT IT NORTH AND EAST,
[000:11:28;854] AWAY FROM THE POPULATED AREAS.
[000:11:30;723] ONCE THEY CAN DO THAT, THEY WILL
[000:11:32;425] KNOW THE DIRECTION THE FIRE WILL
[000:11:33;626] GO IN.
[000:11:34;360] IT IS EASIER TO CONTAIN, EASIER
[000:11:39;765] TO RING FENCE.
[000:11:41;634] >> DOMINIC DI-NATALE SHOWING US
[000:11:45;971] THE SMOKE, CAUSING THE CREW
[000:11:47;840] TECHNICAL DIFFICULTIES.
[000:11:48;507] WE LOST HIM AT THE END.
[000:11:50;142] AS HE SAID, THEY'RE PROBABLY
[000:11:52;344] GOING TO MOVE NOW.
[000:11:54;013] YOU COULD SEE THE FLAMES, WELL,
[000:11:55;514] NOT THE FLAMES BUT THE SMOKE.
[000:11:57;116] WE WILL STAY ON THIS, GO BACK TO
[000:11:59;085] HIM LATER IN THE HOUR, POSSIBLY
[000:12:00;853] BY PHONE IF WE HAVE TO.
[000:12:02;722] >>> RIGHT NOW, AN EMERGENCY IN
[000:12:04;490] THE SKY IS PROMPTING A QUICK
[000:12:06;625] REACTION FROM A COCKPIT.
[000:12:08;360] WHAT FORCED A FLIGHT WITH NEARLY
[000:12:10;496] 200 PEOPLE ON BOARD TO GET BACK
[000:12:13;799] ON THE GROUND AS FAST AS THEY
[000:12:15;601] COULD.
[000:12:15;901] >>> AND REMEMBERING A LIFE CUT
[000:12:18;270] SHORT.
[000:12:18;637] AN AUSTRALIAN STUDENT ATHLETE
[000:12:20;306] LIVING OUT HIS DREAM IN AMERICA,
[000:12:22;508] GUNNED DOWN BY THREE TEENAGERS
[000:12:24;110] WHILE JOGGING.
[000:12:26;312] POLICE SAY THEY DID IT BECAUSE
[000:12:27;046] THEY WERE BORED.
[000:12:30;583] NOW PAYING TRIBUTE HERE AND DOWN
[000:12:31;350] UNDER.
[000:12:31;650] STAY CLOSE.
[000:12:31;951] [ Male Announcer ]
[000:12:31;951] FREQUENT HEARTBURN?
[000:12:31;951] THE CHOICE IS YOS.
[000:12:59;912] CHALKY...
[000:13:01;113] NOT CHALKY.
[000:13:02;748] TEMPORARY...
[000:13:04;116] 24 HOUR.
[000:13:05;584] LOTS OF TABLETS...
[000:13:07;219] ONE PILL.
[000:13:08;420] YOU DECIDE.
[000:13:09;655] PREVENT ACID
[000:13:09;655] WITH PREVACID 24HR.
[000:13:18;731] HUMANS.
[000:13:20;199] EVEN WHEN WE CROSS OUR t's
[000:13:20;199] AND DOT OUR i's,
[000:13:22;868] WE STILL RUN INTO PROBLEMS.
[000:13:24;436] NAMELY, OTHER HUMANS.
[000:13:26;038] WHICH IS WHY
[000:13:26;038] AT LIBERTY MUTUAL INSURANCE,
[000:13:27;907] TO POLICIES COME
[000:13:27;907] WITH NEW CAR REPLACEMENT
[000:13:31;377] AND ACCIDENT FORGIVENESS
[000:13:31;377] IF YOU QUALIFY.
[000:13:34;079] SEE WHAT EE COMES STANDARD
[000:13:35;548] AT LIBERTYMUTUAL.COM.
[000:13:37;116] LIBERTY MUTUAL INSURANCE.
[000:13:39;185] RESPONSIBILITY.
[000:13:40;553] WHAT'S YOUR POLICY?
[000:13:44;323] it's a reality check.
[000:13:47;793] I'd be sitting there
[000:13:47;793] with my friends
[000:13:49;295] who had their Verizon phones
[000:13:49;295] and I'd be sitting there like
[000:13:51;564] "mine's still loading!"
[000:13:52;331] I couldn't get email.
[000:13:53;132] I couldn't stream movies.
[000:13:54;300] I couldn't upload
[000:13:54;300] any of our music.
[000:13:55;668] That's when I decided
[000:13:55;668] to switch.
[000:13:56;969] Now that I'm on Verizon,
[000:13:56;969] everything moves fast.
[000:13:58;938] With Verizon,
[000:13:58;938] I have that reliability.
[000:14:00;573] I'm completely happy
[000:14:00;573] with Verizon.
[000:14:02;007] Verizon's 4G LTE
[000:14:02;007] is the most reliable
[000:14:04;543] and in more places than
[000:14:04;543] any other 4G network.
[000:14:06;445] Period.
[000:14:07;313] That's powerful.
[000:14:07;313] Verizon.
[000:14:09;081] Get the Nokia Lumia 928
[000:14:09;081] for free.
[000:14:14;086] IN THIS CORNER,
[000:14:14;086] THE REIGNING LASAGNA DISH,
[000:14:15;888] THE BIG CHEESE.
[000:14:17;623] AND IN THIS CORNER,
[000:14:19;291] THE BEST GENERATION
[000:14:19;291] OF DAWN POWER,
[000:14:21;393] PLATINUM!
[000:14:23;662] [ BELL DINGS ]
[000:14:23;662] HERE WE GO!
[000:14:24;964] [ Female Announcer ]
[000:14:24;964] DAWN PLATINUM POWER CLEAN'S
[000:14:26;031] MICRO-SCRUBBING ENZYMES
[000:14:27;433] GIVE YOU THE POWER OF AN
[000:14:27;433] OVERNIGHT SOAK IN 3 MINUTES,
[000:14:30;102] AND 3 TIMES MORE
[000:14:30;102] EVERYDAY
[000:14:31;837] GREASE CLEANING
[000:14:31;837] INGREDIENTS.
[000:14:34;106] FOR ALL YOUR DISHES.
[000:14:35;107] SO IF YOU LIKE DAWN,
[000:14:36;508] YOU'LL LOVE PLATINUM.
[000:14:37;576] [ Sponge ] THE CHAMPION!
[000:14:38;978] [ Female Announcer ]
[000:14:38;978] DAWN PLATINUM DOES EVEN MORE...
[000:14:40;379] [ Sponge ] SO IT'S NOT A CHORE.
[000:14:43;282] [ Female Announcer ]
[000:14:43;282] DAWN PLATINUM DOES EVEN MORE...
[000:14:43;282] ALWAYS GO THE EXTRA MILE.
[000:14:44;750] TO TREAT MY LOW TESTOSTERONE,
[000:14:44;750] I DID MY RESEARCH.
[000:14:47;586] MY DOCTOR AND I
[000:14:47;586] WENT WITH AXIRON,
[000:14:49;455] THE ONLY UNDERARM
[000:14:49;455] LOW T TREATMENT.
[000:14:51;423] AXIRON CAN RESTORE
[000:14:51;423] T LEVELS TO NORMAL
[000:14:53;826] IN ABOUT 2 WEEKS IN MOST MEN.
[000:14:55;794] AXIRON IS NOT FOR USE IN WOMEN
[000:14:55;794] OR ANYONE YOUNGER THAN 18
[000:14:59;064] OR MEN WITH PROSTATE
[000:14:59;064] OR BREAST CANCER.
[000:15:01;433] WOMEN, ESPECIALLY THOSE WHO
[000:15:01;433] ARE OR WHO MAY BECOME PREGNANT
[000:15:04;270] AND CHILDREN SHOULD AVOID
[000:15:04;270] CONTACT WHERE AXIRON IS APPLIED
[000:15:07;539] AS UNEECTED SIGNS OF
[000:15:07;539] PUBERTY IN CHILDREN
[000:15:09;708] OR CHANGES IN BODY HAIR
[000:15:11;143] OR INCREASED ACNE
[000:15:11;143] IN WOMEN MAY OCCUR.
[000:15:12;878] REPORT THESE SYMPTOMS
[000:15:12;878] TO YOUR DOCTOR.
[000:15:14;513] TELL YOUR DOCTOR ABOUT ALL
[000:15:15;514] MEDICAL CONDITIONS
[000:15:15;514] AND MEDITIONS.
[000:15:17;383] SERIOUS SIDE EFFECTS COULD
[000:15:17;383] INCLUDE INCREASED RISK
[000:15:19;585] OF PROSTATE CANCER;
[000:15:19;585] WORSENING PROSTATE SYMPTOMS;
[000:15:22;087] DECREASED SPERM COUNT;
[000:15:22;087] ANKLE, FEET OR BODY SWELLING;
[000:15:24;690] ENLARG OR PAINFUL BREASTS;
[000:15:26;392] PROBLEMS BREATHING
[000:15:26;392] WHILE SLEEPING;
[000:15:27;893] AND BLOOD CLOTS IN THE LEGS.
[000:15:29;561] COMMON SIDE EFFECTS INCLUDE
[000:15:30;729] SKIN REDNESS OR
[000:15:30;729] IRRITATION WHERE APPLIED,
[000:15:32;765] INCREASED RED BLOOD CELL COUNT,
[000:15:34;199] HEADACHE, DIARRHEA, VOMITING,
[000:15:34;199] AND INCREASE IN PSA.
[000:15:37;102] ASK YOUR DOCTOR ABOUT
[000:15:37;102] E ONLY UNDERARM
[000:15:37;102] LOW T TREATMENT,
[000:15:40;773] AXIRON.
[000:15:52;184] >>> JUST IN.
[000:15:55;287] DELTA REPORTS AN EMERGENCY
[000:16:00;059] LANDING IN ALABAMA.
[000:16:01;160] IT WAS ENROUTE FROM CANCUN TO
[000:16:05;698] MEXICO.
[000:16:06;031] THE PROBLEM SPARKED BY A BURNED
