[000:00:05;17] [SOBBING]
[000:04:04;17] SOME AS FOX REPORTS TONIGHT  
[000:04:05;23] WITH NOTHING LEFT.  
[000:04:06;21] SHEAR IS A PHOTO OF ONE  
[000:04:08;10] FAMILY'S HOME BEFORE THE  
[000:04:09;16] TORNADO AND THEN AFTER IT.  
[000:04:11;25] THAT'S MARY BARNHILL  
[000:04:12;28] SITTING NEXT TO HER  
[000:04:14;10] DAUGHTER-IN-LAW BRENDA.  
[000:04:15;11] THEY ARE IN FRONT OF  
[000:04:16;22] BRENDA'S HOUSE OR WHAT  
[000:04:17;15] REMAINS OF IT.  
[000:04:18;17] TODAY, AMERICANS ACROSS  
[000:04:20;07] THIS COUNTRY ARE TRYING TO  
[000:04:21;08] HELP PEOPLE LIKE BRENDA AND  
[000:04:22;14] HER NEIGHBORS.  
[000:04:24;14] TEXAS SENDING AN ELITE  
[000:04:26;20] SEARCH AND RESCUE TEAM  
[000:04:28;13] ABOUT 70 FIRST RESPONDERS  
[000:04:29;18] WHO SPECIALIZE IN GETTING  
[000:04:30;20] PEOPLE OUT FROM UNDER  
[000:04:32;11] WRECKAGE.  
[000:04:32;26] FROM THE UNIVERSITY OF NEW  
[000:04:33;20] MEXICO A 26 MEMBER TEAM  
[000:04:35;08] INCLUDING DOCTORS AND  
[000:04:36;11] NURSES AND FROM JOPLIN,  
[000:04:38;06] MISSOURI POLICE AND  
[000:04:39;09] FIREFIGHTERS HEADED TO THE  
[000:04:41;00] SCENE.  
[000:04:41;14] PAY BACK AS THEY PUT IT FOR  
[000:04:42;09] THE HELP THAT COMMUNITY  
[000:04:43;29] RECEIVED AFTER ITS OWN  
[000:04:46;08] DEVASTATING TORNADO IN  
[000:04:48;05] 2011.  
[000:04:48;18] IF YOU WOULD LIKE TO HELP  
[000:04:49;12] THOSE WHO HAVE LOST SO MUCH  
[000:04:50;22] IN OKLAHOMA, THE RED CROSS  
[000:04:52;17] IS ACCEPTING DONATIONS.  
[000:04:54;07] CAN YOU VISIT RED CROSS.ORG  
[000:04:55;21] OR CALL 1-800-RED CROSS.  
[000:04:59;13] THIS MORNING PRESIDENT  
[000:05:00;05] OBAMA SPOKE FROM THE WHITE  
[000:05:02;02] HOUSE.  
[000:05:02;15] HE TOLD ALL THOSE AFFECTED  
[000:05:03;25] THAT THEIR COUNTRY WILL BE  
[000:05:05;11] THERE TO HELP TODAY AND  
[000:05:06;26] FOR AS LONG AS IT TAKES.  
[000:05:09;02] >> THERE ARE HOMES AND  
[000:05:10;12] SCHOOLS TO REBUILD  
[000:05:12;23] BUSINESSES AND HOSPITALS TO  
[000:05:15;28] REOPEN THERE ARE PARENTS TO  
[000:05:18;14] CONSOLE.  
[000:05:18;28] FIRST RESPONDERS TO COMFORT  
[000:05:20;00] AND OF COURSE FRIGHTENED  
[000:05:21;11] CHILDREN WHO WILL NEED OUR  
[000:05:24;04] CONTINUED LOVE AND  
[000:05:25;04] ATTENTION.  
[000:05:25;19] THERE ARE EMPTY SPACES  
[000:05:26;12] WHERE THERE USED TO IT BE  
[000:05:28;13] LIVING ROOMS AND BEDROOMS  
[000:05:30;08] AND CLASSROOMS.  
[000:05:31;20] >> Shepard: A LOT OF  
[000:05:33;04] EMPTINESS HERE IN MOORE  
[000:05:34;09] OKLAHOMA.  
[000:05:34;24] AND A LOT OF WORK YET TO BE  
[000:05:35;22] DONE, OF COURSE.  
[000:05:36;17] BUT THIS COMMUNITY HAS  
[000:05:37;20] FACED SITUATIONS LIKE THIS  
[000:05:38;23] IN THE PAST.  
[000:05:40;02] AFTER THE TORNADO THAT  
[000:05:41;14] DEVASTATED THIS AREA AN MAY  
[000:05:43;04] THE 3RD 1999.  
[000:05:44;24] SO TONIGHT, EVEN AS PEOPLE  
[000:05:46;20] OF MOORE TAKE STOCK OF ALL  
[000:05:48;02] THEY HAVE LOST, AS FAMILIES  
[000:05:50;15] MOURN THEIR DEAD AND  
[000:05:51;23] COMFORT THE LIVING, WE KNOW  
[000:05:53;04] THAT THEY WILL RECOVER.  
[000:05:54;23] AND THEY WILL REBUILD.  
[000:05:59;19] "THE FOX REPORT'S"  
[000:06:00;08] CORRESPONDENT JONATHAN HUNT  
[000:06:01;03] IS HERE WITH US IN MOORE  
[000:06:01;27] THIS EVENING.  
[000:06:02;19] SOME INSPIRATION OUT THERE  
[000:06:03;21] AMID ALL THE LOSS.  
[000:06:04;27] >> AMAZING STORIES OF LOSS,  
[000:06:06;29] SHEP.  
[000:06:07;12] AMAZING STORIES OF  
[000:06:09;00] SURVIVAL.  
[000:06:09;15] AND STORIES OF PARENTS  
[000:06:10;28] HAVING TO MAKE UNIMAGINABLE  
[000:06:13;11] CHOICES.  
[000:06:13;25] TODAY, WE CAME ACROSS TRACY  
[000:06:16;29] STEPHAN IN HER BACKYARD,  
[000:06:18;18] WHAT USED TO BE HER  
[000:06:20;15] BACKYARD SIFTING THROUGH  
[000:06:21;07] THE WRECKAGE OF HER HOME.  
[000:06:22;20] YESTERDAY, SHE WAS AT HOME  
[000:06:23;17] WHEN SHE HEARD THE TORNADO  
[000:06:25;07] WARNINGS.  
[000:06:25;22] SHE LEFT HER2 YOUNGEST  
[000:06:27;17] CHILDREN THERE WITH A  
[000:06:28;12] FRIEND AND RUSHED TO THE  
[000:06:29;23] PLAZA TOWERS ELEMENTARY  
[000:06:31;00] SCHOOL TO TRY TO FIND HER  
[000:06:33;16] ELDEST DAUGHTER.  
[000:06:34;05] SHE WAS NOT ALLOWED INTO  
[000:06:35;13] THAT SCHOOL.  
[000:06:36;04] THE DOORS WERE ALREADY  
[000:06:37;18] LOCKED.  
[000:06:38;02] SHE THEN HAD TO CHOOSE  
[000:06:39;12] WHETHER TO STAY THERE  
[000:06:40;24] CLOSE TO HER ELDEST  
[000:06:42;18] DAUGHTER OR RUSH HOME TO  
[000:06:44;00] HER TWO YOUNGEST CHILDREN.  
[000:06:45;19] LISTEN.  
[000:06:50;18] HONESTLY I FELT LIKE I HAD  
[000:06:51;28] TO PICK AND CHOOSE STAYING  
[000:06:53;01] AT THE SCHOOL WITH ONE  
[000:06:54;18] CHILD OR COMING BACK HOME  
[000:06:56;17] TO MY TWO OTHER CHILDREN.  
[000:06:58;03] IT'S A TOUGH DECISION I  
[000:06:59;06] DON'T WANT TO GO THROUGH  
[000:07:00;23] AGAIN.  
[000:07:01;06] >> TRACY CHOSE TO COME HOME  
[000:07:02;14] TO HER TWO YOUNGEST  
[000:07:04;11] CHILDREN.  
[000:07:04;26] SHE HID WITH THEM IN THE  
[000:07:06;17] CELLAR.  
[000:07:07;01] THEN, WHEN THE TORNADO HAD  
[000:07:07;24] PASSED SHE RUSHED BACK TO  
[000:07:09;08] THE SCHOOL, DESPERATELY  
[000:07:10;23] TRYING TO FIND HER ELDEST  
[000:07:12;28] DAUGHTER.  
[000:07:13;13] LISTEN AGAIN.  
[000:07:15;02] >> WERE SAVED HER LIFE.  
[000:07:17;05] SHE HOVERED OVER HER DURING  
[000:07:19;09] THE WHOLE TIME, SUCH  
[000:07:21;03] SELFLESS ACT.  
[000:07:22;12] SHE ENDED UP NEEDING TO  
[000:07:24;07] SEEK MEDICAL ATTENTION  
[000:07:25;01] BECAUSE SHE HAD CUTS AND  
[000:07:26;24] SCRAPSZ AND WAS BLEEDING.  
[000:07:28;16] SAVED MY DAUGHTER'S LIFE.  
[000:07:30;14] >> YOU CAN EXPLAIN THAT  
[000:07:31;21] MOMENT WHEN YOU FIRST SAW  
[000:07:32;18] YOUR DAUGHTER; THE HAPPIEST  
[000:07:34;21] DAY OF MY LIFE.  
[000:07:37;10] IT WAS AMAZING.  
[000:07:40;21] BEING ABLE TO SEE HER AND  
[000:07:41;22] SHE IS OKAY.  
[000:07:43;26] AND SHE WAS EXCITED THAT  
[000:07:45;11] THERE WAS NO MORE SCHOOL.  
[000:07:48;21] >> TRACY'S DAUGHTER EXCITED  
[000:07:50;00] THAT THERE WAS NO MORE  
[000:07:52;01] SCHOOL AND TRACY'S  
[000:07:53;12] DAUGHTER SAVED BY THE  
[000:07:55;06] ACTION SHEP, OF THAT  
[000:07:56;16] HEROIC TEACHER'S AIDE WHO  
[000:07:58;04] JUST COVERED HER UP AND  
[000:07:59;24] SAVED HER FROM ALMOST  
[000:08:01;00] CERTAIN DEATH.  
[000:08:01;21] >> AMAZING STORIES COMING  
[000:08:02;18] FROM SO MANY PLACES.  
[000:08:04;02] JONATHAN THANKS VERY MUCH.  
[000:08:05;13] FOR A WHILE, MOST OF THE  
[000:08:06;11] IMAGES WE GOT WERE FROM  
[000:08:08;05] ABOVE.  
[000:08:08;18] THIS AFTERNOON THE WEATHER  
[000:08:09;11] WAS SO BAD HERE IN MOORE  
[000:08:12;06] OKLAHOMA.  
[000:08:12;21] THEY WERE NOT TORNADO  
[000:08:13;12] WARNINGS BUT SEVERE  
[000:08:15;02] WARNINGS.  
[000:08:15;17] WARNINGS OF LARGE SIZE  
[000:08:16;22] HAIL.  
[000:08:17;05] THANKFULLY THAT DIDN'T  
[000:08:17;27] HAPPEN.  
[000:08:18;12] THE RAINS CAME AND ALL THE  
[000:08:20;20] CHOPPERS CAME OUT OF AIR.  
[000:08:22;20] OUR FRIENDS AT WTOV AND  
[000:08:26;15] KOTV HAVE PUT THEIR CHOPPER  
[000:08:28;06] BACK UP IN THE AIR AND  
[000:08:29;00] WE'RE ABLE TO GET LIVE  
[000:08:30;16] PICTURES NOW.  
[000:08:31;03] WE ARE SHOWING YOU THE  
[000:08:31;28] DESTRUCTION AROUND THIS  
[000:08:32;21] AREA AS WE SPEAK.  
[000:08:33;17] OF COURSE, THERE ARE LOTS  
[000:08:34;10] OF WAYS TO HELP THE PEOPLE  
[000:08:35;14] HERE IN OKLAHOMA AND ACROSS  
[000:08:36;18] THE REGION.  
[000:08:37;23] WE HAVE A COUPLE PERFORM  
[000:08:39;14] OPTIONS.  
[000:08:39;28] CAN YOU DONATED TO THE RED  
[000:08:40;22] CROSS IF YOU LIKE OR THE  
[000:08:41;23] SALVATION ARMY, OF COURSE,  
[000:08:42;25] ONLINE OR BY PHONE.  
[000:08:44;04] WE HAVE MOORE INFORMATION  
[000:08:45;11] AT OUR WEB SITE.  
[000:08:46;21] IT'S VERY EASY.  
[000:08:47;24] JUST GO TO FOXNEWS.COM/SHEM  
[000:08:50;11] AND IT'S ALL THERE FOR YOU.  
[000:08:51;21] AFTER YESTERDAY'S TORNADO,  
[000:08:52;28] A PHOTOGRAPHER TOOK A  
[000:08:54;10] PICTURE NEAR THE PLAZA  
[000:08:55;22] TOWERS ELEMENTARY SCHOOL  
[000:08:57;12] AND TODAY IT APPEARS ON THE  
[000:08:59;07] COVERS OF NEWSPAPERS FROM  
[000:09:00;24] CALIFORNIA TO FLORIDA AND  
[000:09:02;29] BEYOND.  
[000:09:03;13] A WOMAN CARRYING A CHILD  
[000:09:05;13] THROUGH A FIELD.  
[000:09:06;02] WE DON'T KNOW THEIR NAMES  
[000:09:07;25] OR WHAT'S BECOME OF THEM,  
[000:09:09;12] FRANKLY, BUT WE'LL HAVE  
[000:09:10;22] MORE ON THE SCENE AT PLAZA  
[000:09:12;08] TOWERS ELEMENTARY COMING UP  
[000:09:13;16] INSIDE FOX REPORT.  
[000:09:14;18] WE'LL ALSO HEAR FROM SOME  
[000:09:16;06] OF THOSE WHO HAVE BEEN  
[000:09:18;03] TAKING PART IN THE MASSIVE  
[000:09:20;04] SEARCH AND RESCUE  
[000:09:20;23] OPERATION.  
[000:09:21;29] >> A LOT OF PEOPLE ARE JUST  
[000:09:26;28] VERY SAD.  
[000:09:27;25] I MEAN, AS CAN YOU IMAGINE  
[000:09:29;00] HAVING TO PULL ANYBODY  
[000:09:32;10] WHETHER IT BE CHILDREN OR  
[000:09:33;19] ADULTS IS JUST GOING TO BE  
[000:09:35;16] OVERWHELMING FOR A PERSON.  
[000:09:36;19] SO YOU KNOW, AT THIS  
[000:09:37;17] POINT, WHEN IT WENT FROM A  
[000:09:40;07] CERTAIN AND RESCUE TO  
[000:09:41;21] SEARCH AND RECOVERY.  
[000:09:42;18] THE MOOD OVER THERE HAS  
[000:09:45;17] DEFINITELY CHANGED.  
[000:09:46;07] >> THAT AND CONTINUING  
[000:09:47;02] COVERAGE OF THE DISASTER IN  
[000:09:48;00] THE HEARTLAND.  
[000:09:49;04] COMING UP FROM THE  
[000:09:50;13] JOURNALISTS OF FOX NEWS ON  
[000:09:51;08] THIS TUESDAY FOX REPORT,  
[000:09:53;13] LIVE FROM MOORE, OKLAHOMA.  
[000:09:55;17] OKLAHOMA STRONG.
[000:10:04;03] WE LEARNED A LOT OF US  HAVE KNOWN
[000:10:04;24] SOMEONE  WHO'S LIVED WELL INTO THEIR
[000:10:06;17] 90S.  AND THAT'S A GREAT THING.  BUT
[000:10:08;14] EVEN THOUGH  WE'RE LIVING LONGER,
[000:10:10;14] ONE THING  THAT HASN'T CHANGED MUCH
[000:10:12;05] IS THE OFFICIAL RETIREMENT AGE.  ♪
[000:10:14;15] ♪  THE QUESTION IS HOW DO YOU MAKE
[000:10:15;21] SURE YOU HAVE THE MONEY YOU NEED 
[000:10:18;29] TO ENJOY ALL OF THESE YEARS.  ♪ ♪
[000:11:27;18] What makes the Sleep
[000:11:28;04] Number store different?  You walk
[000:11:29;02] into a  conventional mattress
[000:11:30;15] store, it's really not  about you.
[000:11:32;12] They say, "Well, if you  wanted a
[000:11:33;04] firm bed you can
[000:11:35;01] lie on one of those.
[000:11:35;23] We provide the exact  individualization
[000:11:36;16] that
[000:11:38;08] your body needs.
[000:11:39;18] Oh, yeah!
[000:11:40;13] Wow.
[000:11:40;25] Once you experience it  there's no
[000:11:41;17] going back.
[000:11:42;21] At the Sleep Number  Memorial Day
[000:11:43;13] Sale,
[000:11:44;23] save on the closeout of  our Classic
[000:11:45;17] Special
[000:11:47;13] Edition bed set.
[000:11:48;06] Now just $1299-a savings  of $600.
[000:11:51;22] Only at the Sleep Number  store.
[000:11:53;19] Sleep Number.
[000:11:54;13] Comfort Individualized.
[000:12:27;10] I'M SO GLAD YOU CALLED.  THANK YOU.
[000:12:29;26] WE'RE NOT IN LONDON,  ARE WE?  NO.
[000:12:32;08] WHY?  APPARENTLY  MY DEBIT CARD IS.
[000:12:34;09] WHAT?  I KNOW.  DON'T WORRY,  WE HAVE
[000:12:36;10] CANCELLED YOUR OLD CARD.  GREAT. THANK
[000:12:38;11] YOU.  IN ADDITION TO US  MONITORING
[000:12:39;22] YOUR ACCOUNTS  FOR UNUSUAL ACTIVITY,
[000:12:42;03] YOU COULD ALSO SET UP  FREE ACCOUNT
[000:12:42;22] ALERTS.  OKAY.    [ Female Announcer
[000:12:44;22] ]    AT WELLS FARGO WE'RE WORKING
[000:12:45;24] AROUND THE CLOCK    TO HELP PROTECT
[000:12:46;17] YOUR MONEY    AND FINANCIAL    INFORMATION.
[000:12:49;19] HERE'S YOUR  TEMPORARY CARD.  WELCOME
[000:12:51;00] BACK.  HOW WAS LONDON?    [ Female
[000:12:52;17] Announcer ]    WHEN PEOPLE TALK, 
[000:12:54;09] GREAT THINGS HAPPEN.    
[000:13:03;17] >> Shepard: THE PICTURES  
[000:13:05;11] YOU SEE ON THE OTHER SIDE  
[000:13:06;04] OF THE SCREEN FROM KOTV --  
[000:13:06;27] LET'S SEE FROM KWTV AND  
[000:13:10;18] KOTV OUR NEWS AFFILIATES  
[000:13:12;16] WHO HAVE THEIR DHOPPERS UP  
[000:13:14;05] LIVE TONIGHT.  
[000:13:14;27] WE WILL BE SHOWING YOU THE  
[000:13:15;28] DEVASTATION AND CLEANUP AS  
[000:13:17;17] THE NEWSCAST CONTINUES.  
[000:13:18;20] TONIGHT WE ARE HEARING FROM  
[000:13:19;20] RELATIVES OF CHILDREN WHO  
[000:13:20;22] SURVIVED THE TORNADO'S  
[000:13:21;20] DIRECT HIT ON THAT SCHOOL  
[000:13:23;08] PLAZA ELEMENTARY AS I  
[000:13:24;15] REPORTED AT THE TOP OF THIS  
[000:13:25;22] NEWSCAST OFFICIALS TELL US  
[000:13:26;26] AT LEAST SEVEN CHILDREN  
[000:13:28;09] DIED IN THAT SCHOOL.  
[000:13:29;20] BUT RESCUE WORKERS DID  
[000:13:31;12] MANAGE TO PULL SOME OF THE  
[000:13:33;09] KIDS OUT OF THE RUBBLE  
[000:13:34;13] FORMING A HUMAN CHAIN TO  
[000:13:35;14] PASS THEM TO SAFETY.  
[000:13:36;24] TODAY ON "STUDIO B" I SPOKE  
[000:13:38;06] WITH A MAN WHOSE 6-YEAR-OLD  
[000:13:39;20] DAUGHTER MADE IT OUT OF  
[000:13:40;13] THAT SCHOOL ALIVE.  
[000:13:42;19] >> SHE WAS A LITTLE FREAKED  
[000:13:44;01] OUT O.  
[000:13:44;21] SHE SAID THAT THE SCHOOL  
[000:13:45;16] FELL DOWN.  
[000:13:46;16] AND SHE GOT A COUPLE  
[000:13:47;23] SCRAPES AND SCRATCHES.  
[000:13:49;09] NOTHING TOO SERIOUS.  
[000:13:51;08] DOESN'T QUITE UNDERSTAND  
[000:13:52;01] WHY IT HAPPENED TO US.  
[000:13:53;02] BUT SHE IS HAPPY THAT WE  
[000:13:54;17] ARE ALL FINE AND HER DOG IS  
[000:13:57;08] FINE.  
[000:13:57;21] SO SHE IS ACTUALLY QUITE  
[000:14:00;20] HAPPY ABOUT IT THAT WE ARE  
[000:14:02;08] ALL OKAY.  
[000:14:03;14] >> Shepard: THEY ARE ALL  
[000:14:04;07] OKAY.  
[000:14:04;20] THIS IS WHAT IS LEFT OF  
[000:14:05;13] THEIR HOUSE.  
[000:14:06;00] JUSTIN TOLD ME HE WAS AT  
[000:14:07;00] WORK WHEN THE TORNADO HIT.  
[000:14:08;21] HIS WIFE AND TWO CHILDREN  
[000:14:10;05] RODE OUT OTHE STORM IN A  
[000:14:11;23] NEIGHBOR'S BASEMENT.  
[000:14:12;14] HE ALSO TOLD ME HE IS NOT  
[000:14:14;07] WEARING A JACKET TODAY  
[000:14:15;20] BECAUSE HE COULDN'T FIND  
[000:14:16;22] HIS CLOSET.  
[000:14:18;10] HE HAS SINCE GONE TO  
[000:14:20;02] SHELTERS AND GOTTEN A NEW  
[000:14:21;13] ONE BUT JOHN ROBERTS IS AT  
[000:14:23;20] PLAZA TOWERS ELEMENTARY  
[000:14:24;27] TONIGHT OR WAS EARLIER  
[000:14:26;06] TODAY AND IS HE LIVE HERE  
[000:14:27;16] IN MOORE TONIGHT.  
[000:14:28;15] JOHN WHAT'S THE LATEST ON  
[000:14:29;24] THAT SCHOOL.  
[000:14:30;16] DO WE KNOW?  
[000:14:31;07] >> THERE IS A SMALL PIECE  
[000:14:32;13] OF GOOD NEWS, SHEP.  
[000:14:34;11] IF THERE IS ANY GOOD NEWS  
[000:14:35;22] IN THIS DISASTER.  
[000:14:36;24] IS THE FACT THAT FOR ABOUT  
[000:14:37;28] 17 OR 18 HOURS IT WAS  
[000:14:39;08] BELIEVED AS MANY AS TWO  
[000:14:40;23] DOZEN CHILDREN HAVE BEEN  
[000:14:42;22] TRAPPED IN PARISH IN  
[000:14:44;00] ADDITION TO THE SEVEN YOU  
[000:14:45;12] MENTIONED ELEMENTARY SCHOOL  
[000:14:46;07] IT APPEARS NOW THAT WAS  
[000:14:47;23] SIMPLY THE FOG OF CONFUSION  
[000:14:49;17] FOLLOWING THE INITIAL  
[000:14:50;08] STRIKE OF THE TORNADO.  
[000:14:52;05] RESCUE WORKERS WENT THROUGH  
[000:14:52;29] A ELEMENTARY SCHOOL A  
[000:14:54;03] NUMBER OF TIMES TODAY AND  
[000:14:54;26] DID NOT FIND ANY MORE  
[000:14:57;01] VICTIMS.  
[000:14:57;15] THE DEATH TOLL HOLDING  
[000:14:58;08] STEADY NOW AT 24.  
