[000:00:00;734] >> THANK YOU.
[000:05:34;801] HOUSE.
[000:05:35;668] TONIGHT, A NEW FOCUS,
[000:05:36;703] WHITE HOUSE GOING
[000:05:37;770] AFTER OBAMA NATIONAL
[000:05:38;838] SECURITY ADVISOR SUSAN
[000:05:39;906] RICE FOR REQUESTING
[000:05:42;542] THE NAMES OF TRUMP
[000:05:44;143] OFFICIALS ACCIDENTALLY
[000:05:45;178] COLLECTED BY
[000:05:46;245] SURVEILLANCE BE
[000:05:47;313] REVEALED OR UNMASKED.
[000:05:48;381] RICE RESPONDING TO US
[000:05:49;148] EXCLUSIVELY TONIGHT.
[000:05:51;050] >> WE ONLY DO IT TO
[000:05:52;085] PROTECT THE AMERICAN
[000:05:53;686] PEOPLE TO DO OUR JOBS
[000:05:55;288] IN THE NATIONAL
[000:05:56;356] SECURITY ROOM.
[000:05:57;957] >> Reporter: NOW,
[000:05:58;658] SHE'S UNDER FIRE FROM
[000:05:59;425] REPUBLICAN CRITICS.
[000:06:00;159] >> I BELIEVE SUSAN
[000:06:00;893] RICE ABUSED THIS
[000:06:01;661] SYSTEM AND SHE DID IT
[000:06:02;428] FOR POLITICAL
[000:06:03;062] PURPOSES.
[000:06:03;796] SHE NEEDS TO BE
[000:06:04;464] BROUGHT IN AND
[000:06:05;131] QUESTIONED UNDER OATH.
[000:06:06;966] >> DID YOU SEEK THE
[000:06:10;136] NAMES OF PEOPLE
[000:06:11;204] INVOLVED TO UNMASK THE
[000:06:11;971] NAMES OF PEOPLE
[000:06:12;638] INVOLVED IN THE TRUMP
[000:06:13;406] TRANSITION, TRUMP
[000:06:14;107] CAMPAIGN IN ORDER TO
[000:06:14;941] SPY ON THEM?
[000:06:17;043] >> ABSOLUTELY.
[000:06:18;111] ABSOLUTELY NOT, FOR
[000:06:19;178] ANY POLITICAL
[000:06:20;246] PURPOSES, TO SPY,
[000:06:21;314] EXPOSE, ANYTHING, BUT
[000:06:22;081] LET ME --
[000:06:22;648] >> DID YOU LEAK THE
[000:06:23;383] NAME OF MIKE FLYNN?
[000:06:24;484] >> I LEAKED NOTHING TO
[000:06:26;085] NOBODY AND NEVER HAVE
[000:06:26;853] AND NEVER WOULD.
[000:06:27;653] >> Reporter: FORMER
[000:06:28;388] INTELLIGENCE OFFICIALS
[000:06:29;155] SAY ALL THIS TAKES
[000:06:29;889] CRITICAL FOCUS AWAY
[000:06:30;623] FROM THE RUSSIA
[000:06:31;391] INVESTIGATION.
[000:06:32;458] >> I THINK IT IS A
[000:06:34;560] DISTRACTION TO GO DOWN
[000:06:35;628] ALL OF THESE OTHER
[000:06:36;362] ALLEYS.
[000:06:37;196] IT WON'T IN THE END
[000:06:37;930] LEAD TO AN ANSWER TO
[000:06:38;798] THE PRIMARY QUESTION.
[000:06:40;400] >> TONIGHT, MEMBERS OF
[000:06:42;001] THE HOUSE CAUTION THE
[000:06:43;069] WITNESS COMMITTEE SAY
[000:06:45;171] RICE IS LIKELY TO BE
[000:06:46;239] CALLED AS A WITNESS IN
[000:06:47;006] A WIDELY HIGHLY
[000:06:47;673] POLITICIZED
[000:06:48;374] INVESTIGATION.
[000:06:49;409] LESTER.
[000:06:49;942] >> ANDREA MITCHELL.
[000:06:51;010] >>> TONIGHT, AFTER
[000:06:52;078] BEING LEFT FOR DEAD IN
[000:06:52;845] CONGRESS, THE WHITE
[000:06:53;679] HOUSE IS TRYING TO
[000:06:54;747] REVIVE PLAN TO REPEAL
[000:06:55;782] AND REPLACE OBAMACARE.
[000:06:57;383] IT COMES AFTER
[000:06:58;451] PRESIDENT TRUMP
[000:06:59;519] PONDERED LEAVING
[000:07:00;553] OBAMACARE TO, IN HIS
[000:07:01;621] WORDS, TO EXPLODE, HIS
[000:07:02;388] ADMINISTRATION IS
[000:07:03;222] TRYING AGAIN TO REACH
[000:07:04;290] A DEAL.
[000:07:05;324] HOW FAR ARE THEY
[000:07:06;392] WILLING TO GO TO WIN
[000:07:07;994] OVER HOLDOUT
[000:07:08;628] REPUBLICANS.
[000:07:10;129] HALLIE JACKSON HAS
[000:07:11;197] DETAILS.
[000:07:13;299] >> Reporter: VICE
[000:07:14;367] PRESIDENT PENCE TODAY,
[000:07:15;435] RALLYING REPUBLICANS
[000:07:16;502] TO RESURRECT A
[000:07:18;070] HEALTHCARE DEAL, A NEW
[000:07:19;138] FRAMEWORK RISING FROM
[000:07:20;740] THE ASHES LESS THAN
[000:07:21;808] TWO WEEKS AFTER THE
[000:07:22;875] ORIGINAL CRASHED AND
[000:07:23;643] BURNED.
[000:07:24;444] >> THE PRESIDENT AND I
[000:07:25;211] REMAIN CONFIDENT
[000:07:26;579] WORKING WITH THE
[000:07:27;647] CONGRESS WE WILL
[000:07:28;347] REPEAL AND REPLACE
[000:07:29;215] OBAMACARE.
[000:07:31;350] >> Reporter: WHAT'S
[000:07:32;084] THE STRATEGY NOW?
[000:07:32;785] OFFER TO LET STATES
[000:07:33;519] ASK PERMISSION FROM
[000:07:34;520] THE GOVERNMENT TO
[000:07:35;221] ALLOW INSURERS TO
[000:07:37;190] CHARGE SICK PEOPLE
[000:07:38;257] MORE MONEY, TO KEEP
[000:07:39;325] COSTS LOWER FOR
[000:07:40;393] HEALTHIER PEOPLE.
[000:07:41;461] NO ONE COULD BE DENIED
[000:07:42;228] INSURANCE OUTRIGHT BUT
[000:07:43;029] IT MAY EFFECTIVELY GUT
[000:07:44;096] THE PROMISE FOR
[000:07:45;164] PROTECTION OF PEOPLE
[000:07:45;932] WITH PRE-EXISTING
[000:07:47;300] CONDITIONS.
[000:07:48;367] >> I THINK IT'S A HAIL
[000:07:49;135] MARY PASS TO BRING
[000:07:49;936] THIS LEGISLATION BACK
[000:07:51;003] AND WILL BE A MORE
[000:07:53;139] RADICAL PROPOSAL THAN
[000:07:55;241] THE FIRST ONE.
[000:07:57;376] >> Reporter: IT'S A
[000:07:58;444] NOD TO THE POLITICAL
[000:07:59;512] PRESSURE REPUBLICANS
[000:08:00;546] FACE TO DO SOMETHING
[000:08:01;314] ON HEALTHCARE AND
[000:08:02;148] OLIVE BRANCH TO THE
[000:08:02;882] HOLDOUTS IN THE
[000:08:03;749] CONSERVATIVE FREEDOM
[000:08:04;517] CAUCUS LED BY
[000:08:05;151] CONGRESSMAN MARK
[000:08:05;852] MEADOWS.
[000:08:06;953] >> I CAN TELL YOU
[000:08:07;987] NEGOTIATIONS ARE GOING
[000:08:09;088] ON AT AN EXTREMELY
[000:08:09;822] FAST CLIP.
[000:08:10;656] IS THERE A VOTE
[000:08:11;324] SCHEDULED?
[000:08:11;891] NO.
[000:08:13;326] IS THERE EVEN A
[000:08:13;993] CONSENSUS A VOTE
[000:08:14;894] SHOULD BE SCHEDULED?
[000:08:15;628] NO.
[000:08:17;029] >> I DON'T WANT TO PUT
[000:08:17;797] AN ARTIFICIAL
[000:08:18;431] DEADLINE.
[000:08:19;165] WE'RE NOT AT THAT
[000:08:20;199] STAGE.
[000:08:20;733] >> Reporter: THE
[000:08:23;402] PRESIDENT AT THE
[000:08:24;437] BUILDER'S UNION.
[000:08:25;538] >> IT WAS ABOUT TIME
[000:08:28;174] WE HAD A BUILDER IN
[000:08:29;242] THE WHITE HOUSE.
[000:08:29;909] >> Reporter: STICKING
[000:08:30;843] TO HIS CONSTRUCTION
[000:08:31;577] COMFORT ZONE INSTEAD.
[000:08:33;479] >> HELLO, IVANKA.
[000:08:35;081] >> Reporter: AS HIS
[000:08:35;815] DAUGHTER KEEPS HER
[000:08:36;549] FOCUS ON WOMEN IN THE
[000:08:37;316] WORK FORCE ON EQUAL
[000:08:38;284] PAYDAY.
[000:08:38;818] >> MY FATHER WANTS TO
[000:08:41;454] CREATE 25 MILLION JOBS
[000:08:42;221] IN THIS COUNTRY AND
[000:08:43;055] WOMEN NEED TO
[000:08:44;624] PARTICIPATE FOR THAT
[000:08:46;225] TO BE FULLY REALIZED.
[000:08:47;827] >> Reporter: THE VICE
[000:08:48;594] PRESIDENT TONIGHT WILL
[000:08:49;362] BE BACK ON THE HILL
[000:08:50;096] AGAIN FOR MORE
[000:08:50;763] HEALTHCARE TALKS.
[000:08:51;531] SPEAKER PAUL RYAN
[000:08:52;231] WON'T BE THERE A SIGN
[000:08:53;132] A SIGN HOUSE LEADERS
[000:08:54;200] MAY BE LETTING THEM
[000:08:55;268] WORK IT OUT ON THEIR
[000:08:56;035] OWN.
[000:08:58;437] NOBODY WANTS TO GET
[000:09:00;039] OUT OVER THEIR SKIS BY
[000:09:01;107] PROMISING A PLAN OR
[000:09:02;174] TIMELINE THAT'S NOT
[000:09:03;209] REALISTIC.
[000:09:03;776] LESTER.
[000:09:05;344] >> HALLIE JACKSON AT
[000:09:06;112] THE WHITE HOUSE
[000:09:06;779] TONIGHT.
[000:09:07;313] THANK YOU.
[000:09:07;980] THE BACKLASH THIS
[000:09:10;116] EVENING IS GROWING
[000:09:10;850] AGAINST FOX NEWS STAR,
[000:09:11;717] BILL O'REILLY.
[000:09:12;752] A SLEW OF ADVERTISES
[000:09:13;819] INCLUDING VERY BIG
[000:09:14;887] NAMES TODAY SAY
[000:09:15;555] THEY'RE PULLING THEIR
[000:09:16;322] ADS FROM "THE O'REILLY
[000:09:17;523] FACTOR" AFTER MORE
[000:09:19;125] COMPLAINTS OF SEXUAL
[000:09:19;892] HARASSMENT HAVE COME
[000:09:20;660] TO LIGHT.
[000:09:22;328] ANNE THOMPSON WITH THE
[000:09:23;095] NEW FALLOUT.
[000:09:25;498] >> Reporter: BILL
[000:09:26;198] O'REILLY IS RARELY AT
[000:09:27;099] A LOSS FOR WORDS.
[000:09:28;167] >> HI.
[000:09:29;235] I'M BILL O'REILLY.
[000:09:29;936] THANKS FOR WATCHING US
[000:09:30;803] TONIGHT.
[000:09:31;337] >> Reporter: SO FAR HE
[000:09:32;405] SAID NOTHING ON HIS
[000:09:33;472] SHOW ABOUT THE GROWING
[000:09:34;540] CONTROVERSY OF OFF
[000:09:36;642] SCREEN ALLEGATIONS OF
[000:09:37;710] SEXUAL HARASSMENT.
[000:09:38;778] BUT TONIGHT IS
[000:09:40;880] ADVERTISERS ARE
[000:09:41;948] SPEAKING WITH THEIR
[000:09:45;151] WALLETS, BMW,
[000:09:46;185] MITSUBISHI MOTORS AND
[000:09:46;953] DRUG MAKER GLAXO
[000:09:49;922] SMITHKLINE ARE PULLING
[000:09:50;690] THEIR ADS FROM "THE
[000:09:51;424] O'REILLY FACTOR".
[000:09:53;092] ALLSTATE SAYING IN A
[000:09:53;859] STATEMENT INCLUSIVITY
[000:09:55;227] AND SUPPORT FOR WOMEN
[000:09:56;295] ARE IMPORTANT AllState
[000:09:57;063] VALUES.
[000:10:00;533] WE HAVE SUSPENDED OUR
[000:10:01;300] ADVERTISING.
[000:10:04;770] THEY FOUND FOX NEWS OR
[000:10:06;372] O'REILLY PAID FIVE
[000:10:07;440] WOMEN $13 MILLION TO
[000:10:09;008] SETTLE HARASSMENT AND
[000:10:10;610] INAPPROPRIATE BEHAVIOR
[000:10:11;677] CLAIMS AGAINST THE
[000:10:13;279] STAR ANCHOR.
[000:10:15;381] >> YOU'RE SEEING
[000:10:16;449] COMPANIES SPEAK ABOUT
[000:10:17;516] THEIR VALUES AND THEIR
[000:10:19;118] CONVICTIONS.
[000:10:20;186] IF THEY'RE NOT ALIGNED
[000:10:21;754] WITH FOX NEWS THEY'RE
[000:10:22;822] SUPPORTING WITH THEIR
[000:10:23;589] DOLLARS THEY WILL TAKE
[000:10:24;423] THOSE DOLLARS AWAY.
[000:10:25;491] >> Reporter: LATE
[000:10:26;192] TODAY, FOX NEWS SAID
[000:10:26;959] IN A STATEMENT WE
[000:10:27;660] VALUE OUR PARTNERS AND
[000:10:28;427] ARE WORKING WITH THEM
[000:10:29;195] TO ADDRESS THEIR
[000:10:29;895] CURRENT CONCERNS.
[000:10:31;864] EARLIER THIS WEEK IN A
[000:10:32;632] STATEMENT, O'REILLY
[000:10:34;000] SAID HIS FAME MADE HIM
[000:10:34;767] VULNERABLE TO LAWSUITS
[000:10:35;568] AND HE ACTED QUICKLY
[000:10:37;169] TO PUT TO REST ANY
[000:10:38;237] CONTROVERSIES TO SPARE
[000:10:39;805] HIS CHILDREN.
[000:10:41;407] HIS SHOW IS THE NUMBER
[000:10:43;009] ONE PROGRAM ON CABLE
[000:10:45;144] NEWS, PULLING IN MORE
[000:10:46;178] THAN $100 MILLION A
[000:10:47;246] YEAR IN AD REVENUE.
[000:10:49;382] MORE THAN 350 BRANDS
[000:10:50;950] ADVERTISED ON THE SHOW
[000:10:52;018] IN THE FIRST THREE
[000:10:53;085] MONTHS OF THIS YEAR.
[000:10:55;187] TODAY, COMPANIES WAIT
[000:10:56;789] TO CHANGE THEIR PLANS
[000:10:57;556] TO SEE WHAT IF ANY
[000:10:58;391] CHANGES FOX AND
[000:10:59;992] O'REILLY MAKE.
[000:11:01;594] ANNE THOMPSON, NBC
[000:11:02;662] NEWS NEW YORK.
[000:11:05;831] >>> AS WE SAID AT THE
[000:11:06;899] TOP OF THE BROADCAST,
[000:11:08;501] BREAKING NEWS IN SOUTH
[000:11:09;535] KOREA, WORD NORTH
[000:11:11;137] KOREA FIRED AND
[000:11:12;738] UNIDENTIFIED
[000:11:14;306] PROJECTILE INTO THE
[000:11:15;041] SEA.
[000:11:15;908] A NEW PROVOCATION
[000:11:16;976] COMING A SHORT TIME
[000:11:18;044] AFTER THE WHITE HOUSE
[000:11:19;111] SAID THE CLOCK HAS NOW
[000:11:19;879] RUN OUT AND ALL
[000:11:20;546] OPTIONS ARE ON THE
[000:11:21;280] TABLE.
[000:11:23;349] ALL OF IT FOLLOWS MORE
[000:11:24;383] TOUGH TALK FROM NORTH
[000:11:25;451] KOREA CALLING JOINT
[000:11:26;185] U.S.
[000:11:28;120] SOUTH KOREAN MILITARY
[000:11:29;188] EXERCISES A DRESS
[000:11:29;889] REHEARSAL FOR
[000:11:30;790] INVASION.
[000:11:31;357] WE TAGGED ALONG FOR
[000:11:32;892] SOME OF THOSE
[000:11:33;526] EXERCISES AND FOUND
[000:11:34;493] AMERICAN AND SOUTH
[000:11:35;561] KOREAN OFFICERS
[000:11:37;129] CONFIDENT AS THEY
[000:11:38;197] PLANNED TO COUNTER ONE
[000:11:39;799] OF THE MORE PERSISTENT
[000:11:41;400] THREATS THIS REGION
[000:11:42;435] FACES.
[000:11:43;502] >> Reporter: THE WAR
[000:11:44;570] BEING WAGED IN THIS
[000:11:45;638] CORNER OF SOUTH KOREA
[000:11:47;239] TODAY WON'T DRAW A
[000:11:48;274] DROP OF BLOOD.
[000:11:49;875] AMERICANS AND SOUTH
[000:11:50;943] KOREAN TROOPS ENGAGE
[000:11:52;011] IN MOCK URBAN COMBAT
[000:11:54;146] LESS THAN 15 MILES
[000:11:54;880] FROM THE DMZ, AND
[000:11:56;782] RUNNING THROUGH THE
[000:11:57;850] PLAYBOOK OF A
[000:11:59;452] POTENTIAL WAR THAT HAS
[000:12:00;219] HAUNTED THIS PENINSULA
[000:12:01;053] FAR TOO LONG.
[000:12:02;121] >> WE THINK WE COULD
[000:12:03;155] SEE EVERYTHING FROM
[000:12:06;358] CONVENTIONAL TOTAL WAR
[000:12:07;426] HERE AND ALSO
[000:12:08;461] EXPERIENCE CIVILIAN
[000:12:10;062] OPERATIONS AFTER
[000:12:10;763] VICTORY, WHETHER
[000:12:11;664] ATTACK IN URBAN STRONG
[000:12:13;265] POINT.
[000:12:16;969] >> Reporter: AS IF ON
[000:12:18;037] CUE, THE COLONEL WAS
[000:12:19;638] INTERRUPTED BY A
[000:12:20;673] RESCUE CHOPPER
[000:12:21;741] SWOOPING IN TO PLUCK
[000:12:22;808] MOCK CASUALTIES FROM A
[000:12:23;576] ROOFTOP.
[000:12:27;046] THE AMERICANS AND
[000:12:27;747] SOUTH KOREANS ARE
[000:12:28;647] TAKING PART IN AN
[000:12:30;216] ANNUAL JOINT EXERCISE
