[000:00:00;09] [ LAUGHTER ]  
[000:02:39;05] OFFICIAL TELLS FOX THAT ANY  
[000:02:40;07] STRIKE ON SYRIA IS LIKELY  
[000:02:41;18] TO LAST HOURS, NOT DAYS.  
[000:02:43;15] ACCORDING TO U.S. MILITARY  
[000:02:45;11] SOURCES, THERE ARE NO PLANS  
[000:02:46;21] IN THIS INITIAL MISSION SET  
[000:02:48;04] TO GO AFTER ASSAD'S  
[000:02:49;28] CHEMICAL WEAPONS.  
[000:02:51;05] IT IS NOT POSSIBLE TO CARRY  
[000:02:51;29] OUT A SURGICAL STRIKE ON  
[000:02:54;20] CHEMICAL WEAPONS STORAGE  
[000:02:55;23] FACILITIES, ASSAD IS  
[000:02:56;25] ESTIMATED TO HAVE  
[000:02:58;20] 1,000 TONS OF THOSE  
[000:03:00;03] MATERIALS.  
[000:03:00;18] SUCH A STRIKE COULD UNLEASH  
[000:03:01;27] THOSE CHEMICALS AND LEAD TO  
[000:03:02;26] A LOT OF DEATH AND  
[000:03:04;11] DESTRUCTION, SOURCES SAY.  
[000:03:05;13] ANY PLANS TO SECURE ASSAD'S  
[000:03:07;14] CHEMICAL WEAPONS WOULD  
[000:03:08;27] REQUIRE SPECIAL OPERATIONS  
[000:03:09;29] AND BOOTS ON THE GROUND.  
[000:03:11;07] THAT IS NOT ON THE TABLE  
[000:03:12;12] RIGHT NOW.  
[000:03:16;26] THE U.S. IS PLANNING A  
[000:03:18;06] LIMITED STRIKE.  
[000:03:19;16] FOUR NAVY DESTROYERS IN  
[000:03:20;16] POSITION AND AT LEAST ONE  
[000:03:22;03] NUCLEAR POWERED SUBMARINE.  
[000:03:23;15] THE BRITISH COULD PROVIDE  
[000:03:26;02] ANOTHER SUBMARINE IF  
[000:03:28;06] PARLIAMENT VOTE SLATED LATE  
[000:03:29;26] FOR THURSDAY BILL.  
[000:03:31;15] >> WHAT ABOUT THE TIME  
[000:03:32;23] JENNIFER.  
[000:03:33;08] >> NOT BEFORE NATO MEETS  
[000:03:35;15] BRUSSELS TOMORROW AND WE'RE  
[000:03:36;09] TOLD IT WOULD OCCUR MOST  
[000:03:38;07] LIKELY THIS WEEKEND.  
[000:03:39;19] CHUCK HAGEL SPOKE TO HIS  
[000:03:40;26] BRITISH AND FRENCH COUNTER  
[000:03:41;28] PARTS BY PHONE TODAY.  
[000:03:42;23] IN AN INTERVIEW WITH THE  
[000:03:45;06] BBC, HAGEL SAID U.S.  
[000:03:46;16] WARSHIPS ARE STANDING BY  
[000:03:47;24] AWAITING ORDERS.  
[000:03:48;12] >> LET'S GET THE FACTS.  
[000:03:49;19] LET'S GET THE INTELLIGENCE.  
[000:03:51;08] AND THEN A DECISION WILL BE  
[000:03:52;22] MADE ON WHETHER ACTION  
[000:03:53;28] SHOULD BE TAKEN, IF ACTION  
[000:03:55;05] SHOULD BE TAKEN, WHAT  
[000:03:58;02] ACTION.  
[000:03:58;16] OR NO ACTION.  
[000:04:00;26] BUT IF YOU COME YOU ARE  
[000:04:01;27] READY TO GO LIKE THAT.  
[000:04:03;02] >> WE ARE READY TO GO LIKE  
[000:04:05;11] THAT.  
[000:04:05;24] >> AGAIN THE PLAN AT THIS  
[000:04:06;17] POINT IS TO DETER ASSAD AND  
[000:04:08;03] DEGRADE HIS ABILITIES.  
[000:04:09;18] MULTIPLE PENTAGON SOURCES  
[000:04:10;21] SUGGEST THE STRIKE WILL BE  
[000:04:12;15] LIMITED.  
[000:04:13;14] BILL?  
[000:04:13;27] >> Bill: THANK YOU  
[000:04:14;17] JENNIFER.  
[000:04:15;02] JENNIFER GRIFFIN WITH THAT  
[000:04:15;25] FOX REPORT TONIGHT FROM THE  
[000:04:17;21] PENTAGON.  
[000:04:18;06] SECRETARY HAGEL SAYS IF THE  
[000:04:19;00] U.S. MILITARY DOES TAKE  
[000:04:20;20] ACTION, WE WILL NOT BE  
[000:04:21;16] GOING IT ALONE.  
[000:04:22;18] OUR TEAM FOX COVERAGE  
[000:04:23;24] CONTINUES NOW.  
[000:04:29;17] CHIEF CORRESPONDENT  
[000:04:30;11] JONATHAN HUNT JOINS US.  
[000:04:31;12] IT LOOKS LIKE WE SEE A  
[000:04:33;13] COALITION FORMING.  
[000:04:34;04] >> FORMING AND IN PLACE.  
[000:04:35;18] IMPORTANT PART OF THAT  
[000:04:36;10] COALITION EVEN IF  
[000:04:37;23] UNOFFICIALLY MAY WELL BE  
[000:04:38;19] THE ARAB LEAGUE.  
[000:04:39;17] THE ARAB LEAGUE MET TODAY  
[000:04:40;22] AND ISSUED A STATEMENT  
[000:04:42;20] BACKING U.S. CONCLUSIONS  
[000:04:43;16] OVER THE USE OF CHEMICAL  
[000:04:44;28] WEAPONS IN SYRIA LAST WEEK  
[000:04:47;05] ON THE WESTERN FRONT BOTH  
[000:04:49;09] THE FRENCH AND BRITISH  
[000:04:50;12] PRIME MINISTERS TALKING  
[000:04:52;01] VERY MUCH ABOUT THE NEED  
[000:04:53;21] FOR MILITARY ACTION.  
[000:04:55;25] BRITISH PRIME MINISTER  
[000:04:56;16] DAVID CAMMERON SAYS IT IS  
[000:04:58;04] LIKELY TO HAPPEN.  
[000:04:59;01] BUT THERE MUST BE A CLEAR  
[000:05:01;08] GOAL.  
[000:05:01;21] LISTEN.  
[000:05:02;16] >> IT WOULD HAVE TO BE  
[000:05:05;02] SPECIFICALLY TO DETER AND  
[000:05:06;27] DEGRADE THE FUTURE USE OF  
[000:05:09;04] CHEMICAL WEAPONS.  
[000:05:09;27] LET ME STRESS TO PEOPLE.  
[000:05:11;02] THIS IS NOT ABOUT GETTING  
[000:05:12;20] INVOLVED IN A MIDDLE  
[000:05:14;11] EASTERN WAR OR CHANGING OUR  
[000:05:17;01] STAFFS IN SYRIA OR GOING  
[000:05:18;05] FURTHER INTO THAT CONFLICT.  
[000:05:19;16] IT'S NOTHING TO DO WITH  
[000:05:20;14] THAT IT'S ABOUT CHEMICAL  
[000:05:22;11] WEAPONS, THEIR USE IS  
[000:05:23;16] WRONG.  
[000:05:23;29] AND THE WORLD SHUNNED  
[000:05:25;20] DISTANT IDOLLY BY.  
[000:05:28;01] >> PRESIDENT OBAMA SPOKE TO  
[000:05:28;26] PRIME MINISTER DAVID  
[000:05:30;07] CAMMERON TODAY.  
[000:05:31;10] ALSO WORTH NOTING BILL  
[000:05:32;20] THAT THE BRITISH PRIME  
[000:05:34;02] MINISTER HAS RECALLED  
[000:05:35;18] PARLIAMENT FROM ITS SUMMER  
[000:05:37;02] RECESS.  
[000:05:37;16] THAT MEETING DUE TO TAKE  
[000:05:38;21] PLACE THURSDAY.  
[000:05:39;16] IF YOU ARE READING THE TEA  
[000:05:41;01] LEAVES ON TIMING, THAT  
[000:05:42;03] COULD ALSO BE SIGNIFICANT,  
[000:05:43;13] BILL.  
[000:05:43;26] >> BUT SYRIA REMAINS  
[000:05:45;24] DEFIANT.  
[000:05:46;08] >> YEAH, THE FOREIGN  
[000:05:47;08] MINISTER SPEAKING OUT TODAY  
[000:05:48;12] SAYING THAT ABSOLUTELY  
[000:05:50;08] WITHOUT QUESTION SYRIA WILL  
[000:05:52;09] DEFEND ITSELF IF ATTACKED.  
[000:05:54;01] LISTEN.  
[000:05:56;10] >> IF ANY AGGRESSION WERE  
[000:05:58;09] TO TAKE PLACE, WE HAVE TWO  
[000:06:01;11] OPTIONS.  
[000:06:01;25] TO SURRENDER OR TO DEFEND  
[000:06:03;19] OURSELVES USING THE OPTIONS  
[000:06:05;20] AVAILABLE.  
[000:06:06;05] USING ALL MEANS AVAILABLE.  
[000:06:07;26] >> IN THE MEANTIME, U.N.  
[000:06:10;22] WEAPONS INSPECTORS ARE  
[000:06:11;19] STILL ON THE GROUND IN  
[000:06:13;13] DAMASCUS, TRYING TO  
[000:06:14;03] INVESTIGATE THAT ALLEGED  
[000:06:14;27] CHEMICAL WEAPONS ATTACK.  
[000:06:16;19] DESPITE DIFFICULTIES THAT  
[000:06:17;12] THEY HAVE FACED, INCLUDING  
[000:06:18;20] A SNIPER ATTACK ON THEIR  
[000:06:21;16] CONVOY.  
[000:06:22;00] YOU CAN SEE THE BULLET  
[000:06:22;21] HOLES IN ONE OF THEIR  
[000:06:23;20] VEHICLES THERE.  
[000:06:25;01] MEANTIME, THE SPOKESMAN FOR  
[000:06:26;24] THE U.N. SECRETARY GENERAL  
[000:06:28;24] SAYS DIPLOMACY IS STILL BY  
[000:06:31;02] FAR THE PREFERRED MEANS OF  
[000:06:32;20] ENDING THIS CRISIS.  
[000:06:33;17] LISTEN.  
[000:06:34;28] >> OUR FOCUS IS AWAY FROM  
[000:06:37;08] ANY MILITARY SOLUTION AND  
[000:06:38;09] TOWARDS A DIPLOMATIC  
[000:06:39;09] SOLUTION AND WE CONTINUE TO  
[000:06:42;15] WORK ON AT ALL AVENUES TO  
[000:06:44;01] TRY TO GET A DIPLOMATIC  
[000:06:45;22] SOLUTION GOING.  
[000:06:48;00] WE REMAIN COMBINED THAT  
[000:06:48;27] THERE HAS ALREADY BEEN FAR  
[000:06:50;11] TOO MUCH BLOOD SHED IN  
[000:06:52;05] SYRIA.  
[000:06:52;18] >> BUT, WITH THE RUSSIANS  
[000:06:53;20] BOUND TO BLOCK ANY UNITED  
[000:06:56;19] NATIONS SECURITY COUNCIL  
[000:06:58;01] RESOLUTION, IT APPEARS  
[000:06:59;01] BILL, THAT THE U.S. HAS  
[000:06:59;29] ALREADY MADE THE DECISION  
[000:07:01;10] TO GO AHEAD WITH ANY  
[000:07:03;10] MILITARY OPTION UNDER THE  
[000:07:05;09] AUSPICES OF NATO, RATHER  
[000:07:06;18] THAN THE U.N., BILL.  
[000:07:08;13] >> Bill: WE WILL LIKELY  
[000:07:09;07] FIND OUT VERY SOON.  
[000:07:10;10] THANK YOU JONATHAN HUNT  
[000:07:11;09] FROM OUR NEW YORK NEWSROOM  
[000:07:12;13] TONIGHT.  
[000:07:12;27] THE WHITE HOUSE SAYS IT'S  
[000:07:13;20] CONSULTING WITH CONGRESS  
[000:07:14;12] ABOUT HOW TO RESPOND TO  
[000:07:15;25] DAMASCUS.  
[000:07:16;13] BUT, SOME LAWMAKERS FROM  
[000:07:17;27] BOTH PARTIES CLAIM THAT IS  
[000:07:19;00] NOT ENOUGH.  
[000:07:19;28] THEY SAY CONGRESS HAS TO  
[000:07:21;27] APPROVE ANY MILITARY  
[000:07:23;16] ACTION.  
[000:07:24;00] WE'LL GO LIVE TO THE WHITE  
[000:07:24;23] HOUSE IN A MOMENT HERE  
[000:07:25;14] INSIDE OUR FOX REPORT  
[000:07:26;19] TONIGHT.  
[000:07:27;17] IN THE MEANTIME THERE WERE  
[000:07:30;19] TEARS AND A LOT OF THEM  
[000:07:31;17] TODAY IN A COURTROOM NEAR  
[000:07:34;01] ATLANTA.  
[000:07:34;15] A MOTHER DESCRIBING THE  
[000:07:35;07] MOMENT SHE SAYS A TEENAGER  
[000:07:36;21] SHOT HER BABY DEAD.  
[000:07:38;14] THAT MOTHER BROKE DOWN  
[000:07:39;27] SAYING THE SUSPECT DEMANDED  
[000:07:41;01] MONEY WHEN SHE TOLD HIM SHE  
[000:07:42;04] DID NOT HAVE ANY MONEY.  
[000:07:43;08] SHE SAYS THE TEEN'S  
[000:07:45;16] ATTENTION TURNED IT TO HER  
[000:07:46;16] BABY, SOUND ASLEEP IN A  
[000:07:48;00] STROLLER.  
[000:07:49;00] >> HE ASKED ME IF I WANTED  
[000:07:52;14] HIM TO SHOOT MY BABY I SAID  
[000:08:03;03] PLEASE DON'T SHOOT MY BABY.  
[000:08:04;15] HE SHOT A WARNING SHOT TO  
[000:08:07;04] THE GROUND.  
[000:08:08;05] I ASKED HIM WHY ARE YOU  
[000:08:09;07] DOING THIS?  
[000:08:10;01] PLEASE DON'T DO THIS.  
[000:08:20;15] IT FELT LIKE HE SHOT ME IN  
[000:08:22;07] THE EAR.  
[000:08:22;23] >> WHAT HAPPENED NEXT?  
[000:08:24;00] >> THEN HE SHOT ME IN THE  
[000:08:25;08] LEG.  
[000:08:26;11] >> WHAT HAPPENED AFTER  
[000:08:29;06] THAT?  
[000:08:31;17] >> HE WALKED OVER AND SHOT  
[000:08:33;01] MY BABY.  
[000:08:43;06] >> HE SHOT YOUR BABY?  
[000:08:44;21] >> YES.  
[000:08:45;05] I TRIED TO STOP HIM I PUT  
[000:08:49;17] MY ARMS OVER MY BABY BUT HE  
[000:08:51;00] STILL SHOT HIM.  
[000:08:52;17] >> PROSECUTORS ALSO SHOWING  
[000:08:53;17] A VIDEO OF THE MOTHER  
[000:08:54;25] RECREATING THAT SHOOTING.  
[000:08:55;21] THIS WAS JUST HOURS AFTER  
[000:08:56;29] THE BABY'S MURDER.  
[000:08:58;19] THE MOTHER LIMPED AROUND  
[000:08:59;25] THE CRIME SCENE, A BULLET  
[000:09:01;16] STILL INSIDE OF HER LEG.  
[000:09:02;18] STILL TONIGHT, DEFENSE  
[000:09:05;15] ATTORNEYS ARE  
[000:09:06;06] CROSS-EXAMINING THE MOTHER  
[000:09:06;29] AND RIGHT AWAY THEY ARE  
[000:09:08;27] TARGETING HER CREDIBILITY.  
[000:09:10;03] JOHN ROBERTS IS LIVE AT THE  
[000:09:11;05] COURTHOUSE IN MARIETTA,  
[000:09:12;12] GEORGIA FOR US THIS  
[000:09:14;04] EVENING.  
[000:09:14;18] JOHN?  
[000:09:15;01] >> BILL, GOOD EVENING TO  
[000:09:15;23] YOU.  
[000:09:16;05] THE DEFENSE IS TAKING AIM  
[000:09:16;28] AT EVERYTHING IT CAN AFTER  
[000:09:19;00] WEST'S DRAMATIC TESTIMONY  
[000:09:19;23] IN THE COURTROOM EARLIER  
[000:09:21;09] TODAY.  
[000:09:21;22] TRYING TO, AS IT WERE,  
[000:09:22;20] IMPEACH THE WITNESS,  
[000:09:23;19] CALLING IN TO QUESTION HER  
[000:09:25;13] RECOLLECTION OF THE  
[000:09:26;13] SHOOTING, QUESTIONING WHAT  
[000:09:27;06] THE DEFENSE CALLS BIZARRE  
[000:09:28;15] STATEMENTS SHE MADE TO THE  
[000:09:29;27] POLICE IN THE AFTERMATH. 
[000:09:31;07] EVEN SUGGESTING THAT SHE OR  
[000:09:32;09] THE CHILD'S FATHER, LUIS  
[000:09:35;17] SANTIAGO MAY HAVE HAD SOME  
[000:09:37;05] INVOLVEMENT IN THE CHILD'S  
[000:09:38;08] DEATH.  
[000:09:38;21] AT ONE POINT PUBLIC  
[000:09:40;02] DEFENDER KEVIN GOFF BROUGHT  
[000:09:41;04] UP WEST'S HISTORY OF MENTAL  
[000:09:43;01] ILLNESS.  
[000:09:44;08] >> ONE THE MENTAL ILLNESSES  
[000:09:46;05] FROM WHICH YOU SUFFER IS  
[000:09:48;08] WHAT'S KNOWN AS BIPOLAR  
[000:09:49;19] DISORDER OR MANIC  
[000:09:51;07] DEPRESSION?  
[000:09:51;26] >> BIPOLAR ANOTHER IS MOST  
[000:09:59;08] TRAUMATIC STRESS DISORDER.  
[000:10:00;01] >> YES.  
[000:10:00;15] >> ANOTHER IS BORDER LINE  
[000:10:02;29] TRAUMATIC DISORDER.  
[000:10:03;19] >> YES.  
[000:10:04;03] >> ANOTHER IS PARANOIA?  
[000:10:05;03] >> YES.  
[000:10:10;10] AS THE JURY WATCHED THAT  
[000:10:14;16] REENACTMENT.  
[000:10:15;02] ALSO QUESTIONED WHETHER SHE  
[000:10:15;26] HAD A FINANCIAL INTEREST  
[000:10:16;18] THE IN DEFENDANT HER BABY  
[000:10:17;11] BECAUSE SHE HAD TAKEN OUT A  
[000:10:19;06] $5,000 INSURANCE POLICY IN  
[000:10:19;29] HIS LIFE.  
[000:10:20;18] MOMENTS AGO IN THE  
[000:10:21;19] COURTROOM GUFF SUGGESTED  
[000:10:22;21] THAT WEST WAS SUCH A BAD  
[000:10:24;03] MOTHER THAT THE MURDER OF  
[000:10:25;04] HER CHILD MAY HAVE BEEN  
[000:10:28;17] QUOTE MERCIFUL.  
[000:10:29;11] THE DEFENSE IS WALKING A  
[000:10:30;15] VERY FINE LINE HERE BETWEEN  
[000:10:32;02] TOUGH CROSS-EXAMINATION OF  
[000:10:33;02] A MOTHER WHO HAD LOST HER  
[000:10:33;27] BABY IN A MURDER AND NOT  
[000:10:36;17] LOSING THE JURY ALL  
[000:10:37;19] TOGETHER.  
[000:10:39;10] BILL?  
[000:10:39;23] >> Bill: JOHN ROBERTS IN  
[000:10:40;23] MARIETTA.  
[000:10:41;08] JON, THE SAME JURY WILL  
[000:10:42;07] ALSO DECIDE THE GUILT OR  
[000:10:43;13] INNOCENCE OF THE TEENAGE  
[000:10:44;29] SUSPECT'S MOTHER.  
[000:10:45;26] PROSECUTORS SAY SHE HELPED  
[000:10:46;23] HER SON GET RID OF THE GUN  
[000:10:48;15] IN A NEARBY LAKE IN  
[000:10:49;26] GEORGIA.  
[000:10:52;02] WHEN THE FORT HOOD SHOOTER  
[000:10:53;09] CARRIED OUT HIS MASSACRE,  
[000:10:54;17] HE LEFT BODIES BEHIND AND  
[000:10:56;10] FAMILIES BROKEN FOREVER.  
[000:10:57;19] TODAY, WE HEARD HEART  
[000:10:58;23] BREAKING WORDS FROM SOME OF  
[000:10:59;22] THOSE WHO LOST LOVED ONES.  
[000:11:01;17] PLUS, THE CONVICTED KILLER  
[000:11:03;03] REFUSING TO FIGHT FOR HIS  
[000:11:04;06] OWN LIFE.  
[000:11:06;03] AHEAD, NIDAL HASAN'S  
[000:11:07;04] COMMENTS TODAY IN COURT.  
[000:11:09;04] ALSO, LATE TONIGHT, THE  
[000:11:09;26] WHITE HOUSE SAYS HELP IS ON  
[000:11:10;26] THE WAY FOR THIS AMERICAN,  
[000:11:13;00] A PRISONER IN NORTH  
[000:11:14;20] CAROLINA, ONLY WEEKS AFTER  
[000:11:16;02] HIS FAMILY WARNED HIS  
[000:11:17;29] FADING HEALTH MADE IT  
[000:11:18;29] URGENT TO GET HIM BACK  
[000:11:20;12] HOME.  
[000:11:22;00] TONIGHT, THE PLAN AIMED AT  
[000:11:23;04] SAVING HIS LIFE COMING UP  
[000:11:24;10] TONIGHT INSIDE "THE FOX  
[000:11:25;10] REPORT."
[000:11:28;20] or more on car insurance.
[000:11:30;02] Yep, everybody knows that.
[000:11:31;28] Well, did you know some owls  AREN'T
[000:11:32;19] that wise?
[000:11:37;12] Don't forget I'm having  brunch with
[000:11:38;04] Meghan tomorrow.
[000:11:40;25] Who?
[000:11:43;15] Meghan, my coworker.
[000:11:44;16] Who?
[000:11:46;28] Seriously? You've met her  like three
[000:11:47;20] times.
[000:11:48;06] Who?
[000:11:50;22] (sighs)
[000:11:52;02] GEICO.
[000:11:52;27] Fifteen minutes could save    you...well,
[000:11:53;22] you know.    
[000:11:56;24] We've completely  redone the house.
[000:11:57;19] It's hard to find contractors  with
[000:11:58;09] the passion and the skill
[000:11:59;10] and that's why we  use Angie's List.
[000:12:02;00] Online or on the phone, we help  you
[000:12:02;22] hire right the first time
[000:12:04;06] with honest reviews on  over 720 local
[000:12:04;26] services.
[000:12:07;20] I want it done right. I don't  want
[000:12:08;09] to have to worry about it
[000:12:11;18] or have to come back and redo  it.
[000:12:12;07] With Angie's List, I was
[000:12:14;04] able to turn my home into  the home
[000:12:14;25] of my dreams.
[000:12:17;10] For over 18 years, we've  helped people
[000:12:18;03] take
[000:12:20;00] care of the things  that matter most.
[000:12:22;16] Join today.
[000:12:26;12] THE Kyocera Torque  LETS YOU HEAR
[000:12:27;02] AND BE HEARD  EVEN IN STUPID LOUD
[000:12:28;07] PLACES.  TO PROVE IT, WE SET UP  OUR
[000:12:29;18] CALL CENTER RIGHT HERE...  [ chirp
[000:12:33;01] ]  ALL GOOD?  [ chirp ]  GETTY UP.
[000:12:40;24] CALL ME.  SERIOUSLY,  THIS IS REALLY
[000:12:41;24] HAPPENING!  [ cellphone rings ]  HELLO?
[000:12:47;07] IT'S A GIANT HELICOPTER MA'AM.   
[000:12:48;21] [ Male Announcer ] GET IT DONE  [
[000:12:49;09] chirp ]    WITH THE ULTRA-RUGGED 
[000:12:50;10] Kyocera Torque    ONLY FROM Sprint
[000:12:51;14] Direct Connect.  TRBLE HEARING ON
[000:12:52;03] THE PHONE?    BUY ONE GET FOUR FREE
[000:12:53;08] FOR YOUR BUSINESS.  VISIT SPNTCAPTEL.COM
[000:13:56;18] IF YOU'RE LOOKING FOR HELP  RELIEVING
[000:13:57;10] HEARTBURN,  CAUSED BY ACID REFLUX
[000:13:58;02] DISEASE,
[000:13:59;09] RELIEF IS AT HAND.
[000:14:01;07] FOR MANY, NEXIUM PROVIDES  24-HOUR
[000:14:01;28] HEARTBURN RELIEF
[000:14:02;29] AND MAY BE  AVAILABLE  FOR JUST  $18
[000:14:03;27] A MONTH.
[000:14:06;04] THERE IS RISK OF BONE FRACTURE  AND
[000:14:06;25] LOW MAGNESIUM LEVELS.
[000:14:08;27] SIDE EFFECTS MAY INCLUDE
[000:14:11;24] HEADACHE, ABDOMINAL  PAIN, AND DIARRHEA.
[000:14:12;28] IF YOU HAVE PERSISTENT DIARRHEA, 
[000:14:13;16] CONTACT YOUR DOCTOR RIGHT AWAY.
[000:14:14;23] OTHER SERIOUS STOMACH  CONDITIONS
[000:14:15;13] MAY EXIST.
[000:14:17;18] DON'T TAKE NEXIUM IF  YOU TAKE CLOPIDOGREL.
[000:14:19;14] RELIEF IS AT  HAND FOR JUST  $18 A
[000:14:20;08] MONTH.
[000:14:21;14] TALK TO  YOUR DOCTOR  ABOUT NEXIUM.
[000:14:32;22] >> Bill: LATE WORD TONIGHT  
[000:14:34;18] THE UNITED STATES WILL SEND  
[000:14:35;12] A REPRESENTATIVE TO NORTH  
[000:14:36;05] CAROLINA THIS WEEK ASKING  
[000:14:36;28] ASKING -- NORTH KOREA  
[000:14:37;19] ASKING FOR RELEASE OF A  
[000:14:40;24] FRICHER THERE.  
[000:14:42;01] STATE ENVOY WILL REQUEST  
[000:14:44;20] RELEASE OF A CHRISTIAN  
[000:14:46;01] MISSIONARY SERVING A 15  
[000:14:46;23] YEAR SENTENCE OF HARD  
[000:14:48;04] LABOR.  
[000:14:48;17] HIS FAMILY RECENTLY SAID  
[000:14:49;19] THE NORTH KOREANS HAD  
[000:14:50;25] TRANSFERRED HIM FROM A  
[000:14:51;24] LABOR CAMP TO IT A HOSPITAL  
[000:14:52;24] THAT HE HAD LOST 50 POUNDS  
[000:14:54;07] AND THAT HIS HEALTH WAS  
[000:14:56;02] FAILING.  
[000:14:56;16] LAST YEAR NORTH KOREAN  
[000:14:57;20] OFFICIALS ACCUSED THE TOUR  
[000:14:58;24] GUIDE OF COMMITTING HOSTILE  
[000:15:00;11] ACTS AGAINST THAT COUNTRY.  
[000:15:02;08] WELL THIS WEEK'S VISIT WILL  
[000:15:03;09] BE THE FIRST TIME A SENIOR  
[000:15:04;25] ADMINISTRATION OFFICIAL HAS  
[000:15:06;09] TRAVELED TO NORTH KOREA NOW  
[000:15:08;03] IN TWO YEARS' TIME.  
[000:15:10;02] CLOSER TO HOME NOW, THE  
[000:15:11;19] CONVICTED FORT HOOD SHOOTER  
[000:15:12;13] IS TREATING HIS SENTENCING  
[000:15:13;15] JUST LIKE HIS TRIAL.  
[000:15:15;17] NIDAL HASAN BEGINS AND ENDS  
