[000:00:03;420] FOR WATCHING TONIGHT.
[000:05:18;634] >> Reporter: SOON THE SUN WAS
[000:05:19;802] OUT AND BELONGINGS MOVED OUT OF
[000:05:20;603] DAMAGED BUILDINGS, FIREFIGHTERS
[000:05:21;371] LENDING A HAND.
[000:05:22;405] TONIGHT KENTUCKY AND TENNESSEE,
[000:05:23;473] A LARGE PART OF THE MID ATLANTIC
[000:05:24;540] AS WELL ARE EXPECTING STRONG
[000:05:25;274] THUNDERSTORMS.
[000:05:27;210] THIS YEAR'S TORNADO SEASON
[000:05:29;312] STARTED LATE BUT IT HAS BEEN A
[000:05:30;913] MONTH TO REMEMBER, THE
[000:05:31;981] DEVASTATION AND DEATH IN MOORE,
[000:05:34;617] OKLAHOMA AND JUST 11 DAYS LATER,
[000:05:38;788] THE WIDEST PATH OF DESTRUCTION
[000:05:40;456] ON RECORD.
[000:05:40;990] >> THOSE ARE SUCTION BORDERS
[000:05:41;758] GOING AROUND THE EDGE.
[000:05:43;092] >> Reporter: FROM THE EL RENO
[000:05:44;160] TORNADO MORE THAN TWO AND A HALF
[000:05:44;927] MILES AT ITS WIDEST SPOT.
[000:05:46;329] >> OH, MY GOD, THAT IS HUGE.
[000:05:52;268] >> Reporter: IT WAS AND THIS IS
[000:05:53;536] FAR FROM THE END OF TORNADO
[000:05:54;303] SEASON.
[000:05:56;205] DAVID KERLEY, ABC NEWS,
[000:05:56;906] WASHINGTON.
[000:05:58;341] >>> NOW WE TURN TO THAT HIGH
[000:05:59;075] PROFILE MURDER TRIAL.
[000:06:00;443] GEORGE ZIMMERMAN ACCUSED OF
[000:06:01;544] MURDERING TRAYVON MARTIN.
[000:06:04;180] TODAY IT BEGAN WITH LAWYERS
[000:06:05;214] PROBING THE SECRET FEELINGS OF
[000:06:06;849] PROSPECTIVE JURORS ABOUT RACE,
[000:06:08;985] BIAS AND CRIME.
[000:06:11;587] MATT GUTMAN WHO BROKE A LOT OF
[000:06:13;723] NEWS ON THIS CASE FROM THE START
[000:06:14;791] WAS BACK IN THE COURTROOM TODAY.
[000:06:17;427] >> Reporter: TODAY 16 MONTHS
[000:06:19;562] AFTER A SINGLE GUNSHOT IN THE
[000:06:21;164] TINY COMMUNITY TRIGGERED A
[000:06:21;831] NATIONAL DEBATE ABOUT RACE,
[000:06:23;299] PROSPECTIVE JURORS IN THE GEORGE
[000:06:24;901] ZIMMERMAN MURDER TRIAL WERE
[000:06:25;935] ASKED THE FUNDAMENTAL QUESTION.
[000:06:28;638] >> IS THERE ANY QUESTION IN YOUR
[000:06:29;672] MIND YOU CAN BE FAIR?
[000:06:30;306] >> NO QUESTION.
[000:06:33;943] >> ZIMMERMAN, A WHITE HISPANIC
[000:06:35;011] WATCHMAN SHOT 17-YEAR-OLD
[000:06:37;647] TRAYVON MARTIN IN 2012.
[000:06:41;384] FOR WEEKS NATIONAL PROTESTS AND
[000:06:46;889] A WAVE OF HIGH SCHOOL WALKOUTS
[000:06:49;358] GRIPPED THE NATION, EVEN
[000:06:50;593] GRABBING THE ATTENTION OF THE
[000:06:51;327] PRESIDENT.
[000:06:52;261] >> IF I HAD A SON HE WOULD LOOK
[000:06:53;296] LIKE TRAYVON.
[000:06:54;363] >> THIS MORNING THE FIRST 100
[000:06:55;064] MARCHED THROUGH THE DOORS
[000:06:55;932] FILLING OUT A QUESTIONNAIRE
[000:06:56;632] SPECIFICALLY DESIGNED FOR THIS
[000:06:57;400] CASE.
[000:06:58;601] >> THE BOTTOM LINE IS YOU'RE
[000:07:00;169] LIKE A BLANK SLATE.
[000:07:01;237] >> Reporter: LAWYERS IN COURT
[000:07:02;305] TRYING TO WEED OUT JURORS WHO
[000:07:03;906] ALREADY MADE UP THEIR MINDS,
[000:07:05;541] TALKING WITH FRIENDS AND FAMILY.
[000:07:07;643] >> WHAT SIGNS DO THEY TAKE?
[000:07:10;313] >> THE CHILD, OF COURSE HE WAS A
[000:07:11;080] CHILD.
[000:07:12;982] >> LAWYERS GRAPPLING WITH THE
[000:07:15;651] THORNY ISSUE OF RACIAL BIAS IN
[000:07:16;419] THE JURY POOL.
[000:07:21;791] >> WHAT LETS THE PROSECUTION OR
[000:07:25;461] THE DEFENSE KNOW THAT SOMEONE IS
[000:07:27;997] BIASSED?
[000:07:29;699] >> THEY MAY BE SUBTLE BUT
[000:07:30;399] CERTAINLY ONE OF THE SIGNS IS
[000:07:31;300] WHAT ORGANIZATIONS DO YOU BELONG
[000:07:32;068] TO AND ARE THOSE ORGANIZATIONS
[000:07:32;935] ORGANIZATIONS THAT IN THE PAST
[000:07:33;703] HAVE EXCLUDED MINORITIES.
[000:07:35;004] >> LAST YEAR'S TENSION REMAINS
[000:07:37;106] HIGH AS IS THE THREAT FOR BOTH
[000:07:38;174] FAMILIES TANGLED UP IN THE
[000:07:38;875] SHOOTING.
[000:07:41;344] THE MARTIN'S.
[000:07:42;445] >> PEOPLE TALK ABOUT YOUR KIDS
[000:07:44;547] AND FAMILY MEMBERS BY NAME?
[000:07:45;281] >> YES.
[000:07:47;216] >> AND THE ZIMMERMANS.
[000:07:49;352] >> WE HAVE DEATH THREATS
[000:07:50;920] DIRECTED AT US FOR BEING
[000:07:51;621] GEORGE'S FAMILY.
[000:07:53;055] >> Reporter: IN COURT JURY
[000:07:55;191] SELECTION BRINGING BROAD TEDIUM,
[000:07:56;792] LEVITY AND ULTIMATELY IN A FEW
[000:07:58;427] WEEKS, SIX JURORS WHO WILL
[000:07:59;996] DECIDE ZIMMERMAN'S FATE.
[000:08:02;665] MATT GUTMAN, FLORIDA.
[000:08:06;369] >>> UP NEXT AN UPDATE ON THE
[000:08:07;436] SHOOTING IN CALIFORNIA.
[000:08:09;038] WE'RE LEARNING MORE ABOUT THE
[000:08:10;072] MAN POLICE SUSPECT OF KILLING
[000:08:11;107] FIVE PEOPLE.
[000:08:13;776] 23-YEAR-OLD JOHN ZAWAHRI.
[000:08:15;912] THAT'S HIS HIGH SCHOOL YEAR BOOK
[000:08:18;047] PHOTO AND HERE IN SURVEILLANCE
[000:08:19;615] PHOTOS, DRESSED IN BLACK
[000:08:21;217] CARRYING A SEMIAUTOMATIC RIFLE
[000:08:23;352] AS HE WALKED INTO THE LIBRARY AT
[000:08:24;120] SANTA MONICA COLLEGE.
[000:08:25;488] THE LOS ANGELES TIMES SAYS HE
[000:08:28;090] HAD MENTAL PROBLEMS BUT ABC NEWS
[000:08:30;226] LEARNED INVESTIGATORS DO NOT
[000:08:31;861] BELIEVE HE WAS ON RECORD WITH A
[000:08:34;497] CLINICAL DIAGNOSIS, SOMETHING
[000:08:35;565] THAT MIGHT HAVE PREVENTED HIM
[000:08:37;166] FROM BUYING A FIREARM.
[000:08:39;835] >>> WE HEAD OVERSEAS NEXT TO
[000:08:45;675] SOUTH AFRICA WHERE NELSON
[000:08:46;742] MANDELLA IS SPENDING HIS THIRD
[000:08:47;510] DAY IN THE HOSPITAL BATTLING A
[000:08:48;377] RECURRENT LUNG INFECTION, THE
[000:08:49;412] 94-YEAR-OLD SAID TO BE IN
[000:08:50;980] SERIOUS BUT STABLE CONDITION.
[000:08:52;582] TODAY HIS EX-WIFE, WINNIE, CAME
[000:08:54;183] TO SEE HIM.
[000:08:55;785] TONIGHT THE PRESIDENT OF SOUTH
[000:08:57;353] AFRICA CALLING ON HIS COUNTRYMEN
[000:09:01;791] PRAY FOR NELSON MANDELLA'S
[000:09:02;525] RECOVERY.
[000:09:03;492] >>> IN LONDON PRINCE PHILIP
[000:09:05;027] CELEBRATED HIS 92nd BIRTHDAY
[000:09:07;163] FROM HIS HOSPITAL BED RECOVERING
[000:09:08;231] FROM EXPLORATORY SURGERY ON HIS
[000:09:09;265] ABDOMEN.
[000:09:14;036] HIS BIRTHDAY GIFT, A 25-MINUTE
[000:09:20;009] VISIT FROM THE QUEEN WHO ARRIVED
[000:09:22;345] HOLDING A BIRTHDAY CARD
[000:09:23;012] ADDRESSED TO HIM.
[000:09:24;747] >>> WE HAVE A HEADLINE TONIGHT
[000:09:26;349] FOR ANYONE WITH A SMART PHONE.
[000:09:27;416] WE TOLD YOU ABOUT THE HUGE SPIKE
[000:09:28;484] IN CRIME CAUSED BY THIEVES
[000:09:29;185] STEALING iPHONES.
[000:09:31;687] LAST YEAR 1.6 MILLION AMERICANS
[000:09:32;455] HAD THEIR SMART PHONES STOLEN.
[000:09:33;789] POLICE PUSHED PHONE COMPANIES TO
[000:09:35;424] COME UP WITH A WAY TO DETER
[000:09:36;125] THEFT.
[000:09:36;993] TODAY APPLE REVEALED A NEW IDEA.
[000:09:39;128] ABC'S GIO BENITEZ ON WHAT THEY
[000:09:40;162] ANNOUNCED.
[000:09:43;933] >> Reporter: TONIGHT APPLE MAY
[000:09:44;934] BE TAKING A PAGE FROM MISSION
[000:09:45;668] IMPOSSIBLE.
[000:09:47;603] >> THIS TAPE WILL SELF-DESTRUCT
[000:09:48;371] IN FIVE SECONDS.
[000:09:53;576] >> Reporter: DEVICES SET TO
[000:09:55;611] SELF-DESTRUCT?
[000:09:56;879] PERHAPS NOT PHYSICALLY BUT AT
[000:09:58;881] THE COMPANY'S BIG UNVEILING THIS
[000:10:01;183] AFTERNOON, A SOLUTION THAT LAW
[000:10:02;318] ENFORCEMENT HAS BEEN BEGGING
[000:10:02;985] FOR, A SO CALLED KILL SWITCH
[000:10:03;886] THAT COULD TURN A STOLEN iPHONE
[000:10:08;090] INTO A USELESS BOX, IT COULD BE
[000:10:09;892] THE STRONGEST WEAPON YET TO
[000:10:12;028] COMBAT THE RECENT WAVE OF iPHONE
[000:10:13;095] THEFTS.
[000:10:22;238] THEFTS HAVE BECOME SUCH A
[000:10:24;307] PROBLEM, THERE'S EVEN A TERM FOR
[000:10:25;941] IT, APPLE PICKING, A 40%
[000:10:27;943] INCREASE IN
[000:10:30;046] THEFTS JUST LAST YEAR.
[000:10:30;680] LOOK AT THIS DRAMATIC
[000:10:31;614] SURVEILLANCE VIDEO FROM A NEW
[000:10:32;348] YORK SUBWAY IN MARCH.
[000:10:32;982] POLICE SAY THIS MAN TURNED TO
[000:10:33;816] VIOLENCE JUST TO STEAL A CELL
[000:10:34;550] PHONE.
[000:10:35;384] THIS WOMAN KNOCKED OVER AND
[000:10:36;085] PUNCHED SPEAKING TO LINSEY
[000:10:36;919] DAVIS.
[000:10:37;520] >> THE GUY SNATCHED THE PHONE
[000:10:38;554] OUT OF MY HAND AND KEPT RUNNING.
[000:10:39;588] >> Reporter: IT WORKS WITH THE
[000:10:40;656] PHONE'S CURRENT SOFTWARE CALLED
[000:10:41;724] FIND MY iPHONE WHICH HELPS YOU
[000:10:42;458] TRACK A LOST PHONE.
[000:10:45;961] >> NOW WITH ACTIVATION LOCK, IF
[000:10:49;699] A THIEF TRIES TO TURN OFF FIND
[000:10:52;401] MY iPHONE OR IF THEY EVEN WIPE
[000:10:54;937] THE DEVICE ENTIRELY, THEY WILL
[000:10:57;006] NOT BE ABLE TO REACTIVATE IT.
[000:11:00;242] >> THE GOVERNMENT HAS BEEN
[000:11:00;976] CALLING ON TECH COMPANIES TO
[000:11:01;744] ADDRESS THE ISSUE OF SMART
[000:11:02;445] PHONES THEFT.
[000:11:02;978] THE IDEA THAT, SURE YOU CAN
[000:11:03;713] TRACK YOUR PHONE BUT WHEN
[000:11:04;380] SOMEONE STEALS THE PHONE THE
[000:11:05;581] ROBBER OR THIEF CAN START USING
[000:11:06;349] IT.
[000:11:07;750] APPLE HAS COME UP WITH A FEATURE
[000:11:08;818] THAT WON'T ALLOW THAT TO HAPPEN.
[000:11:10;953] >> Reporter: NOW ALL EYES ARE ON
[000:11:12;488] OTHER CELL PHONE MAKERS TO SEE
[000:11:14;123] IF THEY FOLLOW APPLE'S LEAD.
[000:11:15;658] GIO BENITEZ, ABC NEWS, NEW YORK.
[000:11:20;463] >>> AMERICA'S CREDIT RATING
[000:11:22;031] BATTLING BACK TONIGHT.
[000:11:23;632] REMEMBER THE U.S. WAS STRIPPED
[000:11:25;234] OF ITS AAA RATING BY STANDARD
[000:11:26;836] AND POOR NEARLY TWO YEARS AGO
[000:11:30;840] IN THE HEAT OF THE BATTLE OVER
[000:11:31;741] THE DEBT CEILING.
[000:11:33;743] TODAY STANDARD AND POOR RAISED
[000:11:35;344] THE OUTLOOK FROM NEGATIVE TO
[000:11:40;116] STABLE.
[000:11:40;549] S&P CITING SMALLER DEFICITS AND
[000:11:41;884] BETTER COOPERATION IN
[000:11:42;518] WASHINGTON.
[000:11:43;886] >>> THE ECONOMY IS ABOUT TO GET
[000:11:45;454] A BIG BOOST, THE AUTO INDUSTRY
[000:11:49;625] REV BE UP FOR A LOT OF NEW HIRE,
[000:11:52;461] CAR MAKERS IN DETROIT LOOKING
[000:11:54;830] FOR ENGINEERS, TECHNICIANS AND
[000:11:55;965] FACTORY WORKERS.
[000:11:57;967] 35,000 WORKERS EXPECTED TO JOIN
[000:11:59;568] THE INDUSTRY THIS YEAR AS AUTO
[000:12:01;170] SALES ARE EXPECTED TO SOAR IN
[000:12:02;204] 2013 UP TO MORE THAN 15 MILLION
[000:12:03;806] VEHICLES WHICH WOULD BE THE
[000:12:04;874] HIGHEST IN SIX YEARS.
[000:12:07;576] >>> STILL AHEAD HERE ON "WORLD
[000:12:11;814] NEWS," AN AMERICAN SECRET SO
[000:12:13;382] MANY COUPLES SLEEP APART TO GET
[000:12:15;484] A GOOD NIGHT'S REST.
[000:12:16;118] IS IT REALLY YOUR SPOUSE'S
[000:12:16;819] FAULT?
[000:12:18;687] OUR EXPERIMENT EXPLORES HOW TO
[000:12:19;755] SLEEP IN PEACE.
[000:12:22;425] >>> LATER AN URGENT EFFORT TO
[000:12:28;197] SAVE CHEETAHS, CRANES, PANDAS
[000:12:30;666] AND LEOPARDS FROM
[000:12:31;867] EXTINCTION.
[000:12:32;368] YOU'LL NEVER GUESS WHERE THIS IS
[000:12:33;135] HAPPENING TONIGHT.
[000:12:39;975] EXTINCTION.
[000:12:40;576] YOU'LL NEVER GUESS WHERE THIS IS
[000:12:41;444] HAPPENING TONIGHT.
[000:12:44;213] HE'S AGREED TO GIVE IT UP.
[000:12:45;181] THAT'S TODAY?
[000:12:46;515] [ Male Announcer ]
[000:12:46;515] WE'LL BE WITH HIM ALL DAY
[000:12:47;616] AS HE GOES BACK
[000:12:47;616] TO TAKING TYLENOL.
[000:12:49;318] I WAS OKAY, BUT AFTER LUNCH
[000:12:49;318] MY KNEE STARTED TO HURT AGAIN.
[000:12:52;288] AND NOW I'VE GOT TO
[000:12:52;288] TAKE MORE PILLS.
[000:12:54;490] ♪
[000:12:56;492] YUP. ANOTHER PILL STOP.
[000:12:58;828] CAN I GET MY Aleve BACK YET?
[000:13:00;496] ♪
[000:13:02;631] FOR MY PAIN, I WANT MY Aleve.
[000:13:04;834] ♪
[000:13:06;469] [ Male Announcer ] LOOK FOR THE
[000:13:06;469] EASY-OPEN RED ARTHRITIS CAP.
[000:13:11;040] MOMMY'S HAVING
[000:13:11;040] A FRENCH FRY.
[000:13:12;408] YES SHE IS, YES SHE IS.
[000:13:14;310] [ bop ]
[000:13:17;480] [ Male Announcer ]
[000:13:17;480] COULD'VE HAD A V8.
[000:13:18;781] 100% VEGETABLE JUICE,
[000:13:20;516] WITH THREE OF YOUR DAILY
[000:13:20;516] VEGETABLE SERVINGS
[000:13:22;284] IN EVERY LITTLE BOTTLE.
[000:13:26;622] [ girl ] THERE ARE MAN-EATING
[000:13:26;622] SHARKS IN EVERY OCEAN...
[000:13:31;594] BUT WE STILL SWIM.
[000:13:34;864] EVERY SECOND,
[000:13:34;864] SOMEWHERE IN THE WORLD,
[000:13:38;534] LIGHTNING STRIKES...
[000:13:41;337] BUT WE STILL PLAY IN THE RAIN.
[000:13:44;573] POISONOUS SNAKES CAN BE FOUND
[000:13:44;573] IN 49 OF THE 50 STATES,
[000:13:49;712] BUT WE STILL GO LOOKING
[000:13:49;712] FOR ADVENTURE.
[000:13:53;115] A CAR CAN CRASH...
[000:13:55;484] A HOUSE CAN CRUMBLE...
[000:13:57;553] BUT WE STILL DRIVE...
[000:13:59;755] AND LOVE COMING HOME.
[000:14:03;092] BECAUSE I THINK DEEP DOWN
[000:14:03;092] WE KNOW...
[000:14:05;895] ALL THE BAD THINGS
[000:14:05;895] THAT CAN HAPPEN IN LIFE...
[000:14:08;397] THEY CAN'T STOP US
[000:14:08;397] FROM MAKING OUR LIVES...
[000:14:12;501] GOOD.
[000:14:14;937] ♪
[000:14:19;475] ♪
[000:14:26;282] THEY'RE ABOUT 10 TIMES SOFTER
[000:14:27;716] AND MAY HAVE SURFACE PORES
[000:14:27;716] WHERE BACTERIA CAN MULTIPLY.
[000:14:30;019] POLIDENT KILLS 99.99%
[000:14:30;019] OF ODOR CAUSING BACTERIA
[000:14:33;923] AND HELPS DISSOLVE STAINS
[000:14:35;558] SO DENTURES ARE CLEANER,
[000:14:35;558] FRESHER, AND BRIGHTER.
[000:14:37;526] [ Male Announcer ] POLIDENT.
[000:14:39;428] SO DENTURES ARE CLEANER,
[000:14:39;428] FRESHER, AND BRIGHTER.
[000:14:41;964] THE BLISTERS WERE OOZING,
[000:14:41;964] AND PAINFUL TO TOUCH.
[000:14:41;964] I WOKE UP TO A BLISTERING
[000:14:41;964] ON MY SHOULDER.
[000:14:44;900] I SPENT 23 YEARS AS A
[000:14:44;900] DEPUTY UNITED STATES MARSHAL
[000:14:47;870] AND I'VE BEEN PRETTY
[000:14:47;870] WELL BANGED UP
[000:14:49;238] BUT THE WORST PAIN
[000:14:49;238] I'VE EXPERIENCED
[000:14:50;873] WAS WHEN I HAD SHINGLES.
[000:14:52;007] WHEN I WENT TO THE CLINIC,
[000:14:52;007] THE NURSE TOLD ME
[000:14:53;776] THAT IT WAS A RESULT OF
[000:14:53;776] HAVING HAD CHICKENPOX.
[000:15:04;053] I WOULDN'T WISH IT
[000:15:04;053] ON MY WORST ENEMY.
