[000:00:00;600] SUNDAY.
[000:01:36;162] "WASHINGTON POST" AND
[000:01:37;697] GUARDIAN NEWSPAPERS AS THE
[000:01:39;165] HEADLINES HAVE BEEN FILLING
[000:01:40;266] UP WITH JARRING DETAILS
[000:01:41;167] ABOUT THE GOVERNMENT MINING
[000:01:42;569] PHONE LORDS FOR INFORMATION
[000:01:44;437] ABOUT CUSTOMERS.
[000:01:46;072] WHITE HOUSE HAS VOWED WHO
[000:01:47;874] IS LEAKING CLASSIFIED
[000:01:49;609] INFORMATION ABOUT THE
[000:01:50;310] PROGRAM WHICH IS RUN BY THE
[000:01:52;078] NSA.
[000:01:54;581] SNOWDEN IS A CONTRACTOR
[000:01:56;516] WORK FOR THE NSA.
[000:01:59;085] AND KATHERINE, IN JUST LAST
[000:02:01;020] FEW MINUTES THE STORY HAS
[000:02:02;689] BEEN UNFOLDING AS BREAKING
[000:02:04;824] DETAILS.
[000:02:05;191] WE GOT A STATEMENT FROM THE
[000:02:07;160] INTELLIGENCE COMMUNITY,
[000:02:08;194] WHAT DOES IT SAY.
[000:02:09;596] >> Reporter: SHORT TIME AGO
[000:02:12;098] WE RECEIVED A STATEMENT
[000:02:14;400] FROM THE OFFICER OF
[000:02:16;236] DIRECTOR OF NATIONAL
[000:02:17;604] INTELLIGENCE, ADDING THE
[000:02:19;239] INTELLIGENCE COMMUNITY IS
[000:02:21;441] THE DAMAGE HAS BEEN DONE BY
[000:02:25;311] RECENT DISCLOSURES.
[000:02:26;679] ANYBODY THAT HAS A SECURITY
[000:02:28;515] CLEARANCE HAS TO PROTECT
[000:02:30;783] CLASSIFIED INFORMATION AND
[000:02:32;585] ABIDE BY THE LAW.
[000:02:34;087] A REPORT HAS BEEN FILED AND
[000:02:36;122] THAT IS FIRST STEP TOWARD A
[000:02:38;825] CRIMINAL PROSECUTION.
[000:02:39;592] >> Harris: WHAT MORE ARE WE
[000:02:42;595] LEARNING ABOUT SNOWDEN?
[000:02:43;630] >> IT COMES FROM AN
[000:02:45;398] INTERVIEW POSTED BY THE
[000:02:47;200] GUARDIAN NEWSPAPER,
[000:02:48;234] INFORMATION MUST BE SEEN IN
[000:02:49;469] THAT CON PARTICULARS.
[000:02:50;036] IN THE INTERVIEW HE CLAIMS
[000:02:51;171] TO BE A FORMER SYSTEMS
[000:02:54;841] ADMINISTRATOR THAT ALLOWED
[000:02:55;708] HIM A BROAD EITHER VIEW OF
[000:02:57;310] THE NSA PROGRAM.
[000:02:59;112] >> WHEN YOU ARE IN POSITION
[000:03:01;581] OF PRIVILEGED ACCESS LIKE
[000:03:04;117] OUR SYSTEM'S ADMINISTRATOR
[000:03:06;586] FOR THE INTELLIGENCE
[000:03:07;420] AGENCIES YOU ARE EXPOSED TO
[000:03:08;555] A LOT MORE INFORMATION ON A
[000:03:10;490] BROADER SCALE AN THE
[000:03:11;558] AVERAGE EMPLOYEE.
[000:03:12;759] BECAUSE OF THAT YOU SEE
[000:03:14;961] THINGS THAT MAYBE
[000:03:16;930] DISTURBING, BUT OVER THE
[000:03:17;864] COURSE OF A NORMAL PERSON'S
[000:03:19;732] CAREER YOU WOULD SEE ONE OR
[000:03:21;334] TWO INSTANCES.
[000:03:22;268] WHEN YOU SEE EVERYTHING,
[000:03:24;070] YOU SEE THEM ON A MORE
[000:03:26;139] FREQUENT BASIS.
[000:03:27;073] YOU RECOGNIZE SOME OF THESE
[000:03:28;408] THINGS ARE ABUSES.
[000:03:30;743] >> Reporter: ACCORDING TO
[000:03:31;778] THE BRITISH NEWSPAPER THE
[000:03:33;580] FINAL PHASE THREE WEEKS AGO
[000:03:35;782] AND NSA OFFICE IN HAWAII HE
[000:03:38;117] COPIED DOCUMENTS AND WENT
[000:03:39;052] TO HIS SUPERVISOR SAID HE
[000:03:43;289] NEEDED TIME OFF BECAUSE HE
[000:03:45;325] SUFFERED SEIZURES AND GOT
[000:03:46;459] ON THE PLANE TO HONG KONG.
[000:03:48;161] >> Harris: WHAT IS THE
[000:03:49;062] RESPONSE TONIGHT?
[000:03:50;697] >> FORMER EMPLOYEES SAY THE
[000:03:52;632] FLIGHT TO HONG KONG APPEARS
[000:03:54;200] TO BE AN EFFORT TO PUT HIM
[000:03:56;636] AS FAR OUT OF REACH OF THE
[000:03:58;671] U.S. GOVERNMENT BECAUSE HE
[000:04:00;406] UNDERSTANDS THE DEPTH OF
[000:04:01;674] THE LEAK.
[000:04:02;475] HE ADDRESSES THE LIKELIHOOD
[000:04:03;977] HE WILL BE EXTRADITED OR
[000:04:06;179] HANDED OVER FOR TRIAL AT
[000:04:07;046] SOME POINT.
[000:04:07;580] >> I COULD BE RENDERED BY
[000:04:09;916] THE C.I.A.
[000:04:11;684] PEOPLE COME AFTER ME OR
[000:04:13;586] THIRD PARTY PARTNERS OF
[000:04:15;021] THEM WORK CLOSELY WITH
[000:04:16;823] NUMBER OF OTHER NATIONS.
[000:04:21;060] >> Reporter: HE FEARS FOR
[000:04:22;595] HIS FAMILY ADDING THAT SOME
[000:04:24;197] STILL WORK IN THE U.S.
[000:04:25;365] GOVERNMENT.
[000:04:26;232] HE WAS BROUGHT UP IN
[000:04:28;167] ELIZABETH CITY, NORTH
[000:04:28;968] CAROLINA AND LATER MOVED TO
[000:04:32;005] MARYLAND BUT DESPITE AN
[000:04:33;973] ACADEMIC RECORD HE WAS
[000:04:34;907] GREAT WITH W COMPUTERS AND
[000:04:36;709] FOUND HIS WAYS INTO JOBS AT
[000:04:39;379] C.I.A. AND NSA.
[000:04:40;713] >> Harris: WHAT IS THE
[000:04:41;614] RESPONSE TONIGHT?
[000:04:42;715] DO WE KNOW FOR HIS FORMER
[000:04:45;151] EMPLOYER?
[000:04:45;518] >> WHEN CONTACT BY FOX
[000:04:46;753] NEWS, THERE IS NO COMMENT
[000:04:47;987] BY THE C.I.A.
[000:04:49;289] BRITISH NEWSPAPER REPORTS
[000:04:50;723] THAT HE WORKED VARIOUS
[000:04:52;592] CONTRACTORS AT NSA.
[000:04:54;360] LATE TODAY ONE OF THE
[000:04:55;662] LARGEST SECURITY FIRMS
[000:04:57;463] CONFIRMING ON ITS WEBSITE
[000:04:58;965] THAT SNOWDEN IS THE
[000:05:03;970] EMPLOYEE.
[000:05:04;837] THEY CAN CONFIRM HE HAS
[000:05:06;639] BEEN AN EMPLOYEE LESS THAN
[000:05:09;108] THREE MONTHS ASSIGNED TO A
[000:05:10;877] TEAM IN HAWAII.
[000:05:12;779] HE HAS CLAIMED TO HAVE
[000:05:14;981] LEAKED INFORMATION IS
[000:05:16;082] SHOCKING.
[000:05:16;816] FORMER OFFICIALS TELL FOX
[000:05:18;184] NEWS THAT IT'S NOT UNCOMMON
[000:05:19;452] FOR CONTRACTORS TO HAVE THE
[000:05:20;620] KIND OF SECURITY CLEARANCE,
[000:05:22;188] BUT APPARENTLY GAVE HIM
[000:05:23;556] ACCESS TO THESE DOCUMENTS
[000:05:25;525] AND NSA AND CONGRESS HAS
[000:05:28;761] SUPPORTED OUTSOURCING AS
[000:05:30;163] PART OF RATIONALE TO REDUCE
[000:05:33;599] COSTS.
[000:05:33;900] >> Harris: IT WILL BE
[000:05:34;934] INTERESTING TO SEE WHAT
[000:05:36;836] ARGUMENTS SHAPE UP.
[000:05:37;770] SOME WOULD SAY WE WOULDN'T
[000:05:39;105] KNOW WHAT WAS GOING ON WITH
[000:05:40;573] THE NSA SNOOPING IF IT
[000:05:43;176] HADN'T BEEN FOR SOMEONE
[000:05:44;277] LIKE THIS.
[000:05:44;944] WE'LL SEE WHAT HAPPENS
[000:05:46;079] MOVING AHEAD.
[000:05:47;447] >> WE'LL TAKE A CLOSER LOOK
[000:05:49;382] AT EXACTLY WHO IS EDWARD
[000:05:52;218] SNOWDEN.
[000:05:54;320] ACCORDING TO THE GUARDIAN,
[000:05:55;188] HE WAS BORN IN NORTH
[000:05:57;256] CAROLINA BEFORE HIS FAMILY
[000:05:58;858] MOVED TO MARYLAND.
[000:05:59;859] NOT FAR FROM THE NSA
[000:06:02;428] HEADQUARTERS.
[000:06:03;162] IN 2003 HE ENLISTED IN THE
[000:06:07;266] ARMY BUT WAS DISCHARGED
[000:06:08;601] AFTER BREAKING BOTH LEGS IN
[000:06:10;002] A TRAINING ACCIDENT.
[000:06:11;104] HE FIRST WORK AS AN NS A A
[000:06:14;974] AS SECURITY GUARD BEFORE
[000:06:17;210] TRANSFERRING TO C.I.A..
[000:06:18;077] THAT JOB GAVE HIM CLEARANCE
[000:06:19;679] TO ACCESS A WIDE ARRAY OF
[000:06:22;148] CLASSIFIED INFORMATION.
[000:06:23;583] THEN IN 2009 HE TOOK HIS
[000:06:26;119] FIRST LEGALLY NSA JOB
[000:06:27;587] WORKING AT FACILITIES IN
[000:06:29;322] JAPAN AND HAWAII.
[000:06:30;323] BEFORE THIS NEWS BROKE,
[000:06:33;059] THIS WEEKEND WE HAD BEEN
[000:06:34;293] TELLING YOU THE OBAMA
[000:06:35;728] ADMINISTRATION HAD PROMISED
[000:06:36;929] A FULL INVESTIGATION INTO
[000:06:38;030] THE NSA LEAKS.
[000:06:39;332] NOW THAT SOMEONE HAS COME
[000:06:42;201] FORWARD, WHAT HAPPENS NEXT?
[000:06:45;772] ANDREW NAPOLITANO JOINS US
[000:06:47;073] BY PHONE.
[000:06:48;174] JUDGE ARE YOU WITH US?
[000:06:49;041] >> YES.
[000:06:49;842] >> Harris: FIRST EDWARD
[000:06:52;412] SNOWDEN ARE BLOWING THE
[000:06:54;914] WHISTLE BUT SOME PEOPLE
[000:06:56;482] WON'T CALL HIM A
[000:06:58;618] WHISTLEBLOWER.
[000:06:59;652] LET'S START THERE?
[000:07:00;653] >> FOR HIM TO QUALIFY AS A
[000:07:02;722] WHISTLEBLOWER HE WOULD NEED
[000:07:04;490] TO DEMONSTRATE, HIS
[000:07:08;227] BEHAVIOR ON WHICH HE BLEW A
[000:07:12;331] WHISTLE WAS ILLEGAL OR
[000:07:14;534] UNCONSTITUTIONAL.
[000:07:15;101] ON ITS FACE I SAY THAT
[000:07:18;538] BECAUSE I HAVEN'T SEEN THE
[000:07:20;306] DOCUMENTS THAT THE
[000:07:20;840] GOVERNMENT FILED WITH THE
[000:07:22;842] COURT.
[000:07:23;309] ON ITS FACE THEY FILE A
[000:07:25;244] PROCEDURE.
[000:07:26;446] AND COURT AUTHORIZED THIS
[000:07:28;214] WARRANT OF THIS NATURE.
[000:07:30;349] CONTRARY TO THAT IS THE
[000:07:32;652] FOURTH AMENDMENT TO THE
[000:07:34;420] CONSTITUTION WHICH WAS
[000:07:35;721] WRITTEN TO PROHIBIT THE
[000:07:37;490] TYPE OF FISHING EXPEDITION
[000:07:40;126] THAT THE GOVERNMENT ENGAGED
[000:07:41;461] IN HERE.
[000:07:41;794] YOU HAVE A STATUTE STATE
[000:07:45;097] SUPPORTS THE GOVERNMENT AND
[000:07:46;065] LANGUAGE IN THE
[000:07:47;200] CONSTITUTION ON ITS FACE
[000:07:48;634] SUPPORTS THE WHISTLEBLOWER.
[000:07:50;603] >> Harris: MEANWHILE, HE IS
[000:07:52;939] IN HONG KONG.
[000:07:53;806] WHAT HE SAID IN PART OF
[000:07:55;274] THAT TELEVISION INTERVIEW
[000:07:57;143] IS THAT HE IS HOPING THAT A
[000:07:59;846] COUNTRY RECOGNIZES FREE
[000:08:02;548] SPEECH WILL GIVE HIM
[000:08:04;350] ASYLUM?
[000:08:04;684] >> GOOD LORD, NOT IN CHINA.
[000:08:08;855] CHINA IS ONE OF THE MOST
[000:08:10;656] REPRESSIVE REGIMES ON THE
[000:08:11;491] PLANET.
[000:08:12;124] HONG KONG IS A UNIQUE PART
[000:08:14;660] OF CHINA, BUT HONG KONG IS
[000:08:17;363] GOVERNED BY CHINA AND THE
[000:08:19;699] CHINA AND UNITED STATES
[000:08:20;700] HAVE AN EXTRADITION TREAT.
[000:08:24;103] BECAUSE IT'S CHINA IT WILL
[000:08:25;838] BE A POLITICAL AS WELL AS
[000:08:28;140] LEGAL -- IF THE CHINESE
[000:08:29;942] GOVERNMENT WANTS TO
[000:08:30;810] COOPERATE WITH THE OBAMA
[000:08:33;079] ADMINISTRATION, SNOWDEN
[000:08:35;414] WILL BE ON PLANE U.S.
[000:08:40;052] MARSHALS BEFORE THE END OF
[000:08:41;354] THE WEEK.
[000:08:42;355] IF THE CHINESE GOVERNMENT
[000:08:44;156] DOES NOT WANT TO COOPERATE
[000:08:46;626] HE MAY HAVE FOUND A SAFE
[000:08:49;929] HAVEN.
[000:08:50;229] >> Harris: WHAT ABOUT
[000:08:50;796] CHARGES AGAINST HIM?
[000:08:51;564] >> VERY SERIOUS.
[000:08:52;932] GOVERNMENT WILL CLAIM HE
[000:08:54;033] ENGAGED IN, THAT
[000:08:56;569] HE AIDED THE ENEMY AND
[000:09:00;239] SERIOUSLY HARMED GOVERNMENT
[000:09:02;375] PROGRAMS INTENDED TO
[000:09:04;977] PROTECT THE NATIONAL
[000:09:05;678] SECURITY OF THE COUNTRY.
[000:09:07;446] HIS DEFENSE WILL BE THE
[000:09:10;383] GOVERNMENT BEHAVED
[000:09:12;151] UNCONSTITUTIONALLY AND
[000:09:12;818] PEOPLE HAVE A RIGHT TO KNOW
[000:09:14;587] ABOUT IT.
[000:09:15;555] JURY WILL HAVE TO DECIDE ON
[000:09:17;423] WHO THEY BELIEVE.
[000:09:18;491] >> Harris: YOU ARE TALKING
[000:09:20;226] ABOUT SOMETHING MORE
[000:09:21;093] POLITICAL THAN LEGAL AS TO
[000:09:22;795] WHETHER HE WILL BE
[000:09:24;730] EXTRADITED.
[000:09:25;131] WE KNOW THE PRESIDENT AND
[000:09:26;432] LEADER OF CHINA WERE HERE.
[000:09:29;135] HE SINCE LEFT.
[000:09:30;336] YOU HAVE TO WONDER IF THAT
[000:09:32;138] WOULD PLAY ANY PART TO
[000:09:34;073] EXTRADITE THIS PERSON?
[000:09:35;374] >> YES.
[000:09:37;243] THE PRESIDENT OF CHINA AND
[000:09:38;477] THE PRESIDENT OF THE UNITED
[000:09:41;480] STATES IN THE PAST 24 HOURS,
[000:09:46;052] THE COUNTRIES HAVE IMPROVED
[000:09:49;989] RELATIONSHIP FOR THE
[000:09:51;157] WEEKEND THEY SPENT
[000:09:52;391] TOGETHER.
[000:09:53;092] PRESIDENT OF CHINA IS NOT
[000:09:54;226] THE MOST POWERFUL PERSON.
[000:09:58;564] MOST POWERFUL IS THE HEAD
[000:09:59;398] OF THE CHINESE COMMUNIST
[000:10:01;701] PARTY BUT THEY ARE
[000:10:03;035] COLLEAGUES AND COLLABORATE
[000:10:04;270] ON THEIR DECISION TO SEND
[000:10:09;442] MR. SNOWDEN IS HERE.
[000:10:10;643] ONE HAS TO WONDER IF THE
[000:10:12;278] PRESIDENT OF CHINA KNEW IT
[000:10:13;613] WAS COMING WHEN HE WAS
[000:10:16;148] TALKING TO PRESIDENT OBAMA
[000:10:17;516] THE LAST FEW DAYS.
[000:10:19;652] >> Harris: A LOT OF
[000:10:20;786] AMERICANS HAVE BEEN SAYING
[000:10:22;121] ON BLOGS AND ONLINE TONIGHT
[000:10:23;656] AS THE STORY IS BREAKING
[000:10:25;024] THEY FEEL SNOWDEN IS
[000:10:29;328] SOMEWHAT OF HERO THAT FEDS
[000:10:30;830] HAVE BEEN MONITORING US.
[000:10:32;832] IS THAT A DEFENSE POSSIBLY
[000:10:34;333] FOR HIM?
[000:10:34;967] >> THE FACT THAT PEOPLE
[000:10:36;235] THINK HE IS A HERO WOULD
[000:10:38;704] NOT BE A DEFENSE.
[000:10:39;739] WHAT WOULD BE A DEFENSE
[000:10:40;773] WOULD BE IF HIS LAWYERS CAN
[000:10:43;909] DEMONSTRATE THAT THE
[000:10:46;278] GOVERNMENT'S BEHAVIOR WAS
[000:10:47;380] SO WIDE OFF THE MARK OF
[000:10:49;749] AMERICAN VALUES AND SO
[000:10:50;950] CONTRARY TO THE
[000:10:52;051] CONSTITUTION THAT HE TOOK
[000:10:52;918] AN OATH TO UPHOLD AND
[000:10:55;321] BARACK OBAMA TOOK A VOTE TO
[000:10:59;525] UPHOLD AND CLAPPER TOOK THE
[000:11:02;328] OATH TO UPHOLD THAT HE
[000:11:05;564] SHOULD BE ORDERED
[000:11:07;533] PROTECTION AS WHISTLEBLOWER.
[000:11:09;268] >> Harris: BEFORE I LET YOU
[000:11:10;469] GO, I WANT YOU TO HEAR THAT
[000:11:12;471] INTERVIEW.
[000:11:12;972] BECAUSE YOU ARE ON A
[000:11:13;839] CELLPHONE.
[000:11:14;407] SO YOU WON'T BE ABLE TO SEE
[000:11:15;675] IT.
[000:11:16;475] IT REALLY SPEAKS TO THE
[000:11:18;077] ISSUE HOW MUCH RISK THAT
[000:11:20;112] SNOWDEN ACKNOWLEDGES THAT
[000:11:23;282] HE HAS TAKEN?
[000:11:23;949] >> THAT IS A FEAR I LIVE
[000:11:25;217] UNDER FOR THE REST OF MY
[000:11:27;186] LIFE.
[000:11:27;586] YOU CAN'T COME FORWARD
[000:11:29;321] AGAINST THE WORLD'S MOST
[000:11:31;891] POWERFUL INTELLIGENCE
[000:11:33;125] AGENCIES AND BE COMPLETELY
[000:11:34;560] FLEE FROM RISK BECAUSE THEY
[000:11:36;962] ARE SUCH POWERFUL
[000:11:38;998] ADVERSARIES.
[000:11:39;932] NO ONE CAN OPPOSE THEM.
[000:11:43;169] >> Harris: ONE POINT HE
[000:11:47;440] FEARS FOR HIS LIFE?
[000:11:48;541] >> HE COULD BE ARRESTED AT
[000:11:50;443] ANY TIME A PLACE HE LEAST
[000:11:54;714] EXPECTS.
[000:11:55;047] >> Harris: JUDGE NAPOLITANO,
[000:11:57;550] WE APPRECIATE YOUR
[000:11:58;384] PERSPECTIVE ON THIS TH.
[000:12:00;453] THANK YOU.
[000:12:01;620] >> MORE ON THIS STORY
[000:12:02;722] STRAIGHT AHEAD INCLUDING
[000:12:04;323] LAWMAKER REACTION AND WE
[000:12:05;391] HAVE OTHER NEWS FOR YOU
[000:12:06;492] TONIGHT AS WELL INCLUDING
[000:12:07;560] THIS LITTLE GIRL'S FIGHT TO
[000:12:10;229] LIVE.
[000:12:11;097] RIGHT NOW, SARA BREATHING
[000:12:13;099] WITH THE HELP OF A
[000:12:14;800] VENTILATOR.
[000:12:15;401] SHE WAS INTUBATED LAST
[000:12:17;470] NIGHT.
[000:12:17;970] TEN YEARS OLD, SHE NEEDS A
[000:12:21;207] LUNG TRANSPLANT.
[000:12:23;909] TOMORROW A MEETING THAT
[000:12:25;344] COULD CHANGE EVERYTHING FOR
[000:12:26;412] HER AND SIMILAR CHILDREN.
[000:12:30;216] >> TWO LAWMAKERS ONE
[000:12:32;852] INFLUENTIAL COMMITTEE AND
[000:12:33;586] LOTS OF SNIPING OVER THE
[000:12:36;756] IRS TARGETING CONSERVATIVE
[000:12:37;690] GROUPS.
[000:12:38;023] IN MINUTES NEW REACTION TO
[000:12:40;226] CLAIMS THE ORDER TO GO
[000:12:41;827] AFTER CERTAIN AMERICANS
[000:12:43;529] CAME FROM WASHINGTON.
[000:12:45;564] [ Male Announcer ]
[000:12:45;564] RUNNING OUT OF STEAM?
[000:13:04;049] ♪
[000:13:05;484] NOW YOU CAN GIVE YOURSELF
[000:13:05;484] A KICK IN THE REAR!
[000:13:08;187] V8 V-FUSION PLUS ENERGY.
[000:13:09;989] NATURAL ENERGY FROM GREEN TEA
[000:13:09;989] PLUS FRUITS AND VEGGIES.
[000:13:12;808] NEED A LITTLE KICK?
[000:13:12;808] OOH!
[000:13:14;393] COULD'VE HAD A V8.
[000:13:14;393] IN THE JUICE AISLE.
[000:13:48;928] [ whirring ]
[000:13:50;029] [ dog barks ]
[000:13:50;896] I WANT TO TREAT MO DOGS.
[000:13:52;097] ♪
[000:13:53;199] OUR BUSINESS
[000:13:53;199] NEEDS MORE CASES.
[000:13:55;201] [ Male Announcer ] WHERE DO YOU
[000:13:55;201] WANT TO TAKE YOUR BUSINESS?
[000:13:57;169] I NEED HELP SELLING ART.
[000:13:58;804] [ Male Announcer ]
[000:13:58;804] FROM BROADBAND TO WEB HOSTING
[000:14:01;807] TO MOBILE APPS, SMALL BUSINESS
[000:14:01;807] SOLUTIONS FROM AT&T
[000:14:04;977] HAVE THE SECURITY YOU NEED
[000:14:04;977] TO GET YOU THERE.
[000:14:06;946] CALL US.
[000:14:08;247] WE CAN SHOW YOU
[000:14:08;247] HOW AT&T SOLUTIONS
[000:14:09;815] CAN HELP YOU DO WHAT YOU DO...
[000:14:09;815] EVEN BETTER.
[000:14:12;551] ♪
[000:14:48;370] ♪
[000:14:52;124] THERE YOU GO.
[000:14:53;225] COME ON, LET'S PLAY!
[000:14:56;195] [ Male Announcer ]
[000:14:56;195] THERE'S AN EASIER WAY
[000:14:57;830] TO PROTECT YOUR DOG
[000:14:57;830] FROM DANGEROUS PARASITES.
[000:14:59;915] GOOD BOY.
[000:15:01;584] FETCH!
[000:15:02;868] TRIFEXIS IS THE MONTHLY,
[000:15:02;868] BEEF-FLAVORED TABLET
[000:15:04;937] THAT PREVENTS
[000:15:04;937] HEARTWORM DISEASE,
[000:15:06;472] KILLS FLEAS
[000:15:06;472] AND PREVENTS INFESTATIONS,
[000:15:08;507] AND TREATS HOOK-, ROUND-,
[000:15:08;507] AND WHIPWORM INFECTIONS.
[000:15:11;243] TREATMENT WITH
[000:15:11;243] FEWER THAN 3 MONTHLY DOSES
[000:15:13;145] AFTER EXPOSURE TO MOSQUITOES
[000:15:14;947] MAY NOT PROVIDE
[000:15:14;947] COMPLETE HRTWORM PREVENTION.
[000:15:16;582] THE MOST COMMON
[000:15:16;582] ADVERSE REACTIONS
[000:15:17;917] WERE VOMITING, ITCHING
[000:15:17;917] AND LETHARGY.
[000:15:19;985] SERIOUS ADVERSE REACTIONS
[000:15:19;985] HAVE BEEN REPORTED
[000:15:21;720] FOLLOWING
[000:15:21;720] CONCOMITANT EXTRA-LABEL USE
[000:15:23;121] OF IVERMECTIN
[000:15:23;121] WITH SPINOSAD ALONE,
[000:15:25;190] ONE OF THE COMPONENTS
[000:15:25;190] OF TRIFEXIS.
[000:15:26;825] PRIOR TO ADMINISTRATION,
[000:15:26;825] DOGS SHOULD BE TESTED
[000:15:28;861] FOR EXISTING
[000:15:28;861] HEARTWORM INFECTION.
[000:15:30;429] TO LEARN MORE ABOUT TRIFEXIS,
[000:15:30;429] TALK TO YOUR VETERINARIAN,
[000:15:33;098] CALL 888-545-5973
[000:15:35;834] OR VISIT TRIFEXIS.COM.
[000:15:37;303] YOU DON'T HAVE TO
[000:15:37;303] GO TO EXTREMES
[000:15:39;104] TO PROTECT YOUR DOG
[000:15:39;104] FROM PARASITES.
[000:15:40;973] YOU NEED TRIFEXIS.
[000:15:42;191] VISIT OUR WEBSITE
[000:15:42;191] TO SAVE UP TO $25.
[000:15:44;243] AVAILABLE BY PRESCRIPTION
[000:15:44;243] FROM YOUR VETERINARIAN.
[000:15:53;919] >>.
[000:15:54;186] >> Harris: IF YOU ARE JUST
[000:15:55;621] JOINING US MAN THAT CLAIMS
[000:15:57;122] TO BE THE SOURCE FOR
[000:16:00;159] SECURITY, HE SAYS HE WAS
[000:16:01;593] SOURCE FOR THE "WASHINGTON
[000:16:02;428] POST" AND GUARDIAN WHEN IT
[000:16:04;263] COMES TO FINDING OUT ABOUT
[000:16:05;764] THE TOP SECRET SPYING
[000:16:07;666] PROGRAMS THROUGH THE
[000:16:09;001] NATIONAL SECURITY AGENCY
[000:16:10;803] THROUGH THE FEDERAL
[000:16:11;603] GOVERNMENT.
[000:16:12;137] NOW MORE ON THAT ISSUE.
[000:16:13;439] LAWMAKERS ON BOTH SIDES OF
[000:16:15;140] THE ISSUE ARE DISAGREEING
[000:16:18;877] ABOUT WHETHER THIS WAS A
[000:16:20;312] MASSIVE GOVERNMENT
[000:16:23;549] OVERREACH.
[000:16:24;750] STEVE CENTANNI HAS THAT
[000:16:26;552] PART OF THE STORY.
[000:16:28;320] WHAT REACTION ARE WE
[000:16:30;489] GETTING FROM CAPITOL HILL?
[000:16:32;524] >> WE HAVE A STATEMENT FROM
[000:16:34;293] NEW YORK CONGRESSMAN PETER
[000:16:35;294] KING WHO SAYS IF HE DID
[000:16:37;730] LEAK THE INFORMATION EDWARD
[000:16:41;266] SNOWDEN, HE SHOULD BE
[000:16:42;968] PROSECUTED AND EXTRADITED
[000:16:44;737] BACK TO THE U.S.
[000:16:45;604] UNITED STATES MUST MAKE IT
[000:16:46;872] CLEAR THAT NO COUNTRY
[000:16:47;973] SHOULD BE GRANT GO THIS
[000:16:49;808] INDIVIDUAL ASYLUM.
[000:16:51;043] THIS IS MATTER OF
[000:16:52;978] EXTRAORDINARY CONSEQUENCES
[000:16:53;846] TO AMERICAN INTELLIGENCE.
[000:16:54;813] KING IS MEMBER OF THE HOUSE
[000:16:56;849] HOMELAND SECURITY
[000:16:58;017] COMMITTEE.
[000:16:58;417] >> Harris: WHAT ABOUT OTHER
[000:16:59;284] MEMBERS OF CONGRESS, WHAT
[000:17:00;452] ARE THEY SAYING ABOUT THE
[000:17:02;521] SECRET SURVEILLANCE
[000:17:03;422] PROGRAM?
[000:17:03;789] >> THERE ARE TWO CAMPS.
[000:17:05;991] MANY THINK THE GOVERNMENT
[000:17:07;826] OVERSTEPPED ITS BOUNDS AND
[000:17:09;661] THEY INCLUDE BOTH
[000:17:10;929] REPUBLICANS AND DEMOCRATS.
[000:17:12;131] >> WE'RE NOT TALKING ABOUT
[000:17:13;399] GOING AFTER A TERRORIST.
[000:17:15;200] I'M ALL FOR THAT.
[000:17:16;301] GET A WARRANT, GO AFTER A
