[000:00:17;19] >>> FOX URGENT.  
[000:01:46;06] SOUTH OF OKLAHOMA CITY WHERE WE  
[000:01:47;15] HAVE REPORTS OF DEBRIS AND SOME  
[000:01:50;00] DAMAGE AS WELL A TORNADO  
[000:01:51;19] WARNING JUST NORTH AND EAST OF  
[000:01:54;21] CHANDLER OKLAHOMA.  
[000:01:55;23] UP TOWARDS KANSAS.  
[000:01:57;22] SOUTH AND EAST OF WICHITA HERE,  
[000:01:59;10] WEST OF INDEPENDENCE KANSAS IS  
[000:02:01;24] WHERE WE HAVE THE TORNADO  
[000:02:02;22] WARNING THERE.  
[000:02:03;10] THEN MOVING INTO IOWA.  
[000:02:04;22] FORT DODGE.  
[000:02:06;06] GETTING INTO HEAVILY POPULATED  
[000:02:08;01] AREAS HERE.  
[000:02:08;28] CITIES.  
[000:02:09;14] A TORNADO WARNING EAST OF  
[000:02:10;20] MINNEAPOLIS THAT HAS IS SINCE  
[000:02:12;02] BE LIFTED WHICH IS GREAT NEWS.  
[000:02:13;21] YOU WILL,UNFORTUNATELY, WE ARE GETTING
[000:02:17;04] INTO HEAVILY POPULATED AREAS.  
[000:02:19;24] DAMAGE COULD BE QUITE SEVERE  
[000:02:20;27] AND EXTREME IN SOME OF THE  
[000:02:22;03] AREAS AS THE STORMS PUSH  
[000:02:24;29] EASTWARD AND THEY ARE NOT  
[000:02:26;14] LETTING UP UNFORTUNATELY.  
[000:02:27;18] TAKING A LOOK AT THE SEVERE  
[000:02:30;07] THREAT FROM TEXAS ALL THE WEIGH  
[000:02:32;22] UP TO THE MIDWEST THE GREAT  
[000:02:35;12] LAKES WITH THE CONCENTRATED  
[000:02:37;03] RISK OVER THE CENTRAL PLAINS.  
[000:02:39;25] OKLAHOMA CITY JOPLIN,  
[000:02:42;01] KANSAS CITY, A YOU WILL OF THE  
[000:02:44;05] INGREDIENTS FAVORABLE FOR  
[000:02:46;10] LONGING LASTING LARGE  
[000:02:48;14] DESTRUCTIVE TORNADOES.  
[000:02:49;17] INTO MONDAY AND INTO THE  
[000:02:51;11] OVERNIGHT, PEOPLE NEED TO HAVE  
[000:02:52;23] THE NOAA WEATHER RADIOS ON IF  
[000:02:54;20] YOU LIVE IN THE AREAS BECAUSE  
[000:02:56;01] THE STORMS ARE COMING AND YOU  
[000:02:57;10] ARE NOT GOING TO BE ABLE TO SEE  
[000:03:00;02] THEM.  
[000:03:00;16] MONDAY STILL OKLAHOMA CITY UP  
[000:03:01;29] TOWARDS JOPLIN AND ALL OF THE  
[000:03:03;03] AREAS IN YELLOW HERE, YOU ARE  
[000:03:04;29] NOT OUT OF THE RISK ZONE.  
[000:03:08;04] COULD SEE LARGE HAIL, DAMAGING  
[000:03:11;20] WINDS.  
[000:03:12;19] HEAVY RAIN AND THE RISK FOR  
[000:03:14;29] TORNADOES.  
[000:03:15;16] HEADING INTO TUESDAY ACROSS THE  
[000:03:16;21] GREAT LAKES THE TENNESSEE  
[000:03:18;06] RIVER VALLEY AND THE  
[000:03:19;22] MISSISSIPPI RIVER VALLEY.  
[000:03:20;25] ONE OF THE MAIN INGREDIENTS WE  
[000:03:22;12] NEED FOR THE STORMS IS THE WARM  
[000:03:24;04] AIR AHEAD OF THE COLD FRONT AND  
[000:03:25;11] LOOK AT THIS HARRIS TALKING  
[000:03:27;17] ABOUT UPPER 80s AND LOW 90s  
[000:03:29;29] AND 50s AND 60s BEHIND THE  
[000:03:32;27] FRONT.  
[000:03:33;13] UNFORTUNATELY, A PROLONGED  
[000:03:36;14] EVENT FOR THE NEXT 48 EVEN 72  
[000:03:39;21] HOURS.  
[000:03:40;07] >> AS THOSE SYSTEMS COLLIDE.  
[000:03:42;10] THANK YOU VERY MUCH.  
[000:03:43;07] THERE ARE WEATHER SPOTTERS,  
[000:03:44;24] PEOPLE WHO DRIVE AROUND LOOKING  
[000:03:46;00] AT THESE THINGS WHEN THEY  
[000:03:47;04] HAPPEN.  
[000:03:47;19] I KNOW MANY OF YOU ARE TRYING  
[000:03:48;22] TO GET YOUR EVEN PICTURES OF  
[000:03:50;16] THIS.  
[000:03:51;00] PLEASE BE CAREFUL.  
[000:03:51;20] ON THE PHONE WITH US IS SOMEONE  
[000:03:52;29] WHO IS BEING CAREFUL.  
[000:03:54;14] EMILY IS DRIVING IN OKLAHOMA  
[000:03:57;02] CITY RIGHT NOW THE AREA AND SAW  
[000:03:59;11] YOU SEVERAL FUNNEL CLOUDS.  
[000:04:01;03] EMILY, ARE YOU WITH US?  
[000:04:03;10] >> YES MA'AM.  
[000:04:04;03] THANK YOU.  
[000:04:04;19] >> TELL ME WHAT YOU WITNESSED?  
[000:04:08;02] >> I'M ON THE EAST SIDE OF  
[000:04:09;22] OKLAHOMA CITY NORTH OF EDMOND.  
[000:04:11;06] I'M DRIVING RIGHT NOW AND I CAN  
[000:04:13;19] LOOK SOUTH INTO THE NORMAN AREA  
[000:04:15;16] AND SEE JUST BLACKNESS AND AT  
[000:04:19;00] 5:00 SOMETHING IN THE AFTERNOON  
[000:04:20;18] THAT IS AN ODD SIGHT TO SEE AND  
[000:04:23;00] LOOK DIRECTLY NORTH WHERE THERE  
[000:04:24;29] WERE SEVERAL TOUCHDOWNS AND I  
[000:04:27;04] WITNESSED PERSONALLY IN LUCE  
[000:04:31;16] RAM THEN HAIL AND A SPLASH OF  
[000:04:33;23] SUN LIGHT HERE.  
[000:04:35;10] THE WEIRDEST THING I HAVE SEEN.  
[000:04:37;01] I HAVE TO SAY.  
[000:04:37;26] >> YOU ARE FROM THAT PART OF  
[000:04:39;06] THE COUNTRY ORIGINALLY?  
[000:04:40;19] >> I GREW UP IN THE THE  
[000:04:41;27] MIDWEST.  
[000:04:42;17] >> SO YOU HAVE SEEN THIS  
[000:04:43;28] BEFORE.  
[000:04:44;16] HOW DOES THE DAY COMPARE.  
[000:04:46;03] WHAT WE ARE HEARING ABOUT THE  
[000:04:47;12] SEVERAL DAY EVENT IS THE HUGE  
[000:04:49;09] BUILDING.  
[000:04:49;27] WHAT IS THE TEMPERATURE LIKE?  
[000:04:51;02] WHAT ARE THE CONDITIONS LIKE  
[000:04:53;18] COMPARATIVELY TO WHAT YOU  
[000:04:54;29] EXPERIENCED?  
[000:04:55;17] >> IT IS WEIRD.  
[000:04:56;05] I LIVE IN THE CITY AND YOU HEAR  
[000:04:57;07] THIS STUFF ALL THE TIME YOU CAN  
[000:04:59;06] GO OUT ON THE FRONT PORCHES AND  
[000:05:01;02] UNLESS YOU SEE A TORNADO FROM  
[000:05:04;17] THERE, THAT IS KIND OF OUR  
[000:05:06;19] MANTRA.  
[000:05:07;05] BEING IN THE CITY AND KNOWING  
[000:05:09;12] THERE IS A TORNADO MILES AWAY,  
[000:05:11;05] THERE WAS A TORNADO THAT  
[000:05:13;09] TOUCHED DOWN NEAR MY  
[000:05:14;23] NEIGHBORHOOD.  
[000:05:15;18] THIS IS IN THE CITY AND WHERE  
[000:05:16;15] WE WENT TO SCHOOL AND THIS IS  
[000:05:18;11] WHERE STUFF HAPPENS.  
[000:05:19;15] >> RIGHT NOW.  
[000:05:20;06] I WILL CUT IN IN JUST A SECOND.  
[000:05:22;14] THIS IS BRAND NEW VIDEO COMING  
[000:05:24;01] IN TO FOX NEWS.  
[000:05:25;20] THIS IS SHOWING THE DEBRIS  
[000:05:27;26] FIELD AND THIS REALLY  
[000:05:29;22] COMMUNICATES TO THE FORECASTING  
[000:05:31;16] EXPERTS AND I KNOW JANICE DEAN  
[000:05:33;15] IS WATCHING THIS, THIS  
[000:05:35;14] COMMUNICATES THE SIZE AND POWER  
[000:05:37;08] OF THIS TYPE OF MONSTER HITTING  
[000:05:39;28] THE GROUND.  
[000:05:41;28] EMILY, YOU WITNESSED SOME OF  
[000:05:43;07] THIS BECAUSE THIS VIDEO IS  
[000:05:44;08] TAKEN FROM EDMOND.  
[000:05:46;04] WHAT IT WAS LIKE EARLIER WITH  
[000:05:47;20] THOSE WINDS WHIPPING AND NOW WE  
[000:05:49;28] CAN SEE STUFF JUST BLOWING IN  
[000:05:52;00] THE AIR.  
[000:05:52;29] >> IT IS TERRIFYING.  
[000:05:54;12] IT IS TERRIFYING.  
[000:05:55;28] GOSH THE HOT AIR AND THEN YOU  
[000:05:58;08] GET IT IS REAL COOL AND YOU  
[000:06:00;00] HAVE SHIVERS UP YOUR SPINE.  
[000:06:02;26] THE ODDEST THING IS SEEING  
[000:06:04;19] THINGS ACTUALLY FLOATING IN THE  
[000:06:07;07] AIR.  
[000:06:07;19] NOT BLOWING ONE DIRECTION OR  
[000:06:09;01] ANOTHER.  
[000:06:09;21] LOOK UP AND ONE CLOUD HEADING  
[000:06:11;05] ONE DIRECTION AND ANOTHER ARE  
[000:06:12;07] CLOUD HEADING THE OTHER.  
[000:06:13;07] IT IS SURREAL.  
[000:06:14;09] IT IS SURREAL.  
[000:06:15;20] >> YOU MENTIONED THE HEAVILY  
[000:06:18;19] POPULATED AREAS.  
[000:06:19;17] WE SAID THIS ON FOX REPORT LAST  
[000:06:22;02] NIGHT.  
[000:06:22;17] KANSAS CITY, OKLAHOMA CITY.  
[000:06:23;22] UNTIL YOU SEE IT, IT REALLY  
[000:06:25;19] DOESN'T SEEM REAL TO YOU AND  
[000:06:27;03] HAVING LIVED IN KANSAS CITY FOR  
[000:06:28;19] MANY YEARS AND I HAVE SEEN THE  
[000:06:30;23] TORNADOIC SYSTEMS MOVE ACROSS  
[000:06:32;29] THE PLAINS, YOU CAN PICK THEM  
[000:06:34;17] UP AND WATCH THEM MOVE INTO  
[000:06:36;00] YOUR TOWN.  
[000:06:36;21] WHEN YOU SEE THIS, IT RARELY  
[000:06:38;22] HITS THE AREAS WHERE THERE ARE  
[000:06:40;19] TALL BUILDINGS AND SO MANY  
[000:06:42;17] STRUCTURES.  
[000:06:43;11] YOU MENTIONED THE UNIVERSITY  
[000:06:44;06] THERE, CHRISTIAN HOW ARE  
[000:06:45;18] PEOPLE DEALING WITH THE  
[000:06:46;21] WARNINGS THERE?  
[000:06:47;19] ARE THEY HEEDING SIRENS?  
[000:06:49;23] >> I WISH I COULD SAY THAT THEY  
[000:06:51;12] WERE.  
[000:06:51;28] THAT IS THE WEIRD THING IS WE  
[000:06:52;27] ARE USED TO SEEING IT ON THE TV  
[000:06:55;07] AND NO BIG DEAL FOR WHERE WE  
[000:06:57;08] ARE, WE KNOW IT IS WAY OUT  
[000:06:58;23] THERE.  
[000:06:59;09] WHEN IT DOES COME TO OUR AREA,  
[000:07:02;13] YOU JUST GET IN THE CAR AND YOU  
[000:07:03;23] HAVE TO CHECK IT OUT.  
[000:07:05;03] I HOPE PEOPLE ARE BEING  
[000:07:06;13] RESPONSIBLE BUT DRIVING AROUND  
[000:07:07;20] IT IS HARD.  
[000:07:08;09] PEOPLE ARE SPEEDING.  
[000:07:09;18] I RAN ACROSS SOMEBODY WHO  
[000:07:10;27] WASN'T LOOKING WHERE THEY WERE  
[000:07:12;05] GOING AND THERE WAS A TERRIBLE  
[000:07:14;08] WRECK.  
[000:07:14;26] I MEAN THERE IS GOING TO BE  
[000:07:17;08] OTHER INJURIES AND ACCIDENTS  
[000:07:18;15] THAT HAPPEN BECAUSE OF TORNADO  
[000:07:19;29] BUT NOT THE TORNADO ITSELF AND  
[000:07:21;11] THAT IS THE IMPORTANT THING  
[000:07:22;24] TOO.  
[000:07:23;08] >> YOU ARE IN YOUR CAR.  
[000:07:24;23] PARKED, OF COURSE.  
[000:07:25;26] YOU ARE TALKING WITH US.  
[000:07:27;06] STAY SAFE, EMILY OUR FIRST  
[000:07:29;22] PERSON EYES TONIGHT ON FOX  
[000:07:31;26] REPORT.  
[000:07:32;15] WE APPRECIATE IT.  
[000:07:33;04] THANK YOU VERY MUCH.  
[000:07:33;24] >> THANK YOU.  
[000:07:34;11] >> AND OUR PRAYERS FOR THOSE  
[000:07:36;05] PEOPLE THAT THEY STAY SAFE  
[000:07:37;29] TONIGHT.  
[000:07:38;16] WE HAVE AN OPPORTUNITY TO TALK  
[000:07:39;15] WITH JENNIFER MONROE THE PUBLIC  
[000:07:41;17] INFORMATION SPECIALIST FOR THE  
[000:07:42;26] TOWN OF EDMOND, OKLAHOMA JUST  
[000:07:44;21] OUTSIDE OF OKLAHOMA CITY WHERE  
[000:07:46;22] THEY HAVE SEEN SO MUCH  
[000:07:48;03] TREMENDOUS DAMAGE AND DANGEROUS  
[000:07:50;02] CONDITIONS AND EVEN SOME  
[000:07:51;26] INJURIES.  
[000:07:52;16] JENNIFER, ARE YOU ON THE PHONE  
[000:07:53;23] WITH ME NOW?  
[000:07:54;16] >> I AM.  
[000:07:55;01] >> I WANT TO START WITH THE  
[000:07:56;08] FACT THAT YOU ARE THE TYPICAL  
[000:07:57;04] PERSON I WOULD CALL AND ASK FOR  
[000:08:00;14] INFORMATION IN AN EMERGENCY  
[000:08:01;22] SITUATION AS A REPORTER AND YOU  
[000:08:02;22] WOULD GIVE ME THE INFORMATION.  
[000:08:04;10] TODAY YOU WERE DOING SUCH  
[000:08:05;23] ONSIDE OF A TORNADO SHELTER.  
[000:08:06;25] WHAT WAS GOING ON?  
[000:08:07;27] >> I LIVE JUST NORTH OF TOWN SO  
[000:08:09;09] MY FAMILY AND I WE ACTUALLY DID  
[000:08:11;15] HAVE TO TAKE SHELTER OURSELVES.  
[000:08:14;04] SO THE STORM PASSED AND THEN  
[000:08:16;08] CAME ON INDOORS TO HELP ASSESS  
[000:08:18;26] THE DAMAGE AND WORK WITH THE  
[000:08:21;16] MEDIA.  
[000:08:22;10] >> EDMOND, OKLAHOMA, WE ARE  
[000:08:23;04] SEEING IT NOW.  
[000:08:24;01] THE PICTURES THAT HAVE COME IN  
[000:08:25;15] TO FOX NEWS IN THE PAST FEW  
[000:08:26;25] MINUTES.  
[000:08:27;26] THE WINDS WHIPPING AS FUNNEL  
[000:08:29;20] CLOUD IS TRYING TO HOLD ITSELF  
[000:08:31;14] TOGETHER AND DOING SO RATHER  
[000:08:33;19] IMPRESSIVELY.  
[000:08:34;09] TALK TO ME ABOUT PEOPLE  
[000:08:35;02] TONIGHT.  
[000:08:35;23] HOW ARE THEY IN YOUR AREA?  
[000:08:37;12] >> RIGHT NOW WE -- THE  
[000:08:39;12] EMERGENCY CREWS ARE STARTING  
[000:08:41;00] GOING NEIGHBORHOOD BY  
[000:08:42;23] NEIGHBORHOOD.  
[000:08:43;16] SO FAR THE DAMAGE IS LIMITED TO  
[000:08:46;11] A LOT OF TREES ARE DAMAGED.  
[000:08:48;18] WIND DAMAGE AND TORNADO DAMAGE  
[000:08:49;28] AS WELL.  
[000:08:50;18] SO FAR LUCKILY WE DON'T HAVE  
[000:08:51;27] ANY REPORTS OF INJURIES IN OUR  
[000:08:53;27] CITY WHICH IS WONDERFUL.  
[000:08:58;12] OUR METEOROLOGISTS IN THIS  
[000:08:59;08] COMMUNITY DID A GREAT JOB OF  
[000:09:00;12] WARNING EVERYBODY FOR SEVERAL  
[000:09:01;18] DAYS LEADING UP TO THIS EVENT.  
[000:09:03;17] EVERYBODY KNEW TODAY WAS A DAY  
[000:09:04;19] TO BE WEATHER AWARE AND SO FAR  
[000:09:10;17] FOR US PEOPLE IN OUR TOWN HEEDD  
[000:09:12;08] THAT WARNING.  
[000:09:12;28] >> THIS WILL BE A MULTI-DAY  
[000:09:14;06] EVENT.  
[000:09:14;24] SO YOU ARE IN CHARGE OF KEEPING  
[000:09:16;05] PEOPLE SAFE.  
[000:09:16;28] YOUR OFFICE, YOUR DIVISION.  
[000:09:18;16] WHAT ARE YOU TELLING THEM ABOUT  
[000:09:19;28] THE NEXT 24-36 HOURS?  
[000:09:22;11] >> WE ARE TELLING EVERYBODY TO  
[000:09:25;18] KEEP THEIR PHONES POWERED  
[000:09:27;10] FULLY CHARGED.  
[000:09:29;18] HAVE AN EMERGENCY STORM PLAN,  
[000:09:31;11] SHELTER, WHERE THEY WILL GO TO  
[000:09:32;19] TAKE COVER AND QUICKLY HAVE  
[000:09:34;15] THEIR INFORMATION GATHERED.  
[000:09:37;28] WE THOUGHT WE MIGHT HAVE A JUMP  
[000:09:41;22] BACK STORMBACK IN THE AREA.  
[000:09:43;21] KNOW WHERE YOUR FAMILY MEMBERS  
[000:09:44;25] ARE AND HAVE A PLAN BEFORE THE  
[000:09:46;06] STORM HITS BECAUSE YOU ONLY  
[000:09:47;12] HAVE A MATTER OF MINUTES REALLY  
[000:09:49;29] TO SPRING INTO ACTION.  
[000:09:51;04] >> HAS IT HELPED AT ALL TODAY  
[000:09:52;10] THAT THIS HAPPENED DURING THE  
[000:09:53;22] DAY TIME HOURS?  
[000:09:57;20] >> IT HELPS THAT EVERYONE IS  
[000:10:00;10] JUST VERY PREPARED AND IT HAS  
[000:10:04;13] BEEN TOP OF MIND.  
[000:10:05;27] EVERYBODY KNEW IT WAS COMING  
[000:10:07;17] TODAY SO EVERYBODY IS GLUED TO  
[000:10:09;13] THE TELEVISION AND THE RADIO.  
[000:10:11;13] >> SURE.  
[000:10:12;12] AND, OF COURSE, THE REASON I  
[000:10:13;06] ASK THAT AND MANY OF OUR  
[000:10:15;03] VIEWERS WILL KNOW BECAUSE WE  
[000:10:16;10] COVERED THIS THIS WEEK ON  
[000:10:17;16] WEDNESDAY AND I'M SURE YOU KNOW  
[000:10:18;23] THIS BE JENNIFER WHEN THE  
[000:10:20;06] SYSTEM WAS BEING TALKED ABOUT  
[000:10:22;08] WE SAW ANOTHER SYSTEM DROP  
[000:10:24;07] TWISTERS OVER GRANBURY TEXAS  
[000:10:28;01] THAT WAS HIT SO HARD, SIX  
[000:10:29;11] PEOPLE DEAD THERE.  
[000:10:30;11] AND IT HAPPENED AS THE SUN WAS  
[000:10:33;03] SETTING.  
[000:10:33;20] I ASK THAT QUESTION ABOUT  
[000:10:35;22] DAYLIGHT.  
[000:10:36;17] IT IS MORE FRIGHTENING AT NIGHT  
[000:10:37;14] TO PUT THE EMERGENCY PLANS INTO  
[000:10:39;13] PLACE BECAUSE PEOPLE TEND TO  
[000:10:41;02] KIND OF SLACK OFF ON THAT.  
[000:10:43;12] IT IS DARK OUTSIDE.  
[000:10:44;23] I WAS HOPING THE DAYLIGHT HOURS  
[000:10:46;08] MAY HAVE HELPED PEOPLE STAY  
[000:10:48;03] SAFE TODAY.  
[000:10:49;00] >> IT DOES HELP.  
[000:10:50;04] YOU CAN SEE IT COMING AND IN  
[000:10:51;24] THE SKY.  
[000:10:53;06] OKLAHOMANS ARE USED TO GET OUT  
[000:10:54;20] AND WATCH IT IS COMING  
[000:10:56;01] SOMETIMES.  
[000:10:56;19] YOU COULD SEE HE IT COMING AND  
[000:10:57;16] THAT WAS HELPFUL YES.  
[000:10:59;28] >> JENNIFER MONROE WITH THE  
[000:11:02;19] EDMOND OKLAHOMA OFFICE OF  
[000:11:06;00] EMERGENCY MANAGEMENT THERE.  
[000:11:07;07] THE PUBLIC INFORMATION  
[000:11:08;11] SPECIALIST THERE FOR THE LOW HE  
[000:11:09;07] CAL AUTHORITIES THAT WILL  
[000:11:10;09] ASSESS THE DAMAGE AS YOU HEARD  
[000:11:11;18] HER SAY AND HELP AS MANY PEOPLE  
[000:11:13;10] AS THEY CAN, THOSE WHO NEED IT.  
[000:11:15;11] STAY SAFE.  
[000:11:16;02] THIS IS NOT OVER.  
[000:11:17;05] ANOTHER DAY OR SO TO GO OF  
[000:11:19;07] THIS.  
[000:11:19;22] ONE OF THE WAYS WE HAVE BEEN  
[000:11:21;07] KEEPING TRACK OF THIS IS WITH  
[000:11:22;22] THE LOCAL COVERAGE FROM THE  
[000:11:24;07] AREA.  
[000:11:25;03] FOX 25 IN OKLAHOMA CITY KOKH.  
[000:11:27;01] MANY OF THE PICTURES WE ARE  
[000:11:28;13] GETTING IS VIA THEIR FANTASTIC  
[000:11:30;02] STAFF OF JOURNALISTS AND WE ARE  
[000:11:32;28] HOPING THEY STAY SAFE.  
[000:11:34;08] TUNE IN AND JUST LISTEN RIGHT  
[000:11:37;13] NOW.  
[000:11:38;00] >> OVER EAST OF LAKE  
[000:11:40;08] THUNDERBIRD.  
[000:11:40;28] THE TORNADO WARNING CONTINUE  
[000:11:41;28] THERE'S AS WELL.  
[000:11:42;17] THESE ARE TWO REALLY  
[000:11:43;10] SIGNIFICANT STORMS RIGHT NOW.  
[000:11:44;18] ONE OVER AND JUST EAST OF LAKE  
[000:11:47;20] THUNDERBIRD WITH A TORNADO.  
[000:11:49;15] ANOTHER ONE JUST NORTH OF  
[000:11:51;18] CHANDLER.  
[000:11:52;06] YOU CAN SEAT HOOK THERE CLEARLY  
[000:11:53;20] AND THEN THE OTHER IS REALLY  
[000:11:54;29] MOVING OUT OF THE AREA IN  
[000:11:57;06] NORTHWESTERN CREEK COUNTY.  
[000:11:58;22] THE NORTHWEST SIDE OF THE TULSA  
[000:12:00;14] AREA.  
[000:12:00;28] REALLY TWO BIG STORMS, JEFF,  
[000:12:02;14] THAT ARE PRODUCING POSSIBLE  
[000:12:04;04] TORNADOES HERE RIGHT HERE IN  
[000:12:05;13] AND AROUND CENTRAL OKLAHOMA.  
[000:12:07;02] >> THANKS, JOHN.  
[000:12:08;14] HEADING BACK DOWN TOWARDS PINK  
[000:12:10;27] AND LITTLE AXE THERE FOR YOU IN  
[000:12:14;26] NORTHEASTERN MCLEAN COUNTY.  
[000:12:15;26] THE DOUGHNUT HOLE THAT YOU SAW  
[000:12:17;00] RIGHT THERE.  
[000:12:17;26] WE SHOULD BE ON DOPPLER 3  
[000:12:20;25] MILLENNIUM QUICKLY PLEASE.  
[000:12:22;19] LET'S GO AHEAD AND THE DOUGHNUT  
[000:12:23;28] HOLE THAT YOU SEE RIGHT THERE  
[000:12:25;22] THIS IS THE ACTUAL RADAR SITE.  
[000:12:27;11] YOU HAVE SEEN IT AROUND TOWN OR  
[000:12:30;00] BEEN AROUND NORMAN THE BIG  
[000:12:31;13] DOPPLER BALL IS RIGHT HERE AND  
[000:12:32;19] LOOKING OUT.  
[000:12:33;06] WHAT HAPPENS IS WE ARE SCANNING  
[000:12:35;03] THE ATMOSPHERE AROUND HERE AND  
[000:12:36;18] THAT IS WHY EVERYTHING LOOKS SO  
[000:12:38;05] FUNNY AND USUALLY SOMETHING SO  
[000:12:40;10] CLOSE TO THE RADAR IT IS HARD  
[000:12:42;08] TO DIFFERENTIATE EXACTLY WHAT  
[000:12:43;21] IS GOING ON.  
[000:12:44;15] WHAT WE WILL DO RIGHT NOW IS  
[000:12:46;10] ZOOM DOWN.  
[000:12:47;15] ZOOM DOWN RIGHT THERE AND THEN  
[000:12:48;22] TAKE A PEEK AT THAT WITH THE  
[000:12:50;26] VELOCITY SHOTS BECAUSE THIS  
[000:12:52;04] HAPPENS TO BE ACTUALLY SHOWING  
[000:12:53;10] THE STRONG ROTATION.  
[000:12:54;12] USUALLY IT IS HARD TO COULD  
[000:12:56;05] THAT BUT JUST NORTH OF LITTLE  
[000:12:59;15] AXE.  
[000:12:59;27] AND ALSO HAVING TO TAKE THE  
[000:13:01;12] SPOTTERS AND CHASERS OUT THERE  
[000:13:02;25] HAVING TO TAKE WHAT THEY ARE  
[000:13:04;06] SAYING ALSO TO HEART BECAUSE  
[000:13:05;13] THE RADAR MAY BE SAYING ONE  
[000:13:07;12] THING AND WHAT IS ON THE GROUND  
[000:13:08;29] MAY BE SAYING ANOTHER THING.  
[000:13:10;02] ARE IT IS SO IMPORTANT TO HAVE  
[000:13:11;15] THE CHASERS ON THE GROUND LIKE  
[000:13:13;07] THE VIDEO YOU ARE SEEING RIGHT  
[000:13:14;27] THERE.  
[000:13:15;10] IMPORTANT TO HAVE THAT OUT  
[000:13:16;15] THERE EYE EX-LY WHEN YOU  
[000:13:18;07] HAVE -- ESPECIALLY WHEN YOU  
[000:13:19;08] HAVE SOMETHING SO CLOSE TO THE  
[000:13:21;08] RADAR.  
[000:13:21;24] TAKE CHASER NET TWO FULL,  
[000:13:23;16] PLEASE.  
[000:13:24;05] WHERE IS THAT AT, MICHELLE OR  
[000:13:27;15] BARRY?  
[000:13:28;00] >> THAT IS ON THE CHANDLER  
[000:13:29;12] STORM RIGHT THERE.  
[000:13:30;05] >> WE ARE LISTENING IN NOW TO  
[000:13:32;11] OUR FOX 25 IN OKLAHOMA CITY AND  
[000:13:34;13] YOU ARE LISTENING TO THEM TALK  
[000:13:36;01] WITH SOME OF THE STORM SPOTTERS  
