[000:00:00;867] IT'S UNHABITABLE.
[000:02:50;303] POWER OUT TO VIRTUALLY THE
[000:02:52;005] ENTIRE ISLAND.
[000:02:54;007] HAVE YOU EVER SEEN ANYTHING LIKE
[000:02:58;545] THIS?
[000:02:59;679] >> ME?
[000:03:00;813] NEVER.
[000:03:02;515] >> Reporter: THIS MAN SAYS HE
[000:03:03;950] FEARED FOR HIS LIFE AS THE
[000:03:06;786] RELENTLESS STORM SLAMMED INTO
[000:03:08;221] HIS HOME THIS MORNING AS A
[000:03:10;223] FEROCIOUS CATEGORY 4 HURRICANE.
[000:03:11;624] THE SITUATION HERE IN SAN JUAN
[000:03:15;328] IS DIRE.
[000:03:15;662] THE WINDS HERE HAVE BEEN
[000:03:16;296] INTENSIFYING AND THE WORST IS
[000:03:16;996] YET TO COME.
[000:03:17;430] WE HAVE SOUGHT SHELTER IN A
[000:03:18;097] CONCRETE STRUCTURE, BUT AS YOU
[000:03:19;065] CAN SEE, IT IS A SCENE OF UTTER
[000:03:20;733] CHAOS.
[000:03:22;168] AFTER DODGING MOST OF HURRICANE
[000:03:23;870] IRMA'S WRATH DAYS AGO, PUERTO
[000:03:25;305] RICO AND ITS 3.5 MILLION
[000:03:28;141] AMERICAN CITIZENS BORE THE BRUNT
[000:03:29;842] OF MARIA FOR HOURS.
[000:03:31;844] AS THE STORM PASSED WE GOT OUR
[000:03:33;546] FIRST LOOK AT THE DAMAGE.
[000:03:36;683] SOME HOMES OBLITERATED.
[000:03:38;685] RESIDENTS IN SHOCK.
[000:03:41;221] >> IT WAS REAL SCARY.
[000:03:43;790] >> Reporter: MARIA, THE
[000:03:46;059] STRONGEST STORM TO RAVAGE PUERTO
[000:03:47;193] RICO IN NEARLY A CENTURY, FIRST
[000:03:48;328] SLICED THROUGH THE CARIBBEAN.
[000:03:49;028] OVERNIGHT IT BATTERED ST. CROIX,
[000:03:49;762] THE LARGEST OF THE U.S. VIRGIN
[000:03:50;496] ISLANDS.
[000:03:50;863] >> VERY SCARY.
[000:03:53;166] THE WIND AND THE DOORS AROUND
[000:03:56;002] YOU.
[000:03:57;437] >> Reporter: IN ST.
[000:03:59;706] THOMAS WIDESPREAD FLOODING AS
[000:04:01;708] RESIDENTS WERE JUST BEGINNING TO
[000:04:05;144] CLEAN UP AFTER HURRICANE IRMA'S
[000:04:06;813] DIRECT HIT.
[000:04:08;815] THE STORM'S TRAIL OF DEVASTATION
[000:04:09;983] LEAVING MUCH OF THE REMOTE
[000:04:13;086] ISLAND OF DOMINICA IN RUINS.
[000:04:15;088] THIS AERIAL VIDEO THE FIRST TO
[000:04:17;056] EMERGE AFTER MARIA'S FURY CUT
[000:04:19;359] OFF COMMUNICATIONS.
[000:04:21;894] TONIGHT AS PUERTO RICO BEGINS TO
[000:04:23;329] ASSESS ITS DAMAGE, MANY
[000:04:23;930] RESIDENTS, LIKE MARIA ARAGON,
[000:04:24;631] DON'T KNOW IF THEY'LL HAVE HOMES
[000:04:25;365] TO RETURN TO.
[000:04:25;798] HOW HORRIBLE IS IT TO LOOK
[000:04:26;466] AROUND AND SEE THIS ISLAND LIKE
[000:04:27;200] THIS?
[000:04:27;500] >> IT'S VERY SAD.
[000:04:28;001] IT'S VERY, VERY SAD.
[000:04:28;534] VERY HEARTBROKEN.
[000:04:29;035] >> Reporter: AN ISLAND WITHOUT
[000:04:29;769] POWER AND NOW SEEMINGLY WITHOUT
[000:04:30;503] ENOUGH RESOURCES TO COPE WITH AN
[000:04:31;237] UNFOLDING DISASTER.
[000:04:31;771] GABE GUTIERREZ, NBC NEWS, SAN
[000:04:32;472] JUAN, PUERTO RICO.
[000:04:32;972] >>> THIS IS GADI SCHWARTZ.
[000:04:34;407] IN THE DARK HALLS OF THIS SAN
[000:04:35;842] JUAN SPORTS COLISEUM, ONE OF
[000:04:38;678] PUERTO RICO'S STURDIEST
[000:04:41;547] HURRICANE SHELTERS.
[000:04:46;953] HERE HUDDLED SHAPES HUNCH OVER
[000:04:50;356] RADIOS.
[000:04:52;058] CHILDREN PLAY IN SHADOWS.
[000:04:54;627] AND OUTSIDE HURRICANE MARIA'S
[000:04:56;329] WINDS AND RAIN RAVAGE PUERTO
[000:04:58;598] RICO.
[000:05:01;434] >> IT'S AN AWAKENING, A RUDE
[000:05:05;705] AWAKENING.
[000:05:06;839] >> Reporter: THIS IS THE LAST 24
[000:05:07;974] HOURS FOR FAMILIES LIKE THIS
[000:05:08;841] WOMAN'S TAKING SHELTER FROM THE
[000:05:09;575] STORMS.
[000:05:09;909] >> WHAT'S GOING TO HAPPEN WHEN
[000:05:10;643] WE GET OUT OF HERE?
[000:05:11;177] WHAT WILL WE END UP SEEING?
[000:05:11;844] IT'S VERY HARD.
[000:05:12;312] >> Reporter: AT FIRST IN COTS
[000:05:15;081] SPREAD OUT ACROSS THE MASSIVE
[000:05:18;217] CONCRETE COLISEUM FLOOR, BUT
[000:05:20;219] THEN THE WORST OF HURRICANE
[000:05:23;356] MARIA BURSTING METAL DOORS OPEN.
[000:05:24;090] PEOPLE JOINING HANDS TO PRAY.
[000:05:24;791] QUICKLY THEY MOVE TO THE SAFETY
[000:05:27;060] OF THE OUTER WINGS AS WATER AND
[000:05:29;062] DEBRIS RAIN DOWN FROM THE ROOF.
[000:05:31;030] AND THROUGH THE STORM ONE VOICE
[000:05:35;601] TRYING TO CALM THE REFUGEES.
[000:05:37;303] THIS IS THE MAYOR OF SAN JUAN,
[000:05:39;005] CARMEN YULIN CRUZ, WHO STAYED
[000:05:41;541] HERE WITH HER FAMILY AT THE
[000:05:44;110] COLISEUM.
[000:05:46;946] >> I UNDERSTAND HOW DIFFICULT IT
[000:05:48;081] IS.
[000:05:48;381] >> Reporter: SHE'S GOTTEN
[000:05:49;015] REGULAR REPORTS OF WHAT LIES
[000:05:49;716] OUTSIDE, AND HER HEART BREAKS
[000:05:50;416] FOR THOSE THEY COULDN'T REACH.
[000:05:52;118] >> I'M JUST CONCERNED THAT WE
[000:05:55;221] MAY NOT GET TO EVERYBODY IN
[000:05:58;057] TIME.
[000:06:01;461] AND THAT IS A GREAT WEIGHT ON MY
[000:06:04;597] SHOULDERS.
[000:06:05;164] >> Reporter: SHE'S AMONG THOSE
[000:06:06;299] WHO WILL FIND THEIR HOMES AND
[000:06:06;999] NEIGHBORHOODS DEVASTATED, BUT
[000:06:07;700] FOR NOW SHE CAN'T THINK OF THAT.
[000:06:08;434] SHE CAN ONLY THINK OF KEEPING
[000:06:09;135] HER CITY TOGETHER.
[000:06:09;669] >> WE NEED EACH OTHER.
[000:06:10;236] I NEED THEM MORE THAN THEY NEED
[000:06:10;970] ME.
[000:06:11;237] >> Reporter: A FEELING SHARED
[000:06:11;938] AMONG MANY HOLDING ON TO EACH
[000:06:12;638] OTHER FOR STRENGTH IN WHAT'S TO
[000:06:13;373] COME.
[000:06:13;673] AND A VERY GRIM REALITY FOR SOME
[000:06:14;407] OF THE FAMILIES THAT ARE GOING
[000:06:15;408] TO BE LEAVING THIS SHELTER AFTER
[000:06:16;142] 24 HOURS.
[000:06:16;542] MANY OF THEM ARE GOING TO FIND
[000:06:18;811] THEIR HOMES IN RUIN, AND THEY'RE
[000:06:19;545] GOING TO HAVE TO COME BACK TO
[000:06:20;246] SHELTERS LIKE THIS TO SPEND
[000:06:21;381] ANOTHER NIGHT, ANOTHER WEEK AND
[000:06:23;082] POSSIBLY EVEN MONTHS.
[000:06:24;784] LESTER?
[000:06:28;788] >> GADI SCHWARTZ, SOME OF THAT
[000:06:29;522] DAMAGE IS INCREDIBLE, THANK YOU.
[000:06:30;256] >>> THIS HURRICANE THREAT IS FAR
[000:06:30;990] FROM OVER.
[000:06:31;357] WE'RE JOINED HERE BY AL ROKER
[000:06:32;058] WHO IS TRACKING THE STORM.
[000:06:32;692] WHAT'S THE LATEST?
[000:06:33;326] AND IS THE U.S. EAST COAST IN
[000:06:34;026] JEOPARDY?
[000:06:35;895] >> IT'S STILL UP IN THE AIR
[000:06:36;562] RIGHT NOW.
[000:06:37;864] WE CAN TELL YOU THAT MARIA IS A
[000:06:39;599] CATEGORY 2 BUT WILL PROBABLY
[000:06:42;568] REINTENSIFY LATER THIS EVENING.
[000:06:43;669] 75 MILES EAST OF PUNTA CANA,
[000:06:44;370] DOMINICAN REPUBLIC.
[000:06:45;371] IT'S MOVING NORTHWEST AT 12,
[000:06:47;373] WITH 110-MILE-PER-HOUR WINDS.
[000:06:51;611] THE DOMINICAN REPUBLIC TOMORROW
[000:06:52;345] GETS ABOUT 75 MILES PER HOUR.
[000:06:53;346] 4 TO 6 FEET OF SURGE, 8 TO 16
[000:06:54;213] INCHES OF RAIN.
[000:06:55;915] TURKS AND CAICOS MAY BE THE NEXT
[000:06:57;316] REALLY BIG DEVASTATED AREA WITH
[000:07:01;020] 125-MILE-PER-HOUR WINDS, A STORM
[000:07:03;022] SURGE OF 9 TO 12 FEET AND 9 TO
[000:07:04;724] 16 INCHES.
[000:07:06;426] AND THEN IT CONTINUES UP INTO
[000:07:07;293] THE ATLANTIC BY MONDAY
[000:07:07;894] AFTERNOON.
[000:07:10;696] WE PUT THE ENSEMBLE MODEL INTO
[000:07:11;431] PLAY.
[000:07:14;400] YOU SEE THOSE SPAGHETTI STRANDS
[000:07:15;268] WE CALL.
[000:07:15;601] AND BASICALLY FOR THE MOST PART
[000:07:16;669] THEY KEEP IT OFF THE COAST, BUT
[000:07:18;104] YOU CAN SEE THERE'S SOME
[000:07:18;738] DISAGREEMENT ON THE WESTERN SIDE
[000:07:20;072] OF THIS.
[000:07:20;940] SO LESTER, RIGHT NOW WE STILL
[000:07:22;341] CAN'T GIVE YOU A DEFINITIVE
[000:07:24;043] ANSWER WHETHER THIS THING STAYS
[000:07:26;345] OFF SHORE OR NOT.
[000:07:27;747] >> WE'LL KEEP WATCHING.
[000:07:29;749] AL ROKER, THANKS VERY MUCH.
[000:07:32;318] >>> LET'S TURN NOW TO THAT OTHER
[000:07:33;052] MAJOR DISASTER STILL UNFOLDING
[000:07:33;786] AT THIS HOUR.
[000:07:34;287] IN CENTRAL MEXICO, HUNDREDS ARE
[000:07:37;723] DEAD, THOUSANDS ARE STILL
[000:07:38;858] MISSING AFTER THAT DEVASTATING
[000:07:41;427] 7.1 MAGNITUDE EARTHQUAKE STRUCK
[000:07:44;530] THERE.
[000:07:46;232] NOW A DESPERATE SEARCH IS ON FOR
[000:07:48;534] SURVIVORS AT SITES THAT INCLUDE
[000:07:49;936] A SCHOOL THAT COLLAPSED WITH
[000:07:51;671] STUDENTS INSIDE.
[000:07:53;940] NBC'S MIGUEL ALMAGUER IS THERE
[000:07:54;674] AND HAS THE LATEST.
[000:07:55;208] MIGUEL, GOOD EVENING.
[000:07:55;775] >> Reporter: LESTER, GOOD
[000:07:56;409] EVENING.
[000:07:56;776] THEY ARE ASKING US TO WHISPER
[000:07:57;910] BECAUSE IT APPEARS THEY HAVE
[000:07:58;611] DONE IT AGAIN.
[000:07:59;612] TWO RESCUES MIGHT BE UNDER WAY
[000:08:04;183] RIGHT NOW AT THIS HOUR AT THAT
[000:08:05;585] SCHOOL YOU MENTIONED.
[000:08:06;152] THEY'RE LISTENING FOR SIGNS OF
[000:08:06;886] LIFE.
[000:08:07;186] DOZENS OF BODIES HAVE BEEN
[000:08:07;854] RECOVERED THERE, BUT DOZENS HAVE
[000:08:08;588] ALSO BEEN SAVED.
[000:08:09;322] THE DEATH TOLL STANDS AT 225 AND
[000:08:11;858] GROWING, BUT THIS IS A SIGN OF
[000:08:17;830] HOPE.
[000:08:18;130] TONIGHT, THIS IS THE
[000:08:19;265] HEART-POUNDING DRAMA PLAYING OUT
[000:08:21;234] ACROSS MEXICO CITY.
[000:08:22;668] RESCUE TEAMS AT AN ELEMENTARY
[000:08:24;070] SCHOOL FINDING CHILDREN BURIED
[000:08:25;805] BENEATH PILES OF DEBRIS.
[000:08:27;507] ONE BY ONE, PULLING THEM TO
[000:08:28;941] SAFETY.
[000:08:30;643] THIS WAS THE SCHOOL BEFORE.
[000:08:32;345] NOW LITERALLY FLATTENED.
[000:08:34;046] THEY CALL THIS THE MIRACLE IN
[000:08:36;315] THE RUBBLE.
[000:08:37;750] THE CRISIS STILL UNFOLDING
[000:08:40;019] TODAY.
[000:08:42;021] JUST MOMENTS AFTER THE CHEERS --
[000:08:45;424] >> SILENCIO.
[000:08:47;693] >> Reporter: FISTS GO UP, THE
[000:08:49;695] SIGNAL FOR SILENCE.
[000:08:51;397] SEARCH TEAMS CAN FAINTLY HEAR A
[000:08:53;666] NEW CRY FOR HELP.
[000:08:55;935] THIS TIME TWO LITTLE GIRLS
[000:08:58;237] RESCUED.
[000:09:03;342] THIS SEARCH COMMANDER SAYS HE
[000:09:04;043] HAS CHILDREN OF HIS OWN.
[000:09:05;044] THESE KIDS ARE MY FAMILY.
[000:09:06;746] I WANT TO BRING THEM HOME.
[000:09:08;481] BUT MORE THAN 20 STUDENTS HERE
[000:09:10;182] DIDN'T MAKE IT.
[000:09:12;752] LUIS CARLOS SAYS HE HAS NO IDEA
[000:09:14;420] HOW HE GOT OUT.
[000:09:16;155] I SAW THE WHOLE SCHOOL FALL
[000:09:17;857] DOWN, BUT I NEVER FOUND MY
[000:09:19;859] FRIENDS.
[000:09:21;827] ACROSS THIS SHATTERED COUNTRY,
[000:09:23;262] THERE IS MORE HEARTBREAK THAN
[000:09:24;130] DEBRIS.
[000:09:26;699] THESE ARE THE FACES OF ANGUISH.
[000:09:31;804] PARENTS DESPERATELY CLINGING TO
[000:09:36;609] HOPE.
[000:09:38;344] GLORIA HERNANDEZ CLUTCHES THE
[000:09:40;313] PHOTO OF HER 24-YEAR-OLD SON
[000:09:41;447] IVAN BURIED BENEATH SIX FLOORS
[000:09:42;181] OF RUBBLE IN HIS OFFICE.
[000:09:43;182] TIME IS SLIPPING AWAY RIGHT
[000:09:46;285] BEFORE HER EYES.
[000:09:48;020] SHE SAYS, I'M PLEADING TO THE
[000:09:51;424] GOVERNMENT FOR HELP.
[000:09:51;958] MY SON HAS BEEN BURIED FOR
[000:09:52;625] HOURS.
[000:09:52;925] NOBODY WILL TELL ME A THING.
[000:09:56;262] TUESDAY'S MASSIVE 7.1 EARTHQUAKE
[000:09:58;264] LEVELED 38 BUILDINGS AND AN
[000:10:02;501] UNTOLD NUMBER OF HOMES AND
[000:10:04;804] THREATENED TO SING TOUR BOATS IN
[000:10:06;205] THE WATER.
[000:10:08;240] >> OH, MY GOSH.
[000:10:10;509] >> Reporter: 75 MILES AWAY, THE
[000:10:12;478] EPICENTER IS A DISASTER.
[000:10:14;447] CHURCHES HAVE CRUMBLED, MANY ARE
[000:10:15;615] LOSING FAITH.
[000:10:17;316] SOCIAL MEDIA IS INUNDATED WITH
[000:10:18;751] DESPERATE PLEAS FOR HELP FOR
[000:10:20;152] THOSE LOOKING FOR LOVED ONES.
[000:10:22;154] WHILE THE NAMES OF THOSE PULLED
[000:10:24;423] FROM THE RUBBLE ARE WRITTEN DOWN
[000:10:25;858] ON PAPER FOR WAITING FAMILIES TO
[000:10:27;827] SEE.
[000:10:29;562] BUT TONIGHT THERE IS NO MATCH
[000:10:30;663] FOR THIS MOM.
[000:10:32;098] IVAN REMAINS AMONG THE MISSING.
[000:10:33;232] AN EARTHQUAKE SHATTERING HOMES
[000:10:34;367] AND NOW SO MANY LIVES.
[000:10:35;534] TONIGHT ON THE HEELS OF THOSE
[000:10:38;638] TWO GIRLS THAT WERE RESCUED, IT
[000:10:40;373] APPEARS TWO MORE PEOPLE ARE
[000:10:41;040] BEING PULLED FROM THE RUBBLE.
[000:10:43;476] OFFICIALS SAY AT LEAST 54 PEOPLE
[000:10:44;210] HAVE BEEN PULLED FROM THIS
[000:10:44;877] DEBRIS FIELD.
[000:10:45;311] IT IS A GLIMMER OF HOPE ACROSS A
[000:10:50;316] REGION SURROUNDED BY SO MUCH
[000:10:56;555] LOSS.
[000:11:01;394] LESTER?
[000:11:01;727] >> MIGUEL, OUR HATS OFF TO THOSE
[000:11:02;461] BRAVE RESCUERS.
[000:11:02;928] WE WISH THEM GREAT SUCCESS AS
[000:11:03;629] THEY CONTINUE THEIR WORK.
[000:11:04;263] THANK YOU.
[000:11:06;232] >>> THE WELL KNOWN ROMA NORTE
[000:11:07;667] NEIGHBORHOOD, OF MEXICO CITY WAS
[000:11:09;669] HARD HIT BY THE EARTHQUAKE.
[000:11:11;103] AND TODAY NBC'S JOSE DIAZ-BALART
[000:11:19;311] GOT CLOSE TO ONE OF THE RESCUE
[000:11:22;748] EFFORTS GOING ON THERE IN A
[000:11:24;717] COLLAPSED BUILDING.
[000:11:25;851] >> Reporter: GOOD AFTERNOON.
[000:11:27;286] WHAT IS HAPPENING RIGHT HERE IS
[000:11:28;988] HAPPENING THROUGHOUT THE CITY OF
[000:11:30;690] MEXICO.
[000:11:32;391] THIS IS ONE OF AT LEAST 44
[000:11:34;393] STRUCTURES AND BUILDINGS THAT
[000:11:36;095] COLLAPSED AFTER THIS EARTHQUAKE
[000:11:38;097] STRUCK MEXICO CITY AND OTHER
[000:11:40;366] PARTS OF THIS COUNTRY.
[000:11:42;935] AND WHAT YOU'RE SEEING NOW ARE
[000:11:46;072] ACTUALLY EXPERTS IN FINDING
[000:11:46;739] SURVIVORS BURIED THROUGH RUBBLE.
[000:11:47;473] THEY LITERALLY BURROW THROUGH
[000:11:48;174] TONS OF CONCRETE, STEEL AND
[000:11:48;841] CABLES SEARCHING FOR VICTIMS
[000:11:49;542] THAT MAY HAVE SURVIVED THIS.
[000:11:50;209] THIS IS GOING ON THROUGHOUT THE
[000:11:50;943] CITY.
[000:11:52;878] IT'S AN EXTREMELY DANGEROUS JOB.
[000:11:55;181] THERE ARE SOME GAS LEAKS AROUND
[000:11:56;582] HERE.
[000:11:58;584] PEOPLE ARE VERY CONCERNED ABOUT
[000:12:00;019] THAT.
[000:12:02;855] AND THE WHOLE PROCESS IS BEING
[000:12:04;557] HANDLED HERE AS THERE ARE
[000:12:06;559] LITERALLY THOUSANDS OF PEOPLE
[000:12:07;693] THAT HAVE COME OUT HERE TO
[000:12:08;360] VOLUNTEER, TO DO WHAT THEY CAN
[000:12:09;095] TO HELP.
[000:12:09;428] THAT'S THE VERY LATEST FROM
[000:12:11;097] MEXICO CITY.
[000:12:11;497] LESTER, BACK TO YOU.
[000:12:12;231] >> ALL RIGHT, JOSE, THANK YOU.
[000:12:13;099] >>> THE QUAKE IN MEXICO WAS A
[000:12:13;933] JARRING REMINDER OF THE BIG ONE
[000:12:17;369] THAT EXPERTS WARN MAY BE IN
[000:12:21;073] CALIFORNIA'S NOT TOO DISTANT
[000:12:22;775] FUTURE.
[000:12:24;477] SMALL QUAKES ARE A FACT OF LIFE
[000:12:26;512] ALONG THE WEST COAST.
[000:12:28;447] THE MOST RECENT A 3.6 MAGNITUDE
[000:12:29;615] THAT RATTLED NEIGHBORHOODS ON
[000:12:30;316] L.A.'S WEST SIDE LATE MONDAY
[000:12:31;283] NIGHT.
[000:12:32;418] BUT HISTORY SUGGESTS A MAJOR
[000:12:33;853] QUAKE IS COMING.
[000:12:35;855] THE QUESTIONS ARE WHEN AND WILL
[000:12:38;958] CALIFORNIA BE READY.
[000:12:40;960] NBC'S JO LING KENT REPORTS.
[000:12:42;962] >> Reporter: IT'S NOT A MATTER
[000:12:44;363] OF IF BUT WHEN.
[000:12:46;098] AS MEXICO REELS FROM ITS 7.1
[000:12:47;833] MAGNITUDE EARTHQUAKE,
[000:12:50;903] CALIFORNIA, FROM LOS ANGELES TO
[000:12:52;638] SAN FRANCISCO, IS ANXIOUS AND ON
[000:12:54;340] EDGE ABOUT WHAT SO MANY FEAR
[000:12:55;775] WILL BE THE BIG ONE.
[000:12:57;209] >> DID YOU FEEL THAT?
[000:12:58;611] >> Reporter: A SMALL EARTHQUAKE
[000:13:02;014] SHOOK L.A.
[000:13:04;583] EARLIER THIS WEEK.
[000:13:05;985] BUT A STUDY FROM THE U.S.
[000:13:07;153] GEOLOGICAL SURVEY SAYS THE
[000:13:08;554] CHANCE OF A QUAKE MAGNITUDE 8 OR
[000:13:09;989] LARGER IN THE NEXT 30 YEARS HAS
[000:13:11;690] DOUBLED SINCE 2008.
[000:13:12;825] EXPERTS SAY A MAJOR QUAKE ALONG
[000:13:14;560] THE SAN ANDREAS FAULT IN
[000:13:15;194] SOUTHERN CALIFORNIA COULD KILL
[000:13:16;529] 1800 PEOPLE, INJURE 53,000,
[000:13:17;663] DESTROY 1500 BUILDINGS AND
[000:13:19;365] DAMAGE 300,000 MORE.
[000:13:22;201] A SERIOUS QUAKE COULD ALSO
[000:13:23;636] CRIPPLE THE CITY'S WATER SUPPLY
[000:13:25;337] AND TAKE AS LONG AS SIX MONTHS
[000:13:27;072] TO REPAIR.
[000:13:28;741] >> WHO THINKS ABOUT THE PIPES IN
[000:13:30;476] THE GROUND?
[000:13:31;877] WE DON'T WANT TO SPEND MONEY ON
[000:13:33;579] THAT.
[000:13:35;581] IT'S OUT OF SIGHT, OUT OF MIND.
[000:13:37;016] >> Reporter: WHILE NEARLY $14
[000:13:38;417] BILLION HAS BEEN SPENT ON
[000:13:39;885] SEISMIC UPGRADES TO
[000:13:41;253] TRANSPORTATION INFRASTRUCTURE
[000:13:42;988] INCLUDING BRIDGES, THE CITY OF
[000:13:44;690] LOS ANGELES NOW REQUIRES
[000:13:46;692] PROPERTY OWNERS TO RETROFIT
[000:13:48;661] BUILDINGS THAT CANNOT WITHSTAND
[000:13:50;396] A STRONG EARTHQUAKE.
[000:13:51;797] DO YOU FEEL LIKE L.A.
[000:13:53;532] IS READY?
[000:13:54;967] >> L.A. IS GETTING READY AND IS
[000:13:55;701] PROBABLY FAR MORE READY THAN A
[000:13:56;936] LOT OF OTHER CITIES, BUT
[000:13:58;637] THERE'S -- L.A.'S HUGE.
[000:14:00;039] THERE'S A LOT OF OLD STRUCTURES.
[000:14:01;173] >> Reporter: A NEW PREPAREDNESS
[000:14:04;310] PLAN HAS LANDED ON MAYOR ERIC
[000:14:07;146] GARCETTI'S DESK AND HAS NOT YET
[000:14:09;148] BEEN RELEASED.
[000:14:09;715] THE U.S. HOUSE RECENTLY APPROVED
[000:14:10;449] FEDERAL FUNDING FOR AN
[000:14:11;050] EARTHQUAKE EARLY WARNING SYSTEM
