[000:00:01;167] AND ALSO, THURSDAY.
[000:02:20;840] >> WE ARE RIGHT NOW GATHERING
[000:02:22;242] INFORMATION ABOUT THIS
[000:02:22;842] PARTICULAR EVENT.
[000:02:27;013] WHAT WE HAVE SEEN INDICATES THAT
[000:02:27;747] THIS IS CLEARLY A BIG EVENT OF
[000:02:28;481] GRAVE CONCERN.
[000:02:29;682] >> Reporter: JUST HOW GRAVE
[000:02:30;884] BECOMING MORE CLEAR TONIGHT.
[000:02:32;218] ANN CURRY SPOKE WITH A DOCTOR
[000:02:34;821] INSIDE SYRIA TREATING SOME OF
[000:02:36;356] THOSE VICTIMS.
[000:02:38;958] FEARING FOR HIS OWN LIFE, HE
[000:02:39;826] WOULD NOT GO ON CAMERA.
[000:02:43;596] >> DIED VIOLENTLY WHILE SLEEPING
[000:02:46;799] AND DIED HUNGRY.
[000:02:48;101] >> DOCTOR, AFTER THIS
[000:02:49;135] EXPERIENCE, WHAT IS YOUR MESSAGE
[000:02:49;869] TO THE OUTSIDE WORLD?
[000:02:53;239] >> CHEMICAL WEAPONS IS A SHAME
[000:02:56;509] ON THE FACE OF HUMANITY.
[000:03:00;113] I CAN'T IMAGINE THAT THE
[000:03:03;249] INTERNATIONAL COMMUNITY CANNOT
[000:03:06;920] DO ANYTHING EXCEPT MEETING AND
[000:03:07;654] PROMISING.
[000:03:10;723] IS THIS THE TRUTH?
[000:03:11;457] IS THIS REAL?
[000:03:12;659] >> Reporter: THE PRESIDENT IS
[000:03:14;994] CONSIDERING A VERY NARROW RANGE
[000:03:16;229] OF MILITARY OPTIONS.
[000:03:17;830] BOOTS ON THE GROUND OR A NO-FLY
[000:03:18;932] ZONE, BOTH ARE OUT OF THE
[000:03:19;899] QUESTION.
[000:03:23;736] WHAT IS ON THE TABLE, LIMITED
[000:03:24;537] AIR STRIKES, MOST LIKELY CRUISE
[000:03:25;838] MISSILES LAUNCHED FROM NAVY
[000:03:28;942] DESTROYERS TARGETING
[000:03:30;210] KEY ASSAD MILITARY
[000:03:32;078] COMMAND POSTS AND WHILE THE U.S.
[000:03:33;980] AND WHILE THE U.S.
[000:03:34;514] IS STILL GATHERING EVIDENCE,
[000:03:35;215] EMOTIONS ARE HIGH.
[000:03:37;116] >> THIS IS QUITE POWERFUL AND
[000:03:39;052] CLEARLY IT'S SOMETHING THAT HAS
[000:03:42;989] NOT BEEN FAKED.
[000:03:44;857] RELATIONSHIP THE PRESIDENT
[000:03:46;859] SAID REPEATEDLY THE USE OF
[000:03:47;994] CHEMICAL WEAPONS BY BASHAR
[000:03:50;430] AL ASSAD WOULD CROSS THE RED
[000:03:51;130] LINE.
[000:03:51;497] AND IT IS THE PUBLIC PLEDGE
[000:03:52;165] COUPLED WITH THE HORRIFIC
[000:03:53;433] PICTURES THAT PROMPTED SENIOR
[000:03:54;133] OFFICIALS TO CONSIDER SPECIFIC
[000:03:56;669] MILITARY RESPONSES, EVEN AS THE
[000:03:57;403] PRESIDENT PREACHES CAUTION.
[000:03:58;371] >> SOMETIMES WHAT WE HAVE SEEN
[000:04:02;709] IS THAT FOLKS WILL CALL FOR
[000:04:07;880] IMMEDIATE ACTION, JUMPING INTO
[000:04:08;615] STUFF THAT DOES NOT TURN OUT
[000:04:09;315] WELL.
[000:04:10;016] >> Reporter: BUT DEMAND TO DO
[000:04:10;717] SOMETHING IS GROWING.
[000:04:13;152] >> WHEN DOES THE UNITED STATES,
[000:04:15;722] WITH VERY LITTLE COST, STAND UP
[000:04:16;589] FOR THESE PEOPLE?
[000:04:18;057] >> Reporter: ONE PENTAGON
[000:04:19;659] OFFICIAL TOLD NBC'S JIM
[000:04:20;693] MIKLASZEWSKI, IF THE PRESIDENT
[000:04:22;161] WANTS TO SEND A MESSAGE, WE ARE
[000:04:23;363] GOOD AT SENDING MESSAGES.
[000:04:25;665] BUT IF HE WANTS REGIME CHANGE,
[000:04:27;700] WE'RE NOT ABLE TO DO THAT
[000:04:28;368] EASILY.
[000:04:28;901] KEY PRESIDENTIAL AIDES ARE SPLIT
[000:04:29;636] OF HOW TO RESPOND.
[000:04:33;039] AS THE INTERNAL DEBATE
[000:04:34;807] ABOUT SYRIA HAS
[000:04:37;010] DEVELOPED OVER MONTH,
[000:04:38;278] NATIONAL SECURITY ADVISER
[000:04:40;647] SUSAN RICE AND
[000:04:43;516] AND DENIS McDONOUGH HAVE URGED
[000:04:44;951] AGGRESSIVE ACTION.
[000:04:48;921] DEMPSEY EXPRESSED RELUCTANCE.
[000:04:49;922] SECRETARY OF STATE JOHN KERRY
[000:04:50;623] INITIALLY AGGRESSIVE AND
[000:04:51;357] SOFTENED UNTIL THE LATEST
[000:04:51;991] PICTURES EMERGED AND TODAY IS
[000:04:52;692] ADVOCATING AN AGGRESSIVE
[000:04:53;326] RESPONSE.
[000:04:53;793] BUT NOTHING HAPPENS UNTIL THERE
[000:04:54;527] ARE TWO THINGS THAT ARE
[000:04:55;128] DETERMINED.
[000:04:58;931] NUMBER ONE, THAT THE U.S. GETS
[000:04:59;732] ACTUAL PROOF THAT ASSAD USED
[000:05:00;433] CHEMICAL WEAPONS.
[000:05:02;869] THEY'RE TRYING TO DO THAT AND,
[000:05:04;504] SECOND, THEY NEED TO HAVE A
[000:05:05;405] LEGAL JUSTIFICATION.
[000:05:06;806] LESTER, FOR INSTANCE, IN LIBYA,
[000:05:08;274] THERE WAS A U.N. RESOLUTION TO
[000:05:09;442] ENFORCE.
[000:05:11;544] HERE IN SYRIA RIGHT NOW, THERE
[000:05:12;278] IS NOTHING LIKE THAT ON THE
[000:05:12;945] TABLE.
[000:05:13;413] >> ALL RIGHT.
[000:05:14;080] CHUCK TODD LEADING US OFF
[000:05:14;714] TONIGHT.
[000:05:15;348] THANKS.
[000:05:16;783] >>> NOW TO THE WAR AT HOME AND
[000:05:18;251] THE SHIFTING BATTLE FRONT IN
[000:05:19;585] THIS SEASON OF WILDFIRES.
[000:05:20;853] TONIGHT, THE MASSIVE
[000:05:22;522] MOBILIZATION OF EQUIPMENT AND
[000:05:24;357] MANPOWER WE HAVE BEEN WITNESSING
[000:05:25;625] ACROSS THE WEST THE LAST FEW
[000:05:27;160] WEEKS IS ON THE MOVE TO
[000:05:31;197] CALIFORNIA AND WHAT HAS NOW
[000:05:31;964] BECOME THE COUNTRY'S MOST
[000:05:32;765] DANGEROUS WILDFIRE.
[000:05:36;269] OFFICIALS SAY THE BLAZE BEING
[000:05:36;969] FOUGHT AT THE EDGE OF YOSEMITE
[000:05:37;704] HAS TAKEN TOP PRIORITY HAVING
[000:05:38;705] JUST EXPLODED IN SIZE SINCE OUR
[000:05:39;572] REPORT LAST NIGHT.
[000:05:45;745] MIGUEL ALMAGUER IS THERE.
[000:05:46;379] HE IS SURVEYING THE DESTRUCTION
[000:05:47;113] FOR US.
[000:05:47;447] MIGUEL, GOOD EVENING.
[000:05:48;014] >> Reporter: LESTER, GOOD
[000:05:48;648] EVENING.
[000:05:51;250] THE MOONSCAPE HERE SPREADS FOR
[000:05:51;984] MILES.
[000:05:55;722] THIS FIRE IS MASSIVE.
[000:05:58;291] SO FAR MORE THAN 106,000 ACRES
[000:06:00;159] HAVE BEEN CHARRED, AND THE FIRE
[000:06:00;893] IS GROWING LARGER AND LARGER
[000:06:02;995] LIVE
[000:06:06;232] TO PUT THAT INTO PERSPECTIVE THE
[000:06:06;966] BURN ZONE IS THREE TIMES THE
[000:06:07;667] CITY OF SAN FRANCISCO.
[000:06:10;970] AND TODAY THE BLAZE IS MOVING IN
[000:06:11;704] MULTIPLE DIRECTIONS.
[000:06:12;238] THE INFERNO HAS ALREADY CREPT IN
[000:06:12;972] TO YOSEMITE NATIONAL PARK.
[000:06:16;409] FOR NOW HAVE IT REMAINS SOME 20
[000:06:17;143] MILES AWAY FROM YOSEMITE VALLEY,
[000:06:17;877] ONE OF THE COUNTRY'S GREATEST
[000:06:18;711] TREASURES.
[000:06:25;284] A WALL OF FLAMES, THE RIM FIRE
[000:06:26;018] IS ON THE RUN IN NEARLY
[000:06:26;619] INACCESSIBLE TERRAIN.
[000:06:27;186] IT SHOWS NO SIGN OF SLOWING
[000:06:28;454] DOWN.
[000:06:30;823] OVERNIGHT, QUADRUPLING IN SIZE,
[000:06:33;192] THE INFERNO IS NOW CLOSING IN ON
[000:06:37;830] 165 SQUARE MILES.
[000:06:38;831] >> THE BIGGEST CHALLENGE IS THE
[000:06:39;565] FIRE ITSELF.
[000:06:41;267] I MEAN, IT'S MAKING ITS OWN
[000:06:41;934] WEATHER.
[000:06:44;737] THE 40,000-FOOT COLUMNS ARE
[000:06:45;571] JUST UNREAL.
[000:06:46;472] >> Reporter: WHIPPING ACROSS
[000:06:47;607] DRIED OUT HILLS, WHIPPED BY
[000:06:50;443] GUSTY CANYON WINDS, THE
[000:06:53;346] CALIFORNIA GOVERNOR HAS DECLARED
[000:06:55;815] A STATE OF EMERGENCY, OPENING
[000:06:57;350] THE DOOR FOR ADDITIONAL HELP.
[000:07:01;721] >> WE ARE REACHING OUT.
[000:07:04;557] CANADA OFFERED UP FIVE OF THEIR
[000:07:05;291] CREWS TODAY.
[000:07:05;858] >> Reporter: MORE THAN 2,000
[000:07:07;693] FIREFIGHTERS ARE HERE, BUT THEY
[000:07:08;428] ARE LOSING GROUND.
[000:07:08;928] EVEN THE AIR ATTACKS CAN'T SLOW
[000:07:09;662] THIS BLAZE.
[000:07:10;596] >> IF YOU WATCH THOSE TREES
[000:07:14;267] SPONTANEOUSLY BURST, IT'S NOT
[000:07:17;003] 1, IT'S 10, 15 OF THEM, IT IS
[000:07:19;105] PRETTY FRIGHTENING.
[000:07:21;674] >> Reporter: WE FOUND STRIKE
[000:07:22;375] TEAM CHARLIE, THE TACTICAL UNIT
[000:07:23;109] OF 16, TRYING TO DEFEND THEIR
[000:07:23;810] HOMETOWN.
[000:07:24;177] WHEN CONDITIONS TURN IN
[000:07:24;777] FIREFIGHTERS' FAVOR, LIKE THE
[000:07:25;945] WIND RIGHT NOW, THEY ARE ABLE TO
[000:07:30;349] SET BACKFIRES TO MAKE THIS BLAZE
[000:07:31;083] CLOSE IN ON ITSELF TO SUFFOCATE
[000:07:31;818] ITSELF OUT.
[000:07:32;218] THE WORK SHIFT WILL LAST 36
[000:07:38;491] HOURS, THEN A BREAK WHERE THEY
[000:07:39;225] WILL SLEEP IN THE DIRT.
[000:07:48;601] >>YOU GET PRETTY TIRED, BUT
[000:07:50;369] IT'S WHAT YOU HAVE TO DO.
[000:07:51;604] >> Reporter: SAFETY FIRST, THIS
[000:07:52;338] IS DANGEROUS, EVEN DEADLY WORK.
[000:07:53;372] >> WHY DIDN'T YOU PUT
[000:07:54;307] FIREFIGHTERS DOWN THERE AND I
[000:07:56;008] SAY, WHY DIDN'T YOU PUT YOUR
[000:07:56;709] CHILDREN DOWN THERE?
[000:07:57;243] WOULD YOU?
[000:07:57;610] >> Reporter: EVACUATIONS
[000:07:58;244] CONTINUE IN TOWNS NEAR YOSEMITE
[000:07:58;978] NATIONAL PARK.
[000:07:59;412] 4500 HOMES ARE THREATENED.
[000:08:00;046] ONE CAMPGROUND IS NOW BEING
[000:08:00;713] CLOSED.
[000:08:02;448] BUT IN THE ICONIC YOSEMITE
[000:08:05;918] VALLEY, 20 MILES AWAY, TOURISTS
[000:08:08;120] ENJOY VIEWS OF HALF DOME.
[000:08:09;222] >> AWESOME.
[000:08:09;922] >> GORGEOUS.
[000:08:12;825] WE WERE COMING TO YOSEMITE NO
[000:08:13;526] MATTER WHAT HAPPENS.
[000:08:15;461] >> Reporter: STILL, THERE ARE
[000:08:16;162] WARNING SIGNS EVERYWHERE.
[000:08:16;796] MOTHER NATURE'S BEAUTY IS
[000:08:17;430] THREATENED BY HER FURY.
[000:08:18;231] TONIGHT, FIRE OFFICIALS TELL US
[000:08:19;298] SEVERAL COMMUNITIES ARE IN
[000:08:20;199] IMMEDIATE DANGER.
[000:08:21;634] AS A MATTER OF FACT, THIS
[000:08:23;436] AFTERNOON, THEY ARE WORRIED THEY
[000:08:24;303] WILL LOSE HOMES.
[000:08:33;246] THIS BLAZE IS ROUGHLY 2%
[000:08:35;748] CONTAINED AND COST $5 MILLION TO
[000:08:36;482] FIGHT SO FAR.
[000:08:36;916] LESTER?
[000:08:37;250] >> MIGUEL, THANKS.
[000:08:37;750] PUTTING THIS ALL IN PERSPECTIVE
[000:08:38;484] FOR US.
[000:08:38;818] >>> THE FIRE DANGER CONTINUES IN
[000:08:40;887] TO THE WEEKEND ACROSS A HUGE
[000:08:41;587] PART OF THE COUNTRY WHERE
[000:08:42;221] SUDDENLY IT IS LIKE THE WILD,
[000:08:42;922] WILD WEST.
[000:08:45;057] A MASSIVE DUST STORM, A FREAK
[000:08:47;093] HAILSTORM AND NEW FLASH FLOOD
[000:08:47;793] WARNINGS TONIGHT, ALL HITTING AT
[000:08:48;528] ONCE.
[000:08:49;795] FOR MORE ON THAT, WE GO TO
[000:08:50;463] METEOROLOGIST JIM CANTORE AT
[000:08:51;163] WEATHER CHANNEL HEADQUARTERS.
[000:08:52;431] HI, JIM.
[000:08:53;232] >> HEY, LESTER.
[000:08:53;699] HOW ARE YOU DOING?
[000:08:57;203] YOU KNOW, THE IMPORTANT THING
[000:08:57;904] ABOUT CALIFORNIA RIGHT NOW, WE
[000:08:58;671] HAVEN'T EVEN GOTTEN INTO WHAT IS
[000:08:59;906] KNOWN AS THE SANTA ANA SEASON
[000:09:01;874] FOR SOUTHERN
[000:09:02;275] CALIFORNIA.
[000:09:02;742] SO YOU DON'T SEE MANY RED DOTS.
[000:09:04;043] IN THROUGH HERE.
[000:09:04;510] ALL OF THESE DOTS REPRESENT ALL
[000:09:07;280] OF THE LARGE FIRES
[000:09:08;948] OUT THERE,
[000:09:11;050] THE DOZENS OF LARGE FIRES OUT
[000:09:11;751] THERE.
[000:09:13;886] BUT AS WE GET IN TO THIS
[000:09:14;520] WEEKEND, A DEEP SURGE OF
[000:09:15;154] TROPICAL MOISTURE WILL COME
[000:09:15;821] NORTH, ACROSS THE WEST.
[000:09:17;957] IT WON'T GET IN THE FIRE ZONES,
[000:09:18;925] UNFORTUNATELY.
[000:09:19;358] IT MAY HELP A COUPLE OF THESE,
[000:09:20;092] BUT WE DON'T THINK IT WILL HELP
[000:09:20;826] MANY.
[000:09:21;127] LOOK AT THIS.
[000:09:26;232] LOCALLY 2 TO 3 INCHES OF RAIN.
[000:09:26;933] YOU MAY NOT THINK THAT IS MUCH
[000:09:27;967] BUT THERE ARE SOME PLACES IN
[000:09:28;668] CALIFORNIA AND ARIZONA THAT GET
[000:09:30;670] 2 TO 3 INCHES IN A YEAR, SO
[000:09:32;638] THIS IS A TREMENDOUS FLOOD
[000:09:33;306] THREAT FOR THE WEST.
[000:09:33;839] LET ME SHOW YOU THE KIND OF
[000:09:34;507] WEATHER THAT ACCOMPANIES
[000:09:36;642] MOISTURE ONCE YOU GET IT INTO
[000:09:37;376] THE WEST.
[000:09:39;679] LITTLETON, COLORADO, THIS
[000:09:41;647] IS A STORM THAT GOT
[000:09:43;282] UP TO EIGHT TO TEN MILES HIGH.
[000:09:44;083] INSTEAD OF PRODUCING RAIN, WHEN
[000:09:46;919] IT COLLAPSED, IT PRODUCED HAIL
[000:09:47;853] AND TONS OF HAIL, ENOUGH IT HAD
[000:09:48;588] TO BE REMOVED BY SNOWPLOWS IN
[000:09:49;288] LITTLETON, COLORADO.
[000:09:50;723] OFF TO YUMA, ARIZONA, NO RAIN OR
[000:09:53;025] NO HAIL HERE.
[000:09:54;860] WE'RE ACTUALLY TALKING
[000:09:56;762] ABOUT DUST THAT FELL AND WAS
[000:09:57;463] PUSHED FROM THESE STORMS BECAUSE
[000:09:58;197] BASICALLY AS THESE STORMS
[000:10:01;934] COLLAPSE, THE AIR BELOW IT IS
[000:10:02;635] TOO DRY.
[000:10:03;035] SO AS WE GO HURRICANELESS IN THE
[000:10:03;836] ATLANTIC BASIN, A SERIOUS
[000:10:05;605] TROPICAL FLOOD THREAT FOR THE
[000:10:06;305] WEST THIS WEEKEND AND BEYOND.
[000:10:08;474] >> JIM CANTORE, THANKS.
[000:10:13;212] >>> ARMY MAJOR NIDAL HASAN, THE
[000:10:17;249] FORMER ARMY PSYCHIATRIST ON
[000:10:19;018] TRIAL FOR A SHOOTING RAMPAGE AT
[000:10:21;554] FT. HOOD HAS BEEN FOUND GUILTY
[000:10:22;588] BY A MILITARY JURY.
[000:10:23;122] IT DIDN'T TAKE LONG.
[000:10:23;656] LESS THAN SEVEN HOURS OF
[000:10:24;290] DELIBERATIONS OVER TWO DAYS.
[000:10:26;959] NBC'S MARK POTTER WAS AT FT.
[000:10:28;694] HOOD, TEXAS, TONIGHT WITH MORE.
[000:10:29;729] MARK, GOOD EVENING.
[000:10:33;065] >> Reporter: GOOD EVENING,
[000:10:33;899] LESTER.
[000:10:39;538] THE TRIAL THAT WAS EMOTIONAL FOR
[000:10:43;109] THE VICTIMS' FAMILIES TOOK THREE
[000:10:43;843] WEEKS.
[000:10:44;143] IN FEWER THAN SEVEN HOURS, THE
[000:10:44;877] JURY FOUND NIDAL HASAN GUILTY OF
[000:10:45;611] ALL CHARGES.
[000:10:46;078] [ SIRENS ]
[000:10:50;816] THE VERDICT COMES NEARLY FOUR
[000:10:51;517] YEARS AFTER THE SHOOTING RAMPAGE
[000:10:52;251] AT A FT. HOOD MEDICAL PROCESSING
[000:10:52;985] CENTER.
[000:10:53;319] MAJOR NIDAL HASAN WHO ADMITTED
[000:10:54;053] HE WAS THE GUNMAN WAS FOUND
[000:10:55;187] GUILTY OF ALL 13 COUNTS OF
[000:10:55;855] PREMEDITATED MURDER AND 32
[000:10:56;522] COUNTS OF PREMEDITATED ATTEMPTED
[000:10:57;256] MURDER.
[000:11:01;293] AS THE VERDICT WAS READ IN
[000:11:01;961] COURT, HASAN, ACTING AS HIS OWN
[000:11:06;799] LAWYER, SHOWED NO EMOTION.
[000:11:08;200] PROSECUTORS ARE SEEKING THE
[000:11:08;868] DEATH PENALTY.
[000:11:09;368] 16 FAMILY MEMBERS REPRESENTING
[000:11:13;039] THE MURDER VICTIMS WILL BE
[000:11:15;007] ALLOWED TO ADDRESS THE COURT AND
[000:11:15;741] HASAN.
[000:11:16;108] >> I THINK IT IS ALSO IMPORTANT
[000:11:18;244] THAT THESE VICTIMS FINALLY HAVE
[000:11:19;745] THE OPPORTUNITY TO EXPRESS TO
[000:11:21;814] THIS JURY THE MAGNITUDE
[000:11:25;851] OF THE SUFFERING THAT HE
[000:11:26;619] INFLICTED ON THEM AND THE WAY HE
[000:11:27;353] DESTROYED THEIR LIVES.
[000:11:28;220] >> Reporter: HASAN PARALYZED IN
[000:11:32;091] THE SHOOTOUT PUT ON NO DEFENSE
[000:11:34;093] CASE, BUT AT SENTENCING, HE IS
[000:11:34;994] EXPECTED TO SPEAK.
[000:11:36;262] HE HAS ALREADY SAID HE SWITCHED
[000:11:37;229] SIDES TO PROTECT ISLAM AND
[000:11:37;897] LEADERS OF THE TALIBAN.
[000:11:39;665] >> THERE IS A RELIGIOUS,
[000:11:43;836] AND A POLITICAL COMPONENT TO IT
[000:11:47;139] AND IN HIS CASE,
[000:11:48;441] A PERSONAL, MORAL COMPONENT TO
[000:11:49;175] IT.
[000:11:50;176] >> Reporter: DURING THE TRIAL,
[000:11:51;811] PROSECUTORS PRESENTED 89
[000:11:53;746] WITNESSES, MANY OF WHOM GAVE
[000:11:54;447] GRAPHIC ACCOUNTS OF THE BLOODY
[000:11:55;181] MASSACRE.
[000:11:56;048] ONE TOLD OF HEARING ARMY PRIVATE
[000:11:58;718] FIRST CLASS FRANCHESKA VELEZ
[000:12:00;219] SCREAMING, MY BABY, MY BABY, MY
[000:12:01;120] BABY BEFORE SHE WAS KILLED.
[000:12:05;991] PROSECUTORS SAY HASAN
[000:12:07;993] CAREFULLY PLANNED THE ATTACK AND
[000:12:09;729] FIRED 150 ROUNDS INSIDE THE ARMY
[000:12:10;463] MEDICAL BUILDING.
[000:12:11;330] IF HASAN IS SENTENCED TO DIE AND
[000:12:14;700] HIS CASE SURVIVES THE LENGTHY
[000:12:15;401] APPEALS, LEGAL EXPERTS SAY HE
[000:12:18;270] COULD BECOME THE FIRST SOLDIER
[000:12:19;071] EXECUTED BY THE MILITARY IN MORE
[000:12:19;805] THAN 50 YEARS.
[000:12:20;673] LESTER?
[000:12:22;241] >> MARK POTTER TONIGHT, THANKS.
[000:12:24;643] >>> ALSO, A U.S. SOLDIER WHO
[000:12:27;079] MASSACRED 16 AFGHAN CIVILIANS
[000:12:29;448] LAST YEAR WAS SENTENCED
[000:12:31;851] TODAY TO LIFE IN PRISON WITHOUT
[000:12:32;585] PAROLE.
[000:12:32;918] STAFF SERGEANT ROBERT BALES
[000:12:33;586] PLEADED GUILTY TO AVOID THE
[000:12:34;520] DEATH PENALTY.
[000:12:35;688] EVEN THOUGH HE GOT THE HARSHEST
[000:12:37;523] SENTENCE POSSIBLE, IT WAS
[000:12:40;726] DEEPLY DISSATISFYING TO THE
[000:12:42;328] AFGHAN VILLAGERS WHO WERE
[000:12:43;863] WOUNDED OR LOST LOVED ONES.
[000:12:45;731] SOLVE OF THEM TRAVELED NEARLY
[000:12:47;433] 7,000 MILES TO
[000:12:48;334] WASHINGTON STATE TO MAKE SURE
[000:12:51;337] JUSTICE WAS SERVED, AND TONIGHT
[000:12:52;071] THEY SAY IT WAS NOT.
[000:12:52;638] >>> TONIGHT THERE IS LATE WORD
[000:12:53;405] FROM SAN DIEGO WHERE EMBATTLED
[000:12:56;776] MAYOR BOB FILNER, FACING
[000:12:58;043] ALLEGATIONS OF SEXUAL HARASSMENT
[000:13:01;247] FROM AT LESAT 18 WOMEN, HAS
[000:13:01;914] RESIGNED.
[000:13:03;783] NBC'S JOE FRYER JOINS US WITH
[000:13:04;984] DETAILS.
[000:13:05;317] JOE, GOOD EVENING.
[000:13:06;952] >> Reporter: LESTER, THE SAN
[000:13:08;254] DIEGO CITY COUNCIL HAS VOTED TO
[000:13:11;423] ACCEPT BOB FILNER'S RESIGNATION
[000:13:14;059] BY A 7-0 VOTE AND THAT
[000:13:21;233] RESIGNATION IS
[000:13:21;667] EFFECTIVE AUGUST 30th, WHICH IS
[000:13:22;401] A WEEK FROM TODAY.
[000:13:22;902] AFTER THE VOTE, FILNER DID BREAK
[000:13:23;636] HIS SILENCE.
[000:13:24;103] HE APOLOGIZED TO ANYONE HE
[000:13:28;307] OFFENDED, TO THE CITY AND HIS
[000:13:33;813] EX-FIANCE BUT HE ALSO SAID HE
[000:13:34;513] NEVER SEXUALLY HARASSED ANYONE
[000:13:36;248] AND CALLED IT REMOVAL OF MAYOR
[000:13:38;150] BY RUMOR AND INNUENDO.
[000:13:39;685] >> I THINK I LET YOU DOWN.
[000:13:42;254] >> Reporter: THE CITY
[000:13:43;255] MET BEHIND CLOSED DOORS THIS
[000:13:43;956] AFTERNOON AFTER A PUBLIC
[000:13:44;590] HEARING.
[000:13:46;525] OPINIONS ON ALL SIDES OF THIS
[000:13:47;393] ISSUE BUT IN THE END THEY VOTED
[000:13:49;862] 7-0 TO ACCEPT THE RESIGNATION.
[000:13:53;699] A SPECIAL ELECTION WILL NOW BE
