[000:00:00;567] OLD LOCATION.
[000:07:33;486] STILL ON EDGE.
[000:07:36;756] A BOMB SCARE FORCED THE
[000:07:37;356] EVACUATION OF THE FEDERAL
[000:07:42;728] COURTHOUSE.
[000:07:47;133] AND IT IS A CITY IN MOURNING.
[000:07:49;268] BOSTON UNIVERSITY STUDENT LINGZI
[000:07:50;837] LU IDENTIFIED AS THE THIRD
[000:07:51;504] VICTIM OF THE BOMBING.
[000:07:52;071] THE 23-YEAR-OLD GRADUATE STUDENT
[000:07:52;839] FROM CHINA WAS WATCHING THE
[000:07:53;506] MARATHON WITH TWO OTHER FRIENDS.
[000:07:54;240] DAVE KING FINISHED THE MARATHON
[000:07:54;974] MONDAY.
[000:07:55;842] AN HOUR LATER HE WAS IN THE
[000:07:58;945] OPERATING ROOM AT MASSACHUSETTS
[000:07:59;679] GENERAL HOSPITAL.
[000:08:01;914] THE TRAUMA SURGEON WHO SERVED IN
[000:08:03;049] IRAQ AND AFGHANISTAN, SUDDENLY
[000:08:05;218] FACED DECISIONS HE THOUGHT HE'D
[000:08:05;952] LEFT ON THE BATTLEFIELD --
[000:08:07;220] WHETHER TO AMPUTATE.
[000:08:09;589] >> NATURALLY, YOU WILL ALWAYS
[000:08:10;756] CHOOSE LIFE OVER LIMB.
[000:08:12;158] >> Reporter: AFTER MULTIPLE
[000:08:13;159] AMPUTATIONS AND THREE GRUELLING
[000:08:13;993] DAYS OF SURGERY, KING IS
[000:08:15;194] ASTONISHED BY HIS PATIENTS'
[000:08:15;995] RESILIENCE.
[000:08:22;535] >> THEY UNDERSTAND THAT LOSING A
[000:08:25;371] A LIMB WAS REQUIRED TO SAVE A
[000:08:26;706] THEIR LIFE.
[000:08:29;942] AND THEY ARE JUST AT PEACE WITH
[000:08:30;676] THAT.
[000:08:31;244] I DON'T UNDERSTAND HOW.
[000:08:33;346] >> Reporter: THE STRENGTH OF THE
[000:08:34;080] VICTIMS INSPIRING THE STRENGTH
[000:08:34;814] OF THE CITY.
[000:08:35;348] >> WE ONLY CARE ABOUT THREE
[000:08:36;048] THINGS IN THIS TOWN -- POLITICS,
[000:08:36;916] SPORTS AND REVENGE.
[000:08:39;318] OUR REVENGE IS TO GO BACK TO
[000:08:40;453] NORMAL.
[000:08:40;887] WHAT HAPPENED TO US THE OTHER
[000:08:42;021] DAY WILL NOT COW US.
[000:08:43;589] IT WILL NOT CHANGE US.
[000:08:48;027] >> Reporter: WHILE MOST OF
[000:08:50;129] BOSTON IS BACK AT ITS NORMAL
[000:08:51;697] ROUTINE, DOCTORS ACKNOWLEDGE
[000:08:54;000] THAT THE PHYSICAL AND EMOTIONAL
[000:08:55;568] RECOVERY WILL TAKE NOT ONLY
[000:08:57;537] MONTHS BUT MOST LIKELY YEARS,
[000:08:58;971] ESPECIALLY FOR THOSE WHO WILL
[000:09:00;273] SUFFER WITH POST TRAUMATIC
[000:09:01;641] STRESS DISORDER.
[000:09:02;241] BRIAN?
[000:09:07;079] >> ANNE THOMPSON AT THE COMMAND
[000:09:10;616] POST IN BOSTON TONIGHT.
[000:09:11;217] ANNE, THANKS.
[000:09:11;884] >>> WHILE ALL OF THIS WAS GOING
[000:09:13;019] ON TODAY A SHORT TIME AGO AT THE
[000:09:14;153] WHITE HOUSE, SURROUNDED BY
[000:09:14;887] VICTIMS OF GUN VIOLENCE
[000:09:18;724] INCLUDING NEWTOWN FAMILIES,
[000:09:19;392] PRESIDENT OBAMA SHOWED A RARE
[000:09:21;994] FLASH OF ANGER BECAUSE THE GUN
[000:09:22;728] CONTROL LEGISLATION THAT WAS
[000:09:25;398] SUPPOSED TO TIGHTEN BACKGROUND
[000:09:27;266] CHECKS WAS DEFEATED TODAY IN THE
[000:09:28;000] U.S. SENATE.
[000:09:29;135] THE PRESIDENT CALLED IT A PRETTY
[000:09:30;670] SHAMEFUL DAY FOR WASHINGTON.
[000:09:32;104] NBC'S KELLY O'DONNELL WITH US
[000:09:33;940] FROM CAPITOL HILL TONIGHT.
[000:09:36;776] KELLY, GOOD EVENING.
[000:09:37;977] >> Reporter: GOOD EVENING,
[000:09:39;345] BRIAN.
[000:09:41;180] THE MOOD INSIDE THE SENATE
[000:09:42;181] CHAMBER, WHICH WAS PACKED, WAS
[000:09:43;049] INTENSE WITH EMOTION AS GUN
[000:09:46;919] VICTIMS, SURVIVORS AND MANY OF
[000:09:50;456] THE NEWTOWN FAMILIES WATCHED
[000:09:52;558] SENATORS THEY HAD PERSONALLY MET
[000:09:53;593] WITH VOTE DOWN EXPANDED
[000:09:55;728] BACKGROUND CHECKS.
[000:09:59;098] TONIGHT, THE PRESIDENT GAVE THE
[000:10:00;099] ROSE GARDEN MICROPHONE OVER TO A
[000:10:00;833] NEWTOWN DAD, MARK BARDEN.
[000:10:01;534] >> WE'LL RETURN HOME NOW,
[000:10:04;503] DISAPPOINTED BUT NOT DEFEATED.
[000:10:05;671] >> Reporter: THE PRESIDENT,
[000:10:06;339] CLEARLY ANGRY --
[000:10:06;939] >> THE GUN LOBBY AND ITS ALLIES
[000:10:10;509] WILLFULLY LIED ABOUT THE BILL.
[000:10:13;346] >> Reporter: -- LASHED OUT AT
[000:10:16;015] CONGRESS.
[000:10:19;218] >> THIS WAS A PRETTY SHAMEFUL
[000:10:23;723] DAY FOR WASHINGTON.
[000:10:24;724] THIS EFFORT IS NOT OVER.
[000:10:27;827] I WANT TO MAKE IT CLEAR TO THE
[000:10:29;128] AMERICAN PEOPLE.
[000:10:32;398] WE CAN STILL BRING ABOUT
[000:10:34;266] MEANINGFUL CHANGES THAT REDUCE
[000:10:35;801] GUN VIOLENCE SO LONG AS THE
[000:10:37;069] AMERICAN PEOPLE DON'T GIVE UP ON
[000:10:40;373] IT.
[000:10:44;076] >> Reporter: FROM THE STEPS OF
[000:10:46;045] AIR FORCE ONE LAST WEEK TO THE
[000:10:49;015] U.S. CAPITOL AGAIN TODAY,
[000:10:54;720] NEWTOWN FAMILIES WHO KNOW THE
[000:10:59;692] PAIN OF GUN VIOLENCE HAD BEEN
[000:11:01;961] UNWILLING TO GIVE UP.
[000:11:02;662] >> OUR HEARTS ARE BROKEN.
[000:11:05;231] OUR SPIRIT IS NOT.
[000:11:07;400] >> Reporter: GABBY GIFFORDS, WHO
[000:11:08;134] HAS PERSONALLY LOBBIED SENATORS,
[000:11:08;868] CALLED THE FAILURE TO PASS
[000:11:09;535] EXPANDED BACKGROUND CHECKS
[000:11:10;202] UNTHINKABLE.
[000:11:10;603] TODAY BEING HEARD OR CONSOLED
[000:11:11;303] WAS NOT ENOUGH FOR PATRICIA.
[000:11:11;971] TUCSON SHOOTING SURVIVOR WHO
[000:11:13;506] SHOUTED AT SENATORS, "SHAME ON
[000:11:15;474] YOU."
[000:11:18;611] >> SHAME ON YOU!
[000:11:20;613] >> ORDER IN THE SENATE.
[000:11:21;213] >> THEY HAVE NO COMPASSION.
[000:11:26;419] >> Reporter: SOME NEWTOWN
[000:11:27;053] FAMILIES HELD MORE PRIVATE
[000:11:27;720] MEETINGS.
[000:11:28;487] NO MEDIA COVERAGE.
[000:11:28;988] REPUBLICAN SENATOR MARK KIRK'S
[000:11:29;722] STAFF TOOK THESE PICTURES.
[000:11:30;356] THE LATEST NBC MARIS POLL SHOWS
[000:11:31;691] NEARLY 9 OF 10 SURVEYED WANT
[000:11:33;559] TIGHTER RESTRICTIONS ON GUN
[000:11:35;661] SALES.
[000:11:38;364] FOUR REPUBLICANS VOTED YES TO
[000:11:39;999] EXTEND BACKGROUND CHECKS TO
[000:11:40;800] COMMERCIAL SALES AT GUN SHOWS
[000:11:41;500] AND THE INTERNET.
[000:11:42;001] >> EXPANDED BACKGROUND CHECKS
[000:11:43;502] WOULD NOT HAVE PREVENTED
[000:11:44;136] NEWTOWN.
[000:11:44;503] >> Reporter: CONSERVATIVE
[000:11:45;137] OPPOSITION WAS STRONG.
[000:11:45;771] >> THIS IS THE FIRST STEP IN THE
[000:11:48;207] EROSION OF OUR RIGHTS UNDER THE
[000:11:56;449] SECOND AMENDMENT.
[000:12:01;253] >> WE ARE TRYING TO TAKE IT TO
[000:12:01;987] THE VIOLENT CRIMINAL.
[000:12:02;555] RATHER THAN TAKING IT TO THE
[000:12:03;255] INNOCENT SECOND AMENDMENT LAW
[000:12:03;956] ABIDING CITIZEN.
[000:12:04;423] >> Reporter: USUALLY A VICE
[000:12:05;091] PRESIDENT ARRIVES TO PRESIDE
[000:12:05;791] OVER A WINNING VOTE.
[000:12:06;826] BIDEN WAS HERE TO WITNESS ITS
[000:12:07;526] DEFEAT.
[000:12:08;961] >> THE AMENDMENT IS NOT AGREED
[000:12:12;064] TO.
[000:12:13;499] >> Reporter: FOUR DEMOCRATS FROM
[000:12:14;233] RED STATES WITH HIGH GUN
[000:12:14;867] OWNERSHIP ALSO VOTED NO.
[000:12:18;070] IN TALKING TO THOSE DEMOCRATS
[000:12:18;771] WHO VOTED NO, THEY SAY THEY HAD
[000:12:19;505] INTENSE PRESSURE FROM THEIR HOME
[000:12:20;239] STATE CONSTITUENTS WHO DID NOT
[000:12:20;973] WANT TO SEE EXPANDED BACKGROUND
[000:12:21;707] CHECKS.
[000:12:24;677] ALSO TONIGHT, SENATORS VOTED
[000:12:25;377] DOWN AN ASSAULT WEAPONS BAN AND
[000:12:26;112] LIMITS ON HIGH CAPACITY
[000:12:26;712] AMMUNITION.
[000:12:27;113] IT IS POSSIBLE THAT DEMOCRATS
[000:12:30;416] WILL SIMPLY SHELVE THIS
[000:12:31;016] LEGISLATION IN ORDER TO TRY
[000:12:31;684] AGAIN SOME DAY DOWN THE LINE.
[000:12:32;384] BRIAN?
[000:12:32;685] >> AGAIN, THE PRESIDENT CALLING
[000:12:33;419] THIS ROUND ONE.
[000:12:34;120] KELLY O'DONNELL ON THE HILL
[000:12:34;787] TONIGHT AFTER AN EVENTFUL DAY
[000:12:35;488] THERE.
[000:12:35;855] KELLY, THANKS.
[000:12:36;388] >>> STILL AHEAD FOR US THIS
[000:12:37;256] EVENING, THE UNSETTLING
[000:12:38;557] DEVELOPMENT ELSEWHERE IN
[000:12:39;525] WASHINGTON.
[000:12:40;392] WHO SENT LETTERS LACED WITH
[000:12:41;060] RICIN TO THE PRESIDENT AND AT
[000:12:41;761] LEAST ONE U.S. SENATOR?
[000:12:42;394] EVACUATIONS THERE TODAY AS
[000:12:43;662] MEMORIES OF THE ANTHRAX ATTACKS
[000:12:44;396] CAME RUSHING BACK.
[000:12:46;766] >>> LATER, MAKING A DIFFERENCE.
[000:12:48;067] THEY ARE HERE WITH THE HELP OF
[000:12:50;202] SOME VERY COMFORTING VISITORS AT
[000:12:50;936] A HOSPITAL IN BOSTON.
[000:15:21;687] >>> WE'RE BACK.
[000:15:23;355] AS WE SAID, CONTRIBUTING TO AN
[000:15:25;057] OVERALL FEELING OF UNEASE TODAY
[000:15:25;791] WAS THIS WORD OUT OF WASHINGTON
[000:15:26;926] STARTING LAST NIGHT THAT THE
[000:15:27;893] POISONOUS SUBSTANCE RICIN, WHICH
[000:15:29;328] MOST OF US FIRST GOT A LESSON IN
[000:15:32;765] IN THE DAYS AFTER 9/11.
[000:15:33;465] RICIN HAS BEEN FOUND ON LETTERS
[000:15:34;466] MAILED TO THE PRESIDENT AND AT
[000:15:35;301] LEAST ONE U.S. SENATOR.
[000:15:36;168] THE LETTERS WERE STOPPED AT A
[000:15:37;002] SORTING FACILITY AND NEVER WERE
[000:15:37;736] ALLOWED THROUGH.
[000:15:39;305] NBC'S ANDREA MITCHELL IN OUR
[000:15:40;439] WASHINGTON NEWSROOM HAS BEEN
[000:15:41;140] COVERING THIS TODAY.
[000:15:42;274] ANDREA, GOOD EVENING.
[000:15:42;841] >> Reporter: GOOD EVENING,
[000:15:43;509] BRIAN.
[000:15:45;544] NERVES WERE ALREADY ON EDGE IN
[000:15:47;546] THE CAPITOL BECAUSE OF BOSTON
