[000:00:00;650] TRUMP.
[000:03:18;615] WHY STEPHEN PADDOCK OPENED FIRE
[000:03:21;084] WEDNESDAY NIGHT.
[000:03:22;418] DANLEY, THE GIRLFRIEND, ARRIVED
[000:03:24;287] IN LOS ANGELES OVERNIGHT.
[000:03:25;588] SHE WAS IN THE PHILIPPINES AT
[000:03:26;823] THE TIME OF THE SHOOTING
[000:03:28;057] ACCORDING TO AUTHORITIES.
[000:03:28;925] THE SHERIFF SAYS SHE'S A PERSON
[000:03:30;460] OF INTEREST, NOT A SUSPECT.
[000:03:32;762] INVESTIGATORS SAY THEY WANT TO
[000:03:34;364] FIND OUT WHETHER SHE KNEW WHAT
[000:03:35;698] THE GUNMAN WAS PLANNING.
[000:03:38;001] THE SHERIFF SAYS THE GUNMAN, THE
[000:03:43;640] MURDERER, PLANNED THE MASSACRE
[000:03:44;407] EXTENSIVELY.
[000:03:44;807] STOCKPILING HE SAYS NEARLY TWO
[000:03:45;608] DOZEN GUNS IN HIS HOTEL ROOM AT
[000:03:47;477] MANDALAY BAY.
[000:03:48;511] INVESTIGATORS SAY HE SET UP
[000:03:51;247] CAMERAS ON A ROOM SERVICE CART
[000:03:53;483] OUTSIDE THE DOOR SO HE COULD SEE
[000:03:54;918] BOTH WAYS DOWN THE HALL AND
[000:03:57;020] ANOTHER IN THE PEEP HOLE.
[000:03:59;489] APPARENTLY TO WATCH FOR POLICE
[000:04:00;990] OR SECURITY GUARDS.
[000:04:01;791] THE SHERIFF SAYS THE GUNMAN
[000:04:03;526] KILLED HIMSELF AS SWAT TEAMS
[000:04:06;062] APPROACHED.
[000:04:06;462] JOHN ROBERTS IS LIVE IN
[000:04:07;297] LAS VEGAS ON THE TRIP WITH THE
[000:04:09;032] PRESIDENT OUTSIDE MANDALAY BAY
[000:04:11;367] THIS AFTERNOON.
[000:04:16;306] JOHN?
[000:04:16;606] >> SHEP, GOOD MORNING TO YOU.
[000:04:17;373] THE PRESIDENT JUST WRAPPED UP A
[000:04:18;207] MEETING WITH SOME VICTIMS.
[000:04:20;743] SOME WITH GRIEVOUS INJURIES AND
[000:04:22;412] FAMILY MEMBERS, MEMBERS OF THE
[000:04:24;147] TRAUMA TEAM, THE SURGEONS, O.R.
[000:04:31;821] NURSES AND ALL THOSE THAT HELPED
[000:04:34;457] TO SAVE LIVES.
[000:04:36;526] HE SAID HE WAS OVERWHELMED BY
[000:04:38;194] WHAT HE SAW THERE.
[000:04:39;162] THE PRESIDENT REALLY WANTED TO
[000:04:40;596] COME HERE.
[000:04:41;164] MONDAY WHEN ANNOUNCED THAT HE
[000:04:42;432] WAS GOING TO COME, SITTING DOWN
[000:04:44;534] AND TALKING WITH THE THAI PRIME
[000:04:49;572] MINISTER, NOBODY FROM HIS STAFF
[000:04:50;373] NEW THE PRESIDENT PLANNED TO
[000:04:51;074] COME WEDNESDAY.
[000:04:51;541] HE SAID I'M GOING TO BE HERE
[000:04:52;275] WEDNESDAY AND HERE HE IS.
[000:04:53;576] HE MAY BE COMING AGAIN AS WELL
[000:04:56;045] DEPENDING HOW THINGS PROGRESS
[000:04:56;813] WITH THE INVESTIGATION.
[000:04:58;181] IF THERE'S A MEMORIAL SERVICE
[000:04:59;816] THIS WEEKEND TO ATTEND, THE
[000:05:00;917] WHITE HOUSE IS LOOKING TO ALL OF
[000:05:03;353] THAT.
[000:05:04;253] BACK TO THE UNIVERSITY MEDICAL
[000:05:05;722] CENTER AND THE TOUR THE
[000:05:07;623] PRESIDENT TOOK.
[000:05:08;391] LET'S LISTEN TO WHAT HE SAID
[000:05:10;059] WHEN HE MET WITH THE DOCTORSES
[000:05:14;530] AND MEETING THE PERSONNEL IN THE
[000:05:16;966] HOSPITAL.
[000:05:20;670] >> SOME OF THE MOST AMAZING
[000:05:21;404] PEOPLE.
[000:05:21;738] WE MET PATIENTS THAT WERE
[000:05:23;506] ABSOLUTELY TERRIBLY WOUNDED AND
[000:05:25;408] THE DOCTORS, THE NURSES, ALL OF
[000:05:28;878] THE PEOPLE OF THE HOSPITAL HAVE
[000:05:31;414] DONE A JOB THAT IS
[000:05:33;583] UNDESCRIBABLE.
[000:05:34;183] THEY WERE FULL THE NIGHT THAT IT
[000:05:36;252] HAPPENED BEFORE IT HAPPENED.
[000:05:37;720] AND THEY FOUND ROOM FOR MANY
[000:05:39;322] PEOPLE.
[000:05:39;655] HOW MANY PEOPLE CAME IN, DOCTOR?
[000:05:41;491] >> WE HAD 100 COME IN AND WE
[000:05:44;293] ADMITTED 50.
[000:05:45;028] >> WHAT I SAW TODAY IS AN
[000:05:47;597] INCREDIBLE TRIBUTE TO
[000:05:50;166] PROFESSIONALISM.
[000:05:50;633] WHAT THEY HAVE DONE IS
[000:05:51;868] INCREDIBLE.
[000:05:52;268] YOU NEVER WANT TO SEE IT AGAIN.
[000:05:55;872] >> JUST REMARKABLE STORIES,
[000:05:59;075] SHEP, OF HOW EVERYBODY IN THIS
[000:06:00;243] AREA WHO WAS INVOLVED WITH THE
[000:06:02;178] MEDICAL COMMUNITY PITCHED IN.
[000:06:03;713] THEIR STORIES OF PEDIATRIC
[000:06:05;448] SURGEONS OPERATING ON ADULTING,
[000:06:08;351] OB-GYNS THAT TYPICALLY ARE NOT
[000:06:09;852] IN THE TRAUMA CENTER MANNING THE
[000:06:12;321] TABLES.
[000:06:12;655] SO MANY PEOPLE COMING IN, SHEP,
[000:06:15;558] THAT IT WAS JUST KIND OF FULL TO
[000:06:18;761] OVERFLOWING.
[000:06:19;162] EVERYBODY DID AN AMAZING JOB.
[000:06:20;797] THE PRESIDENT WANTED TO PAY
[000:06:21;864] TRIBUTE TO THAT.
[000:06:26;969] FROM HERE, THE PRESIDENT WANTS
[000:06:27;737] TO MEET THE HEROS OF THE EVENT
[000:06:28;504] THAT WERE AT THE IT IS ON SUNDAY
[000:06:29;272] NIGHT.
[000:06:29;572] LAW ENFORCEMENT THAT RAN INTO
[000:06:30;339] THE BULLETS TO PIN DOWN THE
[000:06:32;575] SHOOTNER THE 32nd FLOOR OF THE
[000:06:34;644] MANDALAY BAY BEHIND ME AND MANY
[000:06:37;647] CIVILIANS, SOME OF WHO GAVE
[000:06:38;581] THEIR LIVES TO PROTECT OTHER
[000:06:39;816] PEOPLE AND STORIES OF PEOPLE
[000:06:42;518] GRABBING PICKUPS OFF OF THE
[000:06:44;854] STREETS, FILLING THE BEDS WITH
[000:06:46;823] THE WOUNDED AND TAKING THEM TO
[000:06:48;558] THE HOSPITAL.
[000:06:49;725] A LOT OF PEOPLE THE PRESIDENT
[000:06:51;494] WANTS TO THANK.
[000:06:52;361] >> Shepard: AND JOHN, HE GOT A
[000:06:54;263] QUESTION ABOUT GUN CONTROL AFTER
[000:06:55;531] DOING THAT.
[000:06:56;265] >> HE DID.
[000:07:00;703] THE PRESIDENT HAS RECEIVED A
[000:07:01;437] NUMBER OF QUESTIONS ABOUT GUN
[000:07:02;205] CONTROL.
[000:07:02;538] HE GOT A COUPLE FROM YESTERDAY.
[000:07:05;942] THE PRESIDENT DEFERRING THE TALK
[000:07:07;110] OF THE DISCUSSION OF GUN CONTROL
[000:07:08;544] FOR THE MOMENT.
[000:07:09;545] HE SAID THERE WILL BE TIME FOR
[000:07:12;715] THAT.
[000:07:13;015] NOT NOW.
[000:07:13;382] I ASKED HIM ABOUT THE SILENCER
[000:07:16;219] BILL THAT APPEARED TO BE
[000:07:17;553] SHELVED.
[000:07:18;020] HE SAID WE'LL TALK ABOUT THAT
[000:07:20;123] LATER.
[000:07:20;423] A LOT OF TALK FOR THE NEED FOR
[000:07:22;391] MORE GUN CONTROL.
[000:07:23;192] DEMOCRATS ARE PUSHING THAT.
[000:07:24;427] SOME MEMBERS OF CONGRESS ON THE
[000:07:25;728] REPUBLICAN SIDE THAT ARE SAYING,
[000:07:27;396] WE DON'T NEED MORE GUN CONTROL
[000:07:28;998] MEASURES.
[000:07:33;369] THEY'RE LOOKING AT THE SO-CALLED
[000:07:34;203] BUMP OR SLIDE STOCKS THAT THE
[000:07:34;937] SHOOTER HAD INSTALLED ON A FEW
[000:07:36;939] RIFLES, MIGHT AS BE AS MANY AS
[000:07:39;208] 12, WHICH ALLOWS YOU TO FIRE A
[000:07:43;179] SEMIAUTOMATIC RIFLE AT ALMOST
[000:07:45;481] AUTOMATIC SPEED.
[000:07:46;115] THESE WERE THINGS APPROVED IN
[000:07:47;850] 2010 BY THE ATF DURING THE OBAMA
[000:07:50;553] ADMINISTRATION.
[000:07:51;020] NOW YOU HAVE SENATOR JOHN CORNYN
[000:07:53;156] SAYING MAYBE WE NEED TO LOOK AT
[000:07:56;058] BANNING THESE.
[000:07:56;526] NEWT GINGRICH WAS ON THE AIR,
[000:07:59;295] MAYBE YOU LUMP THEM IN WITH THE
[000:08:06;369] 1934 LAW THAT BANS AUTOMATIC
[000:08:07;103] WEAPONS BY CIVILIANS.
[000:08:09;238] TOM COLE ON ANOTHER NETWORK
[000:08:11;073] SAID, THIS.
[000:08:11;474] >> NO QUESTION WE OUGHT TO LOOK
[000:08:12;942] INTO THAT.
[000:08:13;509] AUTOMATIC WEAPONSES -- WHEN I
[000:08:15;311] SAW THE CLIPS AND HEARD THE
[000:08:17;046] FIRE, I ASSUMED HE HAD AN
[000:08:18;915] AUTOMATIC WEAPON.
[000:08:19;815] I DIDN'T KNOW THAT THERE WAS
[000:08:22;718] TECHNOLOGY CAPABLE THAT CHEAPLY
[000:08:23;786] OF TRANSFORMING A SEMIAUTOMATIC
[000:08:26;189] INTO AN AUTOMATIC WEAPON.
[000:08:28;424] YEAH, I DON'T THINK THERE'S ANY
[000:08:30;459] QUESTION WE OUGHT TO LOOK AT
[000:08:32;795] THAT.
[000:08:33;296] >> EVEN REPUBLICANS ARE
[000:08:55;384] DESCRIBING THIS AS A LOOP HOLE,
[000:08:56;185] ONE THAT THEY CAN CLOSE QUICKLY.
[000:08:56;919] DEMOCRATS, PEOPLE LIKE JOHN
[000:08:57;587] LEWIS OUT THERE ON THE STEPS OF
[000:08:58;321] THE CAPITOL SAYING HOW MANY MORE
[000:08:59;055] PEOPLE ARE GOING TO BE KILLED
[000:08:59;755] BEFORE WE GET MORE GUN CONTROL
[000:09:00;489] MEASURES?
[000:09:00;856] THERE'S DEFINITELY GOING TO BE A
[000:09:01;591] CLASH IN CONGRESS OVER HOW FAR
[000:09:02;325] TO GO IN THE WAKE OF THIS
[000:09:02;959] INCIDENTS.
[000:09:03;326] AGAIN, SHEP, THE PRESIDENT
[000:09:03;993] SAYING LET'S MOURN THE DEAD,
[000:09:04;694] TEND TO THE BOUNDED AND THEN
[000:09:05;394] LET'S HAVE THE POLITICAL
[000:09:06;028] DISCUSSION, SHEP.
[000:09:06;529] >> Shepard: JOHN ROBERTS LIVE IN
[000:09:07;263] MANDALAY BAY.
[000:09:07;697] THANK YOU.
[000:09:08;064] THE SECRETARY OF STATE REX
[000:09:08;731] TILLERSON IS NOT DENYING THAT HE
[000:09:09;465] CALLED PRESIDENT TRUMP A
[000:09:11;500] BLANKING MORON.
[000:09:12;001] THE SECRETARY IS INSISTING THAT
[000:09:12;868] HE NEVER THREATENED TO QUIT.
[000:09:13;569] HE'S RESPONDING TO AN NBC NEWS
[000:09:14;337] REPORT THAT MIKE PENCE HAD TO
[000:09:15;972] CONVINCE SECRETARY TILLERSON NOT
[000:09:17;773] TO STEP DOWN.
[000:09:18;574] >> THE VICE PRESIDENT HAS NEVER
[000:09:19;775] HAD TO PERSUADE ME TO REMAIN THE
[000:09:23;412] SECRETARY OF STATE BECAUSE I
[000:09:24;180] HAVE NEVER CONSIDERED LEAVING
[000:09:25;548] THIS POST.
[000:09:27;016] I'M NEW TO WASHINGTON.
[000:09:28;851] I HAVE LEARNED THAT THERE'S SOME
[000:09:30;987] THAT TRY TO SOW DISSENSION TO
[000:09:33;656] ADVANCE THEIR OWN AGENDA BY
[000:09:35;057] TEARING OTHERS APART AND AN
[000:09:37;760] UNDERSTOOD TO UNDERMINE THE
[000:09:55;911] PRESIDENT'S OWN AGENDA.
[000:09:56;545] I DO NOT AND I WILL NOT OPERATE
[000:09:57;313] THAT WAY.
[000:09:57;680] >> WHEN A REPORTER ASKED
[000:09:58;314] SPECIFICALLY WHETHER SECRETARY
[000:09:59;048] TILLERSON CALLED THE PRESIDENT A
[000:09:59;782] MORON, HE RESPONDED THAT HE
[000:10:00;449] WASN'T GOING TO DEAL WITH PETTY
[000:10:01;183] STUFF LIKE THAT.
[000:10:01;651] RICH EDSON IS AT THE STATE
[000:10:02;318] DEPARTMENT.
[000:10:02;718] HEATH
[000:10:03;586] HEATHER NAUERT HAS COME FORWARD
[000:10:04;320] TO DENY THAT CLAIM.
[000:10:04;854] >> THAT'S RIGHT.
[000:10:05;354] THE DAILY PRESS BRIEFING JUST
[000:10:07;857] WRAPPED UP.
[000:10:08;791] HEATHER DENIED THAT THE
[000:10:10;092] SECRETARY OF STATE CALLED THE
[000:10:12;361] PRESIDENT A MORON.
[000:10:17;266] >> THE SECRETARY DOES NOT USE
[000:10:18;000] THAT TYPE OF LANGUAGE.
[000:10:18;834] THE SECRETARY DID NOT USE THAT
[000:10:20;403] TYPE OF LANGUAGE TO SPEAK ABOUT
[000:10:22;538] THE PRESIDENT OF THE UNITED
[000:10:23;739] STATES.
[000:10:24;140] HE DOES NOT USE THAT LANGUAGE TO
[000:10:25;675] SPEAK ABOUT ANYONE.
[000:10:26;575] I HOPE THAT THAT CLARIFIES IT.
[000:10:28;277] >> HE NEVER SAID THAT?
[000:10:29;812] >> HE DID NOT SAY THAT.
[000:10:31;514] >> Shepard: SO THERE YOU HAVE
[000:10:33;649] IT.
[000:10:33;916] THE PRESIDENT NOW LIVE WITH
[000:10:34;817] FIRST RESPONDERS.
[000:10:36;319] WE DIDN'T EXPECT THIS.
[000:10:39;021] LET'S LISTEN LIVE.
[000:10:40;823] >> I'VE ALWAYS KNOWN YOU GUYS
[000:10:44;727] ARE GOOD BUT YOU PROVED IT.
[000:10:50;666] HE'S A SICK, DEMENTED MAN.
[000:10:51;400] HAVE THEY FOUND OUT ANYTHING
[000:10:52;802] ELSE?
[000:10:53;102] >> STILL A LITTLE BIT SOON.
[000:10:54;537] WE HAVE A COUPLE OF GOOD LEADS.
[000:10:57;773] WE'RE WORKING OUR WAY THROUGH
[000:10:59;342] THAT.
[000:10:59;642] WE'RE GOING TO GET THE ANSWERS.
[000:11:02;311] >> MIGHT BE SOMEBODY THERE.
[000:11:03;846] THE WIRES ARE SCREWED UP.
[000:11:06;549] MIGHT BE SOMETHING THERE.
[000:11:07;416] I'M GOING TO SAY A FEW WORDS TO
[000:11:09;118] YOUR GROUP.
[000:11:09;618] I WANTED TO SAY HELLO AND
[000:11:12;555] CONGRATULATE YOU.
[000:11:13;356] I WAS A FAN BEFORE THIS.
[000:11:14;690] YOU KNOW THAT.
[000:11:15;825] EVERYONE IN THIS ROOM KNOWS
[000:11:18;894] THAT.
[000:11:19;195] A BIG FAN BEFORE THIS.
[000:11:23;733] YOU CAN BE MORE OF A FAN, I'M
[000:11:24;467] MORE OF A FAN NOW.
[000:11:25;000] YOU SHOWED THE WORLD AROUND THE
[000:11:25;801] WORLD WAS WATCHING AND YOU
[000:11:27;069] SHOWED WHAT PROFESSIONALISM IS
[000:11:30;272] ALL ABOUT.
[000:11:32;141] SOMETHING LIKE THAT CAN TAKE
[000:11:33;509] PLACE FOR HOURS AND HOURS AND
[000:11:35;344] HOURS.
[000:11:36;212] YOU CAN'T FIGURE IT OUT.
[000:11:39;348] YOU SHOULD BE VERY PROUD.
[000:11:41;250] >> A MATTER OF IDENTIFICATION,
[000:11:43;185] OFFICER HANCOCK AT THE END TO
[000:11:45;020] YOUR RIGHT THERE, HE WAS THE
[000:11:47;089] FIRST SWAT OFFICER TO ENGAGE THE
[000:11:50;459] INDIVIDUAL.
[000:11:50;960] OFFICER DRISCOLL THERE, THE K-9
[000:11:56;365] OFFICER ASSISTED.
[000:11:58;434] OFFICER MORRIS WAS ONE OF THE
[000:12:00;369] TWO I DESCRIBED PARTNERED WITH
[000:12:03;939] THE SECURITY GUARDS.
[000:12:05;808] >> THEY DID A GOOD JOB.
[000:12:07;376] YOU DID A GOOD JOB.
[000:12:08;711] HIS OPTION WOULD HAVE BEEN TO DO
[000:12:11;080] IT HIMSELF.
[000:12:12;214] IF IT DOESN'T WORK, YOU WOULDN'T
[000:12:13;649] HAVE HAD THE INFORMATION MAYBE,
[000:12:15;050] RIGHT?
[000:12:15;351] HE DID THE RIGHT THING?
[000:12:16;819] >> HE DID.
[000:12:18;888] WE RELIED ON THE INFORMATION.
[000:12:20;523] >> THAT'S GREAT.
[000:12:22;024] >> EVERYONE ELSE SEATED IN AND
[000:12:25;561] BEHIND THE PRESS THERE WERE
[000:12:27;129] INTEGRAL IN SAVING NUMEROUS
[000:12:28;931] LIVES.
[000:12:29;298] THE GENTLEMAN TO YOUR LEFT, THAT
[000:12:31;167] FIREFIGHTER RIGHT THERE WAS OFF
[000:12:34;036] DUTY WATCHING THE CONCERT AND
[000:12:37;873] SAVED SEVERAL LIVES.
[000:12:40;009] IT'S IMPORTANT FOR YOU TO KNOW
[000:12:41;644] THAT EVERY PERSON IN HERE WAS
[000:12:45;181] INSTRUMENTAL IN LIFE SAVING
[000:12:49;518] MEASURES.
[000:12:49;885] THESE TWO YOUNG LADIES HERE ARE
[000:12:52;455] DISPATCHERS.
[000:12:53;055] PROBABLY THE MOST IMPORTANT
[000:12:53;823] PEOPLE IN THE ROOM.
[000:12:54;990] IF YOU EVER HAVE THE OPPORTUNITY
[000:12:56;292] TO LISTEN TO THE RADIO TRAFFIC,
[000:13:02;064] THESE TWO YOUNG LADIES ARE
[000:13:02;765] AMAZING.
[000:13:03;098] THERE WAS A THIRD YOUNG LADY.
[000:13:03;833] SHE DECIDED TO GO TO COLLEGE.
[000:13:05;000] >> Shepard: PARDON THE
[000:13:07;870] INTERVENTION WHILE OUR FOX
[000:13:09;605] TELEVISION STATIONS JOIN US.
[000:13:11;373] GOOD AFTERNOON FROM FOX NEWS IN
[000:13:12;675] NEW YORK, A LIVE LOOK WHERE
[000:13:13;876] PRESIDENT TRUMP IS MEETING SOME
[000:13:14;977] OF THE FIRST RESPONDERS, THE
[000:13:17;213] HEROS OF THE ATTACK OUTSIDE THE
[000:13:19;648] MANDALAY BAY AT THE COUNTRY
[000:13:21;283] MUSIC FESTIVAL SUNDAY NIGHT.
[000:13:24;153] LET'S LISTEN LIVE.
[000:13:37;967] AND AS LUCK WOULD HAVE IT, THE
[000:13:38;801] WHITE HOUSE POOL HAS WALKED OUT.
[000:13:39;602] THE PRESIDENT SHARING
[000:13:40;569] PLEASANTRIES AND THANKS WITH
[000:13:41;570] FIRST RESPONDERS.
[000:13:43;639] OUR AUDIENCE ON FOX NEWS CHANNEL
[000:13:46;175] JUST A MOMENT AGO MET THE FIRST
[000:13:48;177] POLICE OFFICERS CREDITED WITH
[000:13:49;578] ENGAGING THE SUSPECT INSIDE THE
[000:13:52;815] ROOM.
[000:13:53;315] WE'VE HEARD THE 911 CALLS, THE
[000:13:55;985] DIFFERENT POLICE RESPONDERS, THE
[000:13:59;355] DISPATCH FROM POLICE
[000:13:59;955] HEADQUARTE
[000:14:10;432] HEADQUARTERS.
[000:14:10;866] IT'S BEEN A VERY GOOD DAY FOR
[000:14:11;634] THANK YOUS TO THE FIRST
[000:14:12;234] RESPONDERS AND EVERYDAY FOLKS
[000:14:13;669] THAT HELPED OUTSIDE THE LUXOR
[000:14:14;403] AND MANDALAY BAY ON THE
[000:14:15;070] LAS VEGAS STRIP.
[000:14:16;038] WE'RE WAITING FOR THE PRESIDENT
[000:14:17;306] TO APPEAR AGAIN IN JUST A
[000:14:18;974] MOMENT.
[000:14:19;308] THAT WAS SORT OF AN UNSCHEDULED
[000:14:21;310] PHOTO OP, MEET AND GREET WITH
[000:14:22;811] SOME OF THE FIRST RESPONDER
[000:14:24;380] THERE'S.
[000:14:24;747] YOU CAN SEE A LIVE LOOK NOW IN
[000:14:26;782] LAS VEGAS AT POLICE HEADQUARTERS
[000:14:28;083] WHERE THE PRESIDENT WILL BE
[000:14:29;418] MEETING WITH -- AND THE FIRST
[000:14:31;687] LADY TO MEET WITH FIRST
[000:14:33;355] RESPONDERS AND HEROS OF THE
[000:14:35;424] ATTACK IN JUST A MOMENT.
[000:14:36;158] JOHN ROBERTS FOLLOWING ALONG
[000:14:40;896] WITH THE PRESIDENT OUT IN
[000:14:41;564] LAS VEGAS TODAY.
[000:14:42;031] THEY HAVE MADE A REAL EFFORT,
[000:14:42;831] JOHN, TO PUT THESE HEROS OF THIS
[000:14:45;200] TRAGEDY FRONT AND CENTER AND
[000:14:46;936] THESE MEET AND GREETS.
[000:14:48;604] FOR THOSE JOINING US ON FOX
[000:14:50;239] TELEVISION STATIONS, HE GAVE AN
[000:14:52;207] INVITATION TO THOSE IN THE
[000:14:53;609] HOSPITAL ROOMS, THE O.R.s.
[000:14:55;077] IF YOU'RE EVER IN WASHINGTON
[000:14:56;245] D.C., COME SEE ME AT THE WHITE
[000:14:57;680] HOUSE.
[000:14:57;980] I'LL BE THERE FOR YOU.
[000:14:59;014] A CONCERTED EFFORT ON THE PART
[000:15:00;583] OF THIS WHITE HOUSE.
[000:15:02;217] GREAT TO SEE.
[000:15:03;052] >> ALL THROUGH THE CAMPAIGN AND
[000:15:05;120] AS PRESIDENT, SHEP, PRESIDENT
[000:15:06;689] TRUMP REALLY WAS A CHAMPION OF
[000:15:32;748] LAW ENFORCEMENT.
[000:15:33;248] SO MANY CAMPAIGNED EVENTS ACROSS
[000:15:34;016] THE COUNTRY, HE WOULD ALWAYS
[000:15:34;717] HOLD THEM UP FOR PRAISE.
[000:15:35;317] HE'S DONE THAT AGAIN AS
[000:15:35;918] PRESIDENT.
[000:15:36;285] ANY TIME HE GETS IN THE SAME
[000:15:36;986] ROOM WITH LAW ENFORCEMENT OR
[000:15:37;686] MILITARY FOR THAT MATTER, HE
[000:15:38;387] ALWAYS HAS THE HIGHEST PRAISE.
[000:15:39;088] I KNOW THAT HE WAS VERY TAKEN,
[000:15:39;822] NOT ONLY WITH THE SCOPE AND THE
[000:15:40;556] DEPTH OF THIS TRAGEDY AND THE
[000:15:41;256] HORRIBLE FACT THAT SO MANY
[000:15:41;924] PEOPLE WERE KILLED.
[000:15:42;458] WHEN THERE WERE BULLETS RAINING
[000:15:43;192] DOWN FROM THE WINDOWS BEHIND ME,
[000:15:43;926] 50, 75 AT A TIME BECAUSE HE HAD
[000:15:46;729] BIG MAGAZINES, THE OFFICERS TOOK
[000:15:49;798] COVER BUT MOVED TOWARD THE
[000:15:51;867] DANGER.
[000:15:52;468] THEY WERE BLOWING THE DOOR OPEN
[000:15:53;669] WITHIN MINUTES TO GET INSIDE AND
[000:15:55;938] CLEARLY HAD CORNERED THIS GUY,
[000:15:57;573] THE SHOOTER.
[000:15:58;507] HE TOOK HIS OWN LIFE WHEN HE
[000:15:59;942] KNEW THEY WERE COMING IN THROUGH
[000:16:01;010] THE DOOR.
[000:16:01;710] THE FACT THAT AS YOU POINTED
[000:16:03;545] OUT, SO MANY CIVILIANS DOVE ON
[000:16:08;784] THEIR LOVED ONES OR SACRIFICED
[000:16:11;654] THEIR OWN LIVES OR STOLE PICKUP
[000:16:19;161] TRUCKS TO PUT PEOPLE IN THE BEDS
[000:16:19;995] BECAUSE THE AMBULANCES WERE SO
[000:16:20;763] OVERWHELMED.
[000:16:21;163] WHEN THEY GOT TO THE HOSPITALS,
[000:16:22;031] THE DOCTORS AND NURSES ON STAFF
[000:16:23;265] AND ALL OF THE MEDICAL STAFF
[000:16:24;633] FROM ACROSS THE VALLEY HERE THAT
[000:16:26;735] CAME IN TO THE TRAUMA CENTERS
[000:16:28;937] AND THE HOSPITALS EVEN THOUGH
[000:16:30;572] THEY WERE OFF DUTY.
[000:16:31;640] JUST DIDN'T EVEN NEED TO PICK UP
