[000:00:00;800] THIS WEEKEND.
[000:01:45;071] IN THE MIDDLE OF IT ALL HAS BEEN
[000:01:45;805] OUR CHIEF FOREIGN CORRESPONDENT
[000:01:46;539] RICHARD ENGEL.
[000:01:47;140] HE JOINS US FROM ABOVE
[000:01:49;075] ISTANBUL'S TAKSIM SQUARE WHERE
[000:01:51;511] AT THIS LATE HOUR, THE AIR IS
[000:01:55;381] APPARENTLY STILL THICK WITH TEAR
[000:01:56;116] GAS.
[000:01:56;616] RICHARD?
[000:01:58;818] >> Reporter: IT IS FULL OF TEAR
[000:02:02;922] GAS, AND THAT IS WHY I'M WEARING
[000:02:03;790] THIS MASK.
[000:02:04;624] THE CLASHES HERE ARE ONGOING.
[000:02:05;825] STILL, IT DOESN'T FEEL LIKE AN
[000:02:11;164] ARAB SPRING MOMENT OR A TURNING
[000:02:11;898] POINT.
[000:02:13;867] BUT IF THESE CLASHES CONTINUE,
[000:02:15;335] IT COULD BECOME A MAJOR PROBLEM
[000:02:17;103] FOR TURKEY, ONE OF THE MOST
[000:02:18;037] STABLE COUNTRIES IN THE REGION.
[000:02:21;574] POLICE MOVED IN AROUND 7:00
[000:02:23;510] A.M., AND SPARKED THE WORST
[000:02:25;311] CLASHES IN TURKEY IN A DECADE.
[000:02:28;715] POLICE USED TEAR GAS AND WATER
[000:02:29;449] CANNONS.
[000:02:33;419] THE PROTESTERS, STONES AND
[000:02:34;154] MOLOTOV COCKTAILS.
[000:02:35;622] PROTESTERS SET A POLICE VEHICLE
[000:02:37;924] ON FIRE AND THE POLICE PULLED
[000:02:38;625] BACK.
[000:02:39;726] THE PROTESTERS HERE ARE DIGGING
[000:02:41;294] IN, FORTIFYING THE SQUARE,
[000:02:43;129] BUILDING BARRICADES, PREPARING
[000:02:45;298] FOR A DRAWN OUT STRUGGLE WITH
[000:02:46;633] THE GOVERNMENT.
[000:02:48;101] THIS PROTEST HAS BEEN GOING ON
[000:02:49;302] NOW FOR NEARLY TWO WEEKS.
[000:02:53;907] IT STARTED AS AN EFFORT TO SAVE
[000:02:56;442] THIS PARK, BUT IT'S WELL BEYOND
[000:02:57;177] THAT NOW.
[000:02:59;245] THE DEMONSTRATORS COMPLAIN OF
[000:02:59;946] POLICE BRUTALITY.
[000:03:03;950] AND THAT PRIME MINISTER ERDOGAN
[000:03:05;885] IS IMPOSING AN ISLAMIC AGENDA IN
[000:03:06;619] SECULAR TURKEY.
[000:03:08;688] >> OUR PRIME MINISTER IS A
[000:03:09;989] DICTATOR, LIKE HITLER, LIKE
[000:03:10;657] MUSSOLINI.
[000:03:12;525] >> THEY'RE TRYING TO LIMIT OUR
[000:03:14;360] RIGHTS OF LIBERTY AND SHOWING
[000:03:17;130] OUR IDEAS.
[000:03:19;098] >> Reporter: BY EVENING, TAKSIM
[000:03:21;501] FILLED AGAIN, MORE THAN 10,000
[000:03:23;703] DEMONSTRATORS SHOUTING AGAINST
[000:03:24;671] PRIME MINISTER ERDOGAN.
[000:03:27;807] IT SEEMED LIKE THE VIOLENCE WAS
[000:03:28;541] OVER.
[000:03:29;142] BUT IT TURNED AGAIN.
[000:03:30;710] SUDDENLY IN THE BIGGEST
[000:03:31;444] CRACKDOWN OF THE DAY.
[000:03:33;146] HUNDREDS OF RIOT POLICE AND
[000:03:34;347] THEIR VEHICLES CHARGED IN.
[000:03:37;850] THERE WAS A STAMPEDE AS
[000:03:39;419] PROTESTERS RUSHED TO ESCAPE.
[000:03:41;854] SOME FELL, SOME INJURED.
[000:03:46;459] FIRES, MORE TEAR GAS.
[000:03:49;462] >> IT'S BEING FIRED -- I DON'T
[000:03:50;930] WANT TO SAY AT RANDOM, BUT IT'S
[000:03:52;532] BEING FIRED WITH SUCH INTENSITY,
[000:03:54;334] IT'S EVEN COMING UP TO THE UPPER
[000:03:57;937] BALCONY OF WHAT ARE PRIVATE
[000:03:58;805] HOMES AND PRIVATE BUSINESSES.
[000:04:01;474] A DECISION HAD BEEN TAKEN TO
[000:04:02;442] TAKE BACK THE SQUARE.
[000:04:04;978] THIS IS NOW A CHALLENGE OVER THE
[000:04:05;945] NATURE OF THIS COUNTRY.
[000:04:08;348] ERDOGAN'S ISLAMIC DEMOCRACY.
[000:04:10;083] OR THE SECULAR TRADITION THE
[000:04:11;751] DEMONSTRATORS SAY THEY'RE
[000:04:12;385] DETERMINED TO DEFEND.
[000:04:16;623] MANY WATCHING EVENTS HERE
[000:04:18;157] TONIGHT ARE WITH PRIME MINISTER
[000:04:20;593] ERDOGAN, AND SAY THIS CRACKDOWN
[000:04:21;928] IS SOMETHING THE PROTESTERS
[000:04:24;464] BROUGHT UPON THEMSELVES, THEIR
[000:04:25;198] JUST REWARDS.
[000:04:26;299] LESTER?
[000:04:27;500] >> RICHARD ENGEL IN ISTANBUL
[000:04:28;201] TONIGHT.
[000:04:28;601] RICHARD, THANK YOU.
[000:04:30;903] >>> NOW TO THIS COUNTRY THE
[000:04:31;871] MANHUNT AND FALLOUT FROM A
[000:04:33;539] FORMER NSA CONTRACTOR'S EXPOSURE
[000:04:35;241] OF A GOVERNMENT SECRET
[000:04:35;975] SURVEILLANCE PROGRAM.
[000:04:38;278] AFTER BRIEFLY COMING FORWARD
[000:04:39;712] THIS WEEKEND TO ANNOUNCE HE WAS
[000:04:41;047] THE SOURCE OF THE DAMAGING
[000:04:42;282] ARTICLES IN THE GUARDIAN
[000:04:44;217] NEWSPAPER, EDWARD SNOWDEN HAS
[000:04:45;418] APPARENTLY GONE UNDERGROUND,
[000:04:47;353] LEAVING BEHIND HIM SOME
[000:04:47;954] TROUBLING QUESTIONS.
[000:04:49;922] NBC'S ANDREA MITCHELL HAS THE
[000:04:51;724] LATEST FROM OUR WASHINGTON
[000:04:52;392] NEWSROOM.
[000:04:56;029] ANDREA?
[000:04:57;497] >> GOOD EVENING, LESTER.
[000:04:58;331] THE GLOBAL MANHUNT FOR EDWARD
[000:04:59;032] SNOWDEN CONTINUES.
[000:05:03;102] WHILE THE FBI NOW FOCUSES ON HOW
[000:05:04;370] HE DID WHAT HE CLAIMS TO HAVE
[000:05:05;271] DONE, AND WHETHER HE HAD HELP.
[000:05:06;639] CALLED ON THE CARPET, THE HEAD
[000:05:07;607] OF THE NATIONAL SECURITY AGENCY
[000:05:08;675] SUMMONED TO THE INTELLIGENCE
[000:05:10;276] COMMITTEES TODAY TO EXPLAIN.
[000:05:11;844] HOW BAD IS THE DAMAGE?
[000:05:13;313] AND HOW DID A 29-YEAR-OLD
[000:05:15;114] CONTRACTOR COPY SO MANY SECRET
[000:05:16;215] DOCUMENTS?
[000:05:18;151] AND THE GUARDIAN'S GLENN
[000:05:19;719] GREENWALD SAYS MORE LEAKS ARE ON
[000:05:20;453] THE WAY.
[000:05:21;387] >> WE'RE GOING TO HAVE A LOT
[000:05:23;222] MORE SIGNIFICANT REVELATIONS
[000:05:26;859] THAT HAVE NOT YET BEEN HEARD
[000:05:29;162] OVER THE NEXT SEVERAL WEEKS AND
[000:05:29;896] MONTHS.
[000:05:30;863] >> Reporter: SNOWDEN IS ON THE
[000:05:34;801] LAM, HIS PICTURE PLASTERED ON
[000:05:36;436] EVERY HONG KONG NEWSPAPER
[000:05:37;270] REPORTS NBC'S IAN WILLIAMS.
[000:05:39;005] >> STAFF HERE AT THE MIRA HOTEL
[000:05:39;972] CONFIRMED THAT ONE EDWARD
[000:05:40;907] SNOWDEN DID CHECK OUT MONDAY
[000:05:41;607] LUNCHTIME.
[000:05:43;476] HE'S NOT BEEN SEEN SINCE, BUT
[000:05:48;481] IS BELIEVED TO BE STILL IN HONG
[000:05:49;215] KONG.
[000:05:49;749] >> Reporter: NBC NEWS HAS
[000:05:50;450] CONFIRMED THAT ACROBATIC DANCER
[000:05:51;184] LINDSAY MILLS IS THE GIRLFRIEND
[000:05:52;151] SNOWDEN LEFT BEHIND IN HAWAII.
[000:05:53;019] IN HER BLOG SINCE TAKEN DOWN,
[000:05:56;956] MILLS REFERS TO HIM AS KUO E",
[000:06:00;793] AND TELLS FRIENDS SHE WAS IN A
[000:06:02;228] STATE OF SHOCK OVER HIS SUDDEN
[000:06:02;962] DEPARTURE.
[000:06:04;630] SNOWDEN FIRST REACHED OUT
[000:06:05;398] ANONYMOUSLY TO AWARD WINNING
[000:06:06;466] FILMMAKER, LAURA POITRAS AFTER
[000:06:10;636] SEEING HER FILM KUO THE PROGRAM"
[000:06:12;071] ON A NEW YORK WEBSITE, SHE TOLD
[000:06:12;872] SALON.COM.
[000:06:13;506] THE FILM PROFILED A
[000:06:14;040] DISILLUSIONED RETIRED NSA
[000:06:17;043] ANALYST WILLIAM BENNING.
[000:06:18;144] >> THE DANGERS HERE, ARE THAT WE
[000:06:18;878] FALL INTO SOMETHING LIKE A
[000:06:19;545] TOTALITARIAN STATE LIKE EAST
[000:06:20;246] GERMANY.
[000:06:20;847] >> Reporter: GREENWALD SAID HE
[000:06:21;781] AND POITRAS FLEW TO HONG KONG TO
[000:06:22;515] MEET THE SOURCE.
[000:06:23;349] HE TOLD THEM TO LOOK FOR A MAN
[000:06:24;951] IN THE HOTEL LOBBY CARRYING A
[000:06:25;685] RUBIK'S CUBE.
[000:06:26;386] THE CONNECTION WAS MADE.
[000:06:28;588] THE FBI IS SEARCHING FOR SNOWDEN
[000:06:29;789] AND HIS COMPUTER TRAIL.
[000:06:33;192] TO BUILD A CASE AGAINST HIM.
[000:06:34;093] EXPERTS ARE NOT SURPRISED HE HAD
[000:06:34;827] SO MUCH ACCESS.
[000:06:37;697] >> HE WAS AN I.T. GUY, AND WHEN
[000:06:39;632] YOU'RE ONE OF THOSE I.T. GUYS,
[000:06:41;067] HAVE YOU A LOT MORE ACCESS TO A
[000:06:42;301] LOT OF DIFFERENT PARTS OF A
[000:06:44;470] NETWORK, BECAUSE YOU'RE MANAGING
[000:06:45;204] IT.
[000:06:46;906] >> Reporter: TODAY, SENATOR RON
[000:06:48;474] WIDEN FILED LEGISLATION TO
[000:06:54;647] DECLASSIFY THE FISA PROGRAM, AND
[000:06:56;682] DEMANDED ANSWERS FROM CHIEF
[000:06:57;950] INTELLIGENCE OFFICER JAMES
[000:06:58;718] CLAPPER FOR DENYING RECORDS WERE
[000:06:59;452] COLLECTED.
[000:07:00;420] >> IT'S NOT POSSIBLE FOR THE
[000:07:01;654] CONGRESS TO DO THE KIND OF
[000:07:03;222] VIGOROUS OVERSIGHT THAT THE
[000:07:06;492] PRESIDENT SPOKE ABOUT, IF YOU
[000:07:07;693] CAN'T GET STRAIGHT ANSWERS.
[000:07:10;363] >> SNOWDEN'S LEAKS PROMPTED THE
[000:07:12;565] ACLU TO FILE SUIT TODAY AGAINST
[000:07:13;633] THE GOVERNMENT, CLAIMING THAT
[000:07:14;967] THE STORING OF ALL TELEPHONE
[000:07:16;169] RECORDS VIOLATES THE RIGHT TO
[000:07:16;869] PRIVACY.
[000:07:18;604] AND GOOGLE HAS WRITTEN THE
[000:07:20;406] ATTORNEY GENERAL, ASKING FOR
[000:07:21;507] PERMISSION TO MAKE PUBLIC THE
[000:07:22;842] NUMBER OF SECRET COURT ORDERS IT
[000:07:24;510] HAS BEEN FORCED TO COMPLY WITH
[000:07:26;946] FOR DATA, WHICH GOOGLE SAYS WILL
[000:07:28;147] SHOW IT IS FAR LESS THAN THE
[000:07:29;015] REPORTS HAVE CLAIMED.
[000:07:30;116] LESTER?
[000:07:31;050] >> ANDREA MITCHELL, THANK YOU.
[000:07:32;418] >>> TONIGHT WE'RE KEEPING A
[000:07:33;619] CLOSE EYE ON THE WEATHER ACROSS
[000:07:34;353] THE MAP.
[000:07:35;054] IT'S BEEN A DANGEROUS 24 HOURS.
[000:07:37;723] AND FORECASTERS ARE PREDICTING A
[000:07:39;792] WILD NIGHT AND DAY AHEAD FOR
[000:07:40;493] MUCH OF THE COUNTRY.
[000:07:42;328] IN FACT, MORE THAN 75 MILLION
[000:07:44;397] AMERICANS ARE AT RISK OF SEVERE
[000:07:45;131] STORMS.
[000:07:46;699] METEOROLOGIST CHRIS WARREN IS
[000:07:48;501] MONITORING IT ALL FROM WEATHER
[000:07:49;335] CHANNEL HEADQUARTERS.
[000:07:50;203] CHRIS, GOOD EVENING.
[000:07:51;537] >> GOOD EVENING, LESTER.
[000:07:53;573] THIS WEEK IS ALREADY OFF TO A
[000:07:54;574] VERY ACTIVE START.
[000:07:56;742] LAST NIGHT WE SAW TORNADOS AND
[000:07:57;577] FLOODING.
[000:07:59;512] IN FACT, PLENTY OF FLOODING
[000:08:01;214] HAPPENING THROUGHOUT PARTS OF
[000:08:02;315] THE NORTHEAST, INCLUDING
[000:08:04;016] MARYLAND, TOUGH TO GET AROUND,
[000:08:08;421] MAKING FOR VERY DANGEROUS
[000:08:09;055] CONDITIONS.
[000:08:09;922] ALSO IN PARTS OF NEVADA.
[000:08:10;523] DEALING WITH SOME OF THE
[000:08:11;157] FLOODING AS WELL.
[000:08:12;458] THEN THERE WERE TORNADOS THAT
[000:08:17;096] WENT ALONG WITH SOME OF THESE
[000:08:17;797] STRONG STORMS.
[000:08:18;364] SEVERAL REPORTS OF TORNADOS FROM
[000:08:19;131] KENTUCKY TO DELAWARE AND NORTH
[000:08:19;866] CAROLINA.
[000:08:20;466] SOME DAMAGE AND INJURIES WERE
[000:08:21;400] REPORTED WITH THAT.
[000:08:22;869] AND THEN THERE'S WILDFIRES
[000:08:24;303] BURNING RIGHT NOW THROUGHOUT
[000:08:25;404] PARTS OF COLORADO.
[000:08:27;240] AND THERE ARE SEVERAL OF THOSE
[000:08:29;775] GOING ON RIGHT NOW RELATED TO
[000:08:31;344] THE RECORD HEAT AND THE HIGH
[000:08:32;678] WINDS.
[000:08:33;412] TEMPERATURES IN THE TRIPLE
[000:08:34;981] DIGITS ALREADY FOR DENVER TODAY
[000:08:37;049] AND FOR PUEBLO.
[000:08:38;484] FOR DENVER, THAT'S THE EARLIEST
[000:08:40;419] THIS SEASON TO REACH 100.
[000:08:42;588] AND YOU'RE LOOKING AT THE
[000:08:43;823] POTENTIAL FOR MORE TRIPLE DIGITS
[000:08:45;992] AND 90 DEGREE TEMPERATURES FOR
[000:08:46;726] TOMORROW.
[000:08:47;827] AND THEN THE SEVERE WEATHER
[000:08:49;028] THREAT ON THE TOP OF THAT,
[000:08:50;463] RIDING OVER THIS RIDGE OF HIGH
[000:08:51;197] PRESSURE.
[000:08:52;999] DAMAGING WINDS WILL BE A MAJOR
[000:08:55;067] CONCERN THAT GOES INTO THE OHIO
[000:08:59;772] VALLEY TOMORROW, AND LESTER,
[000:09:00;473] THAT THREAT ON THURSDAY MOVES
[000:09:02;742] INTO THE EAST.
[000:09:03;843] >> CHRIS WARREN, THANKS.
[000:09:04;544] >>> A GOVERNMENT REPORT OUT
[000:09:05;278] TODAY MAKES IT CLEAR JUST HOW
[000:09:07;079] MUCH THIS COUNTRY'S BANKS ARE
[000:09:07;947] PROFITING FROM YOUR MISTAKES.
[000:09:09;015] WE'RE TALKING ABOUT THOSE HEFTY
[000:09:10;816] OVERDRAFT CHARGES TO COVER
[000:09:12;051] PAYMENTS WHEN CHECKING ACCOUNTS
[000:09:12;785] ARE OVERDRAWN.
[000:09:13;753] TURNS OUT THE BANKS ARE MAKING
[000:09:15;321] MOST OF THEIR FEES FROM THIGHS
[000:09:20;426] THESE PENALTIES.
[000:09:21;827] NBC'S TOM COSTELLO HAS MORE FOR
[000:09:22;562] US TONIGHT.
[000:09:23;029] >> Reporter: IT'S ONE OF THE
[000:09:23;996] MOST COMMON FINANCIAL MISTAKES
[000:09:25;331] AMERICANS MAKE, OVERDRAWING FROM
[000:09:26;065] THEIR BANK ACCOUNTS.
[000:09:27;733] MAYBE FORGETTING THE MORTGAGE OR
[000:09:28;834] CAR PAYMENT IS ABOUT TO BE
[000:09:29;502] DEDUCTED.
[000:09:31;270] THEN SLIDING THE DEBIT CARD FOR
[000:09:32;238] GROCERIES OR A CUP OF COFFEE.
[000:09:34;307] SOON THERE'S AN EXTRA $30 OR
[000:09:35;374] MORE TO COUGH UP.
[000:09:37;577] SINCE 2010, CUSTOMERS WHO HAVE
[000:09:38;878] WANTED THEIR BANKS TO COVER
[000:09:43;249] THEIR OVERDRAFTS HAVE HAD TO OPT
[000:09:44;183] IN FOR THE COVERAGE.
[000:09:45;318] NOW THE GOVERNMENT REPORTS THOSE
[000:09:46;052] OVERDRAFT FEES MAKE UP A
[000:09:47;253] STAGGERING 60% OF ALL BANK FEE
[000:09:48;087] REVENUE.
[000:09:49;789] $32 BILLION A YEAR.
[000:09:52;191] RICHARD CORDRAY RUNS THE
[000:09:53;893] GOVERNMENT'S CONSUMER FINANCIAL
[000:09:54;627] PROTECTION BUREAU.
[000:09:56;062] >> WE'RE CONCERNED THAT
[000:10:01;000] CONCERNED THAT THE COMPLEXITY OF
[000:10:03;035] OVERDRAFT PRACTICES MEAN THAT
[000:10:03;936] CONSUMERS MAY NOT BE ABLE TO
[000:10:04;904] ANTICIPATE AND AVOID UNNECESSARY
[000:10:05;638] CHARGES.
[000:10:07;139] >> Reporter: WHILE SOME BANKS
[000:10:08;007] LIMIT OVERDRAFT FEES TO TWO A
[000:10:08;741] DAY, OTHERS CHARGE AS MANY AS 12
[000:10:09;475] PER DAY.
[000:10:12;845] SOME BANKS CHARGE EVEN IF THE
[000:10:14;981] OVERDRAFT IS A PENNY.
[000:10:15;548] OTHERS DON'T CHARGE A FEE IF THE
[000:10:16;282] AMOUNT IS LESS THAN $5.
[000:10:17;049] IN 2011, THE AVERAGE CUSTOMER
[000:10:18;851] WHO PAID OVERDRAFT FEES, PAID
[000:10:21;253] $225 OVER THE COURSE OF THE
[000:10:21;921] YEAR.
[000:10:23;322] >> THE FINE PRINT IS VERY THICK
[000:10:24;790] IN A LOT OF THESE CASES.
[000:10:28;728] THEY THINK ON THE FACE OF IT
[000:10:32;398] IT'S PROTECTION AGAINST ANY
[000:10:33;065] OVERDRAFT.
[000:10:33;499] A LOT OF HIDDEN FEES COME BEHIND
[000:10:34;233] THIS PROTECTION.
[000:10:34;700] >> Reporter: WITHOUT OVERDRAFT
[000:10:36;035] PROTECTION, BANKS SIMPLY REFUSE
[000:10:37;003] TO PAY THE BILL.
[000:10:38;070] WHILE THE FEES CAN BE STEEP, THE
[000:10:39;672] BANKING INDUSTRY INSISTS 20% OF
[000:10:42;208] ITS CUSTOMERS WANT EVEN DEPEND
[000:10:42;942] ON THE COVERAGE.
[000:10:44;644] >> MANY CONSUMERS NEED TO HAVE
[000:10:46;445] THIS PRODUCT TO MAKE ENDS MEET,
[000:10:48;748] TO PAY THE BILLS, WHETHER IT'S
[000:10:50;816] GROCERY STORES OR FILLING UP THE
[000:10:51;550] CAR WITH GAS.
[000:10:56;355] OR PAYING EVERYDAY EXPENSES AS
[000:10:57;089] WELL.
[000:10:57;590] >> TO AVOID PAYING THE FEES,
[000:10:58;691] EXPERTS SUGGEST READING THE FINE
[000:10:59;659] PRINT ON THE OPT-IN COVERAGE.
[000:11:00;626] CLOSELY MONITORING YOUR BANK
[000:11:01;327] ACCOUNT.
[000:11:02;695] AND BACKING UP YOUR CHECKING
[000:11:03;796] ACCOUNT WITH A SAVINGS ACCOUNT
[000:11:05;131] JUST IN CASE YOU GO OVER.
[000:11:07;299] TOM COSTELLO, NBC NEWS,
[000:11:08;134] WASHINGTON.
[000:11:10;169] >>> A LANDMARK IMMIGRATION
[000:11:11;637] REFORM BILL THAT WOULD PUT
[000:11:13;339] MILLIONS OF PEOPLE ON THE PATH
[000:11:14;674] TO CITIZENSHIP CLEARED ITS FIRST
[000:11:15;875] VOTE IN THE SENATE TODAY.
[000:11:17;710] BUT MANY REPUBLICANS MADE IT
[000:11:18;911] CLEAR THEY THINK THE BILL NEEDS
[000:11:20;613] SIGNIFICANT CHANGES FOR IT TO
[000:11:21;547] GAIN FINAL PASSAGE.
[000:11:23;883] NBC'S KELLY O'DONNELL IS AT THE
[000:11:25;184] U.S. CAPITOL FOR US TONIGHT.
[000:11:27;486] HI, KELLY.
[000:11:29;121] >> Reporter: HI, LESTER.
[000:11:30;322] TODAY IS CRITICAL, BECAUSE NO
[000:11:31;424] EFFORT TO FIX THE IMMIGRATION
[000:11:32;391] SYSTEM HAS GOTTEN THIS FAR IN
[000:11:33;125] YEARS.
[000:11:34;093] MORE THAN 80 SENATORS VOTED YES
[000:11:35;428] TO TACKLE AN OVERHAUL OF THE
[000:11:36;395] LAW.
[000:11:37;363] AND THAT WON'T BE EASY.
[000:11:39;065] FLORIDA REPUBLICAN MARCO RUBIO
[000:11:41;233] TOLD ME WINNING OVER CRITICS
[000:11:42;802] WILL REQUIRE ENOUGH BORDER
[000:11:44;637] SECURITY TO CONVINCE THEM THERE
[000:11:46;439] WON'T BE FUTURE WAVES OF ILLEGAL
[000:11:47;173] IMMIGRATION.
[000:11:47;907] NOW, UNDER THE PLAN,
[000:11:48;974] UNDOCUMENTED IMMIGRANTS COULD
[000:11:50;176] EVENTUALLY BECOME CITIZENS IF
[000:11:51;911] THEY MEET REQUIREMENTS THAT
[000:11:53;479] INCLUDE PAYING TAXES, PASSING
[000:11:55;181] BACKGROUND CHECKS, LEARNING
[000:11:55;848] ENGLISH.
[000:11:56;982] THE PRESIDENT TODAY SAID THIS
[000:11:58;184] BILL IS NOT PERFECT.
[000:12:00;352] HE CALLED IT THE BEST CHANCE AT
[000:12:01;087] REFORM IN DECADES.
[000:12:02;054] LESTER?
[000:12:03;255] >> KELLY O'DONNELL IN
[000:12:04;590] WASHINGTON, THANK YOU.
[000:12:06;058] >>> IT APPEARS THE SO-CALLED
[000:12:07;393] MORNING AFTER CONTRACEPTIVE PILL
[000:12:13;132] WILL SOON BE AVAILABLE TO GIRLS
[000:12:14;100] OF ANY AGE WITHOUT A
[000:12:14;667] PRESCRIPTION.
[000:12:15;201] THE OBAMA ADMINISTRATION HAS NOW
[000:12:15;935] REVERSED ITSELF AND SAYS IT WILL
[000:12:16;669] COMPLY WITH A JUDGE'S ORDER TO
[000:12:17;503] MAKE THE PILLS READILY
[000:12:18;337] AVAILABLE.
[000:12:20;639] ITS OPPOSITION TO THAT ORDER WAS
[000:12:21;941] STRONGLY CRITICIZED BY ABORTION
[000:12:22;808] RIGHTS GROUPS.
[000:12:24;376] THE MAKER OF THE DRUG WILL
[000:12:25;945] SUBMIT A NEW APPLICATION FOR FDA
[000:12:26;679] APPROVAL.
[000:12:28;481] THE AGENCY SAYS IT INTENDS TO DO
[000:12:29;348] SO PROMPTLY.
[000:12:31;283] >>> AND WE CONTINUE TO MONITOR
[000:12:32;618] THE HEALTH OF FORMER SOUTH
[000:12:33;686] AFRICAN PRESIDENT NELSON
[000:12:35;154] MANDELA, WHO REMAINS IN THE
[000:12:36;622] HOSPITAL FOR A FOURTH DAY.
[000:12:38;657] HE'S BEING TREATED FOR A LUNG
[000:12:39;391] INFECTION.
[000:12:40;860] TWO OF MANDELA'S DAUGHTERS
[000:12:42;528] VISITED HIM TODAY, ALONG WITH
[000:12:43;496] HIS FORMER WIFE WINNIE.
[000:12:45;331] SOUTH AFRICA'S PRESIDENT SAID
[000:12:49;769] TODAY DOCTORS ADVISE HIM
[000:12:51;937] MANDELA'S SITUATION IS VERY
[000:12:53;472] SERIOUS, BUT THAT HIS CONDITION
[000:12:54;206] IS STABLE, AND THAT THEY'RE
[000:12:54;940] DOING ALL THEY CAN FOR HIM.
[000:12:56;041] >>> STILL AHEAD AS WE CONTINUE
[000:12:57;243] HERE TONIGHT, THE BIG RISE IN
[000:12:58;577] BABY BOOMERS LOSING THEIR
[000:12:59;779] HEARING AT YOUNGER AGES THAN
[000:13:00;613] EVER.
[000:13:01;947] WE'LL LOOK AT WHAT'S CAUSING IT
[000:13:03;282] AND WHAT CAN SLOW IT DOWN.
[000:13:05;351] >>> AND LATER, MOVIE MAGIC.
[000:13:07;286] UNDER THE STARS AN ENDURING
[000:13:09;455] AMERICAN TRADITION, STILL A
[000:13:10;823] FAMILY FAVORITE AFTER 80 YEARS.
[000:15:34;833] >>> OUR HEALTH NEWS TONIGHT IS
[000:15:35;801] ABOUT A WARNING FROM DOCTORS
[000:15:36;635] ABOUT THE NUMBER OF AMERICANS
[000:15:37;469] WHO ARE STARTING TO LOSE THEIR
[000:15:38;470] HEARING AT EARLIER AGES THAN
[000:15:39;204] PREVIOUSLY SEEN.
