[000:00:08;708] >> WELCOME TO
[000:04:44;684] TOMAHAWK MISSILE STRIKE WAS AN
[000:04:46;185] UNQUALIFIED SUCCESS.
[000:04:47;754] TWEETING OUT, "CONGRATULATIONS
[000:04:50;356] TO OUR GREAT MILITARY MEN AND
[000:04:51;924] WOMEN FOR REPRESENTING THE
[000:04:52;959] UNITED STATES, AND THE WORLD SO
[000:04:53;593] WELL."
[000:04:56;596] NOT LONG AGO TRUMP WAS RELUCTANT
[000:04:58;665] TO INTERVENE IN SYRIA.
[000:05:05;438] WE DON'T WANT WORLD WAR III OVER
[000:05:06;072] SYRIA.
[000:05:06;472] >> BACK WHEN PRESIDENT OBAMA
[000:05:07;507] WANTED TO PUNISH SYRIA FOR A
[000:05:09;609] PREVIOUS CHEMICAL ATTACK.
[000:05:11;144] TRUMP TWEETED WHAT WILL WE GET
[000:05:11;778] FOR BOMBING SYRIA BESIDES MORE
[000:05:15;315] DEBT AND A LONG TERM CONFLICT.
[000:05:16;849] OBAMA NEEDS CONGRESSIONAL
[000:05:17;383] APPROVAL.
[000:05:19;952] TRUMP INFORMED CONGRESS AFTER
[000:05:22;055] THE MISSILES WERE LAUNCHED.
[000:05:24;724] GEORGE STEPHANOPOULOS ASKED
[000:05:25;291] SECRETARY OF STATE REX TILLERSON
[000:05:27;260] IF THE STRIKE SIGNALS A CHANGE
[000:05:28;828] IN U.S. POLICY.
[000:05:31;998] >> THIS STRIKE WAS RELATED
[000:05:33;032] SOLELY TO THE MOST RECENT
[000:05:35;101] HORRIFIC USE OF CHEMICAL WEAPONS
[000:05:37;203] AGAINST WOMEN, CHILDREN AND AS
[000:05:39;339] THE PRESIDENT SAID EVEN SMALL
[000:05:39;939] BABIES.
[000:05:41;974] WE ARE CALLING ON BASHAR AL
[000:05:43;509] ASSAD TO CEASE THE USE OF THE
[000:05:44;110] WEAPONS.
[000:05:45;645] OTHER THAN THAT THERE IS NO
[000:05:48;715] CHANGE TO OUR MILITARY POSTURE.
[000:05:50;783] >> EVEN AS THE PRESIDENT WAS
[000:05:51;384] JUGGLING TWO FOREIGN ISSUES,
[000:05:51;984] CHINA AND SYRIA.
[000:05:53;920] HE HAD TO INTERVENE IN A
[000:05:56;489] CONFLICT AMONG HIS OWN SENIOR
[000:05:57;090] STAFF.
[000:06:00;960] CHIEF STRATEGIST
[000:06:01;327] STEVE BANNON AND SON-IN-LAW
[000:06:03;129] JARED KUSHNER WERE ALLIES DURING
[000:06:03;763] THE CAMPAIGN BUT SOURCES SAY
[000:06:05;498] LATELY THE TWO HAVE CLASHED WITH
[000:06:07;166] KUSHNER PUSHING FOR GREATER
[000:06:08;735] ENGAGEMENT WITH THE WORLD,
[000:06:10;837] BANNON FOR THE STRATEGY AMERICA
[000:06:11;471] FIRST.
[000:06:13;439] ABC NEWS LEARNED THE DAY AFTER
[000:06:14;974] THESE PHOTOS WERE TAKEN AT
[000:06:17;076] MAR-A-LAGO KUSHNER AND BANNON
[000:06:19;679] SAT DOWN FRIDAY IN AN ATTEMPT TO
[000:06:23;149] SETTLE THEIR DIFFERENCES.
[000:06:23;883] CHIEF OF STAFF REINCE PRIEBUS
[000:06:26;953] ALSO ATTENDED THE MEETING BUT
[000:06:27;587] WHITE HOUSE OFFICIALS DENY ANY
[000:06:29;021] IMMINENT SHAKEUP.
[000:06:32;125] >> DAVID, THE PRESIDENT IS
[000:06:33;693] DEALING WITH SYRIA, A NEW
[000:06:35;795] SUPREME COURT JUSTICE, THIS
[000:06:37;363] PUBLIC FEUD BETWEEN AIDES IS THE
[000:06:37;997] LAST THING HE NEEDS RIGHT NOW?
[000:06:41;467] >> Reporter: THAT'S RIGHT.
[000:06:43;035] THIS IS A HUGE MOMENT FOR THE
[000:06:43;636] PRESIDENT.
[000:06:44;637] YOU HAVE GOT A CHINA SUMMIT THAT
[000:06:46;706] CAME OFF WITHOUT INCIDENT.
[000:06:50;309] MISSILES THAT HIT THEIR TARGETS
[000:06:51;511] IN SYRIA AND A NEW SUPREME COURT
[000:06:54;914] PICK TO BE SWORN IN ON MONDAY.
[000:06:56;516] THE LAST THING THE WHITE HOUSE
[000:06:58;017] WANTS IS TALK OF INFIGHTING,
[000:06:58;951] TOM.
[000:07:01;854] >> DAVID, THANKS.
[000:07:02;922] THERE'LL BE MUCH MORE ON THE
[000:07:03;523] INTERVIEW WITH SECRETARY OF
[000:07:06;025] STATE TOMORROW ON "THIS WEEK."
[000:07:11;130] >>> TURNING TO SWEDEN.
[000:07:13;733] A COUNTRY STILL IN SHOCK OVER A
[000:07:15;101] TRUCK ATTACK MOWING DOWN
[000:07:16;936] PEDESTRIANS IN THE CAPITAL.
[000:07:17;503] A 39-YEAR-OLD SUSPECT UNDER
[000:07:18;471] ARREST AND INVESTIGATORS
[000:07:21;073] EXAMINING A DEVICE THEY SAY WAS
[000:07:21;707] FOUND INSIDE THE TRUCK.
[000:07:24;710] THE COUNTRY'S PRIME MINISTER
[000:07:25;745] PAYING HIS RESPECTS AT A
[000:07:31;217] MA
[000:07:31;551] MAKE-SHIFT
[000:07:32;819] MEMORIAL.
[000:07:34;387] TERRY MORAN WITH THE LATEST.
[000:07:34;954] >> Reporter: IT WAS SWEDEN'S
[000:07:35;555] MOMENT OF TERROR.
[000:07:35;955] A STOLEN BEER TRUCK SUDDENLY
[000:07:36;556] TRANSFORMED INTO A MASSIVE
[000:07:37;590] WEAPON, BARRELING DOWN A CROWDED
[000:07:38;224] SHOPPING STREET.
[000:07:39;592] >> THERE WERE BODIES ON THE
[000:07:43;229] GROUND EVERYWHERE, AND A SENSE
[000:07:44;330] OF PANIC.
[000:07:44;597] >> Reporter: AND TODAY, WE KNOW
[000:07:46;365] THE MAN AUTHORITIES SAY WAS
[000:07:47;467] BEHIND THE WHEEL, SEEN HERE IN
[000:07:49;502] GRAINY SECURITY CAMERA IMAGES
[000:07:50;102] RELEASED WHILE HE WAS ON THE RUN
[000:07:50;736] AFTER THE ATTACK.
[000:07:52;605] HE'S 39 YEARS OLD, ORIGINALLY
[000:07:55;208] FROM UZBEKISTAN IN CENTRAL ASIA,
[000:07:57;810] KNOWN TO SECURITY SERVICES HERE
[000:07:59;412] AS A POSSIBLE ISLAMIC EXTREMIST,
[000:08:00;980] BASED ON HIS SOCIAL MEDIA POSTS,
[000:08:02;982] BUT HE WASN'T BEING MONITORED.
[000:08:05;084] AND THIS TODAY, HE MAY HAVE HAD
[000:08:05;718] A BOMB IN THAT TRUCK.
[000:08:08;187] >> WE HAVE FOUND SOMETHING IN
[000:08:10;790] THE TRUCK, IN THE DRIVER'S SEAT,
[000:08:13;392] A TECHNICAL DEVICE WHICH SHOULD
[000:08:14;026] NOT BE THERE.
[000:08:15;495] >> Reporter: OVERNIGHT, A RAID
[000:08:17;563] IN A STOCKHOLM SUBURB, SEVERAL
[000:08:19;165] PEOPLE DETAINED FOR QUESTIONING.
[000:08:20;199] THE SUSPECT, WHO AUTHORITIES
[000:08:23;169] HAVEN'T NAMED, ISN'T TALKING,
[000:08:23;803] AND THE INVESTIGATION CONTINUES.
[000:08:26;939] >> WE DO NOT KNOW WHETHER THERE
[000:08:27;573] ARE FURTHER PERSONS INVOLVED IN
[000:08:30;610] THIS ACT, OR NOT.
[000:08:31;010] >> Reporter: FOUR PEOPLE WERE
[000:08:31;611] KILLED IN THE ATTACK.
[000:08:33;179] TEN REMAIN HOSPITALIZED,
[000:08:33;713] INCLUDING A CHILD.
[000:08:35;781] >> THE ATTACK SHUT DOWN CENTRAL
[000:08:37;917] STOCKHOLM FOR HOURS AND IT
[000:08:38;885] SHOCKED THE PEOPLE OF THIS
[000:08:40;453] NORMALLY PLACID COUNTRY TO THEIR
[000:08:41;087] CORE.
[000:08:43;055] TODAY THEY'RE ERECTING THIS ALL
[000:08:45;658] TOO FAMILIAR MAKESHIFT MEMORIAL
[000:08:47;460] WHICH WE'RE SEEING IN CITY AFTER
[000:08:48;094] CITY ACROSS EUROPE.
[000:08:51;364] AND NOW A GRIM PATTERN IS CLEAR.
[000:08:52;398] TRUCKS AND CARS, SO ORDINARY, SO
[000:08:53;432] UBIQUITOUS, INCREASINGLY
[000:08:55;134] WEAPONIZED BY TERRORISTS.
[000:08:57;103] NICE, IN FRANCE, LAST JULY, A
[000:08:59;472] SLAUGHTER ON BASTILLE DAY,
[000:09:00;039] 86 DEAD.
[000:09:01;240] BERLIN, CHRISTMASTIME,
[000:09:03;342] 12 MURDERED.
[000:09:04;877] JUST LAST MONTH IN LONDON,
[000:09:05;444] 5 KILLED.
[000:09:06;512] AND NOW, STOCKHOLM.
[000:09:09;048] TERRY MORAN ABC NEWS, STOCKHOLM.
[000:09:12;685] >> BACK HERE AT HOME TO THE
[000:09:13;719] INTENSIFYING MANHUNT FOR THE
[000:09:16;856] SUSPECT CALLED ARMED AND
[000:09:17;423] DANGEROUS.
[000:09:19;125] INVESTIGATORS TRACKING MORE THAN
[000:09:20;526] 200 LEADS TO PIN DOWN THE
[000:09:22;094] WISCONSIN MAN WHO APPARENTLY
[000:09:24;664] FILMED HIMSELF MAILING A
[000:09:25;197] MANIFESTO TO PRESIDENT TRUMP.
[000:09:27;266] WHAT HE'S ACCUSED OF PLOTTING.
[000:09:27;867] HERE'S EVA PILGRIM.
[000:09:30;403] >> Reporter: AUTHORITIES ARE
[000:09:31;938] ASKING FOR THE PUBLIC'S HELP TO
[000:09:35;141] FIND THIS MAN IN A NEWLY
[000:09:36;642] RELEASED IMAGE PLOTTING
[000:09:39;178] AN ACT OF MASS
[000:09:40;613] VIOLENCE.
[000:09:41;547] >> THIS SUBJECT CONTINUES TO
[000:09:42;148] REMAIN A THREAT AND NEED TO BE
[000:09:43;215] VIGILANT FOR THEIR PERSONAL
[000:09:43;783] SAFETY.
[000:09:44;817] >> Reporter: THIS IS JOSEPH
[000:09:46;852] JAKUBOWSKI SEEN TUESDAY AT A GAS
[000:09:50;790] STATION.
[000:09:51;057] IN WISCONSIN.
[000:09:52;458] >> NEVER FORGET HIS FACE.
[000:09:53;492] EVER.
[000:09:55;595] >> Reporter: HE POSTED THIS
[000:09:56;162] VIDEO TO HIS SOCIAL MEDIA
[000:09:56;696] ACCOUNT AND MAILING THIS
[000:09:57;663] ENVELOPE TO THE PRESIDENT.
[000:09:59;231] >> HERE IT IS.
[000:09:59;732] YOU SEE IT'S GETTING SHIPPED.
[000:10:01;834] REVOLUTION.
[000:10:03;903] IT'S TIME FOR CHANGE.
[000:10:05;504] >> Reporter: INSIDE,
[000:10:07;006] INVESTIGATORS SAY PLANS OF A
[000:10:08;574] BRUTAL ATTACK AND DISPARAGING
[000:10:10;643] COMMENTS ABOUT THE PRESIDENT ALL
[000:10:12;745] IN A 161-PAGE ANTI-GOVERNMENT
[000:10:13;346] MANIFESTO.
[000:10:19;085] >> ADDRESS.
[000:10:19;385] LEAVING.
[000:10:21;787] >> Reporter: POLICE SAY YOU CAN
[000:10:22;421] SEE JAKUBOWSKI IN THIS PHOTO
[000:10:24;357] STEALING 16 FIREARMS FROM A GUN
[000:10:26;459] SHOP BEFORE SETTING HIS CAR ON
[000:10:27;994] FIRE AND DISAPPEARING.
[000:10:29;595] AUTHORITIES ARE CALLING HIM
[000:10:31;130] ARMED AND DANGEROUS.
[000:10:33;733] INVESTIGATORS USING DOGS, PLANES
[000:10:35;801] AND MORE THAN 150 OFFICERS TO
[000:10:36;869] SEARCH.
[000:10:37;903] TONIGHT HIS NEIGHBOR ON EDGE.
[000:10:39;438] >> I JUST WANT THIS TO END.
[000:10:45;211] I JUST -- I WANT TO FEEL SAFE IN
[000:10:45;845] MY HOME AGAIN.
[000:10:46;178] >> Reporter: THE FBI IS NOW
[000:10:47;446] OFFERING A $10,000 REWARD FOR
[000:10:48;047] INFORMATION LEADING TO
[000:10:50;349] JAKUBOWSKI'S ARREST.
[000:10:51;951] THEY'RE HOPING HE TURNS HIMSELF
[000:10:54;086] IN BUT ASKING FOR THE PUBLIC'S
[000:10:54;720] HELP.
[000:10:54;920] TOM.
[000:10:57;657] >> STILL SO MANY QUESTIONS ABOUT
[000:10:58;290] HIS MOTIVE.
[000:10:59;125] THANKS EVA.
[000:10:59;425] >>> BREAKING NEWS.
[000:11:01;794] AT LEAST FIVE CHILDREN RACED TO
[000:11:04;397] THE HOSPITAL IN SOUTH CAROLINA.
[000:11:05;965] THE TWO BOUNCE HOUSES GOING
[000:11:06;999] AIRBORNE.
[000:11:10;169] MARCI GONZALEZ WITH THE LATEST.
[000:11:11;170] >> Reporter: TONIGHT, THIS
[000:11:12;271] INFLATABLE SLIDE, AND A BOUNCE
[000:11:15;141] HOUSE WITH CHILDREN INSIDE,
[000:11:16;876] SUDDENLY GOING AIRBORNE, LIFTED
[000:11:18;477] BY A STRONG GUST OF WIND.
[000:11:20;012] >> BIG GUSH OF AIR AND THE
[000:11:26;252] BOUNCE HOUSE PROBABLY WENT UP A
[000:11:26;886] GOOD 20, 30 FEET.
[000:11:27;286] >> Reporter: FIRST RESPONDERS
[000:11:28;320] SAY THE BOUNCE HOUSE THEN, HIT
[000:11:29;922] NEARBY POWER LINES, SENDING THE
[000:11:30;956] CHILDREN, FALLING TO THE GROUND.
[000:11:33;025] >> I'VE ONLY GOT FOUR PATIENTS
[000:11:33;659] SO FAR.
[000:11:34;560] THEY'RE ALL JUVENILES.
[000:11:36;128] >> Reporter: RESCUERS, WHO
[000:11:38;197] RUSHED TO THE SCENE AT THIS
[000:11:41;500] SOUTH CAROLINA SAY INCREDIBLY,
[000:11:42;134] NO ONE WAS ELECTROCUTED BUT FIVE
[000:11:43;402] CHILDREN WERE HURT AND RUSHED TO
[000:11:44;036] THE HOSPITAL.
[000:11:45;504] THESE KINDS OF ACCIDENTS
[000:11:47;573] HAPPENING OVER AND OVER AGAIN.
[000:11:50;710] IN 2015, THIS BOUNCE HOUSE ON
[000:11:51;310] THE BEACH IN FLORIDA, TUMBLING
[000:11:54;346] AND SENT FLYING, INJURING THREE
[000:11:54;980] CHILDREN.
[000:11:59;151] >> I WAS THINKING I WAS ABOUT TO
[000:11:59;785] DIE.
[000:11:59;952] >> Reporter: AND IN COLORADO,
[000:12:00;553] TWO CHILDREN HURT.
[000:12:02;188] >> THERE'S NOT A KID IN THERE?
[000:12:03;289] THERE'S NOT A KID IN THERE IS
[000:12:03;889] THERE?
[000:12:05;791] >> Reporter: WIND PICKED UP THIS
[000:12:07;860] BLOW-UP SLIDE AND SLAMMED IT
[000:12:08;461] REPEATEDLY INTO THE GROUND.
[000:12:14;667] >> I WAS PICKED UP INTO THE AIR
[000:12:16;469] AND THROWN AROUND A LOT.
[000:12:17;436] >> TONIGHT WE'RE TOLD THE
[000:12:19;472] CHILDREN'S INJURIES IN SOUTH
[000:12:22;074] CAROLINA ARE NOT
[000:12:24;110] LIFE-THREATENING.
[000:12:24;510] >> THANK YOU.
[000:12:27;146] NEXT TO THE TRAVEL HEADACHES
[000:12:27;747] THAT WON'T QUIT FOR DELTA
[000:12:28;280] AIRLINE PASSENGERS.
[000:12:29;815] HUNDREDS OF FLIGHTS CANCELLED
[000:12:30;883] TODAY.
[000:12:33;452] WHAT'S BEHIND THE ONGOING
[000:12:33;986] PROBLEMS TRYING THE PATIENCE OF
[000:12:35;154] SO MANY?
[000:12:35;554] ADRIENNE BANKERT HAS SOME
[000:12:36;088] ANSWERS.
[000:12:37;623] >> Reporter: TONIGHT, FLIGHT
[000:12:38;224] FRUSTRATIONS.
[000:12:39;725] FIRST WILD WEATHER, AND NOW
[000:12:42;828] SPRING BREAK, CREATING A
[000:12:43;395] DISASTROUS DOMINO EFFECT
[000:12:43;929] IMPACTING DELTA.
[000:12:46;465] >> I WAS ISSUED TWO MORE TICKETS
[000:12:48;033] THAT DAY.
[000:12:51;137] BOARDED THREE SEPARATE AIRCRAFT.
[000:12:53;472] ALL OF WHICH EITHER WERE GROUND
[000:12:54;807] STOPPED OR NEVER LEFT THE GATE.
[000:12:56;342] >> Reporter: SEVERE STORMS
[000:12:59;145] WEDNESDAY STRUCK THE AIRLINES
[000:12:59;745] HUB IN ATLANTA, CANCELLING
[000:13:02;081] 3,500 DELTA FLIGHTS, AT LEAST
[000:13:04;650] 275 TODAY ALONE.
[000:13:05;718] >> WITH DELTA DELAYING FLIGHTS
[000:13:07;787] EVERY 30 MINUTES UNTIL THEY
[000:13:10;389] FINALLY CANCEL THEM, I HAVE
[000:13:10;956] OPTED TO RENT A CAR.
[000:13:11;423] >> Reporter: MALLORY BERGESON,
[000:13:13;559] WAS RESCHEDULED ON DIFFERENT
[000:13:17;463] FLIGHTS FOR FIVE DAYS STRAIGHT.
[000:13:20;332] >> I'VE BEEN
[000:13:20;633] DRIVING TWO HOURS, STILL HAVE
[000:13:21;901] SEVEN HOURS TO GO, BUT MOVING
[000:13:22;501] FASTER THAN DELTA IS.
[000:13:25;037] >> Reporter: MALLORY AND SO MANY
[000:13:26;172] OTHERS STUCK BECAUSE OF THE
[000:13:28;674] SURGE OF SPRING BREAK TRAVELERS
[000:13:29;775] WITH STORMS FORCING PLANES AND
[000:13:32;311] CREWS OUT OF POSITION.
[000:13:33;879] PASSENGERS VENTING ONLINE,
[000:13:35;948] REALITY TV'S TODD CHRISLEY
[000:13:37;516] TWEETING, "I USED TO BE PROUD TO
[000:13:41;487] SAY I ONLY FLY DELTA, THE FACT I
[000:13:42;221] NOW HAVE 2 SAY 'USE TO' IS SAD."
[000:13:43;222] DELTA RELEASING A STATEMENT,
[000:13:44;790] "WHILE WE CAN'T CONTROL THE
[000:13:47;126] WEATHER, WE UNDERSTAND THE
[000:13:48;460] RESULTING RECOVERY HAS NOT BEEN
[000:13:49;461] IDEAL, AND WE APOLOGIZE FOR
[000:13:50;029] THAT."
[000:13:51;564] A TRAVEL WAIVER HAS BEEN
[000:13:53;732] EXTENDED FOR PASSENGERS WHOSE
[000:13:55;734] TRAVEL PLANS ARE FLEXIBLE.
[000:13:59;138] TOM.
[000:14:00;673] >>> MORE NOW ON THE WILD WEATHER
[000:14:01;774] AND THE DAMAGING
[000:14:05;110] WINDS OUT WEST.
[000:14:05;477] THE CLEANUP UNDER WAY FOR
[000:14:06;011] HOMEOWNERS IN OREGON.
[000:14:06;478] MANY DOWNED TREES.
[000:14:07;713] THOSE FIERCE WINDS SLAMMING
[000:14:08;280] PORTLAND AS WELL.
[000:14:09;849] ALL PART OF A SYSTEM MOVING
[000:14:10;416] EAST.
[000:14:12;952] WITH THOSE PLANES IN THE CROSS
[000:14:13;586] HAIRS FROM OKLAHOMA TO
[000:14:14;086] MINNESOTA.
[000:14:17;523] LET'S GET TO ROB MARCIANO.
[000:14:18;891] >> THE STORM THROUGH THE
[000:14:19;925] NORTHWEST, UNLIKE ANY I'VE SEEN.
[000:14:21;961] MORE LIKE A FALL WIND STORM.
[000:14:23;529] IT'S A MESS OUT THERE.
[000:14:29;201] WINTER STORM WARNING FROM
[000:14:29;835] CALIFORNIA TO WYOMING.
[000:14:32;771] A SEVERE WEATHER THREAT
[000:14:35;374] FROM IOWA BACK DOWN THROUGH
[000:14:36;008] OKLAHOMA CITY.
[000:14:36;976] A CHANCE WE DON'T BREAK WHAT WE
[000:14:37;610] CALL THE CAP BUT IF WE DO IT'S
[000:14:38;277] GOING TO BE VERY ACTIVE TOMORROW
[000:14:40;646] AFTERNOON AND A LOT OF WARM AIR.
[000:14:42;181] 80 DEGREES IN ST. LOUIS SURGING
[000:14:44;783] TO THE EAST INTO THE LOWER 70s
[000:14:45;417] AND WARMER ON TUESDAY.
[000:14:46;886] IT WILL START TO FEEL LIKE JUNE
[000:14:51;123] IN SOME SPOTS TOM.
