[000:00:01;685] APPRECIATE YOUR TIME.
[000:03:01;831] OUTFITTED WITH AN ATTACHMENT
[000:03:03;299] CALLED A BUMP STOCK.
[000:03:06;870] IT ALLOWS THE GUN TO FIRE
[000:03:07;403] CONTINUOUSLY LIKE AN AUTOMATIC
[000:03:08;071] WEAPON.
[000:03:08;471] THIS VIDEO DEMONSTRATING HOW IT
[000:03:10;006] WORKS.
[000:03:14;243] ON THE TIP OF THE RIFLE, A FLASH
[000:03:17;280] HIDER, MAKING ITS FIERY BLAST
[000:03:18;281] DIFFICULT TO SPOT.
[000:03:20;283] AND IN THE CORNER, A PILE OF 17
[000:03:21;484] MAGAZINES HOLDING 100 ROUNDS
[000:03:22;085] EACH.
[000:03:24;621] YOU'RE LOOKING AT 1,700 BULLETS.
[000:03:27;123] PADDOCK ALSO INSTALLING HIS OWN
[000:03:30;059] SURVEILLANCE SYSTEM.
[000:03:30;526] A CAMERA HIDDEN ON HIS ROOM
[000:03:32;095] SERVICE CART, ANOTHER BEHIND THE
[000:03:33;730] PEEPHOLE, LOOKING DOWN THE HALL.
[000:03:35;665] ALL RIGGED SO HE COULD SEE
[000:03:38;067] POLICE APPROACHING.
[000:03:39;102] AND NOW, WE ARE LEARNING HE
[000:03:40;336] SPOTTED A HOTEL SECURITY GUARD.
[000:03:41;804] >> HE WAS ADVANCING TOWARDS THE
[000:03:43;172] ROOM WHEN THE SUSPECT FIRED
[000:03:44;240] THROUGH THE DOOR AT THE SECURITY
[000:03:45;441] GUARD AND STRUCK HIM.
[000:03:48;077] >> Reporter: TONIGHT, THAT
[000:03:48;645] SECURITY GUARD IDENTIFIED AS
[000:03:51;547] JESUS CAMPOS.
[000:03:52;515] AND HAILED AS A HERO.
[000:03:52;982] SOMEHOW, HE WAS ABLE TO GET AWAY
[000:03:53;616] AND TELL THE TACTICAL TEAM THAT
[000:03:56;252] PADDOCK WAS IN ROOM 135.
[000:03:57;921] AN HOUR LATER, THEY BREACHED THE
[000:03:58;788] DOOR --
[000:04:00;423] >> BREACH, BREACH, BREACH.
[000:04:00;957] >> Reporter: -- AND DISCOVERED
[000:04:01;591] HIM ALREADY DEAD.
[000:04:05;895] TONIGHT, FEDERAL LAW ENFORCEMENT
[000:04:06;529] SOURCES TELLING ABC NEWS THEY
[000:04:07;130] ARE INVESTIGATING REPORTS THAT
[000:04:08;698] THE DAY BEFORE THE MASSACRE, HE
[000:04:09;332] CHECKED INTO MULTIPLE HOTELS
[000:04:11;334] OVERLOOKING THE CONCERT VENUE.
[000:04:12;902] AND HE MAY HAVE LOOKED FOR OTHER
[000:04:13;870] OPPORTUNITIES.
[000:04:15;972] FEDERAL SOURCES SAY HE LOOKED
[000:04:17;507] INTO RENTING A ROOM IN THIS
[000:04:18;574] BUILDING RIGHT NEXT TO ANOTHER
[000:04:20;677] MUSIC FESTIVAL JUST THE WEEK
[000:04:22;245] BEFORE.
[000:04:25;648] AND FROM THIS PERCH, HE WOULD
[000:04:27;250] HAVE HAD A CLEAR FIELD OF FIRE,
[000:04:29;686] RIGHT DOWN INTO THOSE TENS OF
[000:04:31;087] THOUSANDS OF PEOPLE PACKED INTO
[000:04:32;622] THAT CONCERT BELOW.
[000:04:34;691] BUT FOR SOME REASON, HE DIDN'T
[000:04:35;692] PURSUE THE PLAN, INSTEAD, HE
[000:04:36;292] WAITED A WEEK FOR THE HARVEST
[000:04:36;893] FESTIVAL.
[000:04:37;293] AND MATT GUTMAN JOINS US LIVE
[000:04:37;894] TONIGHT HERE IN LAS VEGAS.
[000:04:39;862] AND MATT, WE NOW KNOW, HE MAY
[000:04:41;898] HAVE HAD SEVERAL HOTEL OPTIONS
[000:04:44;000] FOR THIS ATTACK, ULTIMATELY
[000:04:44;567] SPENDING MORE THAN THREE DAYS IN
[000:04:45;902] THE MANDALAY BAY HOTEL RIGHT
[000:04:47;637] BEHIND ME.
[000:04:47;904] AND YOU'RE LEARNING WHAT HE
[000:04:49;906] MIGHT HAVE DONE THE DAY BEFORE?
[000:04:50;740] >> Reporter: THAT'S RIGHT,
[000:04:51;407] DAVID.
[000:04:52;342] WE'RE LEARNING HE WASN'T JUST
[000:04:55;478] SHUTTERED UP IN THAT LUXURY
[000:04:56;045] SUITE IN THAT HOTEL.
[000:04:57;513] NOW, LAW ENFORCEMENT HASN'T
[000:04:58;081] WEIGHED IN ON THIS YET.
[000:04:59;615] BUT I SPOKE TO A CASINO WORKER
[000:05:00;249] WHO SAID THEY SAW HIM PLAY HIGH
[000:05:01;250] STAKES VIDEO POKER FOR EIGHT
[000:05:04;387] CONTINUOUS HOURS THE MORNING OF
[000:05:05;388] THE ATTACK.
[000:05:05;888] 16 HOURS THAT WEEKEND.
[000:05:06;956] AND WHAT MAKES THIS SO URNG IS
[000:05:09;492] MILLING ABOUT WITH THE PUBLIC AT
[000:05:11;627] THAT HOTEL, OUT IN THE OPEN, FOR
[000:05:13;896] DAYS BEFORE THE ATTACK.
[000:05:14;697] DAVID?
[000:05:16;232] >> MATT GUTMAN LEADING US OFF
[000:05:16;833] TONIGHT.
[000:05:17;834] MATT, THANK YOU.
[000:05:18;234] >>> AND THE OTHER MAJOR
[000:05:20;937] DEVELOPMENT, THE GUNMAN'S
[000:05:21;471] GIRLFRIEND, SHE IS BACK IN THE
[000:05:22;105] U.S. TONIGHT, BEING QUESTIONED
[000:05:25;108] NOW BY THE FBI.
[000:05:25;475] HER BROTHER TELLING ABC NEWS
[000:05:26;175] THAT SHE ASSURED HER FAMILY SHE
[000:05:29;812] HAS A, QUOTE, CLEAN CONSCIENCE.
[000:05:30;446] BUT TONIGHT, SHE REMAINS A
[000:05:31;481] PERSON OF INTEREST, AS THEY NOW
[000:05:33;883] ASK, HOW THE GUNMAN ASSEMBLED
[000:05:34;484] SUCH AN ARSENAL WITHOUT ANYONE
[000:05:35;118] NOTICING.
[000:05:37;086] HERE'S ABC'S CHIEF INVESTIGATIVE
[000:05:37;887] CORRESPONDENT BRIAN ROSS.
[000:05:41;257] >> Reporter: TONIGHT, JUST 12
[000:05:43;359] HOURS AFTER SHE ARRIVED ON A
[000:05:46;462] HTIGFLM RO FPHTH
[000:05:48;498] SHOOTER'S LONG-TIME GIRLFRIEND,
[000:05:49;132] MARILOU DANLEY, TOLD THE FBI,
[000:05:49;899] ACCORDING TO LAW ENFORCEMENT
[000:05:50;633] OFFICIALS, THAT SHE HAD NO
[000:05:53;870] KNOWLEDGE OF HIS PLANS OR HIS
[000:05:54;470] PURCHASE OF SO MANY GUNS.
[000:05:56;339] HER LAWYER READ HER STATEMENT
[000:05:57;907] AFTER THE FBI SESSION ENDED.
[000:06:01;010] >> HE NEVER SAID ANYTHING TO ME
[000:06:05;915] OR TOOK ANY ACTION THAT I WAS
[000:06:06;516] AWARE OF THAT I UNDERSTOOD IN
[000:06:11;354] ANY WAY TO BE A WARNING THAT
[000:06:12;989] SOMETHING HORRIBLE LIKE THIS WAS
[000:06:13;890] GOING TO HAPPEN.
[000:06:14;991] >> Reporter: DANLEY HAD BEEN
[000:06:15;591] PADDOCK'S LIVE-IN GIRLFRIEND FO.
[000:06:18;694] HE MET HER WHEN SHE WAS A CASINO
[000:06:19;328] HOSTESS.
[000:06:21;230] THEY GAMBLED TOGETHER, PLAYING
[000:06:22;865] VIDEO POKER AND THE SLOTS.
[000:06:26;002] INVESTIGATORS WANT TO KNOW IF HE
[000:06:29;539] WENT ALONG WHEN SHE TRAVELED TO
[000:06:30;173] DUBAI, WHERE SHE POSTED THIS
[000:06:31;641] SMILING PHOTO.
[000:06:32;308] ACCORDING TO HER SISTERS IN
[000:06:33;776] AUSTRALIA, WHO WANTED THEIR
[000:06:35;344] FACES BLURRED, NO ONE KNOWS MORE
[000:06:37;847] ABOUT PADDOCK.
[000:06:38;181] >> NO ONE CAN PUT THE PUZZLES
[000:06:38;781] TOGETHER.
[000:06:39;048] NO ONE.
[000:06:41;517] EXCEPT MARILOU.
[000:06:41;884] >> Reporter: THE SISTERS SAID
[000:06:44;720] IT WAS PADDOCK WHO SENT HER TO
[000:06:46;589] THE FILL PEEPS JUST TWO WEEKS
[000:06:47;657] BEFORE THE SHOOTING.
[000:06:49;225] >> HE SENT HER AWAY, SO THAT HE
[000:06:51;360] HE CAN PLAN WHAT HE IS PLANNING
[000:06:53;763] WITHOUT INTERRUPTIONS.
[000:06:54;230] >> Reporter: AUTHORITIES NOW ARE
[000:06:54;864] PUTTINGETHER A PSYCHOLOGICALTOG
[000:06:56;966] PROFILE OF THE SHOOTER.
[000:07:00;536] A 64-YEAR-OLD ONE-TIME
[000:07:01;037] ACCOUNTANT AND IRS AGENT, WHO
[000:07:01;637] CLAIMED TO BE A
[000:07:02;138] MULTIMILLIONAIRE.
[000:07:04;240] BUT INVESTIGATORS SAY A PICTURE
[000:07:05;775] IS EMERGING OF A MAN "DESCENDING
[000:07:08;344] INTO MADNESS," LOSING WEIGHT,
[000:07:09;912] DIMINISHED PHYSICAL APPEARANCE,
[000:07:13;116] WHAT ARE DESCRIBED AS "CRAZY
[000:07:13;883] EYES."
[000:07:16;652] COUPLED WITH EASY ACCESS TO THE
[000:07:17;286] POWERFUL WEAPONS HE BEGAN TO
[000:07:17;887] ACCUMULATE MORE THAN A YEAR AGO,
[000:07:19;822] A DEADLY COMBINATION.
[000:07:22;892] >> BRIAN ROSS WITH US LIVE FROM
[000:07:23;526] NEW YORK TONIGHT.
[000:07:24;560] AND BRIAN, WE HEARD YOUR REPORT
[000:07:25;962] THERE, THE SHOOTER'S GIRLFRIEND
[000:07:26;596] SPENT HOURS TODAY TALKING TO THE
[000:07:28;598] FBI.
[000:07:28;764] BUT SHE IS DENYING KNOWING
[000:07:30;166] ANYTHING ABOUT THIS PLOT?
[000:07:30;766] >> Reporter: YES, DAVID.
[000:07:32;568] OFFICIALS SAY SHE CLAIMS SHE HAD
[000:07:36;439] NO IDEA ABOUT THE DOZENS OF GUNS
[000:07:37;073] HER BOYFRIEND BOUGHT OVER THE
[000:07:37;874] LAST YEAR, AND AS YOU SAID, HER
[000:07:41;110] BROTHER TELLS ABC NEWS, SHE TOLD
[000:07:41;911] HER FAMILY SHE HAS A CLEAN
[000:07:44;547] CONSCIENCE, DAVID.
[000:07:45;948] >> BRIAN ROSS AND YOUR TEAM.
[000:07:46;516] WE THANK YOU AGAIN TONIGHT.
[000:07:47;416] >>> PRESIDENT TRUMP, MEANWHILE,
[000:07:48;050] WAS HERE IN LAS VEGAS TODAY.
[000:07:50;453] IT IS THE FIRST TIME HE'S HAD TO
[000:07:51;521] VISIT THE SCENE OF A MASS
[000:07:52;054] SHOOTING, MEETING WITH
[000:07:52;588] SURVIVORS.
[000:07:55;124] WHAT HE SAID TO DOCTORS AND
[000:07:57;760] NURSES HERE, AND WHAT HE'S NOW
[000:07:58;394] SAYING ABOUT GUN CONTROL.
[000:07:59;862] ABC'S SENIOR WHITE HOUSE
[000:08:00;396] CORRESPONDENT CECILIA VEGA, ALSO
[000:08:01;030] HERE IN LAS VEGAS.
[000:08:05;501] >> Reporter: IN LAS VEGAS TODAY,
[000:08:06;135] PRESIDENT TRUMP, IN A NEW
[000:08:07;637] ROLE --
[000:08:07;870] COMFORTER IN CHIEF.
[000:08:10;206] WITH THE FIRST LADY BY HIS SIDE,
[000:08:12;341] THEIR FIRST STOP, THE HOSPITAL
[000:08:14;744] TREATING DOZENS OF PATIENTS,
[000:08:17;880] STILL FIGHTING FOR THEIR LIVES.
[000:08:20;082] >> SOME WERE VERY, VERY BADLY
[000:08:20;683] WOUNDED AND THEY WERE BADLY
[000:08:21;250] WOUNDED BECAUSE THEY REFUSED TO
[000:08:21;884] LEAVE, THEY WANTED TO HELP
[000:08:22;451] OTHERS, BECAUSE THEY SAW PEOPLE
[000:08:25;788] GOING DOWN ALL OVER.
[000:08:26;222] AND IT'S AN INCREDIBLE THING TO
[000:08:26;856] SEE.
[000:08:28;057] THERE'S TREMENDOUS BRAVERY.
[000:08:30;459] >> Reporter: THE FOCUS ON THOSE
[000:08:31;093] SURVIVORS.
[000:08:31;360] BUT THIS WAS ALSO A THANK YOU
[000:08:32;762] TOUR.
[000:08:34;130] IT MAKES YOU VERY PROUD TO BE AN
[000:08:35;164] AMERICAN, WHEN YOU SEE THE JOB
[000:08:36;766] THAT THEY'VE DONE.
[000:08:38;868] >> Reporter: AT THE COMMAND
[000:08:40;436] CENTER, SURROUNDED BY FIRST
[000:08:41;003] RESPONDERS, THE PRESIDENT
[000:08:44;507] PRAISING THEIR HEROISM, LIKE
[000:08:45;107] THESE DISPATCH OPERATORS WHO
[000:08:46;576] ANSWERED THOSE FRANTIC CALLS FOR
[000:08:47;210] HELP.
[000:08:49;278] >> CALM AND STRONG, SHARP.
[000:08:50;780] >> Reporter: FOR THE SHOOTER, HE
[000:08:51;414] HAD HARSH WORDS.
[000:08:54;984] >> HE'S A SICK, DEMENTED MAN.
[000:08:56;452] >> Reporter: AND FOR THE NATION,
[000:08:57;086] A MESSAGE OF UNITY --
[000:09:00;189] >> AMERICA IS TRULY A NATION IN
[000:09:01;757] MOURNING.
[000:09:02;758] >> Reporter: -- AND HOPE.
[000:09:07;997] >> AMERICANS DEFIED DEATH AND
[000:09:08;598] HATRED WITH LOVE AND WITH
[000:09:11;033] COURAGE.
[000:09:12;602] >> Reporter: BUT AS THE DEBATE
[000:09:13;669] ABOUT GUNS IN THIS COUNTRY GROWS
[000:09:15;271] LOUDER, THE PRESIDENT HIMSELF,
[000:09:17;873] NOT WILLING TO GO THERE, NOT
[000:09:18;474] TODAY.
[000:09:20;409] >> DOES AMERICA HAVE A GUN
[000:09:21;477] VIOLENCE PROBLEM?
[000:09:22;979] >> WE'RE NOT GOING TO TALK ABOUT
[000:09:23;613] THAT TODAY.
[000:09:26;148] >> AND CECILIA VEGA JOINS US
[000:09:26;749] LIVE TONIGHT.
[000:09:27;750] CECILIA, THE PRESIDENT SAID ANY
[000:09:28;751] DISCUSSION ABOUT GUNS WILL COME
[000:09:29;919] DOWN THE ROAD TODAY, BUT ON
[000:09:32;421] CAPITOL HILL TODAY, THERE WAS A
[000:09:33;889] ALREADY A LOT OF FOCUS ON WHAT
[000:09:34;523] ARE CALLED BUMP STOCK
[000:09:35;524] ATTACHMENTS THAT MATT REPORTED
[000:09:38;094] ON, THAT CAN ESSENTIALLY TURN
[000:09:38;694] ASSAULT RIFLES INTO AUTOMATIC
[000:09:41;163] WEAPONS WHEN THEY'RE ATTACHED.
[000:09:41;764] AND THERE IS WORD TONIGHT THAT
[000:09:43;332] SENATOR DIANNE FEINSTEIN AND TWO
[000:09:45;935] REPUBLICAN LAWMAKERS ARE TALKING
[000:09:46;902] ABOUT LEGISLATION TO BAN THEM?
[000:09:48;471] >> Reporter: YEAH, DAVID.
[000:09:49;005] A HANDFUL OF SENATE REPUBLICANS
[000:09:52;174] SEEM OPEN AN IDEA OF HOLDING
[000:09:53;876] HEARINGS ON THIS SUBJECT.
[000:09:56;646] A SIMILAR MOVEMENT IS AFOOT IN
[000:09:58;648] THE HOUSE, AS WELL.
[000:09:59;682] BUT SENATE MAJORITY LEADER MITCH
[000:10:00;316] McCONNELL SAYS IT'S PREMATURE TO
[000:10:01;250] BE TALKING ABOUT THIS.
[000:10:01;717] A VOTE SEEMS LIKE A LONG WAY
[000:10:02;318] OFF.
[000:10:02;652] >> CECILIA VEGA WITH US HERE IN
[000:10:04;253] LAS VEGAS TONIGHT.
[000:10:04;687] CECILIA, THANK YOU.
[000:10:05;121] >>> THERE WAS AN EXTRAORDINARY
[000:10:05;921] MOMENT THAT PLAYED OUT HERE
[000:10:08;658] TODAY, AFTER AN INTERVIEW WE
[000:10:09;892] BROUGHT YOU LAST NIGHT HERE.
[000:10:10;626] A SON, WHO WAS AT THE CONCERT
[000:10:12;161] FOR HIS 21st BIRTHDAY, HE WAS
[000:10:13;729] SHOT, AND THEN SAVED BY A YOUNG
[000:10:16;766] MAN WHO HELD PRESSURE TO HIS
[000:10:17;366] WOUNDS ALL THE WAY TO THE
[000:10:17;900] HOSPITAL, STAYING NEXT TO HIM IN
[000:10:18;901] THE E.R.
[000:10:22;038] HE TOLD US HE WANTED TO MEET
[000:10:22;638] THAT HERO, AND SOMEONE HEARD
[000:10:25;107] THAT LAST NIGHT.
[000:10:25;875] TONIGHT HERE, THE LIST OF
[000:10:28;177] HEROES, AND WHAT HAPPENED IN
[000:10:28;778] THAT VERY SAME HOSPITAL ROOM
[000:10:29;378] TODAY.
[000:10:32;381] TONIGHT, THE NEW STORIES NOW
[000:10:33;916] EMERGING OF THE QUIET HEROES WHO
[000:10:35;484] SAVED SO MANY LIVES HERE.
[000:10:37;753] MIKE KORDICH, A FIREFIGHTER, WAS
[000:10:38;721] GIVING CPR TO SOMEONE WHEN HE
[000:10:40;222] WAS SHOT IN THE ARM.
[000:10:41;824] >> I KEPT DOING CHEST
[000:10:44;727] COMPRESSIONS WITH ONE ARM UNTIL
[000:10:45;361] I NOTICED I WAS STARTING TO
[000:10:47;496] BLEED A LOT.
[000:10:47;963] >> Reporter: NURSE NATALIE
[000:10:48;531] VANDERSTAY HIT BY A BULLET AND
[000:10:49;165] SHRAPNEL.
[000:10:50;599] CONCERT-GOERS DRIVING HER TO THE
[000:10:52;635] HOSPITAL, KEEPING PRESSURE ON
[000:10:53;235] HER WOUNDS.
[000:10:57;840] >> IF IT WASN'T FOR THAT CAB
[000:10:58;441] DRIVER, I WOULDN'T BE HERE,
[000:10:59;008] SO -- AND DIDN'T KNOW WHO HE IS.
[000:11:00;443] >> Reporter: THERE WAS
[000:11:03;879] 5-YEAR-OLD AIDEN HUSER,
[000:11:06;749] SEPARATED FROM HIS MOTHER WHEN
[000:11:08;751] THE SHOOTING BEGAN.
[000:11:09;218] >> I LOST HER, AND I WAS SAD.
[000:11:09;819] I DIDN'T KNOW WHERE TO RUN.
[000:11:10;786] >> Reporter: WHEN A STRANGER,
[000:11:11;387] LINDSEY ROGERS, SAW HIM STANDING
[000:11:12;455] ALONE, SHE STAYED BY HIS SIDE.
[000:11:13;456] >> HE WAS REALLY BRAVE AND
[000:11:14;023] REALLY GOOD.
[000:11:16;058] >> Reporter: LINDSEY AND A
[000:11:16;625] FRIEND POSTING THIS PHOTO ON
[000:11:18;160] FACEBOOK.
[000:11:18;661] HIS RELATIVES SAW IT.
[000:11:21;731] HE'S BEEN REUNITED WITH HIS
[000:11:22;298] MOTHER.
[000:11:22;765] AND IT WAS LAST NIGHT HERE, WE
[000:11:24;900] WALKED INTO THAT ROOM AT DESERT
[000:11:26;435] SPRINGS HOSPITAL MEDICAL CENTER
[000:11:27;069] HERE IN LAS VEGAS, WHERE SHELDON
[000:11:29;105] MACK IS RECOVERING.
[000:11:30;106] SHELDON?
[000:11:32;174] HE WAS AT THE CONCERT FOR HIS
[000:11:32;775] 21st BIRTHDAY. I JUST KEEP SEEI
[000:11:39;548] MIND STILL, IT JUST -- HAUNTS
[000:11:41;283] ME.
[000:11:41;450] >> Reporter: YOU SEE IT ALL
[000:11:42;017] PLAYING OUT STILL.
[000:11:42;418] >> YEAH.
[000:11:42;952] >> Reporter: HE TOLD ME ABOUT
[000:11:43;552] THE MAN WHO HE SAYS SAVED HIS
[000:11:44;153] LIFE.
[000:11:44;987] >> SOME HERO CAME AND SAVED ME,
[000:11:47;089] TOOK CARE OF ME.
[000:11:47;456] >> Reporter: THAT HERO HOLDING
[000:11:48;624] HIS FINGER TO THE BULLET WOUND.
[000:11:50;192] HELPING HIM AND NEVER LEAVING
[000:11:51;193] HIS SIDE.
[000:11:53;896] THE GUY THAT WAS BY YOUR SIDE,
[000:11:55;398] YOU HAVEN'T BEEN ABLE TO FIND
[000:11:57;433] OUT WHERE HE IS --
[000:11:57;933] >> NO.
[000:11:58;501] >> Reporter: WHO HE IS?
[000:11:59;568] >> YEAH, I NEED TO.
[000:12:01;103] I -- I OWE HIM A BEER, AT LEAST.
[000:12:04;740] YEAH, I REALLY APPRECIATE ALL
[000:12:05;341] HE'S DONE FOR ME.
[000:12:06;342] >> Reporter: THAT'S A PRETTY
[000:12:08;778] GOOD TRADEOFF.
[000:12:10;479] SHELDON'S PARENTS TELLING US,
[000:12:12;014] THEY WANT TO MEET THAT HERO.
[000:12:14;717] >> HE'S AN ANGEL AND SAVED HIM.
[000:12:15;651] WE'D LOVE TO FIND THAT FELLA.
[000:12:17;753] APPARENTLY HE WAS SHOT IN THE
[000:12:18;354] LEG, AS WELL.
[000:12:20;122] >> Reporter: AND IT TURNS OUT,
[000:12:21;891] FRIENDS OF THAT HERO WERE
[000:12:23;325] WATCHING THE NEWS LAST NIGHT.
[000:12:24;693] JIMMY GROVER, A 25-YEAR-OLD
[000:12:25;261] PARAMEDIC FROM ORANGE COUNTY,
[000:12:25;895] CALIFORNIA, WAS HERE IN LAS
[000:12:26;929] VEGAS VISITING.
[000:12:31;100] AND TODAY, HE PAID ANOTHER
[000:12:32;668] VISIT, WALKING INTO THAT ROOM ON
[000:12:33;302] CRUTCHES.
[000:12:36;272] JIMMY REVEALING HE KNEW SHELDON
[000:12:36;906] WAS IN TROUBLE AFTER BEING SHOT
[000:12:38;441] IN THE ARM AND THEN THE BULLET
[000:12:41;877] PIERCING THE ABDOMEN, AS WELL.
[000:12:44;079] AND HE RODE WITH HIM IN A TRUCK
[000:12:44;713] ALL THE WAY TO THAT E.R.
[000:12:45;214] SHELDON'S MOM, GRATEFUL.
[000:12:49;385] AND AFTERWARD, THERE WAS ONE
[000:12:50;920] MORE REUNION IN THAT SAME ROOM.
