[000:00:00;15] THOSE  
[000:00:53;08] CONFIRMED DEAD, 70 HURT  
[000:00:56;23] AFTER TWO BOMBS EXPLODED AT  
[000:00:58;16] THE FINISH LINE OF THE  
[000:00:59;19] BOSTON MARATHON.  
[000:01:00;18] ONE WITNESS SAYS HE WATCHED  
[000:01:02;08] A TRASH CAN EXPLODE.  
[000:01:03;28] HERE IS VIDEO OF THE FIRST  
[000:01:05;01] WOMAN AND AND -- BOMB AND  
[000:01:08;09] MOMENTS OF CHAOS THAT  
[000:01:10;17] FOLLOWED.  
[000:01:13;08] [EXPLOSION]  
[000:01:13;25] SCREAMING]  
[000:01:23;16] [EXPLOSION]  
[000:01:33;27] >> Shepard: AND ANOTHER  
[000:01:34;19] CAMERA CAPTURED THE SCENE  
[000:01:35;21] MOMENTS RIGHT AFTER THE  
[000:01:37;02] FIRST BLAST ALONG WITH THE  
[000:01:38;18] SECOND EXPLOSION.  
[000:01:40;10] BOTH BLASTS CAME JUST  
[000:01:42;01] BEFORE 3:00 BOSTON TIME.  
[000:01:44;10] THE LAST RUNNERS FINISHED  
[000:01:46;07] TIME IN THE MARATHON IS  
[000:01:47;07] LISTED OFFICIALLY AT  
[000:01:49;14] 2:57 P.M.  
[000:01:49;29] THEN THE SECOND ONE WENT  
[000:01:51;09] OFF, JUST DOWN THE STREET  
[000:01:52;08] FROM THE FIRST ONE.  
[000:01:53;01] POLICE SAY ABOUT 100 YARDS  
[000:01:55;01] AWAY.  
[000:01:55;14] IT DETONATED APPROXIMATELY  
[000:01:57;28] 12 TO 14 SECONDS AFTER THE  
[000:02:00;05] FIRST.  
[000:02:00;18] PEOPLE WHO WERE THERE SAY  
[000:02:01;13] THEY HAD NO IDEA EXACTLY  
[000:02:02;29] WHAT WAS HAPPENING.  
[000:02:05;17] >> WE WERE COMING DOWN  
[000:02:10;06] BOYLSTON STREET AND  
[000:02:11;10] LITERALLY I HEARD A CANNON  
[000:02:12;12] GO OFF.  
[000:02:12;27] I SAW A WHOLE BUNCH OF  
[000:02:14;16] SMOKE.  
[000:02:14;29] IT KNOCKED ME TO THE  
[000:02:16;02] GROUND, AND THEN, YOU KNOW,  
[000:02:17;10] EVERYBODY STARTED RUNNING.  
[000:02:18;05] >> ALL OF A SUDDEN  
[000:02:20;08] EVERYONE, ALL THE RUNNERS  
[000:02:21;05] STARTED SAYING RUN.  
[000:02:22;09] AND SO ALL OF A SUDDEN  
[000:02:23;19] PEOPLE WERE RUNNING AT US.  
[000:02:25;23] >> YOU START LOOKING AT ALL  
[000:02:27;13] THE INJURIES AND YOU SEE  
[000:02:28;23] PEOPLE COMING OUT WITH NO  
[000:02:30;16] LEGS.  
[000:02:31;00] PEOPLE WERE NO ARMS.  
[000:02:35;23] PEOPLE, FACES AND BODIES  
[000:02:37;05] COVERED IN BLOOD.  
[000:02:38;25] >> Shepard: A SOURCE TELLS  
[000:02:39;18] FOX NEWS THAT INVESTIGATORS  
[000:02:40;12] IN BOSTON ARE NOW GUARDING  
[000:02:42;18] A MAN THEY HAVE CALLED A  
[000:02:44;04] PERSON OF INTEREST.  
[000:02:45;24] GUARDING THIS PERSON AT A  
[000:02:47;22] HOSPITAL.  
[000:02:48;07] WE DO NOT KNOW WHICH ONE.  
[000:02:49;09] WE'RE TOLD THAT PERSON HAS  
[000:02:51;20] SEVERE BURNS BUT  
[000:02:52;11] INVESTIGATORS SAY THEY  
[000:02:53;19] CANNOT DETERMINE WITH  
[000:02:54;21] CERTAINTY WHETHER HE WAS A  
[000:02:55;25] VICTIM OR AN ATTACKER.  
[000:02:57;23] AGAIN, AT THIS MOMENT, A  
[000:02:58;25] PERSON OF INTEREST IN A  
[000:03:00;07] HOSPITAL.  
[000:03:01;05] AND POLICE SAY NOBODY HAS  
[000:03:03;13] BEEN IDENTIFIED AS A  
[000:03:04;12] SUSPECT.  
[000:03:05;09] IN THE LAST HOUR, PRESIDENT  
[000:03:07;12] OBAMA SAID THE COUNTRY WILL  
[000:03:08;18] FIND OUT WHO DID THIS.  
[000:03:11;05] AND HOLD THEM ACCOUNTABLE.  
[000:03:12;22] HERE IS ANOTHER ANGLE OF  
[000:03:13;22] THE FIRST EXPLOSION.  
[000:03:15;27] CAN YOU SEE ONE RUN ARER  
[000:03:16;22] FALL AS THE SMOKE FILLED  
[000:03:17;20] INTO THE AIR.  
[000:03:18;16] BOSTON POLICE SAY THERE WAS  
[000:03:19;12] ALSO A FIRE AT JFK LIBRARY  
[000:03:23;12] IN THE DOOR CHESTER  
[000:03:25;14] NEIGHBORHOOD.  
[000:03:26;01] POLICE NOW SAY AS OF THIS  
[000:03:27;02] MOMENT THERE IS NO EVIDENCE  
[000:03:27;26] TO CONNECT IT TO THE  
[000:03:29;17] BOMBINGS.  
[000:03:30;02] THEY THINK IT WAS A FIRE,  
[000:03:31;25] UNRELATED.  
[000:03:32;10] THEY ARE STILL  
[000:03:33;18] INVESTIGATING.  
[000:03:34;05] NOBODY WAS HURT THAT -- IN  
[000:03:36;20] THAT FIRE.  
[000:03:37;21] TAKE A LOOK AT THE MAP OF  
[000:03:39;17] THE AREA NOW SO YOU CAN GET  
[000:03:41;00] A SENSE OF WHAT HAPPENED.  
[000:03:42;01] THE BLASTS 200 FEET APART.  
[000:03:44;15] TWIN EXPLOSIONS ON  
[000:03:45;23] PATRIOT'S DAY IN BOSTON  
[000:03:46;17] WHEN PEOPLE WERE RUNNING  
[000:03:47;25] THE MARATHON, FAMILIES AND  
[000:03:49;15] FRIENDS CHEERING THEM ON.  
[000:03:50;27] THOUSANDS PACKING THE  
[000:03:51;19] STREETS ON A HOLIDAY THERE.  
[000:03:53;08] AND IN AN INSTANT  
[000:03:55;20] EVERYTHING CHANGED.  
[000:03:57;11] "THE FOX REPORT'S"  
[000:03:58;00] CORRESPONDENT JONATHAN HUNT  
[000:03:58;24] WAS ON AIR WITH US WHEN  
[000:03:59;21] THIS HAPPENED AND HAS THE  
[000:04:00;23] LATEST INFORMATION FROM OUR  
[000:04:02;06] NEWSROOM.  
[000:04:02;21] JONATHAN?  
[000:04:03;06] >> SHEP, FIRST THE TIMING  
[000:04:04;26] OF THIS.  
[000:04:05;20] THE LAST RUNNERS ACTUALLY  
[000:04:09;17] WERE RECORDED CROSSING THE  
[000:04:12;04] FINISH LINE AT 2:57 EASTERN  
[000:04:14;11] TIME THAT GIVES YOU A  
[000:04:15;17] PRETTY ACCURATE PICTURE OF  
[000:04:16;21] EXACTLY WHEN THOSE TWO  
[000:04:18;20] EXPLOSIONS RIPPED THROUGH  
[000:04:19;19] THE SCENE.  
[000:04:21;25] ONE FIRST, THEN ANOTHER.  
[000:04:23;21] ABOUT 14 SECONDS APART BY  
[000:04:25;07] OUR COUNT AS WE LISTENED TO  
[000:04:26;18] THE EXPLOSIONS ON THE VIDEO  
[000:04:28;12] THAT YOU SAW.  
[000:04:29;12] NOW, IT APPEARS ACCORDING  
[000:04:30;28] TO ALL THE EXPERTS THAT  
[000:04:32;09] THEY WERE ON SOME SORT OF  
[000:04:33;24] TIMER DEVICE.  
[000:04:34;21] NOW IT COULD HAVE BEEN A  
[000:04:36;02] TIMER ATTACHED TO EACH OF  
[000:04:37;29] THOSE EXPLOSIVE DEVICES BUT  
[000:04:39;08] MORE LIKELY, ACCORDING TO  
[000:04:40;10] THE EXPERTS I SPOKEN TO  
[000:04:42;19] THEY WERE REMOTELY  
[000:04:44;20] DETONATED, POSSIBLY USING  
[000:04:45;15] CELL PHONES.  
[000:04:46;01] THAT IS WHY WE WERE TOLD AT  
[000:04:48;07] THE TIME THAT CELL PHONE  
[000:04:49;16] TRAFFIC HAD BEEN SHUTDOWN.  
[000:04:51;01] ALTHOUGH A COUPLE OF THE  
[000:04:52;08] CELL PHONE COMPANIES SAID  
[000:04:53;03] THAT THEY WERE NOT  
[000:04:54;13] REQUESTED TO DO SO.  
[000:04:55;04] BUT IT APPEARED TO A LOT OF  
[000:04:57;05] PEOPLE THAT CELL PHONES HAD  
[000:04:58;10] BEEN BLOCKED.  
[000:04:59;01] THERE WAS NOT A LOT OF  
[000:05:01;01] STRUCTURAL DAMAGE.  
[000:05:01;20] THESE WERE NOT HUGE DEVICES  
[000:05:04;03] IN THAT SENSE.  
[000:05:04;27] BUT THEY WERE CLEARLY ABLE  
[000:05:06;07] TO DO A LOT OF DAMAGE TO  
[000:05:07;11] THE PEOPLE MANY OF THEM  
[000:05:08;29] GATHERED THERE.  
[000:05:09;19] THIS WAS THE FOUR HOUR MARK  
[000:05:11;00] OF THE MARATHON.  
[000:05:12;00] THAT'S A TYPICALLY BUSY  
[000:05:13;17] TIME AT THE FINISH LINE,  
[000:05:15;05] AND THERE WERE A LOT OF  
[000:05:16;10] PEOPLE STILL CROWDED AROUND  
[000:05:18;03] THE FINISH LINE.  
[000:05:19;11] SPECTATORS AND THOSE WHO  
[000:05:20;12] HAD ALREADY COMPLETED THE  
[000:05:21;08] RACE AND WERE SIMPLY  
[000:05:23;18] WAITING FOR FRIENDS OR  
[000:05:25;00] RELATIVES TO COME IN.  
[000:05:25;28] WE HAVE HAD SOME WORD THAT  
[000:05:28;23] THE BOMBS MAY HAVE BEEN  
[000:05:29;24] PACKED WITH BALL BEARINGS.  
[000:05:30;29] THAT IS ONE OF THE THINGS  
[000:05:31;28] THAT DOES A GREAT DEAL OF  
[000:05:33;06] DAMAGE TO HUMAN FLESH.  
[000:05:34;09] THAT WOULD BE WHY WE ARE  
[000:05:35;14] HEARING THE REPORTS OF  
[000:05:37;13] HORRIFIC INJURIES,  
[000:05:38;21] INCLUDING MANY PEOPLE  
[000:05:39;26] LOSING THEIR LIMBS.  
[000:05:40;26] SO NOW THE INVESTIGATION  
[000:05:42;25] BEGINS.  
[000:05:43;09] THERE ARE THREE BASIC  
[000:05:44;15] QUESTIONS HERE.  
[000:05:45;14] WHO DID IT, HOW THEY DID  
[000:05:47;08] IT WHY THEY DID IT.  
[000:05:48;14] BUT WHAT WE KNOW FOR SURE,  
[000:05:50;02] SHEP, AS YOU LOOK AT THE  
[000:05:51;06] SCENE OF THE EXPLOSIONS  
[000:05:52;22] AGAIN IS TWO EXPLOSIONS,  
[000:05:54;27] TWO PEOPLE DEAD, MORE THAN  
[000:05:56;21] 100 WOUNDED.  
[000:05:57;26] AMONG THEM, CHILDREN WHO  
[000:05:59;10] HAD BEEN TAKEN BY THEIR  
[000:06:01;02] PARENTS TO SEE A SUPPORTING  
[000:06:02;16] EVENT ON THIS HOLIDAY IN  
[000:06:04;05] BOSTON SHEP.  
[000:06:06;05] >> Shepard: JONATHAN WHDH  
[000:06:07;25] TELEVISION, CHANNEL 7, THE  
[000:06:08;22] NBC STATION IN BOSTON IS  
[000:06:10;10] REPORTING THAT AMONG THE  
[000:06:11;11] TWO CONFIRMED DEAD IS AN  
[000:06:14;20] 8-YEAR-OLD GIRL.  
[000:06:15;09] WE CAN'T INDEPENDENTLY  
[000:06:16;20] CONFIRM THIS AND WE HAVEN'T  
[000:06:17;29] LEARNED TOO MUCH ABOUT THE  
[000:06:19;21] REST OF THE VICTIMS.  
[000:06:21;03] >> YEAH.  
[000:06:21;21] WE CAN'T INDEPENDENTLY  
[000:06:22;28] CONFIRM THAT, SHEP.  
[000:06:23;22] WE HAD HEARD THAT REPORT.  
[000:06:25;11] WE ARE ALSO SEEING REPORTS  
[000:06:26;25] FROM SOME OF THE LOCAL  
[000:06:28;09] MEDIA THERE.  
[000:06:29;22] THAT THE CHILDREN'S  
[000:06:32;08] HOSPITAL IN BOSTON  
[000:06:33;21] CURRENTLY HAS SEVEN  
[000:06:34;28] PATIENTS IT IS TREATING  
[000:06:37;07] FROM THIS.  
[000:06:37;25] WE DON'T KNOW THE EXTENT OF  
[000:06:39;25] THEIR INJURIES.  
[000:06:40;13] THERE ARE REPORTS OF  
[000:06:41;03] CHILDREN AT SOME OF THE  
[000:06:42;27] OTHER HOSPITALS INVOLVED  
[000:06:44;09] HERE.  
[000:06:44;22] AS I SAY A TOTAL, WE ARE  
[000:06:45;15] TOLD, OF SOMETHING LIKE 105  
[000:06:48;02] PEOPLE TAKEN TO THE LOCAL  
[000:06:50;04] HOSPITALS AS A RESULT OF  
[000:06:51;14] THIS WHICH JUST SHOWS YOU  
[000:06:52;20] THE FORCE OF THOSE  
[000:06:54;13] EXPLOSIONS AND WHATEVER  
[000:06:55;20] SHRAPNEL THEY WERE PACKED  
[000:06:57;22] WITH RIPPING THROUGH  
[000:06:58;19] EVERYBODY WHO WAS CROWDED  
[000:06:59;27] IN THAT AREA AT THAT TIME.  
[000:07:02;25] SHEP?  
[000:07:03;08] >> Shepard: I DON'T KNOW  
[000:07:04;00] THAN, I MENTIONED AT THE  
[000:07:04;22] TOP OF THIS NEWSCAST WE ARE  
[000:07:05;16] WAITING FOR A BRIEFING FROM  
[000:07:06;11] OFFICIALS IN BOSTON.  
[000:07:07;20] AS YOU CAN SEE THAT'S THE  
[000:07:09;03] PODIUM WHERE THEY WILL BE  
[000:07:10;09] SPEAKING.  
[000:07:10;24] IT WAS SCHEDULED TO BEGIN  
[000:07:11;28] AT 7:00.  
[000:07:12;16] SO JUST ABOUT SEVEN MINUTES  
[000:07:13;29] AGO NOW.  
[000:07:14;19] AND WE ARE EXPECTING THAT  
[000:07:15;27] SHOULD BEGIN SHORTLY.  
[000:07:17;03] IN THE MEANTIME, JONATHAN,  
[000:07:21;07] THE OBVIOUS BECAME CLEAR  
[000:07:22;06] THIS AFTERNOON WHEN THESE  
[000:07:23;02] WERE SEPARATE EXPLOSIONS  
[000:07:24;08] WHEN WE KNEW THEY WERE  
[000:07:25;08] DEVICES THAT THIS WAS WHAT  
[000:07:27;15] AUTHORITIES IN THE WHITE  
[000:07:28;07] HOUSE IS NOW CALLING A  
[000:07:29;21] TERROR ATTACK.  
[000:07:30;23] THE QUESTION IS, WHO AND  
[000:07:33;09] WITH WHAT MOTIVE AS YOU  
[000:07:34;13] JUST SAID.  
[000:07:34;29] WE DON'T YET HAVE ANSWERS  
[000:07:36;14] TO ANY OF THAT.  
[000:07:38;02] BUT SPECULATION HAS BEEN  
[000:07:39;20] RAMPANT BUT NOTHING FIRM AT  
[000:07:40;14] ALL.  
[000:07:41;07] >> NO, ABSOLUTELY NOTHING  
[000:07:42;10] FIRM WHATSOEVER.  
[000:07:43;09] AND THERE ARE THESE REPORTS  
[000:07:45;15] THAT A PERSON OF INTEREST  
[000:07:48;02] MAY BE BEING GUARDED BY THE  
[000:07:50;07] BOSTON POLICE DEPARTMENT IN  
[000:07:52;13] ONE OF THE HOSPITALS.  
[000:07:53;17] WE DO NOT HAVE INDEPENDENT  
[000:07:55;26] CONFIRMATION OF WHO THIS  
[000:07:56;27] PERSON MIGHT BE.  
[000:07:58;28] OR EVEN WHETHER IT IS A MAN  
[000:08:00;04] OR A WOMAN AT THIS POINT.  
[000:08:01;12] BUT, OBVIOUSLY THE  
[000:08:03;21] INVESTIGATION ALREADY IN  
[000:08:04;24] HIGH GEAR.  
[000:08:06;20] EVERY LAW ENFORCEMENT  
[000:08:07;25] AGENCY INVOLVED RIGHT NOW.  
[000:08:09;20] THEY ARE LOOKING FOR  
[000:08:10;24] ANSWERS.  
[000:08:11;08] WHAT THEY WILL BE DOING  
[000:08:12;00] FIRST IS LOOKING AT THE  
[000:08:13;22] EXPLOSIVE DEVICES.  
[000:08:14;11] THEY WILL BE TAKING THEM  
[000:08:15;24] APART, SEEING HOW THEY WERE  
[000:08:17;24] PUT TOGETHER, WITH WHAT  
[000:08:18;25] MATERIALS THEY WERE PUT  
[000:08:20;10] TOGETHER.  
[000:08:20;27] THAT WILL GIVE  
[000:08:21;22] INVESTIGATORS A LOT OF  
[000:08:23;01] CLUES.  
[000:08:23;14] REMEMBER, WHEN THEY LOOK AT  
[000:08:24;08] THESE THINGS, THEY TEND TO  
[000:08:25;01] SEE WHAT THEY CALL A  
[000:08:26;25] SIGNATURE OF A BOMB MAKER.  
[000:08:28;02] THAT WILL LEAD THEM IN ONE  
[000:08:30;09] DIRECTION.  
[000:08:30;24] WE'LL FIND OUT IN GOOD  
[000:08:31;15] TIME SHEP.  
[000:08:32;21] >> Shepard: JONATHAN, THANK  
[000:08:33;15] YOU.  
[000:08:33;27] WE WILL BE BACK TO YOU AS  
[000:08:35;21] NEWS WARRANTS.  
[000:08:38;22] CATHERINE HERITAGE WORKS  
[000:08:39;25] INTELLIGENCE FOR US AND  
[000:08:40;22] LIVE IN OUR D.C. BUREAU.  
[000:08:42;07] IT'S MY STANDING THERE ARE  
[000:08:43;10] NO CREDIBLE CLAIMS OF  
[000:08:44;20] RESPONSIBILITY HERE.  
[000:08:45;11] >> THAT'S RIGHT.  
[000:08:46;13] WE HAVE BEEN IN TOUCH WITH  
[000:08:47;21] VARIOUS GROUPS SHEP.  
[000:08:48;21] THEY MAKE IT THEIR BUSINESS  
[000:08:50;05] TO MONITOR THESE EXTREMIST  
[000:08:52;05] WEB SITES AND SO FAR THERE  
[000:08:53;06] HAS BEEN NO CLAIM OF  
[000:08:54;21] RESPONSIBILITY FOR WHAT'S  
[000:08:55;26] HAPPENED IN BOSTON.  
[000:08:57;05] JONATHAN, THOUGH, IS  
[000:08:58;04] TOUCHING ON AN IMPORTANT  
[000:08:58;26] POINT BECAUSE THE FORENSIC  
[000:09:01;03] INFORMATION, THIS BOSTON  
[000:09:01;26] MARATHON IS NOW A CRIME  
[000:09:03;18] SCENE.  
[000:09:04;01] AND I'M TOLD THE FBI  
[000:09:06;16] FOCUSES VERY MUCH ON TAKING  
[000:09:07;10] THE RESIDUE FROM THESE  
[000:09:09;00] DEVICES, IDENTIFYING THE  
[000:09:10;21] EXPLOSIVES, THEN FINDING  
[000:09:11;18] THE ORIGIN OF THOSE  
[000:09:13;06] EXPLOSIVES AND THEN LOOKING  
[000:09:14;13] FOR THAT BOMB MAKER'S  
[000:09:16;09] SIGNATURE.  
[000:09:16;24] EACH ONE OF THESE BOMB  
[000:09:18;08] MAKERS MAKES THESE DEVICES  
[000:09:19;06] IN A CERTAIN WAY.  
[000:09:20;04] THE TYPE OF DETONATOR.  
[000:09:21;29] AND THEN SPECIFICALLY  
[000:09:22;23] WHETHER THERE WAS SHRAPNEL.  
[000:09:24;14] A SHORT TIME AGO WE HEARD  
[000:09:26;07] FROM THE HEAD OF THE HOUSE  
[000:09:27;28] HOMELAND SECURITY COMMITTEE  
[000:09:29;16] REPUBLICAN CONGRESSMAN MIKE  
[000:09:30;23] MCCALL WHO CONFIRMED THAT  
[000:09:32;01] HE IS GETTING REPORTS THAT  
[000:09:33;06] THE DEVICES CONTAINED BALL  
[000:09:35;28] BEARINGS, SO SHRAPNEL.  
[000:09:36;19] THAT IS A CRITICAL MARKER  
[000:09:37;27] HERE.  
[000:09:38;10] THE OTHER THING I WOULD  
[000:09:39;02] DRAW YOUR ATTENTION TO IS  
[000:09:40;07] THE FACT THAT THE  
[000:09:43;04] EXPLOSIONS WERE NEARLY  
[000:09:44;22] SIMULTANEOUS AND ABOUT 50  
[000:09:46;06] TO 100 YARDS APART.  
[000:09:47;08] WHAT HAS THE INTENTION OF  
[000:09:48;17] AT LEAST ONE SOURCE WHO IS  
[000:09:50;23] FOLLOWING THE INVESTIGATION  
[000:09:51;17] IS THAT IT IS A STANDARD  
[000:09:53;03] PRACTICE TO HAVE THAT  
[000:09:55;27] INITIAL EXPLOSION WITH THE  
[000:09:57;15] IDEA THAT YOU WILL DRIVE  
[000:10:00;00] THE PUBLIC TOWARDS THE  
[000:10:03;02] SECONDARY SITE WHICH IS, IN  
[000:10:04;06] FACT, A LARGER DEVICE SO  
[000:10:08;09] THAT CAN MAXIMIZE THE  
[000:10:10;02] CASUALTIES IN AN EVENT LIKE  
[000:10:11;06] THIS.  
[000:10:11;19] THIS IS WHY PEOPLE ARE  
[000:10:12;11] DISCUSSING THIS AS AN ACT  
[000:10:14;22] OF TERRORISM FIRST  
[000:10:16;04] PRIVATELY AND NOW MORE  
[000:10:17;20] PUBLICLY WITH  
[000:10:18;08] ADMINISTRATION OFFICIALS.  
[000:10:19;07] A FINAL POINT WE JUST HAD  
[000:10:21;07] CONFIRMATION IN THE LAST  
[000:10:21;29] FEW MINUTES THAT THE FBI  
[000:10:24;08] AS WELL AS THE NCTC, THIS  
[000:10:26;18] IS THE NATIONAL COUNTER  
[000:10:28;01] TERRORISM CENTER, THIS IS  
[000:10:29;10] THE GROUP THAT WAS CREATED  
[000:10:31;01] AFTER 9/11 TO MONITOR  
[000:10:32;08] THREATS AGAINST THE UNITED  
[000:10:33;21] STATES WILL BE BRIEFING  
[000:10:35;17] MEMBERS OF THE HOUSE  
[000:10:36;25] INTELLIGENCE COMMITTEE AS  
[000:10:37;19] EARLY AS TOMORROW.  
[000:10:38;14] SO WHAT THAT TIMING TELLS  
[000:10:41;09] YOU, SHEP FROM MY  
[000:10:42;09] EXPERIENCE, IS THAT THIS  
[000:10:43;06] THING IS REALLY ON FIRE,  
[000:10:45;26] THIS IS A PRESSING ACTIVE  
[000:10:47;23] INVESTIGATION.  
[000:10:48;10] IF THEIR GONNA HAVE  
[000:10:49;05] HEARINGS ON THE HILL AS  
[000:10:50;06] EARLY AS TOMORROW MORNING  
[000:10:52;10] SHEP.  
[000:10:52;26] >> Shepard: CATHERINE, JUST  
[000:10:53;20] FOR CLARITY, IS IT PROPER  
[000:10:54;24] TO SAY THAT IN THE EARLY  
[000:10:56;00] GOING, FROM YOUR REPORTING  
[000:10:57;08] WE DON'T KNOW WHETHER THIS  
[000:10:58;21] WAS SOME SORT OF TERRORIST  
[000:11:00;16] ORGANIZATION --  
[000:11:01;04] >> -- THAT'S CORRECT.  
[000:11:02;13] >> Shepard: WEATHER --  
[000:11:04;08] WHETHER IT WAS ONE PERSON  
[000:11:05;08] WITH A BEEF WITH A LOCAL  
[000:11:06;16] ISSUE IN BOSTON.  
[000:11:07;22] FRANKLY AT THIS MOMENT WE  
[000:11:08;15] KNOW THERE WAS AN ACT OF  
[000:11:09;17] TERROR BECAUSE WE CAN LOOK  
[000:11:10;20] IT UP IN THE DICTIONARY AND  
[000:11:12;03] THIS FITS THE DEFINITION  
[000:11:12;28] BUT WE DON'T KNOW WHETHER  
[000:11:14;11] QUOTE TERRORISTS WERE  
[000:11:15;15] INVOLVED.  
[000:11:16;00] >> THE DEFINITION OF  
[000:11:17;04] TERRORISM IS AN ACT OF  
[000:11:18;22] VIOLENCE TO PROMOTE A  
[000:11:20;03] POLITICAL END.  
[000:11:20;26] WHAT IS NOT CLEAR IS THAT  
[000:11:23;03] IS IT AN INDIVIDUAL?  
[000:11:24;22] IS IT A SMALL CELL OF  
[000:11:27;10] INDIVIDUALS?  
[000:11:27;26] ARE THEY DOMESTIC?  
[000:11:29;01] OR IS THERE AN  
[000:11:30;19] INTERNATIONAL COMPONENT?  
[000:11:31;14] BUT WHEN YOU HAVE  
[000:11:33;07] SIMULTANEOUS ATTACKS THEY  
[000:11:34;20] MEET THAT THRESHOLD  
[000:11:36;17] DEFINITION OF TERRORISM.  
[000:11:37;14] SO YOU ARE CORRECT.  
[000:11:41;08] >> Shepard: EARLIER,  
[000:11:41;28] CATHERINE, AS THIS WAS  
[000:11:42;27] BREAKING.  
[000:11:43;12] WE TALKED ABOUT WHETHER  
[000:11:45;14] THERE HAD BEEN UNUSUAL  
[000:11:47;14] SIGNS OF SPECIFIC QUESTIONS  
[000:11:48;27] ABOUT WHETHER THE BOSTON  
[000:11:50;07] MARATHON MIGHT BE A TARGET.  
[000:11:51;23] AT THE TIME, THE ANSWER WAS  
[000:11:53;04] NO, THERE HADN'T BEEN.  
[000:11:54;03] IS THAT STILL THE CASE?  
[000:11:55;10] >> THAT IS STILL THE CASE.  
[000:11:56;19] I HAVE SPOKEN TO A HALF  
[000:11:57;25] DOZEN PEOPLE SHEPARD WHO  
[000:11:59;16] WORK THIS ISSUE ON CAPITOL  
[000:12:00;20] HILL OR THEY ARE IN FEDERAL  
[000:12:02;16] LAW ENFORCEMENT AND THE  
[000:12:06;01] SENSE I HAD FROM EVERY  
[000:12:07;08] CONVERSATION IS THAT THERE  
[000:12:08;17] WAS NOTHING SPECIFIC OR  
[000:12:10;14] CREDIBLE AT LEAST INITIALLY  
[000:12:11;11] THEY WERE SAYING TO ME THAT  
[000:12:12;24] THERE WAS A THREAT TO THE  
[000:12:13;29] BOSTON MARATHON.  
[000:12:14;22] HOWEVER, ONE OF THE THINGS  
[000:12:15;29] THAT'S HAPPENING RIGHT NOW  
[000:12:16;27] IS THEY ARE GOING BACK TO  
[000:12:18;15] THAT THREAD INFORMATION TO  
[000:12:19;10] SEE IF SOMETHING HAD BEEN  
[000:12:21;01] MISSED.  
[000:12:21;15] BUT, AGAIN, YOU HAVE THE  
[000:12:23;03] SENSE THAT PEOPLE WERE  
[000:12:24;15] SOMEWHAT BLINDSIDED BY WHAT  
[000:12:25;25] HAPPENED IN BOSTON TODAY  
[000:12:27;04] SHEPARD.  
[000:12:27;27] >> Shepard: ALL RIGHT,  
[000:12:29;00] CATHERINE.  
[000:12:29;15] WHEN YOU SAY BLINDSIDED,  
[000:12:33;09] SOMETIMES WHEN THEY ARE  
[000:12:36;08] BLINDSIDED, THAT COULD MEAN  
[000:12:37;24] THAT THIS ISN'T SOME BIG  
[000:12:40;04] GRAND -- THIS COULD BE A  
[000:12:41;13] COUPLE OF FOLKS OR A PERSON  
[000:12:43;17] WITH A BACKPACK OR TWO.  
[000:12:45;01] >> UM-HUH.  
[000:12:46;03] I DON'T WANT TO GET INTO  
[000:12:46;25] BECAUSE WE DON'T HAVE THIS  
[000:12:48;06] INFORMATION YET WHETHER WE  
