[000:00:01;001] >> THANKS, JEFF.
[000:10:00;232] HERE, THUNDERSTORMS AND
[000:10:01;133] FLOODING, PUTTING THIS COMMUNITY
[000:10:02;068] ON EDGE AND SHUTTING DOWN
[000:10:03;903] CLEANUP EFFORTS FOR SEVERAL
[000:10:05;104] HOURS.
[000:10:05;404] AND IT CAME ON A DAY WHEN
[000:10:06;672] STUDENTS AND PARENTS WERE TAKING
[000:10:08;908] THEIR FIRST STEPS TOWARDS
[000:10:10;109] SOMETHING RESEMBLING NORMAL.
[000:10:13;179] THE CHILDREN OF MOORE, OKLAHOMA,
[000:10:14;814] HEADED BACK TO SCHOOL TODAY,
[000:10:17;183] DAYS AFTER THE TORNADO RIPPED
[000:10:18;184] THROUGH TWO OF THEIR BUILDINGS,
[000:10:20;620] KILLING SEVEN OF THEIR
[000:10:21;654] CLASSMATES.
[000:10:22;054] >> HOW ARE YOU, SWEETHEART?
[000:10:23;356] >> WE TALK TO EACH OTHER AND WE
[000:10:25;324] JUST GOT TO SAY HI TO EACH OTHER
[000:10:27;760] AGAIN.
[000:10:28;060] >> Reporter: STUDENTS FROM THE
[000:10:29;028] TWO DEVASTATED SCHOOLS WERE SENT
[000:10:30;329] TO OTHER SCHOOLS FOR THE FINAL
[000:10:32;298] ASSEMBLY, A CHANCE FOR CLOSURE,
[000:10:34;967] TO SEE FRIENDS, TO SAY GOOD-BYE.
[000:10:37;303] >> THIS WILL BRING A LITTLE MORE
[000:10:39;171] IMPACT TO WHAT HAPPENED, BECAUSE
[000:10:42;241] YOU'RE NOT GOING TO SEE SOME OF
[000:10:44;110] YOUR FRIENDS, THOUGH.
[000:10:44;910] >> WE DIDN'T GET TO SAY GOOD-BYE
[000:10:46;178] TO OUR CLASSES, AND IT WAS
[000:10:48;147] REALLY GOOD TO SEE THEM AND TO
[000:10:49;749] BE ABLE TO LOVE ON THEM.
[000:10:51;283] >> Reporter: IT WAS ALSO AN
[000:10:52;451] OPPORTUNITY TO RECONNECT, AND IN
[000:10:54;153] SOME CASES, EXPRESS THANKS TO
[000:10:55;921] TEACHERS FOR GUARDING WHAT EVERY
[000:10:58;057] PARENT CHERISHES MOST.
[000:10:59;659] >> I'M NEVER GOING TO HAVE
[000:11:00;993] ANYTHING, YOU KNOW, ANY WORDS
[000:11:02;928] TO, YOU KNOW, TO REPAY HER FOR
[000:11:03;963] WHAT SHE DID.
[000:11:05;765] YOU KNOW, SHE THREW HERSELF ON
[000:11:08;367] MY DAUGHTER TO PROTECT HER.
[000:11:10;603] >> Reporter: THE GATHERINGS CAME
[000:11:11;871] AS MOORE BURIED THE FIRST OF ITS
[000:11:14;306] 24 VICTIMS.
[000:11:15;675] 9-YEAR-OLD ANTONIO CANNED ALERO
[000:11:17;543] WAS LAID TO REST.
[000:11:19;078] SHE'S AMONG THE SEVEN CHILDREN
[000:11:20;179] WHO DIED WHEN THE TORNADO
[000:11:21;881] FLATTENED PLAZA TOWERS
[000:11:23;249] ELEMENTARY.
[000:11:23;649] EXPERTS COUNSELING CHILDREN HERE
[000:11:24;717] SAY THE SURVIVING STUDENTS ARE
[000:11:26;485] VICTIMS, TOO, LIKELY TRAUMATIZED
[000:11:28;387] BY WHAT THEY SAW MONDAY, WHO
[000:11:30;589] THEY DIDN'T SEE TODAY.
[000:11:31;824] >> PARENTS JUST NEED TO SPEAK
[000:11:33;826] HONESTLY WITH THEIR CHILDREN BUT
[000:11:35;027] TO ALSO REASSURE THEM THAT THERE
[000:11:36;862] ARE PEOPLE WORKING THAT THEY
[000:11:38;564] DON'T EVEN SEE TO MAKE SURE THAT
[000:11:40;733] THEY'RE SAFE.
[000:11:41;367] >> Reporter: THUNDERSTORMS AND
[000:11:42;134] FLOODING IN THE REGION MADE
[000:11:43;769] CLEANUP ALMOST IMPOSSIBLE EARLY
[000:11:45;538] TODAY, BUT UTILITY CREWS AND
[000:11:46;839] TRASH HAULERS WERE ABLE TO GET
[000:11:47;673] OUT LATE THIS AFTERNOON.
[000:11:49;475] FOR A COMMUNITY THAT SUFFERED A
[000:11:51;210] LIFETIME OF HEARTACHE, IN ONLY
[000:11:53;279] DAYS, ONE CHILD'S WORDS MAY SUM
[000:11:55;548] UP MOORE'S RESILIENT SPIRIT.
[000:11:58;084] >> IT MAKES ME REAL GLAD BECAUSE
[000:11:59;752] SOME OF MY HOUSE GOT RIPPED
[000:12:01;454] DOWN, AND IT MAKES ME GLAD TO
[000:12:02;922] SEE MY FRIENDS AND THAT THEY'RE
[000:12:04;924] ALIVE AND THAT I'M ALIVE AND
[000:12:07;593] THAT I'M OKAY.
[000:12:08;027] SO, THAT'S ALL.
[000:12:11;797] >> Reporter: AND LATE TODAY,
[000:12:13;766] OFFICIALS HAVE DRASTICALLY
[000:12:14;867] REVISED DOWNWARD THE NUMBER OF
[000:12:15;901] HOMES DAMAGED HERE.
[000:12:17;369] IT IS 1,200, NOT 13,000.
[000:12:19;572] A BIT OF GOOD NEWS.
[000:12:20;973] ANN, BACK TO YOU.
[000:12:21;874] >> IT IS.
[000:12:22;608] JANET SHAMLIAN, THANK YOU SO
[000:12:23;409] MUCH TONIGHT.
[000:12:23;909] >>> WELL, BAD WEATHER IS MAKING
[000:12:25;644] NEWS ELSEWHERE TONIGHT AS WELL,
[000:12:26;879] A LOT OF UNSETTLED WEATHER IN
[000:12:28;380] THE NORTHEAST IN PARTICULAR
[000:12:29;448] COULD MEAN A VERY HECTIC HOLIDAY
[000:12:31;650] TRAVEL WEEKEND AHEAD.
[000:12:33;486] WEATHER CHANNEL METEOROLOGIST
[000:12:34;353] CHRIS WARREN NOW JOINS US.
[000:12:35;554] HEY, CHRIS.
[000:12:36;021] GOOD EVENING TO YOU.
[000:12:36;822] >> ANN, GOOD EVENING.
[000:12:38;124] SEVERE WEATHER HAS ALREADY
[000:12:40;559] THROWN A REAL WRENCH INTO
[000:12:42;428] TRAVEL, AND WE HAVE SEEN SOME
[000:12:43;963] LONG DELAYS HEADING INTO THE
[000:12:45;765] NORTHEAST AT THE AIRPORT, NEWARK
[000:12:48;567] AND LaGUARDIA, BOTH HAVING FULL
[000:12:51;003] ON GROUND STOPS.
[000:12:51;737] LET'S TAKE A LOOK RIGHT NOW AT
[000:12:53;506] WHERE THAT THREAT DOES CONTINUE
[000:12:56;542] FOR SEVERE WEATHER TONIGHT IN
[000:12:57;343] THE NORTHEAST.
[000:12:57;910] IT'S GOING TO BE HEAVY RAIN,
[000:12:59;211] FLASH FLOODING WITH THE THREAT,
[000:13:01;280] ALSO DAMAGING WINDS YOU'LL HAVE
[000:13:02;782] TO WATCH OUT FOR.
[000:13:04;817] IN TEXAS AND THE SOUTHERN
[000:13:06;352] PLAINS, TORNADOES A POSSIBILITY,
[000:13:09;088] ALSO LARGE HAIL THAT COULD BE
[000:13:09;855] BIGGER THAN BASEBALLS.
[000:13:10;623] NOW, FOR TRAVEL, IF YOU'RE
[000:13:11;924] PLANNING TO HEAD OUT OF TOWN
[000:13:14;260] TOMORROW ALONG WITH ABOUT 35
[000:13:16;729] MILLION MEMORIAL DAY HOLIDAY
[000:13:18;764] TRAVELERS THIS WEEKEND, LOOK FOR
[000:13:20;099] SOME COOL AND RAINY WEATHER IN
[000:13:21;867] THE NORTHEAST.
[000:13:22;501] IF YOU'RE HEADING TO THE ROADS,
[000:13:25;604] LIKE 31 MILLION, IN FACT, MORE
[000:13:27;072] THAN 31 MILLION PEOPLE WILL BE,
[000:13:28;407] YOU HAVE TO WATCH OUT FOR THAT
