[000:00:00;834] THANK YOU, TAMMIE.
[000:03:31;678] AS YOU CAN SEE, WE'RE
[000:03:32;612] JUST NOW STARTING TO
[000:03:33;713] GET OUR FIRST LOOK AT
[000:03:35;248] THE DEVASTATION.
[000:03:36;082] >> IT'S TOO MUCH.
[000:03:38;618] IT'S TOO MUCH.
[000:03:39;786] >> Reporter: ERNESTO
[000:03:42;455] PEDRON RODE OUT THE
[000:03:44;257] STORM IN HIS HOME AND
[000:03:45;091] TODAY RETURNED TO HIS
[000:03:46;626] BUSINESS.
[000:03:47;193] >> IT'S SHOCKING.
[000:03:47;927] REALLY DEVASTATING.
[000:03:49;429] A LOT OF MONEY IN A
[000:03:50;863] SHORT TIME.
[000:03:51;531] >> Reporter: EARLY
[000:03:52;298] ESTIMATES SHOW THE
[000:03:53;066] DAMAGE ACROSS PUERTO
[000:03:53;933] RICO COULD TOTAL $30
[000:03:55;435] BILLION.
[000:03:55;969] THE EMOTIONAL TOLL
[000:03:56;736] CAN'T BE MEASURED.
[000:03:58;037] GABE GUTIERREZ, NBC
[000:03:59;739] NEWS, SAN JUAN, PUERTO
[000:04:01;274] RICO.
[000:04:03;643] >>> THIS IS GADI
[000:04:04;978] SCHWARTZ.
[000:04:05;545] DARK DAYS IN PUERTO
[000:04:06;346] RICO EXPECTED TO LAST
[000:04:08;081] MONTHS AFTER HURRICANE
[000:04:09;148] MARIA RIPPED APART THE
[000:04:11;150] ISLAND'S ENTIRE POWER
[000:04:12;252] GRID.
[000:04:12;752] NEARLY ALL OF ITS 3.5
[000:04:14;520] MILLION RESIDENTS
[000:04:15;255] WITHOUT ELECTRICITY
[000:04:16;889] TONIGHT.
[000:04:17;423] CELL PHONE SERVICE SO
[000:04:19;559] UNRELIABLE THAT PEOPLE
[000:04:20;360] LIKE THIS WOMAN STILL
[000:04:21;594] HAVEN'T HEARD FROM
[000:04:22;362] THEIR FAMILY.
[000:04:23;029] >> WE'RE DESPERATE.
[000:04:27;934] I HAVE LIVED HERE FOR
[000:04:29;502] 35 YEAR AND THIS IS
[000:04:30;870] TOO MUCH.
[000:04:31;471] >> Reporter: SHE'S
[000:04:32;338] DESPERATE FOR ANY NEWS
[000:04:33;139] OF HER MOTHER.
[000:04:33;806] >> I HAVEN'T TALKED TO
[000:04:34;607] MY MOM EITHER.
[000:04:35;508] SO I'M TRYING TO GO TO
[000:04:36;709] MY MOM'S HOUSE.
[000:04:39;312] IT'S SAD.
[000:04:39;879] >> Reporter: THE
[000:04:40;580] STREETS ARE LITTERED
[000:04:41;447] WITH DOWNED POWER
[000:04:42;649] LINES.
[000:04:43;149] THIS STORM EVEN
[000:04:43;850] CRACKING CONCRETE IN
[000:04:45;051] HALF.
[000:04:45;551] DAMAGING AN
[000:04:46;319] INFRASTRUCTURE THAT
[000:04:47;086] WAS ALREADY CRUMBLING.
[000:04:48;421] OFFICIALS SAY HELP IS
[000:04:49;322] ON THE WAY, BUT A FULL
[000:04:50;823] RECOVERY COULD TAKE
[000:04:51;591] HALF A YEAR.
[000:04:52;592] WHICH ONE'S GOING TO
[000:04:53;860] BE WORSE, THE STORM OR
[000:04:54;794] WHAT COMES AFTER THE
[000:04:55;695] STORM?
[000:04:56;195] >> AFTER THE STORM.
[000:04:57;263] >> Reporter:
[000:04:57;897] TERRIFYING FOR THOSE
[000:04:58;665] STANDING IN LINE FOR
[000:04:59;632] HOURS TO GET GAS TO
[000:05:00;967] POWER THEIR GENERATOR.
[000:05:05;672] SHE SAYS SHE'S SCARED
[000:05:06;539] WHAT THE NEXT SIX
[000:05:07;340] MONTHS ARE GOING TO
[000:05:08;207] BRING.
[000:05:08;708] SHE'S A SINGLE MOTHER.
[000:05:09;542] SHE HAS TO TAKE CARE
[000:05:10;376] OF HER DAUGHTER, AND
[000:05:11;244] SHE DOESN'T KNOW
[000:05:11;978] WHAT'S GOING TO
[000:05:12;679] HAPPEN.
[000:05:13;212] NOW FAMILIES ACROSS
[000:05:14;013] THE I ISLAND TRYING TO
[000:05:15;448] PREPARE FOR THE HUMAN
[000:05:16;849] DARKNESS OF LIFE OFF
[000:05:18;117] THE GRID.
[000:05:20;053] GADI SCHWARTZ, NBC
[000:05:21;254] NEWS, SAN JUAN, PUERTO
[000:05:22;355] RICO.
[000:05:22;855] >>> THE DANGER FROM
[000:05:23;656] HURRICANE MARIA IS NOT
[000:05:24;457] OVER YET.
[000:05:25;024] THE MONSTER STORM
[000:05:25;758] REGAINED STRENGTH
[000:05:26;959] AFTER IT STRUCK PUERTO
[000:05:27;794] RICO.
[000:05:28;294] IT'S EXPECTED TO CUT
[000:05:29;095] CLOSE TO TURKS AND
[000:05:30;563] CAICOS LATE TONIGHT,
[000:05:31;364] AND AFTER THAT THE
[000:05:32;465] CURRENT TRACK SHOWS IT
[000:05:33;666] BARRELING BETWEEN THE
[000:05:34;634] U.S. EAST COAST AND
[000:05:36;402] BERMUDA.
[000:05:36;936] >>> NOW TO THE RACE
[000:05:37;737] AGAINST TIME IN MEXICO
[000:05:38;638] TO FIND SURVIVORS FROM
[000:05:40;173] THE EARTHQUAKE.
[000:05:41;207] AUTHORITIES SAY IT HAS
[000:05:42;475] KILLED AT LEAST 273
[000:05:44;177] PEOPLE.
[000:05:44;711] TONIGHT RESCUERS
[000:05:45;511] REMAIN ON THE SCENE OF
[000:05:46;312] A COLLAPSED SCHOOL
[000:05:47;847] URGENTLY SEARCHING FOR
[000:05:48;881] VICTIMS WHO MAY STILL
[000:05:49;682] BE TRAPPED.
[000:05:51;384] NBC'S MIGUEL ALMAGUER
[000:05:54;654] IS THERE.
[000:05:55;388] >> Reporter: AFTER THE
[000:05:56;289] FRANTIC CALLS FOR
[000:05:59;792] SILENCE, RESCUE TEAMS
[000:06:01;260] BURROWING DEEPER INTO
[000:06:02;095] THIS ELEMENTARY
[000:06:04;230] SCHOOL.
[000:06:04;831] CONFLICTING REPORTS OF
[000:06:05;832] WHO MAY BE TRAPPED
[000:06:07;800] INSIDE.
[000:06:08;368] EARLIER RESCUERS
[000:06:09;268] SAYING IT WAS
[000:06:10;203] CHILDREN.
[000:06:10;770] TONIGHT THE MEXICAN
[000:06:12;171] NAVY SAYS THEY'RE ALL
[000:06:13;206] ACCOUNTED FOR, BUT
[000:06:13;973] THEY ARE PICKING UP
[000:06:15;041] SIGNS OF LIFE.
[000:06:16;642] INSIDE THIS COURTYARD,
[000:06:17;610] THE CENTER OF THE
[000:06:18;745] RESCUE EFFORTS, THERE
[000:06:19;545] IS A CLEAR SENSE OF
[000:06:21;414] URGENCY, A RACE
[000:06:22;482] AGAINST TIME FOR FIRST
[000:06:24;250] RESPONDERS WHO HAVEN'T
[000:06:25;017] SLEPT OR EATEN IN
[000:06:28;020] DAYS.
[000:06:28;521] ONE OF THE VOLUNTEERS,
[000:06:30;123] AN ELECTRICIAN,
[000:06:31;157] CHRISTIAN JIMENEZ,
[000:06:32;258] FROM L.A.
[000:06:32;892] >> THE THIRD FLOOR, HE
[000:06:34;293] CAME ALL THE WAY TO
[000:06:35;595] THE GROUND.
[000:06:36;229] HE'S REALLY BAD.
[000:06:36;963] HE'S REALLY BAD.
[000:06:37;830] >> Reporter: THIS
[000:06:38;664] RESCUE MISSION IS
[000:06:41;334] DANGEROUS.
[000:06:41;901] AS SEARCH TEAMS CRAWL
[000:06:43;035] THROUGH SMALL POCKETS
[000:06:44;370] WHERE WOODEN SUPPORT
[000:06:45;705] BEAMS COULD SNAP AT
[000:06:47;840] ANY MOMENT.
[000:06:48;474] CHILDREN WHO SURVIVED
[000:06:49;675] THE QUAKE HAVE COME TO
[000:06:51;377] WATCH AS THEIR PARENTS
[000:06:52;645] CLING TO HOPE.
[000:06:56;983] "I HAVE NO WORDS FOR
[000:06:57;917] THE FAMILY" SAYS
[000:07:01;120] GABRIELA RODRIGUEZ.
[000:07:02;088] IT HURTS TO KNOW THEIR
[000:07:03;456] PAIN.
[000:07:04;056] HEARTBREAK IS RATTLING
[000:07:05;458] THE REGION.
[000:07:06;125] BUSINESSES AND
[000:07:08;094] COUNTLESS HOMES ARE
[000:07:08;861] NOW GONE.
[000:07:09;529] OVERNIGHT THREE PEOPLE
[000:07:12;031] PULLED FROM THE
[000:07:12;698] RUBBLE, 36 HOURS AFTER
[000:07:13;833] THE EARTHQUAKE, BUT
[000:07:15;668] TEARS STILL FLOOD
[000:07:16;669] RESCUE SITES.
[000:07:22;041] BEYA TRIZ DIAZ HAS
[000:07:23;042] BEEN LOOKING FOR HER
[000:07:24;911] NEPHEW SINCE TUESDAY
[000:07:25;678] AND FEARS HE IS STILL
[000:07:26;879] BURIED ALIVE AT WORK.
[000:07:28;848] NBC'S RON MOTT
[000:07:29;749] TRAVELED TO THE
[000:07:32;385] EPICENTER 75 MILE FROM
[000:07:33;419] MEXICO CITY.
[000:07:34;053] >> THE DAMAGE IS
[000:07:35;021] SIGNIFICANT.
[000:07:35;621] EVERYTHING FROM THIS
[000:07:37;123] 300-YEAR-OLD CHURCH TO
[000:07:38;090] 2,000 HOMES DAMAGED OR
[000:07:39;392] DESTROYED, EVEN A
[000:07:40;126] CRUCIAL ROADWAY IN AND
[000:07:42;028] OUT OF TOWN.
[000:07:42;795] ONE BUSINESSMAN SAYS
[000:07:43;663] IT WILL TAKE DECADES
[000:07:44;697] TO REBUILD.
[000:07:45;331] >> Reporter: THE
[000:07:46;032] HEARTBREAK IS WHY THEY
[000:07:46;833] NEED HOPE.
[000:07:47;433] TONIGHT THIS COUNTRY
[000:07:48;668] WATCHING MORE THAN
[000:07:49;435] JUST A RESCUE.
[000:07:50;636] THIS IS A FIGHT FOR
[000:07:54;707] SURVIVAL.
[000:07:55;274] HERE AT THE RESCUE
[000:07:56;008] PIT, THEY ARE PUSHING
[000:07:56;809] SOME FIRST RESPONDERS
[000:07:57;610] AWAY.
[000:07:58;110] THEY'RE CONCERNED THAT
[000:07:58;911] THIS SCHOOL COULD
[000:07:59;645] COLLAPSE ON RESCUE
[000:08:00;446] TEAMS BELOW.
[000:08:01;447] MEANTIME, THEY ARE
[000:08:02;215] STILL LOOKING FOR ANY
[000:08:03;382] SIGNS OF LIFE INSIDE
[000:08:04;884] THAT BUILDING BELOW.
[000:08:06;185] THEY SAY SURVIVORS CAN
[000:08:07;653] ONLY LAST ABOUT FOUR
[000:08:08;721] DAYS IN THE RUBBLE.
[000:08:10;289] LESTER?
[000:08:10;823] >> ALL RIGHT, MIGUEL
[000:08:11;991] ALMAGUER TONIGHT.
[000:08:13;059] THANK YOU.
[000:08:13;626] >>> PRESIDENT TRUMP
[000:08:14;627] IMPOSED NEW ECONOMIC
[000:08:15;495] SANCTIONS ON NORTH
[000:08:16;329] KOREA TODAY IN AN
[000:08:17;096] EFFORT TO DRIVE THE
[000:08:17;964] REGIME TO THE
[000:08:19;365] BARGAINING TABLE TO
[000:08:20;266] NEGOTIATE ITS NUCLEAR
[000:08:21;634] PROGRAM.
[000:08:22;168] KIM JONG-UN WITH A
[000:08:24;203] FIERY RESPONSE LATE
[000:08:25;004] TONIGHT CALLING
[000:08:25;938] TRUMP'S U.N. SPEECH
[000:08:26;806] MENTALLY DERANGED.
[000:08:28;741] OUR WHITE HOUSE
[000:08:29;442] CORRESPONDENT KRISTEN
[000:08:30;309] WELKER HAS DETAILS.
[000:08:32;044] >> Reporter: A UNITED
[000:08:32;912] FRONT AT THE U.N.
[000:08:34;080] TODAY AS PRESIDENT
[000:08:35;548] TRUMP ORDERED SOME OF
[000:08:36;382] THE TOUGHEST SANCTIONS
[000:08:37;817] YET AGAINST NORTH
[000:08:38;551] KOREA FLANKED BY THE
[000:08:39;385] LEADERS OF JAPAN AND
[000:08:40;820] SOUTH KOREA.
[000:08:41;554] >> OUR NEW EXECUTIVE
[000:08:42;688] ORDER WILL CUT OFF
[000:08:43;856] SOURCES OF REVENUE
[000:08:44;957] THAT FUND NORTH
[000:08:45;925] KOREA'S EFFORTS TO
[000:08:47;093] DEVELOP THE DEADLIEST
[000:08:49;829] WEAPONS KNOWN TO
[000:08:51;130] HUMANKIND.
[000:08:51;697] >> Reporter: THE
[000:08:52;398] SANCTIONS TARGET ALL
[000:08:53;199] INDIVIDUALS AND
[000:08:53;900] COMPANIES THAT DO
[000:08:54;734] BUSINESS WITH THE
[000:08:55;568] ROGUE REGIME INCLUDING
[000:08:56;736] TRADING GOODS,
[000:08:58;004] SERVICES, AND
[000:08:58;971] TECHNOLOGY, AND IN A
[000:09:00;139] SURPRISING MOVE, THE
[000:09:01;274] PRESIDENT SAID CHINA'S
[000:09:02;608] CENTRAL BANK HAS
[000:09:04;277] ORDERED ITS OTHER
[000:09:05;011] BANKS TO CUT OFF NORTH
[000:09:06;579] KOREA.
[000:09:07;079] MR. TRUMP HAS BEEN
[000:09:07;847] PUSHING CHINA TO GET
[000:09:09;515] TOUGHER FOR MONTHS.
[000:09:10;983] >> THAT WAS A SOMEWHAT
[000:09:12;585] UNEXPECTED MOVE, AND
[000:09:13;386] WE APPRECIATE IT.
[000:09:14;287] >> Reporter: ANALYSTS
[000:09:15;087] SAY CHINA'S
[000:09:15;922] INVOLVEMENT IS
[000:09:16;722] CRITICAL.
[000:09:17;290] >> IF THERE'S ANY
[000:09:18;024] COUNTRY THAT HAS THE
[000:09:19;025] ABILITY TO MOVE THE
[000:09:21;027] NORTH KOREANS TOWARDS
[000:09:22;461] NEGOTIATIONS IN A MORE
[000:09:23;429] PEACEFUL OUTCOME OF
[000:09:24;964] THIS CRISIS, IT'S
[000:09:27;199] CHINA.
[000:09:27;733] >> Reporter: THE
[000:09:28;434] SANCTI
[000:09:29;569] SANCTIONS, A SIGN THE
[000:09:30;369] PRESIDENT STILL WANTS
[000:09:31;170] TO GIVE DIPLOMACY A
[000:09:31;938] CHANCE EVEN AFTER
[000:09:32;672] UNLEASHING THIS THREAT
[000:09:33;472] EARLIER IN THE WEEK.
[000:09:34;273] >> BUT IF IT IS FORCED
[000:09:35;575] TO DEFEND ITSELF OR
[000:09:36;576] ITS ALLIES, WE WILL
[000:09:38;144] HAVE NO CHOICE BUT TO
[000:09:40;813] TOTALLY DESTROY NORTH
[000:09:42;315] KOREA.
[000:09:42;815] >> WHAT WOULD BE THE
[000:09:43;749] DEFINITION OF BEING
[000:09:44;884] FORCED TO DEFEND
[000:09:45;585] OURSELVES?
[000:09:46;152] >> IT'S ATTACKS ON US
[000:09:47;553] OR OUR ALLIES.
[000:09:49;555] >> ACTUAL ATTACK?
[000:09:51;557] >> OF COURSE, OF
[000:09:52;258] COURSE.
[000:09:52;792] >> Reporter: STILL,
[000:09:53;559] THE PRESIDENT'S
[000:09:54;293] COMBATIVE LANGUAGE.
[000:09:55;895] >> ROCKET MAN IS ON A
[000:09:57;830] SUICIDE MISSION FOR
[000:09:58;598] HIMSELF AND FOR HIS
[000:09:59;966] REGIME.
[000:10:00;499] >> Reporter: PROMPTING
[000:10:01;267] NORTH KOREA TO COMPARE
[000:10:02;068] HIM TO A DOG BARKING.
[000:10:02;868] THE ROGUE REGIME HAS
[000:10:04;537] ESCALATED TENSIONS BY
[000:10:05;705] TESTING 22 MISSILES
[000:10:07;506] SINCE FEBRUARY
[000:10:08;240] INCLUDING A NUCLEAR
[000:10:09;141] BOMB IN RECENT WEEKS.
[000:10:11;344] LATE TONIGHT NORTH
[000:10:12;078] KOREA'S STATE-RUN NEWS
[000:10:13;312] AGENCY RELEASED THIS
[000:10:14;880] PHOTO OF KIM JONG-UN
[000:10:15;848] AS HE CALLED THE
[000:10:16;816] PRESIDENT MENTALLY
[000:10:18;084] DERANGED AND
[000:10:18;884] THREATENED TO TAME HIM
[000:10:20;286] WITH FIRE.
[000:10:20;953] EARLIER IN THE DAY
[000:10:21;988] PRESIDENT TRUMP WAS
[000:10:22;755] ASKED IF DIALOGUE WAS
[000:10:24;056] STILL POSSIBLE.
[000:10:25;091] HE RESPONDED WHY NOT?
[000:10:26;892] BUT FOR NOW THE WAR OF
[000:10:29;028] WORDS CONTINUES.
[000:10:31;163] >> KRISTEN WELKER
[000:10:32;798] TONIGHT, THANK YOU.
[000:10:33;566] >>> AFTER BEING
[000:10:34;734] ACCUSED OF NOT DOING
[000:10:35;735] ENOUGH TO STOP RUSSIA
[000:10:36;569] FROM INFLUENCING THE
[000:10:37;603] 2016 ELECTION, THE
[000:10:38;404] SOCIAL MEDIA GIANT
[000:10:39;171] TODAY BOWED TO
[000:10:41;474] PRESSURE FROM CONGRESS
[000:10:42;575] AGREEING TO TURN OVER
[000:10:43;442] THOUSANDS OF ADS TO
[000:10:44;243] INVESTIGATORS IN THE
[000:10:45;678] RUSSIA PROBE.
[000:10:46;979] NBC NEWS BUSINESS
[000:10:47;713] CORRESPONDENT JO LING
[000:10:48;547] KENT HAS LATE DETAILS.
[000:10:50;316] >> Reporter: TONIGHT
[000:10:51;117] CEO MARK ZUCKERBERG
[000:10:52;551] SAYS FACEBOOK WILL
[000:10:53;386] HAND OVER 3,000 ADS
[000:10:55;187] LINKED TO RUSSIA TO
[000:10:56;322] BOTH CONGRESS AND
[000:10:57;490] SPECIAL COUNSEL ROBERT
[000:10:58;491] MUELLER.
[000:10:59;025] >> WE'RE LOOKING TO
[000:10:59;792] FOREIGN ACTORS
[000:11:01;394] INCLUDING ADDITIONAL
[000:11:02;194] RUSSIAN GROUPS AND
[000:11:02;995] OTHER FORMER SOVIET
[000:11:04;397] STATES.
[000:11:04;930] >> Reporter: TAKING
[000:11:05;698] NEW STEPS TO FIND OUT
[000:11:06;532] HOW RUSSIA MAY HAVE
[000:11:07;867] INTERFERED IN THE 2016
[000:11:09;735] PRESIDENTIAL ELECTION
[000:11:10;536] THROUGH TARGETED
[000:11:11;871] ADVERTISING ON
[000:11:12;605] FACEBOOK.
[000:11:13;172] >> ANY ATTEMPTED
[000:11:14;407] INTERFERENCE IS A
[000:11:15;374] SERIOUS ISSUE.
[000:11:16;242] >> Reporter: THE
[000:11:16;942] COMPANY ADDING IT'S
[000:11:18;010] POSSIBLE THAT MORE ADS
[000:11:19;111] FROM RUSSIAN OR OTHER
[000:11:20;012] FOREIGN ACTORS WILL BE
[000:11:21;514] FOUND IN THEIR ONGOING
[000:11:23;816] INTERNAL
[000:11:24;617] INVESTIGATION.
[000:11:25;251] SENATE INTELLIGENCE
[000:11:26;018] COMMITTEE RANKING
[000:11:26;752] MEMBER MARK WARNER
[000:11:27;787] RESPONDED TWEETING,
[000:11:29;221] IMPORTANT AND
[000:11:29;889] ABSOLUTELY NECESSARY
[000:11:30;656] FIRST STEP.
[000:11:31;290] THE AMERICAN PEOPLE
[000:11:32;091] DESERVE TO KNOW THE
[000:11:32;892] TRUTH ABOUT RUSSIA'S
[000:11:34;126] INTERFERENCE IN THE
[000:11:35;528] 2016 ELECTION.
[000:11:36;195] >> I WISH I COULD TELL
[000:11:36;996] YOU THAT WE'RE GOING
[000:11:37;797] TO BE ABLE TO STOP ALL
[000:11:39;899] INTERFERENCE, BUT THAT
[000:11:40;733] JUST WOULDN'T BE
[000:11:41;701] REALISTIC.
[000:11:42;268] BUT WE CAN MAKE IT
[000:11:43;069] HARDER.
[000:11:43;602] WE CAN MAKE IT MUCH
[000:11:44;637] HARDER.
[000:11:45;171] AND THAT'S WHAT WE'RE
[000:11:46;072] GOING TO FOCUS ON
[000:11:47;139] DOING.
[000:11:47;673] >> Reporter: BUT
[000:11:48;374] ZUCKERBERG WILL NOT
[000:11:49;141] RELEASE WHAT HIS
[000:11:49;875] COMPANY HAS FOUND TO
[000:11:50;676] THE PUBLIC.
