[000:00:00;400] PRONOUNCE THEM.
[000:01:12;572] AMERICA.
[000:01:13;606] "NIGHTLY NEWS" BEGINS
[000:01:14;374] RIGHT NOW.
[000:01:19;012] >>> FROM LOS ANGELES,
[000:01:19;846] GOOD EVENING TO OUR
[000:01:20;580] VIEWERS HERE IN THE
[000:01:21;314] WEST.
[000:01:21;815] TWO INFAMOUS DICTATORS
[000:01:22;582] AND BOTH IN THE CROSS
[000:01:23;583] HAIRS OF PRESIDENT
[000:01:24;617] TRUMP TONIGHT RAISING
[000:01:25;652] THE POTENTIAL OF
[000:01:26;352] MILITARY RESPONSES
[000:01:27;720] AFTER ACTS THAT ARE
[000:01:28;788] DRAWING BROAD CONCERN
[000:01:29;556] AND CONDEMNATION.
[000:01:30;857] THE FIRST, SYRIA'S
[000:01:31;891] LEADER ASSAD.
[000:01:32;926] PRESIDENT TRUMP
[000:01:34;494] HORRIFIED BY THE
[000:01:35;528] DEADLY GAS ATTACK ON
[000:01:36;563] CIVILIANS SAYING IT
[000:01:38;665] CROSSES MANY LINES AND
[000:01:42;702] OFFERING THE VAILED
[000:01:44;704] WARNING THERE MAY BE A
[000:01:45;738] NEW U.S. APPROACH TO
[000:01:46;506] SYRIA.
[000:01:48;341] THE PRESIDENT TRUMPING
[000:01:49;909] UP HEAT ON NORTH
[000:01:53;213] KOREA'S LEADER KIM
[000:01:55;148] JONG-UN.
[000:01:55;682] AHEAD OF A CRITICAL
[000:01:56;449] MEETING TOMORROW.
[000:01:57;584] AS WE SHOWED YOU
[000:01:58;284] DURING THE BROADCAST
[000:01:59;652] FROM SOUTH KOREA THIS
[000:02:00;687] WEEK, AMERICA ARMED
[000:02:02;789] FORCES ARE AT A HEIGHT
[000:02:03;556] OF READINESS WITH
[000:02:04;357] KIM'S RECENT THREATS.
[000:02:05;391] WE HAVE TWO REPORTS
[000:02:06;126] STARTING WITH THE
[000:02:06;926] SYRIAN CRISIS AND
[000:02:07;994] NBC'S RICHARD ENGEL.
[000:02:09;028] >> Reporter: A DAY
[000:02:10;063] AFTER AN ALLEGED
[000:02:11;097] CHEMICAL ATTACK BY
[000:02:12;132] ASSAD'S REGIME, THE
[000:02:13;166] VICTIMS ARE STILL
[000:02:14;234] STRUGGLING TO BREATHE.
[000:02:15;001] QUIVERING
[000:02:15;768] UNCONTROLLABLY.
[000:02:16;803] DOCTORS SAY IT'S
[000:02:17;871] CONSISTENT WITH
[000:02:18;905] EXPOSURE TO A NERVE
[000:02:21;341] AGENT LIKE SARIN GAS.
[000:02:22;909] PRESIDENT TRUMP SAID
[000:02:23;943] THE IMAGES OF THE
[000:02:24;644] VICTIMS MADE A DEEP
[000:02:25;512] IMPRESSION ON HIM.
[000:02:26;546] >> A CHEMICAL ATTACK
[000:02:29;682] THAT WAS SO HORRIFIC
[000:02:31;751] IN SYRIA AGAINST
[000:02:35;889] INNOCENT PEOPLE
[000:02:39;025] INCLUDING WOMEN, SMALL
[000:02:41;628] CHILDREN, AND EVEN
[000:02:43;696] BEAUTIFUL LITTLE
[000:02:45;265] BABIES, THEIR DEATHS
[000:02:47;800] WAS AN AFFRONT TO
[000:02:48;968] HUMANITY.
[000:02:50;803] THESE HEINOUS ACTIONS
[000:02:52;372] BY THE ASSAD REGIME
[000:02:53;940] CANNOT BE TOLERATED.
[000:02:54;974] >> Reporter: IT'S A
[000:02:55;708] BIG REVERSAL.
[000:02:56;342] JUST TWO DAYS AGO
[000:02:59;379] THE ADMINISTRATION
[000:03:00;213] SEEMED WILLING TO
[000:03:00;914] ACCOMMODATE ASSAD.
[000:03:02;282] >> MY ATTITUDE TOWARD
[000:03:03;049] SYRIA AND ASSAD
[000:03:04;384] CHANGED VERY MUCH.
[000:03:05;418] >> Reporter: AND
[000:03:08;121] AFTER BLAMING FORMER
[000:03:09;322] PRESIDENT OBAMA FOR
[000:03:10;089] NOT TAKING ACTION
[000:03:10;857] AFTER DRAWING A RED
[000:03:11;724] LINE ON CHEMICAL
[000:03:12;725] WEAPONS, TODAY THAT
[000:03:13;459] CHANGED TOO.
[000:03:17;797] >> I NOW HAVE
[000:03:20;300] RESPONSIBILITY AND I
[000:03:21;067] WILL HAVE THAT
[000:03:21;868] RESPONSIBILITY AND
[000:03:22;602] CARRY IT VERY PROUDLY.
[000:03:23;369] >> Reporter: BUT
[000:03:24;070] CONFRONTING ASSAD
[000:03:24;771] MEANS CHALLENGING HIS
[000:03:25;538] BIGGEST BACKER,
[000:03:26;206] RUSSIA.
[000:03:26;739] WHICH OFFERED TODAY A
[000:03:28;107] VERY DIFFERENT
[000:03:29;142] EXPLANATION FOR THE
[000:03:32;445] VICTIMS, SAYING
[000:03:33;613] ASSAD'S TROOPS BOMBED
[000:03:37;050] A TERRORIST'S CHEMICAL
[000:03:39;452] WEAPONS DEPOT.
[000:03:40;720] BUT VIDEO OBTAINED BY
[000:03:42;722] NBC NEWS OF WHAT
[000:03:43;890] WITNESSES SAY IS THE
[000:03:47;260] IMPACT SITE SHOWS A
[000:03:48;528] CRATER IN AN OPEN
[000:03:49;896] ROAD, NO DEPOT NEARBY.
[000:03:52;498] AT THE U.N. SECURITY
[000:03:53;266] COUNSEL AMBASSADOR
[000:03:54;067] NIKKI HALEY MADE AN
[000:03:55;101] EMOTIONAL ADDRESS.
[000:03:55;835] >> LOOK AT THOSE
[000:03:57;170] PICTURES.
[000:03:58;238] HOW MANY MORE CHILDREN
[000:03:59;005] HAVE TO DIE BEFORE
[000:04:00;306] RUSSIA CARES?
[000:04:00;940] >> Reporter: SO WILL
[000:04:01;708] THE PRESIDENT RESPOND
[000:04:02;475] WITH MILITARY ACTION?
[000:04:03;243] HE LEFT OPEN THAT
[000:04:03;943] POSSIBILITY.
[000:04:04;577] >> I'M NOT SAYING I'M
[000:04:05;345] DOING ANYTHING ONE WAY
[000:04:06;112] OR THE OTHER.
[000:04:07;580] >> Reporter: BUT THERE
[000:04:08;348] ARE RISKS LIKE SYRIAN
[000:04:09;148] AIR DEFENSES AND
[000:04:10;183] POSSIBLE RUSSIAN
[000:04:11;217] RESISTANCE.
[000:04:14;654] PRESIDENT TRUMP, WHO
[000:04:15;922] CAME TO OFFICE WITH A
[000:04:18;725] PROMISE OF AMERICA
[000:04:19;492] FIRST NOW SEEMS LIKE
[000:04:20;593] HE WANTS TO BE MORE
[000:04:21;494] INVOLVED IN WORLD
[000:04:22;195] AFFAIRS.
[000:04:24;330] HE'S BEEN CALLED AN
[000:04:25;064] ISOLATIONIST, HE
[000:04:25;898] DIDN'T SOUND LIKE ONE
[000:04:26;666] TODAY.
[000:04:27;467] LESTER?
[000:04:29;869] >> RICHARD ENGEL IN
[000:04:32;372] THE LONDON NEWSROOM,
[000:04:33;139] THANK YOU.
[000:04:34;974] >>> THE GLOBAL CRISIS
[000:04:35;742] THE PRESIDENT
[000:04:36;542] ADDRESSED.
[000:04:37;110] NORTH KOREA FIRING YET
[000:04:38;645] ANOTHER BALLISTIC
[000:04:39;345] MISSILE INTO THE SEA
[000:04:40;179] OF JAPAN.
[000:04:41;214] CONTAINING KIM JONG
[000:04:42;248] UN'S PROGRAM WILL BE
[000:04:43;283] FRONT AND CENTER AS
[000:04:44;350] PRESIDENT TRUMP
[000:04:45;385] WELCOMES THE PRESIDENT
[000:04:46;152] OF CHINA AT A
[000:04:46;919] HIGH-STAKES SUMMIT AT
[000:04:47;954] HIS FLORIDA ESTATE.
[000:04:48;688] PETER ALEXANDER HAS
[000:04:49;522] DETAILS.
[000:04:50;590] >> I WILL DO WHATEVER
[000:04:51;357] I HAVE TO DO.
[000:04:51;991] >> Reporter: TONIGHT
[000:04:52;759] PRESIDENT TRUMP IN A
[000:04:53;526] SHOWDOWN WITH NORTH
[000:04:54;260] KOREA AND ITS ERRATIC
[000:04:57;597] DICTATOR, KIM JONG-UN.
[000:04:59;165] >> WE HAVE A BIG
[000:04:59;866] PROBLEM.
[000:05:00;733] WE HAVE SOMEBODY THAT
[000:05:01;501] IS NOT DOING THE RIGHT
[000:05:02;302] THING, AND THAT'S
[000:05:03;002] GOING TO BE MY
[000:05:03;870] RESPONSIBILITY.
[000:05:05;405] >> Reporter: THAT
[000:05:06;105] RESPONSIBILITY
[000:05:06;973] HEIGHTENED BY ANOTHER
[000:05:08;007] NORTH KOREAN MISSILE
[000:05:08;775] TEST JUST 24 HOURS AGO
[000:05:09;575] WITH A SENIOR WHITE
[000:05:10;610] HOUSE OFFICIAL TELLING
[000:05:11;377] NBC NEWS ALL OPTIONS
[000:05:12;145] ARE ON THE TABLE.
[000:05:12;845] BUT DEALING WITH THE
[000:05:16;349] ROGUE NATION'S GROWING
[000:05:17;917] NUCLEAR THREAT ALSO
[000:05:18;651] FALLS ON CHINA.
[000:05:20;019] THE PRESIDENT THIS
[000:05:20;753] WEEK WARNING IF THE
[000:05:21;587] CHINESE DECIDE TO
[000:05:22;288] HELP, THAT WILL BE
[000:05:23;022] VERY GOOD FOR CHINA
[000:05:23;756] AND IF THEY DON'T, IT
[000:05:24;524] WON'T BE GOOD FOR
[000:05:25;224] ANYONE.
[000:05:25;758] >> CHINA IS THE ONLY
[000:05:26;793] COUNTRY IN THE WORLD
[000:05:27;560] THAT HAS PREDOMINANT
[000:05:28;328] MATERIAL INFLUENCE ON
[000:05:29;362] NORTH KOREA IN TRADE,
[000:05:30;930] ENERGY, AND IN COAL.
[000:05:32;999] IF CHINA PULLS THE
[000:05:35;101] PLUG, NORTH KOREA HAS
[000:05:35;868] NO OTHER OPTION.
[000:05:36;569] >> Reporter: THE
[000:05:37;704] URGENT ISSUE CERTAIN
[000:05:38;738] TO DOMINANT TOMORROW'S
[000:05:41;341] HIGH-STAKES SUMMIT
[000:05:46;546] WITH CHINA'S PRESIDENT
[000:05:49;949] THE FIRST FACE TO FACE
[000:05:51;150] MEETING WITH COMPETING
[000:05:51;918] AGENDAS.
[000:05:54;253] >> THIS IS A TIME WHEN
[000:05:55;021] THE UNITED STATES
[000:05:55;722] ACTUALLY DEFINES ITS
[000:05:56;489] RELATIONSHIP WITH
[000:05:57;390] BEIJING, MAYBE NOT
[000:05:58;424] ONLY FOR COMING
[000:05:59;092] DECADES BUT FOR LONGER
[000:05:59;992] THAN THAT.
[000:06:01;561] >> Reporter: ONE TOOL
[000:06:02;595] THE PRESIDENT IS
[000:06:03;629] LIKELY TO LEAN INTO
[000:06:04;664] WITH CHINA, TRADE,
[000:06:05;698] PUNCTUATING A HUGE
[000:06:09;702] CAMPAIGN USING BEIJING
[000:06:10;503] AS A PUNCHING BAG.
[000:06:11;938] >> WE CAN'T ALLOW
[000:06:12;638] CHINA TO RAPE THE
[000:06:13;473] COUNTRY.
[000:06:14;040] >> Reporter: PRESIDENT
[000:06:15;041] TRUMP SAYING THEY ARE
[000:06:16;075] MANIPULATING CURRENCY.
[000:06:17;143] THE HISTORIC MEETING
[000:06:17;910] AFTER RENEWED SCRUTINY
[000:06:18;678] OF MR. TRUMP'S
[000:06:19;746] PERSONAL TIES TO CHINA
[000:06:20;780] INCLUDING A CHINESE
[000:06:21;514] GOVERNMENT OWNED BANK
[000:06:24;717] A TENANT IN TRUMP
[000:06:26;052] TOWER, AND ANOTHER
[000:06:27;019] LENDER ON A NEARLY
[000:06:27;820] BILLION DOLLAR TRUMP
[000:06:28;588] MORTGAGE.
[000:06:31;324] THE PRESIDENT DENIES
[000:06:32;091] ANY CONFLICTS OF
[000:06:32;792] INTEREST BECAUSE HIS
[000:06:33;559] SONS NOW RUN THE
[000:06:34;260] FAMILY BUSINESS.
[000:06:34;927] TONIGHT, THERE ARE
[000:06:35;661] ALSO QUESTIONS ABOUT
[000:06:36;429] IVANKA TRUMP'S
[000:06:37;096] SIGNATURE LINE, MUCH
[000:06:38;097] OF IT STILL MADE IN
[000:06:38;831] CHINA WITH DOZENS OF
[000:06:39;599] SHIPMENTS ARRIVING
[000:06:40;333] SINCE THE ELECTION,
[000:06:41;067] THREE IN JUST THE LAST
[000:06:41;834] MONTH.
[000:06:42;769] FOR HER PART, MS.
[000:06:43;469] TRUMP SAYS SHE'S NO
[000:06:45;371] LONGER INVOLVED WITH
[000:06:46;406] HER COMPANY.
[000:06:47;974] IT'S IN A TRUST RUN BY
[000:06:49;509] HER BROTHER-IN-LAW AND
[000:06:50;543] SISTER-IN-LAW, LESTER?
[000:06:51;611] >> PETER ALEXANDER, AT
[000:06:52;645] THE WHITE HOUSE,
[000:06:53;346] THANKS.
[000:06:54;213] >>> TO THE SUDDEN
[000:06:54;914] POWER SHIFT AT THE
[000:06:56;816] NATIONAL SECURITY
[000:06:59;252] COUNCIL.
[000:07:01;320] THE PRESIDENT'S TOP
[000:07:02;054] AID STEVE BANNON IS
[000:07:02;889] LOSING HIS SEAT AT THE
[000:07:03;923] TABLE WEEKS AFTER HIS
[000:07:04;957] APPOINTMENT TO THAT
[000:07:06;559] POSION SPARKED
[000:07:07;560] SURPRISE AND CRITICISM
[000:07:08;628] AS PRESIDENT TRUMP
[000:07:09;662] KICKED UP DUST OF HIS
[000:07:10;696] OWN WITHOUT ANY
[000:07:11;731] EVIDENCE SAYING SUSAN
[000:07:12;498] RICE MAY HAVE
[000:07:13;132] COMMITTED A CRIME.
[000:07:13;833] NBC'S HALLIE JACKSON
[000:07:14;600] HAS IT ALL COVERED.
[000:07:15;334] >> THANK YOU VERY
[000:07:16;035] MUCH.
[000:07:16;936] >> Reporter: THE
[000:07:17;637] PRESIDENT'S INNER
[000:07:18;504] CIRCLE TODAY IN A
[000:07:19;539] SINGLE FILE LINE WITH
[000:07:20;573] THE NOTABLE EXCEPTION.
[000:07:21;607] CHIEF STRATEGIST STEVE
[000:07:24;644] BANNON, WHO'S BEEN AT
[000:07:26;546] EVERY OTHER PRESS
[000:07:27;246] CONFERENCE SO FAR.
[000:07:28;414] A SOURCE FAMILIAR SAYS
[000:07:29;449] BANNON WAS WORKING ON
[000:07:31;017] HEALTH CARE BUT THE NO
[000:07:32;051] SHOW CAME HOURS AFTER
[000:07:33;085] HE WAS OUSTED FROM THE
[000:07:34;120] NATIONAL SECURITY
[000:07:35;354] COUNCIL.
[000:07:36;389] >> STEVE BANNON RAISED
[000:07:37;423] EYEBROWS AT FIRST
[000:07:38;491] BECAUSE YOU DON'T PUT
[000:07:39;525] POLITICAL PEOPLE ON A
[000:07:40;293] NATIONAL SECURITY
[000:07:42;128] COMMITTEE.
[000:07:42;695] IT'S TOO SOON TO TELL
[000:07:43;663] IF HE'S LOSING
[000:07:44;730] INFLUENCE.
[000:07:47;433] BUT HE'S CLEARLY BEEN
[000:07:48;201] DIMINISHED.
[000:07:50;036] >> Reporter: THE VICE
[000:07:50;803] PRESIDENT INSISTING
[000:07:51;604] IT'S NOT A DEMOTION.
[000:07:52;638] >> THIS IS JUST A
[000:07:53;339] NATURAL EVOLUTION TO
[000:07:54;207] ENSURE THE NATIONAL
[000:07:54;941] SECURITY COUNSEL IS
[000:07:55;741] ORGANIZED IN A WAY
[000:07:56;476] THAT BEST SERVES THE
[000:07:57;243] PRESIDENT.
[000:07:57;844] >> Reporter: THE MOVE,
[000:07:58;611] WINNING BIPARTISAN
[000:07:59;412] SUPPORT.
[000:07:59;979] >> I'D BE VERY PLEASED
[000:08:00;947] THAT HE'S NOT ON THE
[000:08:01;981] NATIONAL SECURITY
[000:08:03;149] COUNCIL.
[000:08:04;750] MY HOPE IS THAT HE
[000:08:05;485] WOULD HAVE NO ROLE IN
[000:08:06;252] GOVERNMENT AT ALL.
[000:08:06;986] >> Reporter: THAT'S
[000:08:07;720] NOT HAPPENING.
[000:08:08;387] WHILE BANNON IS NOT ON
[000:08:09;155] THE NSC ANYMORE, HE
[000:08:09;922] CAN ATTEND MEETINGS
[000:08:10;957] AND HAS ONE OF THE
[000:08:11;691] HIGHEST SECURITY
[000:08:12;525] CLEARANCES IN THE WEST
[000:08:13;559] WING.
[000:08:16;462] A TOP WHITE HOUSE
[000:08:17;597] OFFICIAL SAYS BANNON
[000:08:18;631] WAS ORIGINALLY PUT ON
[000:08:19;532] THE COMMITTEE AS A
[000:08:20;500] CHECK AGAINST MICHAEL
[000:08:21;634] FLYNN, THE NOW
[000:08:22;435] DISMISSED NATIONAL
[000:08:23;169] SECURITY ADVISER.
[000:08:26;205] BANNON'S GOAL
[000:08:26;906] ORIGINALLY, TO BREAK
[000:08:27;707] DOWN THE OBAMA ERA
[000:08:28;941] STRUCTURE INSIDE THAT
[000:08:30;376] NATIONAL SECURITY
[000:08:31;110] TEAM, LED AT THE TIME
[000:08:31;878] BY SUSAN RICE.
[000:08:35;748] SHE'S IN THE
[000:08:36;382] PRESIDENT'S CROSS
[000:08:37;083] HAIRS NOW AS HE
[000:08:37;850] ACCUSES RICE WITH NO
[000:08:38;885] EVIDENCE OF COMMITTING
[000:08:39;652] A CRIME BY REQUESTING
[000:08:40;419] THE NAMES OF PEOPLE
[000:08:41;153] CONNECTED BY THE TRUMP
[000:08:41;988] TEAM BE UNMASKED.
[000:08:43;022] >> THERE IS SIMPLY
[000:08:46;526] NOTHING WRONG,
[000:08:47;527] UNEXPECTED, ILLEGAL
[000:08:48;261] ABOUT DOING THAT.
[000:08:49;595] WHAT WOULD BE WRONG
[000:08:50;329] AND ILLEGAL IS IF SHE
[000:08:51;097] TOOK THAT NAME AND
[000:08:51;831] THEN, YOU KNOW,
[000:08:52;498] E-MAILED IT TO THE
[000:08:54;300] PRESS.
[000:08:55;301] >> I LEAKED NOTHING TO
[000:08:56;068] NOBODY.
[000:08:56;602] >> Reporter: THE
[000:08:57;403] PRESIDENT, YET AGAIN,
[000:08:58;971] MAKING AN
[000:09:00;006] UNSUBSTANTIATED
[000:09:00;673] SURVEILLANCE CLAIM
[000:09:02;074] TELLING "THE NEW YORK
[000:09:03;109] TIMES" IT'S QUOTE ONE
[000:09:04;143] OF THE BIG STORIES OF
[000:09:05;711] OUR TIME.
[000:09:06;279] PRESIDENT TRUMP SAYS
[000:09:07;780] HE WILL EXPLAIN HIS
[000:09:08;848] CLAIM AT THE RIGHT
[000:09:13;286] TIME.
[000:09:13;786] SUSAN RICE DECLINED TO
[000:09:15;121] COMMENT ON WHAT HER
[000:09:16;289] SPOKESPERSON IS
[000:09:18;157] CALLING A LUDICROUS
[000:09:19;091] CHARGE.
[000:09:19;625] LESTER?
[000:09:21;494] >> HALLIE JACKSON,
[000:09:22;228] THANK YOU.
[000:09:23;563] >>> TONIGHT THERE ARE
[000:09:24;330] TORNADO WARNINGS
[000:09:25;031] FIRING UP ACROSS THE
[000:09:25;798] SOUTH.
[000:09:26;299] HOMES DEMOLISHED AS
[000:09:27;199] STORMS CONTINUE TO
[000:09:28;234] THREATEN MILLIONS OF
[000:09:29;302] AMERICANS.
[000:09:30;336] IN A MOMENT AL ROKER
[000:09:31;971] WILL BE HERE, BUT
[000:09:34;574] FIRST, FROM KERRY
[000:09:35;274] SANDERS ON THE GROUND
[000:09:36;142] IN THE STORM ZONE.
[000:09:36;876] >> Reporter: A
[000:09:37;710] SUSPECTED TORNADO
[000:09:38;744] TODAY IN WESTIN,
[000:09:39;445] GEORGIA, TWISTED METAL
[000:09:40;313] SCATTERED ACROSS
[000:09:41;881] FIELDS, THIS HOME
[000:09:44;951] COLLAPSED.
[000:09:45;518] WIND RIPPING THESE
[000:09:46;252] BUILDINGS APART.
[000:09:47;687] NO SERIOUS INJURIES
[000:09:48;421] REPORTED BUT HIGH
[000:09:49;121] ANXIETY.
[000:09:49;689] >> WE GATHERED DOWN
[000:09:50;423] HERE, IT WAS REALLY
[000:09:52;391] BAD BECAUSE THE TOP ON
[000:09:55;227] THE WHOLE HOUSE
[000:09:55;928] STARTED PEELING OFF.
[000:09:56;796] WE KNEW IT WAS A VERY
[000:09:57;597] SERIOUS STORM.
[000:09:59;432] >> Reporter: ANOTHER
[000:10:00;466] POSSIBLE TORNADO THIS
[000:10:01;534] AFTERNOON IN HENRY
[000:10:02;568] COUNTY, ALABAMA.
[000:10:03;269] >> ALL OF A SUDDEN IT
[000:10:04;103] GOT REALLY, REALLY
[000:10:05;171] CALM AND THE TREES
[000:10:05;905] STARTED SPINNING AND
[000:10:06;706] THE RAIN STARTED
[000:10:07;406] POURING.
[000:10:09;308] >> Reporter: ACROSS
[000:10:10;376] THE SOUTH TODAY,
[000:10:11;410] DAMAGING HAIL,
[000:10:12;445] LIGHTNING STRIKES
[000:10:14;513] IGNITING SEVERAL HOUSE
[000:10:15;281] FIRES.
[000:10:16;616] AND WIDE SPREAD
[000:10:17;650] FLOODING.
[000:10:18;684] SEVERAL FEET DEEP ON
[000:10:19;719] THESE STREETS IN
[000:10:21;687] COLUMBIA, SOUTH
[000:10:22;355] CAROLINA.
[000:10:23;756] IN SOME AREAS MORE
[000:10:24;490] THAN TWO INCHES OF
[000:10:25;224] RAIN AN HOUR.
[000:10:25;858] IN AUGUSTA, GEORGIA,
[000:10:26;626] WEATHER SUSPENDING PAR
[000:10:27;426] THREE PLAY AT THE
[000:10:31;731] MASTERS GOLF
[000:10:32;398] TOURNAMENT FOR THE
[000:10:33;466] FIRST TIME IN 53
[000:10:34;166] YEARS.
[000:10:35;534] TRAVEL ACROSS THE
[000:10:36;569] COUNTRY IMPACTED WITH
[000:10:37;336] MORE THAN 500 FLIGHTS
[000:10:38;104] OUT OF ATLANTA
[000:10:38;771] CANCELLED.
[000:10:39;705] >> A LARGE EXTREMELY
[000:10:40;740] DANGEROUS AND
[000:10:41;374] POTENTIALLY DEADLY
[000:10:42;108] TORNADO.
[000:10:42;675] >> Reporter: IN TOTAL,
[000:10:43;442] AT LEAST 61 MILLION
[000:10:44;377] PEOPLE UNDER THREAT
[000:10:45;945] TODAY AND INTO THE
[000:10:46;979] EVENING.
[000:10:47;513] IT'S ALL PART OF THE
[000:10:48;280] SAME WEATHER SYSTEM
[000:10:50;616] THAT PRODUCED THIS
[000:10:51;651] TORNADO IN TINY
[000:10:52;685] GOODMAN, MISSOURI ON
[000:10:53;452] TUESDAY.
[000:10:54;787] TODAY, THEY ARE
[000:10:55;821] STARTING TO CLEAN UP
[000:10:56;856] WHILE THE REGION
[000:10:57;556] BRACES FOR ANOTHER
[000:10:58;424] DANGEROUS NIGHT.
[000:10:59;992] TONIGHT, AS WE LOOK
[000:11:01;027] LIVE HERE IN RURAL
[000:11:02;061] GEORGIA, THOSE INSIDE
[000:11:03;095] HERE WHEN THE TORNADO
[000:11:04;130] HIT SAY THEY ARE JUST
[000:11:05;164] HAPPY TO HAVE ESCAPED
[000:11:07;767] WHAT WERE SOME
[000:11:09;869] HEART-POUNDING MOMENTS
[000:11:10;903] ADDING IN TODAY'S
[000:11:11;604] TORNADOS, IT'S BEEN A
[000:11:12;972] BUSY SEASON SO FAR,
[000:11:14;040] MORE THAN 350 TWISTERS
[000:11:15;074] THIS YEAR.
[000:11:16;108] LESTER?
[000:11:16;642] >> OKAY.
[000:11:17;176] KERRY SANDERS, THANKS.
[000:11:18;177] AL ROKER IS TRACKING
[000:11:19;745] THE STORMS FOR US.
[000:11:20;780] WHERE IS THE DANGER
[000:11:21;814] MOVING FORWARD?
[000:11:22;481] >> LESTER, THE
[000:11:23;382] SOUTHEAST.
[000:11:24;950] WE'RE WATCHING THIS
[000:11:25;685] RIGHT NOW.
[000:11:26;252] 20 MILLION PEOPLE
[000:11:27;019] UNDER A TORNADO WATCH
[000:11:27;787] AND CURRENTLY NOT JUST
[000:11:29;622] A MAJOR RISK BUT A
[000:11:31;190] HIGH RISK.
[000:11:32;224] THE GREATEST THREAT
[000:11:32;958] FOR STORMS AND
[000:11:34;293] TORNADOS DOWN THROUGH
[000:11:35;061] CENTRAL AND SOUTHERN
[000:11:35;861] GEORGIA INTO CENTRAL
[000:11:36;896] SOUTH CAROLINA.
[000:11:37;930] AS THIS MOVES EAST,
[000:11:38;998] THESE TORNADOS COULD
[000:11:40;032] BE RAIN WRAPPED.
[000:11:40;700] IT WILL BE DARK.
[000:11:42;101] YOU WON'T BE ABLE TO
[000:11:42;868] SEE THEM.
[000:11:43;669] THAT WILL BE THE
[000:11:44;370] DANGER.
[000:11:45;204] THE STRONG STORMS MOVE
[000:11:45;971] INTO THE NORTHEAST,
[000:11:50;676] MID-ATLANTIC STATES
[000:11:51;977] AND NEW ENGLAND,
[000:11:52;678] BRINGING WITH IT HEAVY
[000:11:53;446] FLOODING.
[000:11:55;214] IN FACT, WE'RE TALKING
[000:11:55;981] ABOUT 47 MILLION UNDER
[000:11:56;749] A FLOOD THREAT THIS
[000:11:57;483] EVENING ON INTO
[000:11:58;150] TOMORROW.
[000:11:58;718] LESTER?
[000:11:59;251] >> AL ROKER, THANKS,
[000:12:00;019] AL.
[000:12:00;486] >>> NOW TO THE GROWING
[000:12:01;253] BACKLASH AGAINST FOX
[000:12:02;021] NEWS STAR BILL
[000:12:03;022] O'REILLY.
[000:12:04;590] NEARLY THREE DOZEN
[000:12:07;827] ADVERTISERS HAVE NOW
[000:12:10;029] ABANDONED O'REILLY'S
[000:12:11;397] SHOW AFTER THE NETWORK
[000:12:12;798] PAID OUT MILLIONS TO
[000:12:15;334] SETTLE SEXUAL
[000:12:16;669] HARASSMENT CLAIMS
[000:12:17;403] AGAINST HIM.
[000:12:18;904] TODAY, PRESIDENT TRUMP
[000:12:19;772] HIMSELF CAME TO
[000:12:20;439] O'REILLY'S DEFENSE.
[000:12:23;809] ANNE THOMPSON HAS
[000:12:24;510] MORE.
[000:12:27;413] >> AND THE O'REILLY
[000:12:28;147] FACTOR BEGINS NOW.
[000:12:29;815] >> Reporter: AS
[000:12:30;483] ADVERTISERS CONTINUE
[000:12:31;250] TO FLEE, 35 AND
[000:12:31;917] COUNTING TONIGHT,
[000:12:32;618] ACCUSATIONS THE FOX
[000:12:33;352] NEWS STAR ACTUALLY
