[000:00:00;11] OF  
[000:02:05;28] >> GOOD EVENING, BILL.  
[000:02:07;07] CLEARLY THE FBI AND THE  
[000:02:07;29] OTHER MEMBERS OF THE JOINT  
[000:02:09;05] TERRORISM TASK FORCE HAVE  
[000:02:10;03] SPENT THE BETTER PART OF  
[000:02:11;03] THE LAST 48 HOURS TRYING TO  
[000:02:13;10] IDENTIFY AND CAPTURE THESE  
[000:02:14;24] TWO MEN ON THEIR OWN.  
[000:02:16;01] AND THEY WEREN'T ABLE TO DO  
[000:02:17;14] THAT.  
[000:02:17;27] AND THAT'S WHAT CLEARLY  
[000:02:19;00] PROPELLED THEM TO RELEASE  
[000:02:20;14] THESE IMAGES WEIGHING,  
[000:02:23;02] LETTING THESE GUYS KNOW  
[000:02:24;02] THAT THEY WERE BEING HUNTED  
[000:02:26;12] AGAINST TRYING TO GENERATE  
[000:02:27;12] MORE INTEL AND MORE  
[000:02:28;14] INFORMATION AND POSSIBLY  
[000:02:29;06] NAMES AND ADDRESSES FOR THE  
[000:02:30;09] TWO GUYS THAT WE ARE NOW  
[000:02:31;12] SEEING IN THIS VIDEO AND IN  
[000:02:32;28] THESE STILL PICTURES AS YOU  
[000:02:35;07] MENTIONED THEY ARE ONLY  
[000:02:35;29] BEING IDENTIFIED AS  
[000:02:37;12] SUSPECTS NUMBER 1 AND 2.  
[000:02:38;20] NUMBER ONE IN THE DARK  
[000:02:39;23] JACKET WITH THE DARK HAT  
[000:02:40;24] WITH KHAKIS AND A BACKPACK.  
[000:02:43;01] SUBJECT NUMBER 2 WITH A  
[000:02:44;15] WHITE HAT WORN BACKWARDS  
[000:02:47;09] ALSO WEARING A DARK JACKET  
[000:02:48;18] AND JEANS.  
[000:02:51;20] HE, SUSPECT NUMBER 2 SET  
[000:02:53;17] DOWN THE BACKPACK AT THE  
[000:02:54;28] SITE OF THE SECOND  
[000:02:55;25] EXPLOSION AND THEN WENT  
[000:02:57;03] WALKING WEST ON BOYLSTON  
[000:02:58;23] STREET AFTER PLANTING THE  
[000:02:59;28] BOMB.  
[000:03:00;11] AGAIN, THE FBI ENCOURAGING  
[000:03:01;13] PEOPLE TO CALL OR CONTACT  
[000:03:02;10] AUTHORITIES AND NOT TRY TO  
[000:03:03;10] TAKE THESE GUYS INTO  
[000:03:04;16] CUSTODY THEMSELVES.  
[000:03:06;18] >> WE CONSIDER THEM TO BE  
[000:03:08;06] ARMED AND EXTREMELY  
[000:03:10;18] DANGEROUS.  
[000:03:11;03] NO ONE SHOULD APPROACH  
[000:03:12;14] THEM.  
[000:03:12;27] NO ONE SHOULD ATTEMPT TO  
[000:03:14;10] APPREHEND THEM EXCEPT LAW  
[000:03:15;16] ENFORCEMENT.  
[000:03:16;19] LET ME IT RATE -- REITERATE  
[000:03:18;27] THAT CAUTION.  
[000:03:19;14] DO NOT TAKE ANY ACTION ON  
[000:03:20;23] YOUR OWN.  
[000:03:23;23] >> BILL, THE FBI HAS  
[000:03:26;07] ALREADY PROCESSED THOUSANDS  
[000:03:27;07] OF LEADS AND TIPS AND NO  
[000:03:28;13] DOUBT WILL GET MANY  
[000:03:30;04] THOUSANDS MORE.  
[000:03:31;25] >> INDEED.  
[000:03:32;12] AND THEY ARE SET UP FOR  
[000:03:33;17] THAT, WE DO BELIEVE RICK.  
[000:03:35;24] ANYTHING ELSE ABOUT THESE  
[000:03:37;03] PEOPLE THAT PEOPLE, RATHER,  
[000:03:38;15] SHOULD PAY ATTENTION TO  
[000:03:39;17] THAT YOU ARE HEARING?  
[000:03:40;26] >> ABSOLUTELY.  
[000:03:42;00] EVERYONE SHOULD LOOK AT THE  
[000:03:43;04] HATS THESE GUYS ARE WEARING  
[000:03:46;29] IT'S POSSIBLE THAT THEY  
[000:03:47;22] BOUGHT THEM FOR THAT DAY  
[000:03:49;03] MONDAY THE ATTACK AT THE  
[000:03:51;09] MARATHON.  
[000:03:51;24] THEY SHOULD LOOK AT THE  
[000:03:52;16] JACKETS THEY ARE WEARING.  
[000:03:53;09] LOOK AT THE WALK.  
[000:03:56;01] THE ONES GUY'S WALK MIGHT  
[000:03:58;13] BE DISTINCTIVE TO SOMEONE  
[000:03:59;10] AS YOU SEE THEM COMING DOWN  
[000:04:00;12] THE STREET.  
[000:04:01;07] PEOPLE SHOULD REMEMBER WHY  
[000:04:02;04] THE FBI IS HUNTING THESE  
[000:04:03;16] TWO AND ONE OF THEM, AGAIN  
[000:04:05;10] YOU CAN CLEARLY SEE HIS  
[000:04:06;13] PROFILE IN ONE OF THOSE  
[000:04:07;26] PHOTOGRAPHS.  
[000:04:08;12] AND, BY THE WAY, ALL OF  
[000:04:09;13] THOSE PHOTOGRAPHS VIDEOS  
[000:04:10;12] THAT HAVE BEEN SUBMITTED  
[000:04:11;26] SOME PEOPLE MAY NOT HAVE  
[000:04:13;22] SUBMITTED PICTURES THAT  
[000:04:14;18] THEY THOUGHT WOULD NOT BE  
[000:04:15;21] VALUABLE TO THE  
[000:04:16;09] INVESTIGATION NOW SEEING  
[000:04:17;01] THESE GUYS, IF YOU LOOK AT  
[000:04:18;22] THEIR HATS LOOK AT THEIR  
[000:04:20;08] CLOTHING, LOOK AT THEIR  
[000:04:21;16] FACES, PERHAPS YOU HAVE A  
[000:04:22;12] PHOTO IN YOUR CAMERA IF YOU  
[000:04:24;01] WERE AT THE MARATHON ON  
[000:04:25;04] MONDAY THAT WOULD BE EVEN  
[000:04:26;09] MORE VALUABLE TO THE FBI.  
[000:04:28;10] AN EVEN BETTER ANGLE OF ONE  
[000:04:29;24] OR BOTH OF THESE MEN.  
[000:04:31;03] YOU SHOULD FORWARD THAT TO  
[000:04:31;26] THE FBI.  
[000:04:32;16] HERE IS MORE FROM THE  
[000:04:33;13] SPECIAL AGENT IN CHARGE OF  
[000:04:34;11] THE BOSTON OFFICE.  
[000:04:38;14] >> IDENTIFYING AND LOCATING  
[000:04:39;22] THOSE RESPONSIBLE IS NOW  
[000:04:40;21] OUR HIGHEST PRIORITY.  
[000:04:42;05] NO OTHER DETAILS OF THE  
[000:04:43;06] INVESTIGATION WILL BE  
[000:04:44;22] RELEASED AT THIS TIME  
[000:04:45;13] BECAUSE THIS IS OUR FOCUS  
[000:04:46;25] NOW.  
[000:04:47;07] IT CONTINUES TO BE AN  
[000:04:48;05] ONGOING ACTIVE  
[000:04:49;24] INVESTIGATION.  
[000:04:53;21] >> THE FBI SAYS IT WILL  
[000:04:55;03] CONTINUE TO WORK TO ENHANCE  
[000:04:56;18] THE IMAGES THAT IT HAS  
[000:04:57;28] BILL.  
[000:04:58;11] WE CAN'T STRESS ENOUGH HOW  
[000:04:59;24] IMPORTANT OTHER IMAGES  
[000:05:00;15] MIGHT BE TO THE  
[000:05:01;13] INVESTIGATION.  
[000:05:02;00] >> LATE LAST NIGHT, RICK.  
[000:05:03;07] AND YOU AND I HAVE HAD A  
[000:05:04;18] LOT OF LATE NIGHTS PAST  
[000:05:05;22] WEEK IN BOSTON.  
[000:05:06;21] YOUR SOURCE TOLD YOU  
[000:05:07;17] SOMETHING TWO DAYS AGO YOU  
[000:05:08;13] SAID ABOUT A GUY WEARING A  
[000:05:10;01] WHITE BASEBALL CAP THAT WAS  
[000:05:12;17] TURNED BACK WARDZ.  
[000:05:13;14] WHAT DO YOU RECALL BASED ON  
[000:05:14;08] THAT CONVERSATION NOW?  
[000:05:19;01] >>  
[000:05:19;12] >> A SOURCE OF MINE WITH  
[000:05:20;14] THE FEDERAL BUREAU OF  
[000:05:21;18] INVESTIGATION WAS LOOKING  
[000:05:22;21] AT A PICTURE OF WHAT WE  
[000:05:25;13] BELIEVE IS SUBJECT NUMBER 2  
[000:05:28;19] SUSPECT NUMBER 2 WEARING  
[000:05:29;22] THE WHITE BASEBALL CAP  
[000:05:31;07] BACKWARDS.  
[000:05:31;22] HE WAS DESCRIBING THAT  
[000:05:32;13] PHOTO IT TO ME ON TUESDAY  
[000:05:36;05] MORNING THAT HAVE BEEN SIR  
[000:05:37;22] CIRCUITING AMONG THE  
[000:05:40;16] TBILISI THEY HAVE KNOWN  
[000:05:42;07] THIS GUY FOR THE PAST  
[000:05:43;00] COUPLE OF DAYS.  
[000:05:43;27] HE REMINDED ME THIS SUSPECT  
[000:05:45;21] PLACED A BACK NEXT TO  
[000:05:47;18] 8-YEAR-OLD MARTIN RICHARD.  
[000:05:48;17] HE WAS STANDING, THE LITTLE  
[000:05:49;25] BOY WAS ON THAT LITTLE  
[000:05:51;06] BARRICADE NEXT TO HIS  
[000:05:52;03] LITTLE SISTER WHOSE LEG WAS  
[000:05:53;24] BLOWN OFF AND HIS MOTHER  
[000:05:55;00] WHO HAD SURGERY ON HER  
[000:05:56;29] BRAIN.  
[000:05:57;12] THIS GUY, BELIEVED TO BE  
[000:05:58;13] SUSPECT NUMBER 2 SOMEONE  
[000:05:59;26] THE FBI BELIEVES IT MIGHT  
[000:06:00;29] BE THIS PERSON PLACED THAT  
[000:06:05;09] BACK BACK TOWN NEXT TO THAT  
[000:06:08;15] LITTLE BOY WAITING TO SEE  
[000:06:09;24] HIS FATHER CROSS THE FINISH  
[000:06:12;24] LINE.  
[000:06:13;07] BOY LOST HIS LIFE AND  
[000:06:14;07] SISTER LOST HER LEG AND  
[000:06:16;07] MOTHER HAS DAMAGE TO HER  
[000:06:18;05] BRAIN.  
[000:06:18;18] WHAT THIS GUY DID THREE  
[000:06:20;17] LIVES LOST AND HORRIFIC  
[000:06:22;12] INJURIES BILL.  
[000:06:23;17] >> Bill: WE REMEMBER ALL OF  
[000:06:24;13] THOSE VICTIMS HERE TONIGHT  
[000:06:25;06] IN BOSTON.  
[000:06:25;26] STABBED BY THERE ACROSS  
[000:06:27;03] TOWN.  
[000:06:27;16] OUR TEAM FOX COVERAGE  
[000:06:28;22] CONTINUES WITH CATHERINE  
[000:06:30;00] HERRIDGE.  
[000:06:30;15] SHE IS LIVE IN WASHINGTON  
[000:06:34;16] NOW.  
[000:06:34;28] WHAT ARE THEY SAYING DOWN  
[000:06:35;21] THERE TONIGHT.  
[000:06:36;14] >> WITH THE FBI CALLING FOR  
[000:06:37;20] THE PUBLIC'S HELPY THE U.S.  
[000:06:41;17] TELLING CONGRESS THE  
[000:06:42;07] INVESTIGATION IS WIDE OPEN.  
[000:06:46;18] WE DON'T KNOW WHETHER THE  
[000:06:49;26] PLAN WAS FOREIGN OR  
[000:06:51;07] DOMESTIC OR INDIVIDUAL ACT.  
[000:06:52;27] LONE WOLVES, DOMESTIC  
[000:06:55;09] EXTREMISTS AND I JIHAD  
[000:07:00;26] INSPIRED GROUPS.  
[000:07:01;25] >> THE FBI'S CRIME LAB IN  
[000:07:03;26] QUANTICO, VIRGINIA ONGOING.  
[000:07:05;00] NOW AT LEAST FUR TRACKS IN  
[000:07:07;05] THIS INVESTIGATION THAT WE  
[000:07:07;28] KNOW OF, THE BOMB  
[000:07:09;08] COMPONENTS, THE VIDEOS, THE  
[000:07:10;13] STILLS AND THEN ALSO SOCIAL  
[000:07:12;04] MEDIA, BILL.  
[000:07:16;28] >> Bill: WHAT MORE DO WE  
[000:07:17;20] KNOW ABOUT THAT SOCIAL  
[000:07:19;01] MEDIA HAVE YOU BEEN TALKING  
[000:07:19;25] ABOUT THE 24 HOURS BEFORE  
[000:07:20;19] THE BOMBS WENT OFF AND THE  
[000:07:22;04] 24 HOURS THAT FOLLOWED.  
[000:07:23;15] WHAT HAPPENED AND WHAT WAS  
[000:07:24;13] GATHERED DURING THAT  
[000:07:26;07] 48-HOUR PERIOD?  
[000:07:30;12] >> AN INVESTIGATIVE SOURCE  
[000:07:31;23] STEM CELLS FOX NEWS THERE  
[000:07:33;02] IS FOOTPRINT PROVIDING NEW  
[000:07:34;15] LEADS FOR INVESTIGATORS.  
[000:07:35;13] MORE THAN 30,000 SOCIAL  
[000:07:36;27] MEDIA MESSAGES WERE  
[000:07:38;14] COLLECTED WITHIN A ONE MILE  
[000:07:40;03] RADIUS OF THE FINISH LINE  
[000:07:41;19] FROM 24 HOURS BEFORE TO 24  
[000:07:43;00] HOURS AFTER THE EXPLOSIONS  
[000:07:45;16] MESSAGES THAT SEEMED OUT OF  
[000:07:47;15] PLACE WERE CODED INCLUDING  
[000:07:49;00] TWEETS ABOUT TWO BOSTON  
[000:07:50;19] HOTELS WERE ANNUALIZED  
[000:07:55;20] FURTHER.  
[000:07:56;04] >> IN UNCONVENTIONAL  
[000:07:57;22] WARFARE WHAT YOU ARE  
[000:07:58;12] STARTING TO SEE MORE AND  
[000:07:59;04] MORE OF IS THE USE OF  
[000:08:00;07] SOCIAL MEDIA TO  
[000:08:01;25] COMMUNICATE.  
[000:08:02;11] TO SPREAD MESSAGES INSTEAD  
[000:08:06;27] OF USING WHAT WE WOULD  
[000:08:08;16] TYPICALLY SEE ON THE  
[000:08:09;17] BATTLEFIELD WHICH IS RADIO  
[000:08:10;19] COMMUNICATION.  
[000:08:11;06] >> ONE OF THE ISSUES THAT  
[000:08:12;06] WE HEARD REPEATEDLY HERE ION ON CAPITOL
[000:08:13;05] HILL  
[000:08:13;24] WAS WHETHER THIS COULD BE A  
[000:08:15;08] LONE WOLF, WHAT'S CLEAR  
[000:08:16;12] FROM THE RELEASE OF THE   TONIGHT
[000:08:17;06] IS THAT IT  
[000:08:18;00] WAS A CONSPIRACY OF AT LEAST TWO PEOPLE
[000:08:19;14] BILL.  
[000:08:23;06] >> Bill: YEAH, CATHERINE  
[000:08:23;29] STAND BY AS WELL.  
[000:08:24;28] BECAUSE THERE IS MORE TO  
[000:08:25;21] TALK ABOUT TOO ON THE  
[000:08:26;27] FORENSIC SIDE OF THIS AND  
[000:08:30;01] ALSO WHERE THIS  
[000:08:30;27] INVESTIGATION GOES.  
[000:08:31;17] RICK, I WANT TO MENTION  
[000:08:32;09] THIS TO YOU.  
[000:08:33;06] MASSACHUSETTS STATE POLICE  
[000:08:33;29] A SHORT TIME AGO TWEETED  
[000:08:34;25] THE FOLLOWING.  
[000:08:35;16] AND THEY TALKED ABOUT  
[000:08:36;20] SUSPECT NUMBER 2 THAT YOU  
[000:08:39;08] WERE JUST TALKING ABOUT.  
[000:08:40;10] SUSPECT NUMBER 2  
[000:08:41;22] HIGHLIGHTED AND PROFILED  
[000:08:43;09] THE TWEET READS NOTE  
[000:08:46;15] PRONOUNCED JAW NOSE, DARK  
[000:08:47;22] HAIR AND THEN 1-800-CALL  
[000:08:50;07] FBI WITH INFO.  
[000:08:54;23] THE POINT TO BE MADE HERE,  
[000:08:56;03] RICK, IS THAT THEY CANNOT  
[000:08:57;14] SOLVE THIS CASE WITHOUT  
[000:08:58;10] HELP FROM THE PUBLIC NOW  
[000:08:59;09] CAN THEY?  
[000:09:01;11] >> BY THE FACT THAT THEY  
[000:09:02;14] RELEASED THESE IMAGES AND  
[000:09:04;02] ARE ASKING FOR HELP.  
[000:09:05;13] OBVIOUSLY ANYONE WHO MAY  
[000:09:06;29] RECOGNIZE THEM SHOULD CALL  
[000:09:07;22] THE FBI.  
[000:09:08;06] THEY ARE GOING TO BE  
[000:09:09;04] GETTING A LOT OF FALSE  
[000:09:10;07] LEADS, BILL.  
[000:09:11;02] THEY HAVE HAD TO DEAL WITH  
[000:09:12;01] THOSE OVER THE LAST FEW  
[000:09:13;20] DAYS.  
[000:09:14;03] THAT'S COMMON IN ANY  
[000:09:15;09] INVESTIGATION.  
[000:09:15;26] ESPECIALLY ONE THAT'S THIS  
[000:09:17;02] HIGH PROFILE.  
[000:09:18;17] BUT, YOU CAN SEE THESE  
[000:09:20;10] MEN'S FACES.  
[000:09:21;15] CAN YOU GET A PRETTY GOOD  
[000:09:22;08] LOOK AT THEM.  
[000:09:22;27] IF THEY SPENT ANY TIME IN  
[000:09:24;02] THE BOSTON AREA, OR ANY  
[000:09:25;28] TIME IN THE UNITED STATES,  
[000:09:30;09] THEN SOMEONE INTERACTED  
[000:09:31;06] WITH THEM.  
[000:09:32;00] ANY NUMBER OF PEOPLE MIGHT  
[000:09:33;05] RECOGNIZE THEM OR THINK  
[000:09:34;04] THEY KNOW THEM AND THAT'S  
[000:09:35;11] HOT FBI IS HOPING TO TALK  
[000:09:37;03] TO.  
[000:09:37;15] >> Bill: YEAH WITH  
[000:09:38;04] CATHERINE WORKING THE  
[000:09:38;25] STORY, TOO THROUGH HER  
[000:09:40;01] SOURCES IN WASHINGTON.  
[000:09:41;10] CATHERINE, IN SOME OF THESE  
[000:09:42;16] IMAGES, IT'S CLEAR THAT AT  
[000:09:44;13] LEAST SUSPECT NUMBER 2 IS  
[000:09:45;19] TALKING ON A PHONE.  
[000:09:46;16] ONE OF THE IMAGES IT LOOKS  
[000:09:48;01] LIKE SUSPECT NUMBER 1 IS  
[000:09:50;06] EAR PHONES IN HIS EARS AS  
[000:09:51;17] HE WALKS DOWN THAT  
[000:09:52;22] SIDEWALK.  
[000:09:53;07] BUT SPECIFICALLY ON THE  
[000:09:54;07] CELL PHONE EVIDENCE, IS IT  
[000:09:58;18] TRUE THEY CAN PIN POINT  
[000:09:59;21] EVERY CALL OF EVERY MOMENT  
[000:10:00;23] AT THAT HOUR OF THE DAY  
[000:10:02;04] FROM 2:00 TO 3:00 ON MONDAY  
[000:10:03;21] AFTERNOON AND IF THEY CAN  
[000:10:04;26] CAN THEY TRACE IT?  
[000:10:09;04] >>  
[000:10:09;15] >> WHAT WE REPORTED EARLIER  
[000:10:10;17] HERE AT FOX IS THAT THE FBI  
[000:10:11;27] WAS SCRUBBING OR SCANNING  
[000:10:13;07] THE CELL PHONE TOWER  
[000:10:14;11] RECORDS LOOKING FOR  
[000:10:15;26] POSITIVE HITS AT THE POINT  
[000:10:18;00] OF DETONATION.  
[000:10:19;01] IN OTHER WORDS WERE THERE  
[000:10:21;11] PHONE CALLS GOING THROUGH  
[000:10:22;14] CELL PHONE TOWERS AT THE  
[000:10:23;18] VERY MOMENTS THAT THEY KNOW  
[000:10:24;15] THE BOMBS WERE BEING  
[000:10:26;18] DETONATED, THEY CAN USE  
[000:10:27;12] THAT INFORMATION TO TRACE  
[000:10:28;05] IT BACK TO A PHONE NUMBER.  
[000:10:29;25] BUT ANY TERRORIST BECAUSE  
[000:10:30;25] THAT'S WHAT THESE TWO  
[000:10:31;23] PEOPLE ARE WORTH THEIR  
[000:10:34;14] SAWLTD SALT, IF THEY ARE  
[000:10:35;29] USING CELL PHONES FOR  
[000:10:38;11] DETONATION WOULD BE USING  
[000:10:40;10] DISPOSABLE CELL PHONES THAT  
[000:10:41;04] THEY PURCHASED AT  
[000:10:42;06] CONVENIENCE STORE.  
[000:10:42;25] EVEN FINDING THAT NUMBER IF  
[000:10:43;26] THAT WAS THE METHOD OF  
[000:10:45;12] DETONATION IS NOT  
[000:10:46;12] NECESSARILY GOING TO LEAD  
[000:10:47;05] BACK TO AN INDIVIDUAL IN  
[000:10:47;27] THIS CASE UNLESS YOU HAVE A  
[000:10:48;26] SUPER ALERT CONVENIENCE  
[000:10:50;21] STORE CLERK WHO MAY  
[000:10:51;21] REMEMBER THESE GUYS.  
[000:10:54;08] >> YEAH.  
[000:10:55;05] AND THE INVESTIGATION AS IT  
[000:10:56;16] MOVES FORWARD, YOU WONDER,  
[000:10:58;06] CATHERINE, WHY THE FBI WAS  
[000:11:00;10] QUIET FOR TWO DAYS.  
[000:11:02;13] IS THERE A REASONABLE  
[000:11:04;04] EXPLANATION OR WHAT ARE WE  
[000:11:05;05] HEARING ABOUT WHAT EXPLAINS  
[000:11:06;15] THAT OVER THE PAST 48  
[000:11:09;13] HOURS?  
[000:11:09;27] >> THEY HAVEN'T OFFERED AN  
[000:11:11;17] EXPLANATION.  
[000:11:12;03] BUT I THINK RICK WOULD  
[000:11:12;28] AGREE WITH ME THAT OUR  
[000:11:14;01] EXPERIENCE WOULD TELL YOU  
[000:11:14;24] THAT THINGS WERE MOVING AT  
[000:11:16;10] A VERY FAST PACE AND IT WAS  
[000:11:18;14] EXTREMELY FLUID.  
[000:11:19;02] THE DECISION TO RELEASE THE  
[000:11:21;02] PICTURES HAS BENEFITS.  
[000:11:22;24] IF THE SUBJECTS ARE  
[000:11:23;29] IDENTIFIED, BUT THEY ARE  
[000:11:24;25] ALSO RISKS BECAUSE IT TIPS  
[000:11:26;24] THE FBI'S HAT TO THESE  
[000:11:28;14] INDIVIDUALS AND IT MAKE  
[000:11:31;07] CAUSE SOME TO FLEE.  
[000:11:32;18] BUT IF WE WANT TO SORT OF  
[000:11:34;07] LOOK AT WHAT I THINK IS THE  
[000:11:35;15] LEADING EDGE OF THIS STORY  
[000:11:36;19] NOW IS THAT THERE ARE TWO  
[000:11:38;22] INDIVIDUALS, BUT THEY HAD  
[000:11:39;15] TO HAVE SOME KIND OF HELP.  
[000:11:41;18] IT WOULD BE CALLED A  
[000:11:42;21] SUPPORT NETWORK FOR THEIR  
[000:11:44;24] OPERATIONS IN BOSTON.  
[000:11:46;14] WERE THESE PEOPLE PART OF  
[000:11:48;09] THE CONSPIRACY OR WAS --  
[000:11:49;27] WERE THEY SORT OF  
[000:11:53;02] UNWITTINGLY HELPING THESE  
[000:11:54;03] INDIVIDUALS, BILL?  
[000:11:55;10] >> Bill: TO THAT POINT  
[000:11:56;08] CATHERINE, THE FBI AGENT IN  
[000:11:57;16] CHARGE, AND I WILL BRING  
[000:11:58;25] RICK IN FOR A COMMENT ON  
[000:11:59;23] THIS AS WELL.  
[000:12:00;25] BE  
[000:12:01;29] DIFFICULT BUT PLEASE COME  
[000:12:02;29] FORWARD.  
[000:12:03;13] ESSENTIALLY, RICK, THAT WAS  
[000:12:04;13] AN APPEAL TO FAMILY OR  
[000:12:05;18] FRIENDS THAT YOU MAY KNOW  
[000:12:06;26] THESE INDIVIDUALS BUT WE  
[000:12:07;20] NEED TO KNOW WHO THEY'RE  
[000:12:09;02] AND DON'T HOLD BACK.  
[000:12:11;24] >> AND PEOPLE NEED TO BE  
[000:12:13;08] REMINDED OF THE HORRORS OF  
[000:12:14;15] THAT DAY AND THE PAIN AND  
[000:12:17;27] ANGUISH AND AWFUL INJURIES  
[000:12:18;24] THAT THESE TWO SUSPECTS  
[000:12:20;25] ALLEGEDLY INFLICTED.  
[000:12:21;15] I MEAN SOMEBODY PUT THESE  
[000:12:22;21] BOMBS DOWN THERE AND THE  
[000:12:23;21] FBI SEEMS PRETTY SURE THAT  
[000:12:25;12] IT'S THESE TWO GUYS.  
[000:12:26;25] BILL, ONE OTHER THING, A  
[000:12:27;26] LOT OF-LY TO HAS BEEN A LOT  
[000:12:29;06] OF CRITICISM ABOUT ALL OF  
[000:12:30;09] THESE SURVEILLANCE CAMERAS  
[000:12:31;15] POSTED AROUND ALL OF THESE  
[000:12:32;17] BIG CITIES IN AMERICA.  
[000:12:33;26] IF THOSE CAMERAS WEREN'T  
[000:12:36;01] THERE THEY WOULDN'T HAVE  
[000:12:36;26] THE IMAGES OF THESE TWO  
[000:12:38;04] GUYS AND IT WOULD BE A LOT  
[000:12:39;19] HARDER TO TRACK THEM DOWN.  
[000:12:40;26] >> RICK, THANK YOU FOR  
[000:12:42;08] THAT.  
[000:12:42;21] RICK LEVENTHAL.  
[000:12:44;01] CATHERINE HERRIDGE WITH ME  
[000:12:44;24] TONIGHT.  
[000:12:45;08] BACK TO BOTH OF THEM WHEN  
[000:12:46;01] WE GET MORE NEWS THAT  
[000:12:47;08] BREAKS THROUGHOUT THE HOUR  
