[000:00:01;668] ARTICLES ABOUT MOMS.
[000:02:01;621] >> Shepard: HISTORIANS ARE
[000:02:06;126] COMPARING THE TWEET WITH
[000:02:11;564] PRESIDENT NIXON THAT RECORDED
[000:02:14;067] PEOPLE IN THE WHITE HOUSE.
[000:02:15;168] NOW THE TOP DEMOCRAT ON THE
[000:02:17;103] HOUSE INTELLIGENCE COMMITTEE IS
[000:02:18;438] RESPONDING TO THE PRESIDENT'S
[000:02:19;539] TWEET.
[000:02:19;839] THE COMMITTEE IS CONDUCTING ITS
[000:02:22;208] OWN INVESTIGATION TO RUSSIAN
[000:02:23;843] MEDDLING AND POTENTIAL COLLUSION
[000:02:25;979] WITH THE TRUMP CAMPAIGN.
[000:02:27;814] ADAM SCHIFF SAID IF THE
[000:02:29;282] PRESIDENT HAS TAPES OF HIS
[000:02:31;184] CONVERSATIONS OF DIRECTOR COMEY,
[000:02:32;819] IT'S BECAUSE THE PRESIDENT
[000:02:33;686] HIMSELF MADE THEM.
[000:02:35;321] FOR A PRESIDENT THAT BASE LESSLY
[000:02:40;293] ACCUSES OF WIRE TAPING, THAT
[000:02:41;928] MR. TRUMP WOULD HAVE ENGAGED IN
[000:02:43;463] SUCH CONDUCT IS STAGGERING.
[000:02:45;231] THE PRESIDENT SHOULD PROVIDE ANY
[000:02:46;933] SUCH RECORDINGS TO CONGRESS OR
[000:02:49;068] ADMIT, ONCE AGAIN, TO HAVE MADE
[000:02:52;605] A THREATENING STATEMENT.
[000:02:53;907] THE CONGRESSMAN IS REFERRING TO
[000:02:56;543] PRESIDENT TRUMP'S UNFOUNDED
[000:02:58;444] CLAIM THAT PRESIDENT OBAMA HAD
[000:02:59;579] TRUMP TOWER WIRETAPPED.
[000:03:03;483] BACK IN MARCH, DIRECTOR COMEY
[000:03:04;918] SAID THERE WAS NO EVIDENCE TO
[000:03:05;985] BACK UP THAT CLAIM.
[000:03:07;520] ASIDE FROM A LETTER, WE HAVEN'T
[000:03:11;724] HEARD FROM JAMES COMEY SINCE THE
[000:03:16;229] PRESIDENT AXED HIM.
[000:03:20;533] ABC NEWS NOW CITES SOURCES THAT
[000:03:22;669] SAY THAT COMEY WAS FURIOUS AT
[000:03:24;704] THE LACK OF RESPECT THE WHITE
[000:03:26;606] HOUSE SHOWED HIM.
[000:03:27;707] REMEMBER, HE WAS IN LOS ANGELES
[000:03:29;609] GIVING A SPEECH TO BUREAU
[000:03:31;177] EMPLOYEES WHEN NEWS OF HIS
[000:03:32;612] FIRING FLASHING ON TV SCREENS.
[000:03:34;280] THAT'S HOW HE LEARNED OF IT.
[000:03:36;115] PRESIDENT TRUMP AND WHITE HOUSE
[000:03:38;985] OFFICIALS CLAIM THE FBI RANK AND
[000:03:40;720] FILE LOST CONFIDENCE IN DIRECTOR
[000:03:42;555] COMEY AS PART OF THE REASONING
[000:03:43;723] FOR THE FIRING.
[000:03:44;791] BUT IN A CONTRADICTION, THE
[000:03:46;960] PRESIDENT SAID THAT WAS NOT
[000:03:48;528] TRUE.
[000:03:48;828] THEN THERE'S THIS FROM THE
[000:03:50;663] FORMER JUSTICE DEPARTMENT
[000:03:51;331] OFFICIAL MATTHEW MILLER.
[000:03:52;599] HE TWEETED, ONE THING I LEARNED
[000:03:55;101] AT DOJ, HE LEAVES A PROTECTIVE
[000:03:58;238] PAPER TRAIL WHEN HE DEEMS
[000:03:59;305] SOMETHING INAPPROPRIATE
[000:04:00;873] HAPPENED.
[000:04:01;241] STAY TUNED.
[000:04:02;642] OUR CHIEF WHITE HOUSE
[000:04:05;445] CORRESPONDENT JOHN ROBERTS ON
[000:04:06;212] THE NORTH LAWN.
[000:04:07;146] WHAT ELSE IS THE PRESIDENT
[000:04:08;448] SAYING?
[000:04:08;781] >> NOT A WHOLE LOT, SHEP.
[000:04:10;483] THIS MORNING AFTER THE PRESIDENT
[000:04:12;652] SAID AT THAT TWEET AT THE UPPER
[000:04:15;421] PRESS OFFICE WHEN I TALKED TO
[000:04:18;524] SEAN SPICER AND SARAH HUCKABEE
[000:04:21;361] SANDERS AND I ASKED THEM ABOUT
[000:04:23;429] THIS, WHEN THE PRESIDENT TALKS
[000:04:24;797] TO SOMEBODY AS HE DID ON THE
[000:04:26;466] TELEPHONE WITH THE FBI DIRECTOR,
[000:04:28;268] ARE THE CALLS LOGGED OR ARE
[000:04:30;169] THERE TRANSCRIPTS MADE OF THEM?
[000:04:32;005] THEY SAID THEY WOULDN'T GO INTO
[000:04:33;506] MORE LEVEL OF DETAIL THAN THAT.
[000:04:35;174] OF COURSE, THEY REITERATED THAT.
[000:04:36;943] IT'S IMPORTANT TO POINT OUT THAT
[000:04:38;177] THE DIRECT OF COLUMBIA IS A
[000:04:42;181] ONE-PARTY CONSENT RECORDING
[000:04:45;351] DISTRICT.
[000:04:45;918] IT'S NOT A STATE.
[000:04:47;787] ONLY ONE PARTY CONSENTING BEFORE
[000:04:49;722] YOU CAN RECORD SOMEBODY.
[000:04:50;857] THE ONLY OTHER CASE WHERE
[000:04:52;125] SOMEBODY WAS RECORDED HERE AT
[000:04:53;493] THE WHITE HOUSE, THERE WAS A
[000:04:54;927] HEATED CONVERSATION BETWEEN A
[000:04:56;696] WHITE HOUSE STAFFER AND A
[000:04:58;698] REPORTER.
[000:04:59;098] SOMEBODY FROM THE WHITE HOUSE
[000:05:00;099] PRESS OFFICE RECORDED THAT.
[000:05:01;200] I ACTUALLY LISTENED TO THAT
[000:05:03;202] CONVERSATION.
[000:05:03;636] BUT SHEP, NOTHING TO INDICATE AT
[000:05:05;805] THIS POINT THAT THE PRESIDENT
[000:05:07;240] HAS ANY KIND OF NIXONIAN TAPING
[000:05:09;442] SYSTEM IN THE OVAL OFFICE OR ANY
[000:05:11;678] TRANSCRIPTS OR RECORDINGS MADE
[000:05:13;146] OF THE TELEPHONE CONVERSATIONS
[000:05:14;580] THAT HE HAD WITH THE FORMER FBI
[000:05:17;216] DIRECTOR.
[000:05:17;583] >> Shepard: JOHN, THERE'S
[000:05:18;685] REPORTS THAT PRESIDENT TRUMP
[000:05:19;786] MONTHS AGO ASKED DIRECTOR COMEY
[000:05:22;188] TO PLEDGE HIS LOYALTY.
[000:05:23;956] THERE WERE REPORTS IN "THE NEW
[000:05:25;191] YORK TIMES" HE MAY HAVE DONE
[000:05:25;958] SEEN AT A DINNER.
[000:05:27;393] WHAT IS THE WHITE HOUSE SAYING
[000:05:30;029] ON THIS?
[000:05:30;530] >> THAT'S WHAT THE TWEET WAS
[000:05:32;231] ABOUT IN TERMS OF LEAKING.
[000:05:33;666] THERE'S A STORY IN "THE NEW YORK
[000:05:35;768] TIMES" THAT QUOTES A SOURCE
[000:05:38;671] CLOSE TO COMEY SAYING HE ASKED
[000:05:41;307] FOR A LOYALTY PLEDGE.
[000:05:43;176] HERE'S HOW SEAN SPICER HANDLED
[000:05:46;145] THAT QUESTION.
[000:05:46;979] >> DID THE PRESIDENT IMPLORE HIM
[000:05:49;349] TO PLEDGE HIS LOYALTY?
[000:05:50;750] IS THAT TRUE?
[000:05:51;718] >> NO.
[000:05:52;251] >> FOR IMPORTANT IS IT THAT THE
[000:05:53;619] FBI DIRECTOR BE LOYAL TO THE
[000:05:55;521] PRESIDENT?
[000:05:55;922] IS THAT A QUALITY THE PRESIDENT
[000:05:57;890] WANTS TO SEE IN ANY ONE,
[000:05:59;625] PARTICULARLY THE FBI DIRECTOR?
[000:06:01;294] >> THE PRESIDENT WANTS LOYALTY
[000:06:02;829] TO THE COUNTRY AND RULE OF LAW.
[000:06:04;697] >> SO I DID KNOW SOMEBODY, SHEP,
[000:06:06;232] THAT WAS THE HEAD OF AN AGENCY
[000:06:07;667] THAT WAS A HOLDOVER FROM THE
[000:06:11;504] OBAMA ADMINISTRATION WHO WHEN
[000:06:13;039] THE PRESIDENT TOOK OVER WAS
[000:06:14;207] ASKED QUESTIONS ABOUT LOYALTY.
[000:06:15;908] HIS ANSWER WAS I'M LOYALTY TO
[000:06:17;744] THE UNITED STATES OF AMERICA,
[000:06:18;711] NOT TO ANY ONE POLITICIAN IN
[000:06:21;547] PARTICULAR.
[000:06:21;948] SHEP?
[000:06:22;348] >> Shepard: JOHN, ANOTHER
[000:06:23;282] STUNNING MOVE THIS MORNING.
[000:06:25;051] THE PRESIDENT ALSO SUGGESTED HE
[000:06:26;352] MIGHT DO AWAY WITH THE DAILY
[000:06:29;122] PRESS BRIEFING AFTER HE
[000:06:31;190] CONTRADICTED HIS OWN
[000:06:31;791] ADMINISTRATION OVER WHY AND WHEN
[000:06:32;925] HE DECIDED TO FIRE JAMES COMEY.
[000:06:35;762] THE PRESIDENT TWEETED AS A VERY
[000:06:37;630] ACTIVE PRESIDENT WITH LOTS OF
[000:06:38;965] THINGS HAPPENING, IT'S NOT
[000:06:41;267] POSSIBLE FOR MY SURROGATES TO
[000:06:43;236] STAND AT THE PODIUM WITH PERFECT
[000:06:45;538] ACCURACY.
[000:06:45;905] MAYBE THE BEST THING TO DO IS
[000:06:48;408] CANCEL ALL PRESS BRIEFINGS HAND
[000:06:49;742] OUT WRITTEN RESPONSES FOR THE
[000:06:51;377] SAKE OF ACCURACY.
[000:06:52;979] AGAIN, THE PRESIDENT SAYS IT'S
[000:06:54;447] IMPOSSIBLE FOR HIS OWN
[000:06:55;615] COMMUNICATIONS TEAM TO BE ON THE
[000:06:56;716] SAME PAGE THAT HE'S ON ALL THE
[000:06:58;351] TIME.
[000:06:58;651] THE WHITE HOUSE INITIALLY SAID
[000:07:00;319] THAT THE PRESIDENT ACTED ON
[000:07:02;789] RECOMMENDATIONS FROM HIS
[000:07:03;456] ATTORNEY GENERAL BEFORE HE FIRED
[000:07:05;558] COMEY.
[000:07:05;858] YESTERDAY THE PRESIDENT TOLD NBC
[000:07:07;593] NEWS HE WAS GOING TO FIRE COMEY
[000:07:09;729] ANYWAY.
[000:07:10;062] BACK TO JOHN ROBERTS AT THE
[000:07:12;031] WHITE HOUSE.
[000:07:13;099] DID THE PRESIDENT JUST DOUBLE
[000:07:14;300] DOWN ON THIS WITH AN INTERVIEW
[000:07:16;102] WITH ONE OF OUR FOLK?
[000:07:17;904] >> SPECIFICALLY TO THAT POINT,
[000:07:20;106] HE SAID HE'S MOVING SO FAST HIS
[000:07:21;908] PRESS OFFICE CANNOT KEEP UP WITH
[000:07:24;177] HIM.
[000:07:24;544] WATCH THIS EXCHANGE BETWEEN
[000:07:25;978] JUDGE JANINE AND THE PRESIDENT.
[000:07:27;313] >> ARE YOU MOVING SO QUICKLY
[000:07:29;348] THAT YOUR COMMUNICATIONS KEPT
[000:07:30;950] CANNOT KEEP UP WITH YOU?
[000:07:32;051] >> YES, THAT'S TRUE.
[000:07:33;352] >> SO WHAT DO WE DO ABOUT THAT?
[000:07:35;087] >> WE DON'T HAVE PRESS
[000:07:36;689] CONFERENCES AND WE DO --
[000:07:39;292] >> YOU DON'T MEAN THAT.
[000:07:40;793] >> DON'T HAVE THEM UNLESS I HAVE
[000:07:42;528] THEM EVERY TWO WEEKS AND I DO
[000:07:44;330] THEM MYSELF.
[000:07:44;897] WE DON'T HAVE THEM.
[000:07:46;098] I THINK IT'S A GOOD IDEA.
[000:07:47;433] FIRST OF ALL, YOU HAVE A LEVEL
[000:07:49;101] OF HOSTILITY THAT IS INCREDIBLE.
[000:07:52;138] SARAH HUCKABEE IS A LOVELY YOUNG
[000:07:54;674] WOMAN.
[000:07:55;908] YOU KNOW SEAN SPICER.
[000:07:58;845] HE'S A NICE MAN.
[000:08:00;213] >> IS HE'S YOUR PRESS SECRETARY
[000:08:02;748] TODAY AND TOMORROW?
[000:08:03;483] >> HE'S DOING A GOOD JOB BUT HE
[000:08:05;451] GETS BEAT UP.
[000:08:06;219] >> WILL HE BE THERE TOMORROW?
[000:08:08;955] >> HE'S BEEN THERE FROM THE
[000:08:11;023] BEGINNING.
[000:08:11;390] >> THE PRESIDENT KNEW WHAT THE
[000:08:12;792] REASONS WERE FOR COMEY'S FIRING.
[000:08:15;127] THEY WERE NOT ARTICULATED OR
[000:08:16;729] THEY'RE COMING UP WITH AN
[000:08:18;564] ALTERNATE CASE FOR WHY HE WAS
[000:08:20;366] FIRED.
[000:08:20;666] THE REAL REASON WASN'T
[000:08:21;968] ARTICULATED TO THE VICE
[000:08:22;568] PRESIDENT.
[000:08:22;935] WEDNESDAY MORNING HE WENT OUT
[000:08:24;303] THERE AND GAVE AN INCOMPLETE
[000:08:25;571] ANSWER AS WELL.
[000:08:26;839] SO SEE WHERE IN GOES.
[000:08:29;408] >> Shepard: JOHN, THANK YOU.
[000:08:30;810] THE PRESIDENT'S LAWYERS SAY A
[000:08:32;512] REVIEW OF HIS LAST DECADE OF TAX
[000:08:34;647] RETURNS DOES NOT REFLECT ANY
[000:08:37;183] INCOME OF ANY TYPE FROM RUSSIAN
[000:08:39;085] SOURCES FOR ANY DEBT OWED TO
[000:08:41;387] RUSSIAN LENDERS.
[000:08:42;788] BUT THE LAWYERS CLAIM THERE'S
[000:08:44;190] SOME EXCEPTIONS.
[000:08:45;091] FOR INSTANCE, A PROPERTY SOLD TO
[000:08:47;059] A RUSSIAN BILLIONAIRE FOR $95
[000:08:49;629] MILLION IN 2008.
[000:08:50;696] PRESIDENT TRUMP HAS NOT RELEASED
[000:08:52;298] THE TAX RETURNS SO FOX NEWS
[000:08:53;666] CANNOT CONFIRM ANY OF THIS.
[000:08:55;468] MEANTIME, THE LAW FIRM WHICH
[000:08:56;202] WROTE THE LETTER FOR THE
[000:08:58;471] PRESIDENT HAS EXTENSIVE TIES TO
[000:09:00;506] RUSSIA AND ACCORDING TO A PRESS
[000:09:02;308] RELEASE ON HIS OWN WEB SITE, THE
[000:09:05;645] LAWSUIT WON A RUSSIAN LAW FIRM
[000:09:06;846] OF THE YEAR AWARD IN 2016.
[000:09:09;916] THE FOX BUSINESS NETWORK'S GERRI
[000:09:12;084] WILLIS IS HERE.
[000:09:12;618] THAT'S ALMOST FUNNY.
[000:09:13;719] >> IT'S ALMOST FUNNY.
[000:09:14;787] >> IT IS FUNNY.
[000:09:15;988] >> THE FIRM IS MORGAN LEWIS.
[000:09:17;757] I HAVE A COPY OF THE LETTER
[000:09:19;659] HERE.
[000:09:19;959] YOU CAN SEE THE LETTER THEY
[000:09:21;227] WROTE ON BEHALF OF THEIR CLIENT.
[000:09:23;496] LET'S BE CLEAR.
[000:09:24;797] TRUMP IS THE CLIENT OF THIS
[000:09:27;199] ORGANIZATION.
[000:09:27;633] THEY REPORT TO HIM.
[000:09:28;301] HE'S PAYING THE 48 -- FREIGHT
[000:09:35;641] HERE.
[000:09:35;975] I HAVE TO TELL YOU, IF YOU READ
[000:09:37;910] BETWEEN THE LINES HERE,
[000:09:39;612] UNDERSTAND THAT MAJOR COMPANIES
[000:09:41;180] IN RUSSIA USE SUBSIDIARIES IN
[000:09:43;649] OTHER PLACES LIKE CYPRESS, LIKE
[000:09:46;152] THE BRITISH VIRGIN ISLANDS.
[000:09:47;720] AT THE END OF THE DAY, MAYBE
[000:09:49;388] THERE'S SOMETHING ELSE THAT
[000:09:50;323] WE'RE NOT SEEING.
[000:09:51;357] >> Shepard: WHY DID THIS LETTER
[000:09:53;025] COME ABOUT?
[000:09:53;492] DID SOMEONE ASK FOR THIS?
[000:09:56;028] >> SENATOR LINDSEY GRAHAM ASKED
[000:09:57;296] FOR THIS LETTER AS PART OF HIS
[000:09:59;832] INVESTIGATION.
[000:10:00;266] I TRIED TO REACH OUT TO HIS
[000:10:01;767] OFFICE TO FIND OUT WHAT THEY
[000:10:03;069] MAKE OF THIS LETTER, IF IT
[000:10:04;971] SATISFIES THEM.
[000:10:05;471] I WAS UNABLE TO DO SO.
[000:10:09;075] IN AN INVESTIGATION THIS MIGHT
[000:10:11;711] BE STEP NUMBER 1.
[000:10:12;511] YOU WANT TO SEE THE RESULTS, THE
[000:10:15;982] FILINGS TO ASCERTAIN WHAT'S
[000:10:17;750] GOING ON.
[000:10:18;618] >> Shepard: THE TAX RETURNS
[000:10:19;652] ANSWER THE QUESTION.
[000:10:20;219] >> IT WOULD HELP.
[000:10:20;753] WHAT DOES THE IRS DO FOR A LIST
[000:10:23;589] SOMETHING THEY MATCH W 2s WITH
[000:10:26;692] REPORTED INCOME.
[000:10:28;327] INTERNATIONAL FINANCE, IT'S
[000:10:29;328] ANOTHER THING.
[000:10:29;829] >> Shepard: THEY DO A GREAT JOB.
[000:10:31;897] NEVER SPEAK POORLY.
[000:10:32;798] >> WE LOVE THE IRS.
[000:10:34;767] >> Shepard: OBVIOUSLY.
[000:10:35;468] >> THEY'RE OUR FAVORITE PEOPLE.
[000:10:36;769] >> Shepard: THEY ARE.
[000:10:39;472] GO METS!
[000:10:40;439] GOOD TO SEE YOU.
[000:10:41;474] >> GOOD TO SEE YOU.
[000:10:44;310] >> Shepard: THANK YOU.
[000:10:45;544] MORE FROM CHRIS WALLACE COMING
[000:10:47;279] UP FROM THE FOX NEWS DECK ON
[000:10:49;515] THIS MERCIFULLY FRIDAY AGAINST.
[000:10:50;850] STAY WITH US.
[000:11:07;133] ♪
[000:11:09;535] To err is human.
[000:11:11;537] To anticipate is Lexus.
[000:11:15;174] Experience the Lexus RX
[000:11:15;174] with Advanced Safety standard.
[000:11:19;879] Experience amazing.
[000:12:23;576] the uncertainties of Hep C.
[000:12:26;178] Wondering, What if?
[000:12:28;514] I let go of all those feelings.
[000:12:32;685] Because I am cured with Harvoni.
[000:12:36;789] Harvoni is a revolutionary
[000:12:38;023] treatment for the most common
[000:12:39;024] type of chronic hepatitis C.
[000:12:40;993] It's been prescribed to more
[000:12:42;027] than a quarter million people.
[000:12:43;195] And is proven to cure up to
[000:12:44;396] 99% of patients who have had no
[000:12:46;031] prior treatment with 12 weeks.
[000:12:48;667] Certain patients can be cured
[000:12:49;835] with just 8 weeks of Harvoni.
[000:12:51;837] Before starting Harvoni,
[000:12:53;239] your doctor will test to see if
[000:12:54;507] you've ever had hepatitis B,
[000:12:56;008] which may flare up and cause
[000:12:57;042] serious liver problems during
[000:12:58;377] and after Harvoni treatment.
[000:12:59;678] Tell your doctor if you've
[000:13:00;880] ever had hepatitis B,
[000:13:02;214] a liver transplant,
[000:13:03;048] other liver or kidney problems,
[000:13:04;550] HIV or any other medical
[000:13:06;085] conditions and about all
[000:13:07;386] the medicines you take
[000:13:08;420] including herbal supplements.
[000:13:09;522] Taking amiodarone with Harvoni
[000:13:11;357] can cause a serious slowing
[000:13:12;525] of your heart rate.
[000:13:13;392] Common side effects of Harvoni
[000:13:14;693] include tiredness,
[000:13:15;694] headache and weakness.
[000:13:16;929] Ready to let go of Hep C?
[000:13:19;365] Ask your Hep C Specialist
[000:13:19;365] about Harvoni.
[000:13:26;572] >> Shepard: CONTINUING COVERAGE
[000:13:28;440] OF THE PRESIDENT'S SUGGESTION
[000:13:29;775] THAT CONVERSATIONSES  IN THE
[000:13:36;615] OVAL OFFICE MAY BE RECORDED.
[000:13:37;817] CHRIS WALLACE JOINS US WITH
[000:13:39;852] MORE.
[000:13:40;152] THIS WAS COMMON PRACTICE IN THE
[000:13:42;254] NIXON ADMINISTRATION?
[000:13:43;055] RECORDING CONVERSATIONS.
[000:13:44;290] >> WHEN I HEARD THAT EXCHANGE
[000:13:46;458] TODAY BETWEEN JEFF MASON, WHITE
[000:13:48;994] HOUSE REPORTER, AND SEAN SPICER
[000:13:50;996] SPEAKING FROM THE PODIUM IN THE
[000:13:52;698] BRIEFING ROOM FOR THE PRESIDENT
[000:13:55;601] OF THE UNITED STATES, IT TOOK MY
[000:13:57;236] BREATH AWAY.
[000:13:59;371] THAT'S WHAT IN WATERGATE THEY
[000:14:00;873] CALL A NONDENIAL DENIAL.
[000:14:03;042] HE WAS ASKED SPECIFICALLY, IS
[000:14:04;376] THERE A RECORDING DEVICE IN THE
[000:14:06;579] OVAL OFFICE OF THE PRESIDENT OF
[000:14:07;980] THE UNITED STATES.
[000:14:08;981] HE SAID I HAVE NOTHING FOR YOU
[000:14:10;282] ON THAT.
[000:14:10;816] HE COULD HAVE SAID NO.
[000:14:12;618] HE COULD HAVE SAID YES.
[000:14:13;586] HE SAID I HAVE NOTHING FOR YOU
[000:14:14;820] ON THAT.
[000:14:15;621] THAT IS A NONDENIAL DENIAL.
[000:14:18;057] IT MAY JUST BE THAT THE
[000:14:20;860] PRESIDENT IS TROLLING THE PRESS
[000:14:22;595] CORPS AND SAYING WORK YOURSELF
[000:14:23;996] INTO A FRENZY ABOUT THIS AND
[000:14:28;601] TURNS OUT IT NOTHING.
[000:14:29;768] WHY WOULD HE DO THAT?
[000:14:30;970] WHY WOULD HE WANT TO DECREASE
[000:14:32;638] THE CREDIBILITY WHICH IS ALREADY
[000:14:34;473] IN QUESTION OF THIS WHITE HOUSE
[000:14:36;275] AND COMMENTS MADE FROM THAT
[000:14:37;943] PODIUM?
[000:14:38;277] SEEMS TO ME THAT YOU'RE PLAYING
[000:14:40;613] A VERY DANGEROUS GAME WITH THE
[000:14:42;915] CURRENCY OF THE CREDIBILITY OF
[000:14:45;517] THE PRESIDENT OF THE UNITED
[000:14:46;452] STATES.
[000:14:46;785] >> Shepard: THIS FIRST CAME UP
[000:14:47;553] IN THE CONTEXT OF DISCUSSION
[000:14:51;023] REGARDING JAMES COMEY.
[000:14:54;793] >> THAT'S RIGHT.
[000:14:55;461] THIS IS THE TWEET THAT CAME FROM
[000:14:58;063] THE PRESIDENT THIS MORNING WHEN
[000:14:59;231] HE SAID, YOU KNOW, HE BETTER
[000:15:03;035] HOPE THERE'S NO TAPES IF HE WILL
[000:15:05;504] KEEP LEAKING, THIS GOES BACK TO
[000:15:08;741] YESTERDAY WHEN THE PRESIDENT
[000:15:10;876] TOLD LESTER HOLT ON THREE
[000:15:12;344] SEPARATE OCCASIONS, INCLUDING
[000:15:14;280] ONCE AT THE WHITE HOUSE, A WEEK
[000:15:16;482] AFTER THE INAUGURATION, THAT
[000:15:17;783] COMEY TOLD THE PRESIDENT THAT HE
[000:15:18;717] WAS NOT A TARGET OF THE
[000:15:21;620] INVESTIGATION.
[000:15:22;054] THAT ALWAYS SEEMED DUBIOUS GIVEN
[000:15:23;856] THE FACT THAT YOU CAN ARGUE THAT
[000:15:25;524] COMEY HAD AN OVERLY INFLATED
[000:15:27;660] SENSE OF HIS OWN INTEGRITY.
[000:15:29;828] BUT THE IDEA THAT HE WOULD SAY
[000:15:31;230] TO THE POTENTIAL TARGET OF AN
[000:15:33;766] INVESTIGATION, YOU'RE OFF THE
[000:15:35;100] HOOK, THAT ALWAYS SEEMED
[000:15:36;502] UNLIKELY.
[000:15:36;869] SURE ENOUGH THIS MORNING, COMEY
[000:15:40;839] THROUGH SOURCES, ASSOCIATES,
[000:15:42;574] LEAKED THE STORY TO "THE NEW
[000:15:45;110] YORK TIMES," TOLD A COMPLETELY
[000:15:45;978] DIFFERENT STORY THAT SAID THAT
[000:15:47;079] THE PRESIDENT CALLED FOR THE
[000:15:48;314] DINNER AND AT THE DINNER ASKED
[000:15:50;983] HIM THREE SEPARATE TIMES, WILL
[000:15:52;518] YOU PLEDGE YOUR LOYALTY TO ME.
[000:15:54;219] COMB MY REFUSED TO DO SO.
[000:15:57;089] THAT LED TO THE TWEET.
[000:15:59;224] LOOK, HERE'S THE REAL THING THAT
[000:16:00;526] I WONDER ABOUT HERE, SHEP.
[000:16:02;561] IF THE WHOLE POINT A WEEK AGO
[000:16:03;996] WAS THAT THE PRESIDENT WAS FED
[000:16:06;065] UP WITH THE HIGH PROFILE OF THE
[000:16:09;501] RUSSIAN INVESTIGATION AND THE
[000:16:11;036] HIGH PROFILE OF JAMES COMEY,
[000:16:12;304] LOOK AT EVERY STEP THAT'S BEEN
[000:16:14;139] TAKEN IN THE LAST SEVEN DAYS.
[000:16:17;076] YOU SAID IF HE HAD GONE ABOUT IT
[000:16:19;011] AS PURPOSELY TO RAISE COMEY'S
[000:16:23;682] PROFILE AND RAISE QUESTIONS
[000:16:24;450] ABOUT THE RUSSIAN INVESTIGATION,
[000:16:25;851] HE COULDN'T HAVE DONE IT BETTER
[000:16:27;519] THAN HE HAS.
[000:16:27;920] I FIND IT ONE OF THE MOST
