[000:00:00;383] THERE.
[000:03:44;374] LOOK AT THIS.
[000:03:45;441] IS IT REALLY A SUMMER STORM?
[000:03:47;577] STAGGERING AMOUNTS OF HAIL IN
[000:03:49;178] AUGUST, SNOWPLOWS OUT IN FORCE.
[000:03:51;314] AND GINGER ZEE HERE WITH THE
[000:03:52;916] IMAGES AND THE NEXT THREAT ON
[000:03:53;983] THE WAY THIS WEEKEND.
[000:03:57;687] >> HAIL, AND WATER.
[000:04:02;992] >> Reporter: SO MUCH HAIL AND SO
[000:04:05;128] MUCH WATER, FILLING THE STREETS
[000:04:07;330] OF COLORADO SPRINGS, GROWING TO
[000:04:09;432] GOLF BALL SIZE NEAR DENVER.
[000:04:11;534] HAIL, HALTING TRAFFIC, CLOSING
[000:04:13;670] SEVERAL ROADS, FILLING CARS AND
[000:04:15;238] YARDS AND PLOWS.
[000:04:18;441] YES, PLOWS BUSY CLEARING IT ALL.
[000:04:20;043] THEN THERE WAS THIS ON A
[000:04:21;611] COLORADO HIGHWAY.
[000:04:24;814] >> YOU CAN'T SEE.
[000:04:27;417] >> A COUPLE TRYING TO GET HOME.
[000:04:31;187] >> Reporter: MORE THAN FOUR
[000:04:32;755] INCHES OF RAIN FALLING IN JUST
[000:04:33;790] OVER AN HOUR.
[000:04:35;892] >> IT'S STILL NOT LETTING UP.
[000:04:38;027] >> Reporter: TONIGHT, FLASH
[000:04:39;629] FLOODING IN IDAHO, MORE THAN AN
[000:04:43;433] INCH OF RAIN IN LESS THAN 45
[000:04:47;170] MINUTES.
[000:04:47;603] >> WOW, JUST WON'T LET UP.
[000:04:53;943] JINGEER Z
[000:04:54;677] GINGER ZEE IS WITH US NOW.
[000:04:56;012] YOU SAY MORE RAIN THIS WEEKEND
[000:04:56;913] AND POTENTIAL FOR MORE FLOODING?
[000:04:57;613] >> YES AND I HAVE TO INTRODUCE
[000:04:58;481] YOU TO TROPICAL STORM IVO.
[000:04:59;549] THIS WILL BE THE CULPRIT.
[000:05:00;616] THE DESERT AND SOUTHWEST WILL
[000:05:01;718] GET HIT BY CHUNKS OF THE
[000:05:02;752] TROPICAL MOISTURE, NOT ACTUALLY
[000:05:03;820] THE STORM ITSELF.
[000:05:04;887] THAT'S A DIFFERENT COMPUTER
[000:05:05;922] MODEL FROM THE PAST.
[000:05:07;023] I WANT TO SHOW YOU HOW MUCH RAIN
[000:05:08;091] WE'RE TALKING.
[000:05:09;125] SOME OF THE MODELS ARE PRINTING
[000:05:10;760] SCARY NUMBERS, ANYWHERE FROM LAS
[000:05:11;761] VEGAS TO PHOENIX.
[000:05:13;396] YOU SEE THAT BULL'S EYE OF TWO
[000:05:14;397] TO THREE INCHES, COULD BE
[000:05:15;999] LOCALIZED FLOODING AS A BIG
[000:05:17;600] ISSUE GOING INTO SUNDAY AND
[000:05:18;701] MONDAY.
[000:05:20;236] >> ALL RIGHT, GINGER, THANK YOU.
[000:05:22;939] >>> WE DO MOVE ON THIS EVENING
[000:05:25;041] TO WHAT COULD BE A TURNING POINT
[000:05:26;109] FOR AMERICA AND OUR INVOLVEMENT
[000:05:27;176] IN SYRIA.
[000:05:28;745] TONIGHT, VIOLENT NEW CLASHES
[000:05:29;812] ERUPTING RIGHT WHERE THE ALLEGED
[000:05:31;948] CHEMICAL WEAPONS ATTACKS TOOK
[000:05:33;016] PLACE THIS WEEK.
[000:05:34;083] AND THIS EVENING A HAUNTING NEW
[000:05:34;817] NUMBER.
[000:05:39;689] ONE MILLION CHILDREN SENT
[000:05:40;957] FLEEING FROM THE VIOLENCE,
[000:05:42;859] WITHOUT HOMES, SOME OF THEM
[000:05:44;527] RIPPED FROM THEIR PARENTS.
[000:05:45;928] THAT'S THE EQUIVALENT OF ALL THE
[000:05:46;596] CHILDREN IN BOSTON AND LOS
[000:05:47;263] ANGELES COMBINED.
[000:05:48;264] TONIGHT IT'S WHAT THE PRESIDENT
[000:05:49;332] IS NOW SAYING ABOUT THOSE
[000:05:50;400] ALLEGED CHEMICAL ATTACKS THAT
[000:05:51;401] SIGNALS AMERICA MIGHT SOON BE
[000:05:52;435] INVOLVED.
[000:05:54;037] ABC'S MARTHA RADDATZ IN THE
[000:05:55;138] REGION ON WHAT IT WAS THE
[000:05:56;172] PRESIDENT SAID.
[000:06:00;443] >> Reporter: THESE ARE THE
[000:06:02;078] IMAGES THAT HAVE HAD THE WHITE
[000:06:03;613] HOUSE HUDDLED IN MARATHON
[000:06:04;280] MEETINGS.
[000:06:07;884] THE SUSPECTED CHEMICAL ATTACK,
[000:06:09;986] SYRIAN WOMEN, CHILDREN,
[000:06:11;621] ESTIMATES RANGING UPWARD OF
[000:06:13;189] 1,000 KILLED.
[000:06:15;324] >> WHAT WE'VE SEEN INDICATES
[000:06:17;460] THIS IS CLEARLY A BIG EVENT OF
[000:06:18;561] GRAVE CONCERN.
[000:06:20;696] >> Reporter: SPEAKING TO CNN,
[000:06:21;731] THE PRESIDENT RAISING THE
[000:06:22;398] STAKES.
[000:06:24;934] >> THAT STARTS GETTING TO SOME
[000:06:28;638] CORE NATIONAL INTERESTS THAT THE
[000:06:29;705] UNITED STATES HAS.
[000:06:32;375] >> Reporter: SYRIA'S CHAOS.
[000:06:35;545] ITS CHEMICAL WEAPONS AND ITS
[000:06:38;714] BREEDING OF TERROR, A THREAT TO
[000:06:39;715] THE ENTIRE REGION AND OUR KEY
[000:06:41;350] ALLY, ISRAEL.
[000:06:43;519] ALL OF WHICH COULD MEAN A THREAT
[000:06:44;554] TO AMERICA.
[000:06:47;757] ON THE TABLE, EVERYTHING FROM
[000:06:49;892] MISSILE STRIKES, ON DOWN TO THE
[000:06:51;994] FORMAL ARMING OF THE REBELS,
[000:06:54;130] WHICH AMERICA HAS COMMITTED TO,
[000:06:55;698] BUT STILL HAS NOT DONE.
[000:06:59;969] BUT THOSE IMAGES OF THE
[000:07:02;105] SUSPECTED ATTACK AND THAT
[000:07:03;673] STUNNING MILESTONE OF A MILLION
[000:07:05;808] CHILDREN FLEEING THEIR HOMES HAS
[000:07:07;944] NATIONS ACROSS THE GLOBE SAYING
[000:07:09;545] NOW IS THE TIME TO ACT.
[000:07:12;215] DAVID, THE PRESIDENT DOES NOT
[000:07:14;350] WANT TO GO TO WAR WITH SYRIA.
[000:07:15;952] AMERICA DOES NOT WANT TO GO TO
[000:07:16;652] WAR.
[000:07:18;588] BUT HIS WORDS, THAT THIS IS
[000:07:20;723] IMPACTING AMERICA'S CORE
[000:07:22;291] INTERESTS, ARE CRITICAL.
[000:07:24;460] AND MAKE IT EXTREMELY DIFFICULT
[000:07:26;062] TO JUST STAND BY ANY LONGER.
[000:07:27;597] DAVID?
[000:07:29;665] >> MARTHA, THANK YOU.
[000:07:31;801] WE KNOW YOU'LL BE ANCHORING
[000:07:32;869] ABC'S "THIS WEEK" FROM THE
[000:07:34;470] REGION AND WE'LL ALL BE
[000:07:35;538] WATCHING.
[000:07:37;173] SUNDAY MORNING ON "THIS WEEK".
[000:07:38;708] >>> IN THE MEANTIME TONIGHT, TWO
[000:07:39;775] MAJOR VERDICTS BREAKING THIS
[000:07:40;843] EVENING.
[000:07:41;911] FIRST THE FORT HOOD SHOOTER.
[000:07:43;546] NADAL HASSAN CONVICTED ON ALL
[000:07:45;648] COUNTS IN THE SHOOTING RAMPAGE.
[000:07:47;783] NEARLY FOUR YEARS AGO NOW,
[000:07:49;385] OPENING FIRE ON HIS FELLOW
[000:07:50;987] SOLDIERS, KILLING 13 PEOPLE.
[000:07:52;588] HASSAN DID NOT FLINCH AS THE
[000:07:53;623] VERDICT WAS READ.
[000:07:55;224] HE COULD NOW FACE THE DEATH
[000:07:56;292] PENALTY.
[000:07:58;427] AND ROBERT BALES BEHIND ONE OF
[000:08:00;029] THE WORST ATROCITIES IN THE WAR
[000:08:01;097] IN AFGHANISTAN, THAT MASS
[000:08:01;697] KILLING.
[000:08:02;698] SENTENCED TO LIFE WITHOUT PAROLE
[000:08:03;432] TODAY.
[000:08:07;637] THE FATHER OF TWO CONFESSED TO
[000:08:09;539] KILLING 16 VILLAGERS, MOSTLY
[000:08:11;974] WOMEN AND CHILDREN IN MARCH OF
[000:08:13;476] 2012.
[000:08:13;876] THE FAMILIES TRAVELING 7,000
[000:08:14;577] MILES TO TESTIFY AGAINST THE
[000:08:15;511] AMERICAN STAFF SERGEANT.
[000:08:16;546] HE PLEADED GUILTY TO THE
[000:08:17;647] MASSACRE IN ORDER TO AVOID THE
[000:08:18;681] DEATH PENALTY.
[000:08:20;283] >>> NOW TO LAS VEGAS TONIGHT AND
[000:08:21;918] A MAJOR PLOT THWARTED.
[000:08:22;985] AN UNDERCOVER STING THAT BUSTED
[000:08:24;554] A SINISTER PLAN WELL UNDER WAY.
[000:08:26;155] TONIGHT THESE TWO SUSPECTS IN
[000:08:26;856] CUSTODY.
[000:08:28;824] ONE A GRANDMOTHER, BOTH CHARGED
[000:08:30;426] WITH PLANNING TO KIDNAP,
[000:08:31;494] TORTURE, AND KILL A COP, ALL IN
[000:08:33;095] THE SHADOW OF THE SUNSET STRIP.
[000:08:35;198] WHY DID THEY ALLEGEDLY HATCH
[000:08:36;265] THIS PLAN?
[000:08:37;333] HERE'S ABC'S STEVE OSUNSAMI NOW.
[000:08:40;570] >> Reporter: ON THE GLITTERY
[000:08:42;138] STREETS OF LAS VEGAS, POLICE
[000:08:43;673] WORKING UNDER COVER SINCE APRIL,
[000:08:45;241] SAY THEY EARNED THE TRUST OF
[000:08:46;876] ALLEGED ANTI-GOVERNMENT
[000:08:48;444] SOVEREIGN CITIZENS AND WERE ABLE
[000:08:50;580] TO FOIL THEIR ALLEGED PLANS TO
[000:08:52;148] KILL COPS.
[000:08:53;749] 42-YEAR-OLD DAVID BRUTSCHE WAS
[000:08:55;885] ARRESTED TUESDAY WITH
[000:08:58;054] 67-YEAR-OLD DEVON NEWMAN, A
[000:08:59;622] GRANDMOTHER LIVING IN A SENIOR
[000:09:00;690] CENTER.
[000:09:01;724] >> I OBJECT.
[000:09:03;326] I'VE HURT NO ONE.
[000:09:04;927] >> Reporter: IN COURT THIS
[000:09:05;995] MORNING, THEY WERE ALL MOUTH.
[000:09:07;530] >> SIR, ONE MORE WORD AND IT'S
[000:09:08;664] CONTEMPT.
[000:09:10;800] >> I OBJECT TO THE ENTIRE
[000:09:12;435] PROCEEDINGS OF THIS COURT.
[000:09:14;537] >> Reporter: PROSECUTORS SAY
[000:09:15;605] THEY PLANNED TO KIDNAP POLICE,
[000:09:17;740] AT ROAD STOPS, SHACKLE THEM WITH
[000:09:19;308] CHAINS, DRAG THEM TO A MAKESHIFT
[000:09:20;943] JAIL AND COURT AND THEN TRY THEM
[000:09:22;511] FOR TREASON.
[000:09:23;479] INVESTIGATORS SAY THEY WERE
[000:09:25;114] GOING TO EXECUTE THE OFFICERS
[000:09:26;682] AND DUMP THEIR BODIES IN THE
[000:09:27;750] DESERT.
[000:09:28;784] POLICE HAVE LEARNED TO TAKE
[000:09:30;419] SOVEREIGN CITIZENS SERIOUSLY.
[000:09:33;889] IN 2010, TWO OFFICERS WERE
[000:09:35;825] KILLED IN ARKANSAS WHEN THEY
[000:09:37;126] PULLED TWO OF THEM OVER.
[000:09:43;933] THE FBI CALLING EXTREMISTS IN
[000:09:46;402] THE MOVEMENT DOMESTIC
[000:09:47;203] TERRORISTS.
[000:09:47;670] IN A JAIL HOUSE INTERVIEW,
[000:09:48;337] NEWMAN KEPT ON PREACHING,
[000:09:49;205] TELLING AMERICANS TO WAKE UP.
[000:09:50;239] >> I WANT THEM TO REALIZE THAT
[000:09:51;307] OUR FREEDOMS ARE BEING ERODED.
[000:09:52;408] >> Reporter: STEVE OSUNSAMI, ABC
[000:09:53;476] NEWS, ATLANTA.
[000:09:54;043] >> STEVE, THANK YOU.
[000:09:58;281] >>> TO ONE MORE CASE, TONIGHT, A
[000:10:01;884] REAL-LIFE BONNIE AND CLYDE,
[000:10:03;152] PULLING OFF THAT JAIL BREAK.
[000:10:04;687] A MAJOR DEVELOPMENT IN THE CASE.
[000:10:05;588] YOU'LL REMEMBER THESE IMAGES,
[000:10:06;589] THE INMATE RUNNING TO ESCAPE,
[000:10:07;590] HIS GIRLFRIEND WAITING IN THE
[000:10:08;324] GET-AWAY CAR, THE POLICE THEN IN
[000:10:09;225] HOT PURSUIT.
[000:10:10;293] THE TWO ON THE RUN FOR WEEKS,
[000:10:11;894] BUT TONIGHT THEIR RUN SUDDENLY
[000:10:12;928] CUT SHORT.
[000:10:13;996] ABC'S LINSEY DAVIS NOW ON THE
[000:10:16;132] JUMP TO FREEDOM THAT STARTED IT
[000:10:16;866] ALL.
[000:10:19;869] >> Reporter: DEREK ESTELLE SEEN
[000:10:20;936] HERE SQUATTING ON THE FLOOR ON
[000:10:22;538] THE PHONE JUST BEFORE JUMPING ON
[000:10:24;106] TO THE COUNTER, SLITHERING
[000:10:25;741] THROUGH THE WINDOW AND RUNNING
[000:10:27;276] ACROSS THE PARKING LOT WITH
[000:10:28;911] POLICE IN HOT PURSUIT IS TONIGHT
[000:10:30;513] FINALLY BACK IN CUSTODY.
[000:10:33;182] >> IT'S HARD TO TELL OUR
[000:10:34;784] EXCITEMENT TODAY, BUT IF YOU HAD
[000:10:36;385] BEEN HERE LAST NIGHT, YOU WOULD
[000:10:37;953] HAVE SEEN JUMPING UP AND DOWN,
[000:10:39;555] SHAKING HANDS, PATTING EACH
[000:10:40;623] OTHER ON THE BACK.
[000:10:42;758] >> ESTELLE AND HIS GIRLFRIEND,
[000:10:44;827] WHO ALLEGEDLY DROVE THE GET-AWAY
[000:10:46;395] CAR, WERE ON THE RUN FOR 26
[000:10:48;531] DAYS, POLICE HOT ON THEIR TAIL,
[000:10:50;666] EVEN ARRESTING ESTELLE'S MOTHER
[000:10:54;103] FOR HER ALLEGED ROLE IN THE JAIL
[000:11:00;176] BREAK.
[000:11:00;609] LAST NIGHT A TIP TO ARKANSAS
[000:11:01;310] AUTHORITIES LED POLICE TO AN
[000:11:02;211] ABANDONED HOME IN SANTA ROSA
[000:11:03;279] COUNTY, FLORIDA.
[000:11:04;347] WHERE THE COUPLE WAS HIDING OUT.
[000:11:05;414] THEY WERE SURROUNDED AND
[000:11:06;482] ARRESTED WITHOUT INCIDENT.
[000:11:07;550] >> WE'VE TAKEN EXTRA STEPS TO
[000:11:08;617] MAKE SURE IT DOESN'T HAPPEN
[000:11:09;618] AGAIN.
[000:11:10;686] LOCKING MECHANISMS ON THE
[000:11:11;754] DETENTION CENTER DOORS.
[000:11:14;490] THE SLIDING WINDOW THAT HE WAS
[000:11:16;592] ABLE TO GET THROUGH HAS NOW BEEN
[000:11:18;194] SEALED.
[000:11:20;329] >> Reporter: THEIR HOPE NOW, HIS
[000:11:22;465] HOUDINI-LIKE ESCAPE WILL BE HIS
[000:11:23;532] LAST.
[000:11:29;905] LINSEY DAVIS, ABC NEWS, NEW
[000:11:31;040] YORK.
[000:11:31;407] >> THANK YOU.
[000:11:31;974] >>> AND TO THE STAND-OFF PLAYING
[000:11:33;008] OUT ALL WEEK IN SAN DIEGO.
[000:11:34;009] SO MANY OF THE PEOPLE THERE
[000:11:35;077] TELLING THEIR MAYOR IT'S TIME TO
[000:11:36;145] GO.
[000:11:39;782] TONIGHT HE IS GONE.
[000:11:41;016] AFTER THOSE STORIES OF SEXUAL
[000:11:43;386] HARASSMENT FROM YOUNG WOMEN TO
[000:11:44;820] GRANDMOTHERS COMING FORWARD.
[000:11:46;155] THAT 1-800 HOTLINE SET UP WITH
[000:11:46;856] THE NUMBERS GROWING.
[000:11:47;523] RYAN OWENS IS THERE WITH THE
[000:11:48;190] NEWEST TURN.
[000:11:52;261] >> Reporter: GOOD EVENING TO
[000:11:53;629] YOU, MAYOR BOB FILNER IS OUT
[000:11:55;097] AFTER SIX WEEKS OF SCANDAL.
[000:11:56;599] HIS LAST DAY IS AT THE END OF
[000:11:58;667] THIS MONTH.
[000:11:59;502] THE CITY COUNCIL HERE LATE TODAY
[000:12:01;971] UNANIMOUSLY ACCEPTED HIS
[000:12:06;041] RESIGNATION.
[000:12:06;542] MINUTES AFTER THROWING IN THE
[000:12:07;376] TOWEL, THE EMBATTLED MAYOR SPOKE
[000:12:09;145] TO HIS SUPPORTERS, SPECIFICALLY
[000:12:10;846] TO THE 18 WOMEN WHO HAVE ACCUSED
[000:12:13;516] HIM OF SEXUAL HARASSMENT.
[000:12:14;617] >> TO ALL THE WOMEN THAT I
[000:12:18;554] OFFENDED, I HAD NO INTENTION TO
[000:12:21;157] BE OFFENSIVE.
[000:12:22;291] I HAVE NEVER SEXUALLY HARASSED
[000:12:27;329] ANYONE.
[000:12:27;963] BUT THIS HYSTERIA HAS BEEN
[000:12:31;467] CREATED AND MANY OF YOU HELPED
[000:12:33;836] DEFEAT IS THE HYSTERIA OF A
[000:12:36;739] LYNCH MOB.
[000:12:37;173] >> THAT FIERY DENIAL FROM A
[000:12:38;941] 70-YEAR-OLD MAN WHO CRITICS SAY
[000:12:42;611] HAS BROUGHT EMBARRASSMENT TO
[000:12:43;612] AMERICA'S EIGHTH LARGEST CITY.
[000:12:45;581] MANY MAY BE RELIEVED TO SEE HIM
[000:12:47;450] GO, BUT THE CONSUMMATE
[000:12:51;620] POLITICIAN SEEMS DETERMINED TO
[000:12:53;255] CLEAR HIS NAME.
[000:12:54;256] >> I CAN'T AFFORD TO CONTINUE
[000:12:56;692] THIS BATTLE, EVEN THOUGH I KNOW,
[000:12:59;762] IF GIVEN DUE PROCESS, I WOULD BE
[000:13:03;799] VINDICATED.
[000:13:04;266] >> THE CITY OF SAN DIEGO AGREED
[000:13:06;402] TO PAY AT LEAST SOME OF HIS
[000:13:08;103] LEGAL EXPENSES.
[000:13:09;572] DAVID?
[000:13:10;306] >> RYAN OWENS, THANK YOU.
[000:13:18;013] >>> PAULA DEEN IS BACK IN THE
[000:13:18;714] NEWS TONIGHT.
[000:13:19;615] A JUDGE DISMISSING THE LAWSUIT
[000:13:20;683] THAT LED TO THE CHAOS WITHIN HER
[000:13:21;383] FOOD AND TV EMPIRE.
[000:13:22;284] A FORMER EMPLOYEE ACCUSED DEEN
[000:13:23;319] AND HER BROTHER OF RACIAL
[000:13:24;386] DISCRIMINATION AND SEXUAL
[000:13:25;454] HARASSMENT.
[000:13:26;489] THE TWO SIDES AGREE TO A
[000:13:27;590] SETTLEMENT WITHOUT MONEY
[000:13:28;591] CHANGING HANDS.
[000:13:29;658] DEEN HAS ALREADY LOST MILLIONS
[000:13:30;726] OF DOLLARS WHEN COMPANIES
[000:13:34;797] SEVERED TIES WITH HER, INCLUDING
[000:13:36;232] THE FOOD NETWORK AND WALMART.
[000:13:37;600] >>> AND WORD TONIGHT OF A NEW
[000:13:38;334] ARRIVAL AT THE NATIONAL ZOO IN
[000:13:39;201] WASHINGTON.
[000:13:40;269] A GIANT PANDA GAVE BIRTH TO A
[000:13:41;370] CUB THIS AFTERNOON.
[000:13:41;904] NO NAME YET.
[000:13:43;439] BUT MAMA PICKED UP HER CUB
[000:13:44;573] IMMEDIATELY AND STARTED CRADLING
[000:13:45;274] IT.
[000:13:46;709] TODAY'S BIRTH COMES AS MATT
[000:13:48;277] GUTMAN GOT A LOOK AT THE TWIN
[000:13:50;412] PANDAS IN THE ATLANTA ZOO, THE
[000:13:56;118] FIRST TWIN PANDAS BORN IN THE
[000:13:59;755] U.S. IN 26 YEARS.
[000:14:00;556] "PANDAMONIUM" TONIGHT.
[000:14:01;423] I HAD TO.
[000:14:02;024] >>> SO MUCH MORE AHEAD HERE ON
[000:14:03;058] "WORLD NEWS" THIS FRIDAY NIGHT.
[000:14:04;093] COMING UP WITH THE EXTREME
[000:14:04;693] STORMS ON THE WAY THIS WEEKEND,
[000:14:06;195] WHAT HAPPENS WHEN POWER LINES
[000:14:06;862] COME DOWN ON YOUR HOME, ON YOUR
[000:14:07;763] CAR.
[000:14:08;831] TONIGHT, HOW TO GET OUT ALIVE,
[000:14:09;899] AND GET THIS, THE FLOOR MAT IN
[000:14:10;966] YOUR CAR COULD SAVE YOUR LIFE.
[000:14:13;102] >>> AND LATER TONIGHT HERE THE
[000:14:14;169] LITTLE BOY ON THE SIDELINES
[000:14:15;738] GETTING A TALKING TO.
[000:14:17;873] WHAT WE LEARNED LATE TODAY ABOUT
[000:14:18;908] THE MAJOR LEAGUE COACH IN HIS
[000:14:20;509] FACE AND WHY SO MANY MOMS AND
[000:14:21;577] DADS OUT THERE WILL BE NODDING
[000:14:23;178] THEIR HEADS WHEN YOU HEAR WHAT
