[000:00:00;233] IN RUBBLE
[000:04:23;062] TAKE IN ALL AT ONE TIME.
[000:04:24;464] HAVE YOU HAD A CHANCE TO TALK TO
[000:04:26;199] YOUR MOM?
[000:04:26;699] >> YEAH, SHE WAS ON TOP OF ME.
[000:04:28;635] SHE WAS ABLE TO BE WITH ME.
[000:04:30;570] >> Reporter: GINGER ZEE, ABC
[000:04:32;305] NEWS, MOORE, OKLAHOMA.
[000:04:33;573] >> AND FROM GINGER TO ABC'S
[000:04:36;876] VETERAN JOURNALIST MIKE BECHER.
[000:04:40;513] HE'S IN MOORE, OKLAHOMA AS WELL.
[000:04:42;515] YOU KNOW HIM FROM HIS REPORTING
[000:04:46;085] FROM THE DANGEROUS ZONES IN
[000:04:48;588] AFGHANISTAN.
[000:04:49;088] HE REPORTS IN TO US NOW.
[000:04:53;226] >> DIANE AS THE SUN SETS OVER
[000:04:54;961] THIS MASSIVE SCENE OF
[000:04:55;962] DESTRUCTION IN MOORE, OKLAHOMA,
[000:04:57;330] THE FOCUS OF THE NEIGHBORHOOD
[000:04:58;731] I'M IN HAS SHIFTED FROM
[000:05:00;600] BRIARWOOD ELEMENTARY SCHOOL,
[000:05:03;169] WHICH WAS HIT BY THE TORNADO, TO
[000:05:06;339] THE NEIGHBORHOOD, AS THEY SEARCH
[000:05:07;240] UNDER PILES OF WOOD AND BRICK
[000:05:08;808] AND STONE THAT USED TO BE
[000:05:10;677] HOUSES, LOOKING FOR, EITHER
[000:05:13;313] SURVIVORS, OR FOR THE DEAD.
[000:05:17;917] THE GOOD NEWS NOW IS THAT
[000:05:19;986] STUDENTS IN THE SCHOOL AND
[000:05:20;853] ADULTS ASSOCIATED WITH THE
[000:05:21;954] SCHOOL, TELL US THAT NO CHILDREN
[000:05:25;658] DIED.
[000:05:26;092] THAT TORNADO PASSED RIGHT OVER
[000:05:27;960] THAT SCHOOL.
[000:05:28;928] WE WERE LESS THAN A MILE FROM IT
[000:05:30;897] WHEN IT HIT THE SCHOOL, AND YOU
[000:05:32;932] COULD SEE THE EXPLOSION AND THE
[000:05:35;535] DEBRIS WHEN IT HIT THAT LARGE
[000:05:38;471] STONE STRUCTURE.
[000:05:40;740] BUT A LITTLE 7-YEAR-OLD GIRL
[000:05:42;075] PULLED ME ASIDE AND SAID, I WAS
[000:05:44;110] IN THAT SCHOOL.
[000:05:46;245] AND OUR TEACHER GRABBED ME, AND
[000:05:47;847] THE REST OF THE STUDENTS, AND
[000:05:49;515] SAID, WE'RE GOING TO THE SAFE
[000:05:50;950] ROOM, AND WE ALL GOT THERE, AND
[000:05:52;919] WE WERE QUIET.
[000:05:54;053] AND THE TORNADO CAME, AND IT
[000:05:55;855] PASSED.
[000:05:56;322] AND WE WALKED OUT, AND WE WERE
[000:05:58;991] ALL ALIVE.
[000:06:00;059] THAT WAS HER QUOTE.
[000:06:01;461] SHE WAS TAKING IT IN STRIDE
[000:06:03;763] BECAUSE SHE WAS SITTING IN FRONT
[000:06:05;465] OF WHAT USED TO BE HER HOME,
[000:06:07;100] WHICH NO LONGER EXISTED.
[000:06:10;236] SO THIS SEARCH AND RESCUE IN
[000:06:14;941] THIS IMMENSE OF A DISASTER WILL
[000:06:17;543] TAKE DAYS BEFORE THERE'S A FINAL
[000:06:20;012] TOLL OF THE DEAD, AND ALL OF THE
[000:06:21;881] LIVING ARE ACCOUNTED FOR.
[000:06:23;950] DIANE?
[000:06:24;384] >> THANK YOU SO MUCH, MIKE
[000:06:28;554] BOETTCHER REPORTED IN FOR US
[000:06:30;423] TONIGHT FROM MOORE.
[000:06:31;357] >> AND WE ARE HEARING REPORTS OF
[000:06:33;426] VICTIMS BEING RUSHED TO NEARBY
[000:06:37;430] HOSPITALS.
[000:06:37;897] MOMENTS AGO I SPOKE TO A
[000:06:39;298] HOSPITAL 12 MILES FROM MOORE,
[000:06:41;167] OKLAHOMA, WHERE THE INJURED ARE
[000:06:42;602] BEING CARED FOR RIGHT NOW.
[000:06:45;071] BROOK, THANK YOU SO MUCH FOR
[000:06:46;572] TALKING WITH US TONIGHT.
[000:06:47;573] GIVE ME A SENSE, HOW MANY
[000:06:48;941] PATIENTS DO YOU HAVE PER MINUTE
[000:06:50;309] STILL COMING IN?
[000:06:53;146] >> WE'RE RECEIVING PATIENTS
[000:06:55;181] LITERALLY, MINUTE BY MINUTE.
[000:06:56;215] AT LAST CHECK, WE RECEIVED A
[000:06:59;152] TOTAL OF 37 PATIENTS.
[000:07:00;953] THEY RANGE, WE HAVE TEN IN
[000:07:03;089] CRITICAL CONDITION RIGHT NOW.
[000:07:04;357] 12 IN SERIOUS.
[000:07:05;158] AND 15 ARE LISTED IN FAIR OR
[000:07:06;759] GOOD CONDITION AT THE MOMENT.
[000:07:08;227] >> WHAT KIND OF INJURIES ARE YOU
[000:07:10;496] SEEING?
[000:07:10;963] >> WE'RE SEEING EVERYTHING FROM
[000:07:12;999] JUST MINOR LACERATIONS TO SEVERE
[000:07:16;836] HEAD INJURIES AND ABDOMINAL
[000:07:18;871] WOUNDS.
[000:07:19;372] MOST LIKELY FROM PUNCTURES FROM
[000:07:21;340] FLYING DEBRIS.
[000:07:22;642] >> WE'VE HEARD SO MUCH ABOUT
[000:07:24;544] THOSE CHILDREN IN THE TWO
[000:07:27;780] SCHOOLS, WHO WERE INSIDE.
[000:07:29;148] ANY OF YOUR CHILDREN FROM THOSE
[000:07:31;551] SCHOOLS, AND WHAT ABOUT THEIR
[000:07:33;786] CONDITION?
[000:07:34;287] >> WE RECEIVED A TOTAL OF FIVE
[000:07:36;923] CHILDREN OF THOSE 37.
[000:07:37;924] I KNOW THAT TWO OF THE 37 WERE
[000:07:40;927] FROM THAT SCHOOL.
[000:07:42;395] >> AND IS IT POSSIBLE, WITH
[000:07:43;863] PRIVACY, TO GIVE US ANY SENSE OF
[000:07:45;731] THEIR CONDITION?
[000:07:46;933] >> WELL, THANKFULLY NONE OF THE
[000:07:48;835] FIVE CHILDREN THAT WE HAVE RIGHT
[000:07:50;136] NOW ARE LISTED IN CRITICAL.
[000:07:52;738] ONE IN SERIOUS AND THE OTHERS
[000:07:54;140] ARE FAIR OR GOOD.
[000:07:56;342] SO THAT'S GREAT NEWS.
[000:07:58;010] >> THAT'S REALLY GREAT NEWS.
[000:07:59;612] HOW MANY MORE PATIENTS CAN YOU
[000:08:01;481] RECEIVE?
[000:08:01;948] HOW MUCH ARE YOU EQUIPPED TO
[000:08:03;883] RECEIVE?
[000:08:04;350] >> WELL, WE DO RUN THE BUSIEST
[000:08:06;953] ER IN THE STATE, SO WE ARE
[000:08:09;889] ACCUSTOMED TO HIGH VOLUME.
[000:08:12;124] MAYBE NOT TO THE EMOTIONAL
[000:08:13;960] EXTENT OF THIS TRAGEDY, BUT WITH
[000:08:17;363] ONLY TEN CRITICAL AT THE MOMENT,
[000:08:20;333] WE'RE CAPABLE OF HANDLING
[000:08:23;402] ANYMORE.
[000:08:23;870] >> GIVE ME A SENSE OF WHAT
[000:08:25;738] YOU'RE HEARING AROUND TOWN.
[000:08:26;873] ARE THERE AMBULANCES GOING OUT
[000:08:28;207] ALL OVER TOWN, OR ARE YOU STILL
[000:08:30;743] LOOKING FOR REINFORCEMENTS?
[000:08:32;545] >> WHAT WE'VE HEARD IS THAT THE
[000:08:33;813] ROADS ARE STILL IMPASSABLE IN
[000:08:35;448] THAT AREA, SO IT'S TAKING A
[000:08:37;216] SIGNIFICANT AMOUNT OF TIME TO
[000:08:39;252] GET OUT OF THE AREA AND TO OUR
[000:08:42;622] HOSPITAL.
[000:08:43;089] THE AMBULANCES ARE SHOWING UP,
[000:08:44;657] INSTEAD OF JUST ONE PATIENT AT A
[000:08:46;192] TIME, THEY'RE BRINGING THREE AND
[000:08:47;627] FOUR PATIENTS AT A TIME.
[000:08:51;430] MANY PEOPLE ARE JUST ARRIVING BY
[000:08:53;099] PRIVATE VEHICLE AS WELL.
[000:08:54;333] >> AGAIN, WE THANK YOU SO MUCH
[000:08:56;402] FOR PHONING INTO US.
[000:08:59;071] WE KNOW IT'S GOING TO BE A LONG
[000:09:01;474] NIGHT.
[000:09:01;941] >> CERTAINLY DIANE.
[000:09:03;409] >> WE WISH ALL OF YOU THE BEST
[000:09:04;677] AS YOU DO YOUR BEST FOR
[000:09:06;212] EVERYBODY ELSE.
[000:09:06;812] >> THANK YOU VERY MUCH.
[000:09:08;714] >> THANK YOU.
[000:09:09;582] >> AND OF COURSE WE'VE ALSO BEEN
[000:09:11;684] HEARING EYEWITNESS DESCRIPTIONS,
[000:09:13;085] VIVID ONES, OF THE UTTER
[000:09:16;422] DESTRUCTION ON THE GROUND.
[000:09:17;924] EARLIER, MELISSA NEWTON SPOKE
[000:09:20;326] ABOUT THE DEVASTATION SHE SAW
[000:09:21;694] WHEN SHE LOOKED OUTSIDE HER
[000:09:26;566] DOOR.
[000:09:31;037] >> I LOOKED TO THE WEST AND I
[000:09:33;139] SEE IT.
[000:09:33;940] HAIL THE SIZE OF GOLF BALLS
[000:09:36;175] POUNDING MY CAR AT THE TIME.
[000:09:38;144] GOT HOME FAST AS POSSIBLE, GOT
[000:09:39;679] OUR DOGS, AND GOT INTO THE
[000:09:42;415] SHELTER, ABOUT FIVE MINUTES
[000:09:43;382] LATER, WE WERE HIT.
[000:09:45;551] OUR NEIGHBORHOOD IS COVERED IN
[000:09:48;187] DEBRIS.
[000:09:48;721] SHINGLES AND PIECES OF SHEET
[000:09:50;222] ROOT AND WOOD IN OUR YARD AND
[000:09:53;125] ALL ACROSS OUR NEIGHBORHOOD.
[000:09:54;226] SOME HOMES COMPLETELY GONE.
[000:09:56;495] IT'S DEVASTATING.
[000:09:57;096] THERE ARE TWO BY FOURS GOING
[000:10:00;733] THROUGH PEOPLE'S ROOFS LIKE
[000:10:04;337] PROJECTILE OBJECTS.
[000:10:06;572] HEARING THE STORM GOING OVER MY
[000:10:10;710] HOUSE, WHICH ROARING, WHIRLING
[000:10:11;877] SOUND, IT WAS SO LOUD.
[000:10:13;012] OUR DOGS WERE DOWN ON THE GROUND
[000:10:14;447] JUST SHAKING, BLESS THEIR
[000:10:15;948] HEARTS.
[000:10:16;415] IT WAS A FRIGHTENING EXPERIENCE.
[000:10:17;883] THANK GOD WE HAD A SHELTER.
[000:10:19;418] >> AND SO MANY HAD SHELTERS.
[000:10:21;721] NOW, I WANT TO CHECK BACK IN
[000:10:23;923] WITH ABC'S METEOROLOGIST JINKER
[000:10:26;125] ZEE FOR A MOMENT.
[000:10:28;027] SHE'S ON THE GROUND IN MOORE,
[000:10:30;596] OKLAHOMA.
[000:10:31;263] GINGER, IN THESE MOMENTS, WHAT
[000:10:32;999] ARE YOU SEEING RIGHT NOW?
[000:10:35;401] >> Reporter: WELL, WE SET UP
[000:10:36;869] RIGHT AWAY, AT BRIARWOOD
[000:10:38;771] ELEMENTARY, ONE OF THE SCHOOLS
[000:10:40;506] HARDEST HIT.
[000:10:41;207] WE MET ONE WOMAN LOOKING FOR HER
[000:10:43;743] NIECE.
[000:10:44;143] SHE STILL HADN'T FOUND HER.
[000:10:45;111] SHE KNEW SHE WAS OKAY, BUT STILL
[000:10:48;014] HADN'T BEEN RE-UNITED.
[000:10:48;681] WE'RE SEEING A LOT OF THOSE
[000:10:50;950] TYPES OF STORIES.
[000:10:52;351] ALSO AT THIS POINT I'M SEEING
[000:10:54;186] THE WARREN THEATER, NOW WE'RE
[000:10:57;289] SEEING SOME OF THE WALLS UP, BUT
[000:10:59;058] JUST PEOPLE WALKING THE STREETS.
[000:11:01;494] REFUGEES WITH SUITCASES OF ALL
[000:11:03;129] TWHA HAVE LEFT, WHAT THEY'VE
[000:11:04;430] BEEN ABLE TO GET BEFORE THE SUN
[000:11:05;898] SETS HERE IN MOORE.
[000:11:06;866] >> ARE YOU STILL SEEING PEOPLE
[000:11:09;268] DIGGING THROUGH THEIR HOMES?
[000:11:13;873] >> ABSOLUTELY.
[000:11:14;407] THE WATER IS SPOUTING OUT OF THE
[000:11:15;207] PLUMING AND THEY'RE STILL
[000:11:15;875] DIGGING THROUGH TRYING TO FIND
[000:11:16;709] THINGS BEFORE THE SUN SETS.
[000:11:18;010] ONE WOMAN TOLD US, WE JUST WANT
[000:11:20;279] TO FIND OUR OWN THINGS BEFORE
[000:11:21;747] SOMEBODY ELSE DOES.
[000:11:22;515] >> AND INITIALLY, WE SAW ALL
[000:11:24;316] THOSE FIRES BURNING, HAVE THEY
[000:11:26;052] GONE OUT?
[000:11:26;919] >> WE STILL SEE SOME PLUMES OF
[000:11:29;488] SMOKE.
[000:11:29;922] I SAW A COUPLE BEFORE ME MOVED
[000:11:31;957] TO A DIFFERENT AREA.
[000:11:33;492] SO I DON'T THINK THAT'S OVER
[000:11:34;794] WITH YET.
[000:11:35;394] THE SMELL OF GAS IS PERMEATING
[000:11:37;763] STILL.
[000:11:38;197] IT'S ALMOST SICKENING WHEN
[000:11:39;131] YOU'RE STANDING THERE.
[000:11:40;866] >> AND OF COURSE SO DANGEROUS.
[000:11:42;268] THANK YOU, GINGER AND I KNOW
[000:11:47;273] YOU'RE STANDING BY FOR THE REST
[000:11:48;040] OF THE BROADCAST.
[000:11:48;607] I WANT TO TURN TO ABC'S SAM
[000:11:50;209] CHAMPION 26 MILES AWAY FROM LAKE
[000:11:53;012] THUNDERBIRD, OKLAHOMA.
[000:11:54;880] TELL US MORE ABOUT THIS MASSIVE
[000:11:57;183] TORNADO.
[000:11:57;616] >> Reporter: DIANE, I GOT TO
[000:11:58;417] TELL YOU, THIS IS AN INCREDIBLE
[000:12:01;420] SIGHT.
[000:12:01;854] THIS IS THE THIRD DAY THAT
[000:12:03;322] VIOLENT STORMS HAVE BEEN IN THIS
[000:12:04;924] AREA.
[000:12:05;391] AND THE THIRD DAY SEEMED TO HAVE
[000:12:06;826] DROPPED THE WORST TORNADO OF
[000:12:07;793] THEM ALL.
[000:12:08;327] WE'LL HAVE PICTURES FROM STORM
[000:12:09;895] CHASER VIDEOS.
[000:12:11;063] THE NATIONAL WEATHER SERVICE HAS
[000:12:12;398] THIS STORM RIGHT NOW ON A
[000:12:15;768] PRELIMINARY CATEGORY HERE AS AN
[000:12:18;237] EF-4, THIS IS RARIFIED TERRITORY
[000:12:20;473] FOR TORNADOES.
[000:12:21;240] THERE ARE SOME REPORTS IT WAS ON
[000:12:23;709] THE GROUND FOR 40 MINUTES,
[000:12:24;443] COVERING 12 MILES IN THAT TIME.
[000:12:25;878] THERE ARE SOME REPORTS THAT SAY
[000:12:28;147] ON THE GROUND, THIS TORNADO WAS
[000:12:30;182] ABOUT TWO MILES WIDE.
[000:12:31;951] AND WE WON'T KNOW UNTIL WE CAN
[000:12:33;419] GET IN AND LOOK AT THE DEBRIS
[000:12:34;854] FIELD THERE.
[000:12:35;421] YOU CAN SEE THE TORNADO FILLING
[000:12:37;923] THE SKY.
[000:12:38;924] ANOTHER AMAZING THING ABOUT THIS
[000:12:40;159] TORNADO IS ON THE RADAR, WHEN IT
[000:12:41;927] FIRST POPPED OUT IN NEWCASTLE,
[000:12:43;162] BY THE WAY, THIS IS BEING CALLED
[000:12:45;231] THE NEWCASTLE-MOORE TORNADO, BUT
[000:12:49;268] WHEN IT DROPPED DOWN, IT WAS
[000:12:50;569] JUST A FINGER OF A TORNADO,
[000:12:52;538] BARELY A FUNNEL CLOUD.
[000:12:53;806] WITHIN AN HOUR, IT WAS A MONSTER
[000:12:57;343] STORM DEVELOPING JUST ABOUT AS
[000:13:00;980] QUICKLY AS ALL THE DETAILS HAVE
[000:13:01;747] TOLD US THE JOPLIN STORM
[000:13:04;984] DEVELOPED.
[000:13:05;451] THIS STORM HAS BEEN COVERED WITH
[000:13:06;819] STORM CHASERS AND LOCAL
[000:13:08;220] TELEVISION FROM START TO FINISH.
[000:13:09;355] RUBBLE.'RE LOOKING A THE
[000:13:11;791] THE UNBELIEVABLE DEBRIS FIELD.
[000:13:12;825] YOU HEARD GINGER IN THE FIELD
[000:13:15;261] WALKING AROUND THERE AND WE
[000:13:16;262] HEARD REPORTS THAT SOME OF THE
[000:13:18;297] FOUNDATIONS WERE COMPLETELY
[000:13:19;632] CLEARED.
[000:13:20;099] THAT PUTS IT DEFINITELY IN THAT
[000:13:21;834] EF-4 AND MAYBE EVEN HIGHER
[000:13:25;137] CATEGORY, THE STORM THAT'S
[000:13:25;871] CAPABLE OF TAKING A FOUNDATION
[000:13:28;340] AND CLEARING IT OF DEBRIS, AS
[000:13:30;209] THE STORM LEAVES THE AREA.
[000:13:31;377] SO IT LOOKS LIKE IT'S BEEN SWEPT
[000:13:33;145] ALREADY BY A BIG TRACTOR.
[000:13:34;747] BUT IT HASN'T BEEN YET.
[000:13:35;881] IT WAS JUST THE STORM THAT DID
[000:13:37;983] THAT DAMAGE.
[000:13:38;484] AND IN OTHER AREAS, BUILDINGS
[000:13:40;085] JUST SHATTERED.
[000:13:40;686] THEN YOU LOOK AT MAJOR
[000:13:42;855] CONSTRUCTION.
[000:13:43;389] YOU SEE MAJOR CEMENT
[000:13:45;157] CONSTRUCTION ALSO BEING DAMAGED.
[000:13:46;959] THIS IS VERY UNUSUAL AND THE
[000:13:48;627] SIGNATURE OF A VERY LARGE AND
[000:13:50;896] VERY POWERFUL TORNADO.
[000:13:51;964] FOLKS HAVE BEEN DIGGING THROUGH
[000:13:54;333] THE DEBRIS AND LIFTING UP THESE
[000:13:56;969] HEAVY PIECES OF DEBRIS, WHETHER
[000:13:59;471] IT'S WALL BOARD OR SIDING OR
[000:14:03;709] ROOFING, TWISTED METAL, TRYING
[000:14:05;044] TO FIND ANYONE WHO MIGHT STILL
[000:14:06;111] BE IN THE RUBBLE.
[000:14:06;846] ALL OF THIS IS GOING ON, BECAUSE
[000:14:08;314] THIS IS STILL A VERY LARGE AREA.
[000:14:09;949] FROM THE SKY, YOU CAN SEE IT'S
[000:14:11;750] HOUSE AFTER HOUSE AFTER HOUSE IN
[000:14:14;453] NEIGHBORHOODS.
[000:14:14;987] THIS IS A GROWING NEIGHBORHOOD
[000:14:16;522] THAT'S JUST SOUTH OF OKLAHOMA
[000:14:18;390] CITY.
[000:14:18;824] VERY LARGE AREA OF HOMES, VERY
[000:14:21;060] LARGE RESIDENTIAL AREA, WITH
[000:14:22;895] LOTS OF HOMES.
[000:14:23;696] AND IT'S HOMES, BUSINESSES,
[000:14:26;966] HOSPITALS, ALL JUST TAKEN OUT BY
[000:14:28;534] THIS ONE STORM.
[000:14:29;702] SOMETHING THAT I GOT TO TELL
[000:14:32;271] YOU, I HAVEN'T REALLY SEEN
[000:14:33;305] ANYTHING LIKE THIS.
[000:14:34;073] AND I DON'T LIKE TO COMPARE
[000:14:36;876] STORMS TOO MUCH.
[000:14:37;676] BUT SOMETIMES YOU LOOK AT THE
[000:14:38;544] DAMAGE AND YOU SEE IT AND IT
[000:14:40;679] REMINDS YOU OF ANOTHER STORM AND
[000:14:43;082] THIS STORM IS REMINDING US A LOT
[000:14:46;352] OF JOPLIN AND THAT'S NOT A GOOD
[000:14:49;154] THING.
[000:14:49;588] >> THANK YOU AGAIN, SAM.
[000:14:51;423] JUST REMINDS US HOW IMPORTANT
[000:14:52;825] THE WARNING SYSTEM IS AGAIN.
[000:14:56;762] THERE WERE 20 OR 30 MINUTES FOR
[000:14:58;497] EVERYONE TO GET TO SOME KIND OF
[000:15:01;066] SHELTER.
[000:15:01;533] STILL AHEAD ON "WORLD NEWS," WE
[000:15:04;169] HAVE MORE STORIES FROM THE STORM
[000:15:05;170] ZONE, INCLUDING THE INCREDIBLE
[000:15:06;672] ONE OF A FATHER AND SON
[000:15:10;009] RE-UNITED TONIGHT.
[000:15:11;977] MINE WAS EARNED
[000:15:11;977] IN DJIBOUTI, AFRICA. 2004.
[000:15:16;715] VIETNAM IN 1972.
[000:15:19;785] [ All ]
[000:15:19;785] FORT BENNING, GEORGIA IN 1999.
[000:15:23;389] [ Male Announcer ]
[000:15:23;389] USAA AUTO INSURANCE
[000:15:23;389] IS OFTEN HANDED DOWN
[000:15:25;457] FROM GENERATION TO GENERATION.
[000:15:27;459] BECAUSE IT OFFERS
[000:15:27;459] A SUPERIOR LEVEL OF PROTECTION
[000:15:30;195] AND BECAUSE USAA'S COMMITMENT
[000:15:30;195] TO SERVE MILITARY MEMBERS,
[000:15:33;799] VETERANS, AND THEIR FAMILIES
[000:15:33;799] IS WITHOUT EQUAL.
[000:15:37;069] BEGIN YOUR LEGACY,
[000:15:37;069] GET AN AUTO INSURANCE QUOTE.
[000:15:40;172] USAA. WE KNOW
[000:15:40;172] WHAT IT MEANS TO SERVE.
