[000:00:00;400] BACKPACK.
[000:04:41;681] PAID TRIBUTE TO THOSE WHO DIED.
[000:04:42;415] >> WE COME TOGETHER TO PRAY AND
[000:04:43;149] MOURN.
[000:04:46;386] >> Reporter: IN REMARKS LACED
[000:04:47;654] WITH RESOLVE IN THE FACE OF AN
[000:04:48;388] UNKNOWN ENEMY THE PRESIDENT
[000:04:49;389] RALLIED BOSTON AND AMERICA TO BE
[000:04:50;123] UNDETERRED.
[000:04:54;193] >> THE WORLD WILL RETURN TO THIS
[000:04:54;927] GREAT AMERICAN CITY TO RUN
[000:04:57;163] HARDER THAN EVER AND TO CHEER
[000:05:00;166] EVEN LOUDER FOR THAT 118th
[000:05:03;002] BOSTON MARATHON.
[000:05:04;270] >> Reporter: AS THE CROWD
[000:05:05;705] APPLAUDED AND CHEERED, THE
[000:05:09;709] PRESIDENT WIPED AWAY TEARS.
[000:05:11;411] LATER, HE MET WITH RACE
[000:05:16;516] VOLUNTEERS TO THANK THEM.
[000:05:17;950] AS BOSTON TENDS TO ITS EMOTIONAL
[000:05:19;919] WOUNDS, SIX PEOPLE INJURED IN
[000:05:22;789] THE BOMBINGS REMAIN IN CRITICAL
[000:05:23;923] CONDITION.
[000:05:24;357] THE NUMBER STILL HOSPITALIZED,
[000:05:27;760] FEWER THAN 60.
[000:05:29;329] >> IN GENERAL, PATIENTS ARE
[000:05:30;730] GETTING BETTER.
[000:05:32;598] WE ARE HAPPY WITH THEIR
[000:05:33;433] PROGRESS.
[000:05:33;866] >> Reporter: MEANTIME, THE
[000:05:34;734] BEEFED-UP POLICE PRESENCE IN
[000:05:35;735] BOSTON WAS RAMPED UP EVEN MORE
[000:05:38;271] FOR TODAY'S PRESIDENTIAL VISIT.
[000:05:39;005] A REMINDER THAT THIS ATTACK
[000:05:39;672] REMAINS UNSOLVED.
[000:05:40;973] FIRST LADY MICHELLE OBAMA
[000:05:42;408] TRAVELED WITH THE PRESIDENT
[000:05:43;943] TODAY AND VISITED PATIENTS AND
[000:05:44;677] STAFF AT SOME OF THE HOSPITALS
[000:05:47;113] THAT TREATED THE WOUNDED.
[000:05:47;747] BRIAN?
[000:05:50;083] >> LESTER HOLT IN BOSTON FOR US
[000:05:50;817] TONIGHT.
[000:05:51;217] LESTER, THANKS.
[000:05:51;784] >>> WE SHIFT OUR ATTENTION NOW
[000:05:56;055] OUT WEST TO THE HUGE CONCUSSION
[000:05:57;757] AND FIRE THAT TORE THROUGH THE
[000:05:58;491] TOWN OF WEST TEXAS LAST NIGHT.
[000:05:59;492] A MASSIVE EXPLOSION AT A
[000:06:00;493] FERTILIZER SUPPLY OUTLET.
[000:06:02;295] WEST IS ABOUT 20 MILES NORTH OF
[000:06:05;732] WACO.
[000:06:07;867] IT ONLY COVERS A COUPLE DOZEN
[000:06:10;136] BLOCKS BUT AFTER THE BLAST WHICH
[000:06:11;704] ACTUALLY REGISTERED A 2.1 ON THE
[000:06:14;407] RICHTER SCALE, A BIG PART OF THE
[000:06:15;241] COMMUNITY IS SIMPLY GONE TODAY.
[000:06:15;975] WHILE IT IS UNCLEAR AS OF NOW
[000:06:17;276] HOW MANY PEOPLE HAVE BEEN KILLED
[000:06:21;781] THE MAYOR SAYS 30 TO 40 PEOPLE
[000:06:22;782] ARE MISSING.
[000:06:25;918] A LOT OF THOSE FIRST RESPONDERS.
[000:06:27;186] 160 MORE ARE INJURED.
[000:06:27;787] NBC'S MIGUEL ALMAGUER IS AT THE
[000:06:30;623] SCENE FOR US TONIGHT.
[000:06:31;190] MIGUEL, GOOD EVENING.
[000:06:31;758] >> Reporter: BRIAN, GOOD
[000:06:33;326] EVENING.
[000:06:34;160] THAT EXPLOSION TOOK PLACE A MILE
[000:06:34;894] AWAY FROM HERE.
[000:06:35;361] WE HAVE BEEN ASKED TO KEEP OUR
[000:06:36;562] DISTANCE AS RESCUE TEAMS SEARCH
[000:06:37;730] FOR THE MISSING.
[000:06:38;197] IT'S FEARED AT LEAST 15 ARE
[000:06:39;565] DEAD.
[000:06:41;134] AS YOU MENTIONED, 160 WOUNDED.
[000:06:42;869] OFFICIALS WORRY BOTH THOSE
[000:06:43;536] NUMBERS MAY CLIMB.
[000:06:48;374] THE BLAST DECIMATED FOUR CITY
[000:06:49;075] BLOCKS.
[000:06:52;111] A WAR ZONE WHERE TONIGHT FIRST
[000:06:53;212] RESPONDERS ARE SEARCHING FOR
[000:06:53;913] SURVIVORS.
[000:06:59;886] IN THE SMALL TOWN OF WEST --
[000:07:00;586] >> FIREFIGHTERS DOWN.
[000:07:01;154] AGAIN, THERE HAS BEEN AN
[000:07:01;788] EXPLOSION.
[000:07:02;755] THERE ARE FIREFIGHTERS DOWN.
[000:07:04;457] >> Reporter: -- EMERGENCY CREWS
[000:07:05;191] SCOURED DEBRIS FOR THEIR OWN.
[000:07:07;427] WEST VOLUNTEER FIREFIGHTERS WHO
[000:07:10;563] RUSHED IN, BUT NEVER MADE IT
[000:07:11;264] OUT.
[000:07:11;531] >> THIS TRAGEDY HAS MOST LIKELY
[000:07:12;265] HIT EVERY FAMILY.
[000:07:15;134] IT'S TOUCHED PRACTICALLY
[000:07:15;768] EVERYONE IN THAT TOWN.
[000:07:20;673] >> Reporter: THE FIRE AT THE
[000:07:21;374] WEST FERTILIZER COMPANY BROKE
[000:07:22;074] OUT WEDNESDAY EVENING.
[000:07:22;642] MINUTES LATER, A DEADLY
[000:07:23;643] EXPLOSION.
[000:07:25;778] >> ARE YOU OKAY?
[000:07:26;245] >> DAD?
[000:07:28;214] I CAN'T HEAR.
[000:07:28;915] >> COVER YOUR EARS.
[000:07:29;615] >> I CAN'T HEAR.
[000:07:32;318] >> Reporter: THE BLAST SO
[000:07:32;952] POWERFUL IT WAS FELT 50 MILES
[000:07:33;653] AWAY AND REGISTERED AS A 2.1
[000:07:35;321] SEISMIC EVENT.
[000:07:36;722] >> THE WINDOWS CAME IN ON ME.
[000:07:37;590] THE ROOF CAME IN ON ME.
[000:07:39;859] THE CEILING CAME IN.
[000:07:41;127] I WORKED MY WAY OUT TO GO GET
[000:07:47;133] SOME MORE HELP.
[000:07:48;534] >> Reporter: OUTSIDE OF WACO,
[000:07:49;235] THE WEST FERTILIZER COMPANY SITS
[000:07:49;969] ADJACENT TO A NURSING HOME, TWO
[000:07:50;703] SCHOOLS AND AN APARTMENT
[000:07:53;406] COMPLEX.
[000:07:54;941] TONIGHT THE AREA IS IN SHAMBLES.
[000:07:56;375] ROOFS PEELED BACK, WALLS RIPPED
[000:07:58;678] APART.
[000:08:01;047] SOME 80 HOMES GONE.
[000:08:02;648] FEARS OF A TOXIC CLOUD FORCED A
[000:08:07;487] MAKESHIFT TRIAGE CENTER AT A
[000:08:08;888] NEARBY FOOTBALL FIELD TO BE
[000:08:09;555] MOVED WEDNESDAY.
[000:08:10;022] TODAY, OFFICIALS DEEMED THE AIR
[000:08:10;756] SAFE WHILE DEFENDING
[000:08:11;324] FIREFIGHTERS WHO USED WATER TO
[000:08:12;058] BATTLE THE AMMONIA-FUELLED
[000:08:20;399] BLAZE.
[000:08:23;970] >> I DON'T THINK WE SHOULD BE
[000:08:24;670] SECOND GUESSING RIGHT NOW THE
[000:08:25;371] ACTIONS OF THE FIRST RESPONDERS
[000:08:26;105] AND WHETHER THEY WERE APPLYING
[000:08:26;839] WATER AT THE APPROPRIATE PLACE
[000:08:27;573] AT THE APPROPRIATE TIME.
[000:08:30;776] >> Reporter: TEXAS HAS SEEN
[000:08:35;348] DISASTER BEFORE.
[000:08:37;316] IN 1947, NEARLY 600 WERE KILLED
[000:08:40;319] WHEN A SHIP CARRYING AMMONIUM
[000:08:43;589] NITRATE EXPLODED.
[000:08:46;025] IT'S THE SAME MATERIAL USED BY
[000:08:49;562] TIMOTHY McVEIGH IN THE 1995
[000:08:50;229] OKLAHOMA CITY BOMBING.
[000:08:51;564] >> WE NEED EVERY AMBULANCE WE
[000:08:52;265] CAN GET.
[000:08:53;266] WE GOT A LOT OF FIREMEN DOWN.
[000:08:53;966] >> Reporter: IN WEST, POLICE SAY
[000:08:54;700] SO FAR NO SIGNS OF FOUL PLAY.
[000:08:55;401] BUT HEARTBREAK HERE IS
[000:08:56;002] EVERYWHERE.
[000:08:56;402] >> I'M KIND OF NUMB.
[000:08:56;936] REALLY DON'T KNOW.
[000:08:57;436] LIKE I SAID, IT WILL PROBABLY
[000:08:58;137] HIT ME AT THE FUNERAL.
[000:08:58;704] MY FAMILY IS TAKING IT REALLY
[000:08:59;405] BAD.
[000:08:59;805] REALLY BAD RIGHT NOW.
[000:09:00;373] IT'S REALLY ROUGH.
[000:09:01;674] >> Reporter: AS THE SEARCH FOR
[000:09:02;408] THE MISSING PRESSES ON.
[000:09:03;009] >> IT'S ONE OF THOSE THAT HELPS
[000:09:03;743] EVERYBODY.
[000:09:04;477] WANTS TO HELP EVERYBODY IN NEED.
[000:09:05;611] >> Reporter: AS FEDERAL AND
[000:09:07;613] LOCAL OFFICIALS INVESTIGATE WE
[000:09:08;915] SHOULD NOTE THAT IN 2006 THE
[000:09:10;182] WEST FERTILIZER FACILITY WAS
[000:09:11;183] FINED FOR NOT OBTAINING OR
[000:09:12;618] HAVING A PERMIT.
[000:09:13;753] THEY HAVE SINCE RECTIFIED THE
[000:09:14;453] PROBLEM.
[000:09:16;422] TONIGHT IT IS BELIEVED 40 PEOPLE
[000:09:17;290] ARE INJURED AND STILL IN THE
[000:09:17;990] HOSPITAL.
[000:09:21;127] BRIAN, WE HAVE LEARNED TONIGHT
[000:09:21;861] THAT ONE OF THE MEN WHO WAS
[000:09:22;995] KILLED WAS AN OFF-DUTY DALLAS
[000:09:26;098] FIREFIGHTER WHO CAME HERE TO
[000:09:31;504] HELP.
[000:09:31;804] BRIAN?
[000:09:32;204] >> MIGUEL ALMAGUER IN THE BADLY
[000:09:32;939] SHAKEN TOWN OF WEST TEXAS
[000:09:33;573] TONIGHT.
[000:09:39;612] MIGUEL, THANKS.
[000:09:40;079] >>> NBC NEWS HAS CONFIRMED IT
[000:09:40;780] WAS INDEED RICIN THAT WAS IN
[000:09:41;480] THOSE LETTERS MAILED TO SOME
[000:09:42;181] OFFICIALS IN WASHINGTON.
[000:09:42;882] IT'S BEEN CONFIRMED DUE TO A
[000:09:46;285] SECOND ROUND OF TESTS.
[000:09:51;557] TODAY, 45-YEAR-OLD PAUL KEVIN
[000:09:52;258] CURTIS WAS IN A MISSISSIPPI
[000:09:52;925] COURTROOM CHARGED WITH MAKING
[000:09:53;626] THREATS AGAINST PRESIDENT OBAMA,
[000:09:54;360] MISSISSIPPI SENATOR ROGER
[000:09:57;830] WICKER, AND A LOCAL COUNTY
[000:09:58;531] JUDGE.
[000:09:59;231] CURTIS HAPPENS TO BE AN ELVIS
[000:10:00;232] IMPERSONATOR.
[000:10:00;866] SENATOR WICKER HIRED HIM A
[000:10:02;401] DECADE AGO TO WORK AT AN EVENT.
[000:10:03;135] A LAWYER FOR CURTIS SAID HE WAS
[000:10:04;503] INNOCENT.
[000:10:07;640] OFFICIALS SAY NONE OF THIS WAS
[000:10:10;409] RELATED TO THE BOSTON BOMBINGS
[000:10:11;410] THIS WEEK.
[000:10:12;178] >>> STILL AHEAD FOR US ON THIS
[000:10:12;912] THURSDAY NIGHT, CARS SWALLOWED
[000:10:13;913] WHOLE DURING A MORNING COMMUTE.
[000:10:14;647] FLOODING SO BAD THE GROUND IS
[000:10:15;348] GIVING WAY IN SOME PLACES.
[000:10:15;982] A LOT OF FOLKS ARE IN FOR A WILD
[000:10:17;450] ONE AHEAD.
[000:10:19;318] LATER THE WARNING TODAY FROM THE
[000:10:20;052] F.A.A.
[000:10:22;455] THE REASON FOR MAJOR FLIGHT
[000:10:24;557] DELAYS STARTING THIS WEEKEND AT
[000:10:25;558] A LOT OF THE BEST KNOWN AIRPORTS
[000:10:26;292] ACROSS THIS COUNTRY.
[000:12:36;956] >>> TAKE A LOOK AT THE NATIONAL
[000:12:37;690] RADAR AND LOOK AT THE FRONT
[000:12:38;390] CUTTING NORTH TO SOUTH AND
[000:12:40;793] MOVING TO THE EAST.
[000:12:41;427] IT'S A HUGE WEATHER SYSTEM
[000:12:42;228] STRETCHING FROM THE MEXICAN
[000:12:43;362] BORDER ALL THE WAY INTO CANADA,
[000:12:44;096] DUMPING TORRENTS OF RAIN, SNOW,
[000:12:45;631] HAIL, SPAWNING TORNADOES ALONG
[000:12:46;365] THE WAY.
[000:12:48;901] IT'S LEFT A LOT OF DAMAGE
[000:12:50;202] BEHIND.
[000:12:53;773] THE CHICAGO AREA PARTICULARLY
[000:12:55;174] HARD-HIT.
[000:12:57;443] NBC'S JOHN YANG IS IN LISLE,
[000:12:58;144] ABOUT 25 MILES OUTSIDE OF
[000:13:01;147] CHICAGO.
[000:13:01;981] JOHN, GOOD EVENING.
[000:13:03;282] >> Reporter: GOOD EVENING,
[000:13:05;117] BRIAN.
[000:13:05;417] THE RADAR SAYS THERE IS MORE
[000:13:06;118] RAIN ON THE WAY.
[000:13:06;585] ACROSS THE REGION RIVERS ARE
[000:13:07;853] STILL RISING AS FORECASTERS ARE
[000:13:12;658] PREDICTING RECORD LEVELS AND
[000:13:16;228] MASSIVE FLOODING.
[000:13:16;729] CHICAGO STREETS TURNED INTO
[000:13:17;763] RIVERS AND LANES OF MAJOR
[000:13:19;231] EXPRESSWAYS SHUT DOWN AS HEAVY
[000:13:20;633] RAIN FELL FASTER THAN STORM
[000:13:21;901] SEWERS COULD CARRY IT AWAY.
[000:13:23;469] NEIGHBORHOODS QUICKLY FLOODED.
[000:13:25;171] IN LISLE, FIREFIGHTERS SET OUT
[000:13:26;438] IN BOATS TO ANSWER CALLS FOR
[000:13:32;878] HELP.
[000:13:34;280] >> WE HAD TO BE PREPARED NOT
[000:13:35;981] ONLY TODAY BUT OVER THE NEXT
[000:13:36;682] SEVERAL DAYS FOR FLOODING IN
[000:13:37;983] DIFFERENT PARTS OF OUR STATE.
[000:13:38;684] >> Reporter: ON CHICAGO'S SOUTH
[000:13:40;119] SIDE A CAR DROVE INTO A SINKHOLE
[000:13:40;853] WHICH EVENTUALLY SWALLOWED TWO
[000:13:42;655] PARKED CARS.
[000:13:47;526] NORTH OF THE CITY IN GURNEY,
[000:13:49;361] RESIDENTS HAVE PREPARED FOR
[000:13:50;196] FLOODING FROM THE DES PLAINS
[000:13:50;896] RIVER BY SANDBAGGING HOMES AND
[000:13:55;734] BUSINESSES.
[000:13:58;003] >> WE HAVE BEEN HERE ABOUT TEN
[000:13:59;038] YEARS.
[000:13:59;338] THIS IS ACTUALLY THE WORST IT'S
[000:14:00;072] BEEN.
[000:14:01;140] >> Reporter: THE RIVER IS
[000:14:02;608] EXPECTED TO CREST TOMORROW
[000:14:04;009] MORNING AT 11 1/2 FEET, A
[000:14:05;578] RECORD.
[000:14:08;414] OFFICIALS ARE ENCOURAGING
[000:14:09;048] RESIDENTS ALONG THE RIVER TO
[000:14:09;748] EVACUATE.
[000:14:10;115] >> IT COULD BE A WEEK OR TWO
[000:14:10;816] BEFORE FLOOD LEVELS
[000:14:11;350] SIGNIFICANTLY DROP.
[000:14:14;653] >> Reporter: PARTS OF IOWA AND
[000:14:16;655] ILLINOIS HAVE GOTTEN MORE THAN
[000:14:18;224] SEVEN INCHES OF RAIN AND TOTALS
[000:14:20;359] APPROACHING SIX INCHES ARE NOT
[000:14:22;628] UNCOMMON.
[000:14:23;629] IN SOUTH DAKOTA THE STORM SYSTEM
[000:14:24;630] BROUGHT SNOW AND TEMPERATURES IN
[000:14:25;364] THE 20s.
[000:14:25;698] WARMER WEATHER IN OKLAHOMA
[000:14:28;167] SPAWNED AT LEAST FOUR TORNADOES
[000:14:30;870] BUT NO ONE WAS SERIOUSLY
[000:14:34;306] INJURED.
[000:14:36;575] BACK IN CHICAGO, SUMP PUMPS ARE
[000:14:38;143] HOT ITEMS.
[000:14:42;147] >> WE'VE GOT THE LAST ONE HERE.
[000:14:42;882] WE GOT ONE FROM THE FRONT OF THE
[000:14:43;616] STORE.
[000:14:46;385] THAT'S ABOUT IT.
[000:14:47;386] EVERYONE WHO CAME IN BEHIND US,
[000:14:48;687] I'M SURE THEY DIDN'T GET ONE.
[000:14:49;388] >> Reporter: CYNTHIA GILL AND
[000:14:50;089] HER FAMILY MOVED TO LISLE JUST
[000:14:50;823] LAST WEEK.
[000:14:51;190] NOW THEIR HOME IS AN ISLAND.
[000:14:51;857] THEIR BASEMENT UNDER WATER.
[000:14:52;524] >> MY DAUGHTER FLOATED ON A
[000:14:53;192] MATTRESS TODAY TO TRY TO
[000:14:53;826] RETRIEVE AS MUCH AS SHE SHOULD.
[000:14:56;729] >> Reporter: WEATHER CHANNEL
[000:14:57;429] METEOROLOGIST MIKE SEIDEL SAYS
[000:14:58;464] THE DANGER HAS NOT PASSED.
[000:14:59;198] >> ALTHOUGH THE RAIN AND STORMS
[000:14:59;932] WILL END TONIGHT IN THE MIDWEST
[000:15:00;666] ALL THE WATER HAS TO GO
[000:15:01;267] SOMEWHERE.
[000:15:01;634] IT IS GOING TO RUN INTO THE
[000:15:02;301] RIVERS AND MANY OF THOSE WILL GO
[000:15:03;035] OVER THEIR BANKS INTO FLOOD
[000:15:03;702] STAGE AS WE HEAD TOWARDS THE
[000:15:04;403] WEEKEND.
[000:15:05;304] >> Reporter: OF COURSE
[000:15:07;006] THUNDERSTORMS MEANS TROUBLE IN
[000:15:07;940] THE AIR.
[000:15:09;441] AT CHICAGO O'HARE AIRPORT, MORE
[000:15:10;276] THAN 600 FLIGHTS CANCELLED
[000:15:13;679] BECAUSE OF WEATHER.
[000:15:14;213] BRIAN?
[000:15:14;847] >> JOHN YANG REPORTING ON THE
[000:15:15;547] WEATHER FOR US TONIGHT FROM
[000:15:16;382] LISLE, ILLINOIS.
[000:15:16;849] JOHN, THANKS.
[000:15:18;384] >>> WE ARE BACK IN A MOMENT WITH
[000:15:19;818] WORD OF A HEALTH SCARE TONIGHT
[000:15:21;253] FOR A HOLLYWOOD LEGEND AND HIS
[000:15:22;922] PUBLIC REQUEST FOR HELP IN
[000:15:23;923] FIGURING OUT WHAT IT IS.
[000:18:35;914] >>> TALK ABOUT A SENTIMENTAL
[000:18:38;784] JOURNEY.
[000:18:39;751] THIS WILL WARM YOUR HEART AND WE
[000:18:40;752] COULD USE SOME OF THAT RIGHT
[000:18:42;321] ABOUT NOW.
