[000:00:01;334] JOINING US.
[000:01:51;778] LAURA: WE HAVE FOX TEAM COVERAGE
[000:01:52;512] ON ALL OF THIS.
[000:01:52;979] CAROLINE SHIVELY IS IN
[000:01:53;546] WASHINGTON WITH THE LATEST ON
[000:01:54;347] NORTH KOREA.
[000:01:55;982] FIRST WE GO TO KEVIN ON THE
[000:01:58;184] NORTH LAWN AND WE HAVE HEARD THE
[000:02:00;286] PRESIDENT WOULD LIKE TO FILL THE
[000:02:01;020] POST AT THE FBI BY FRIDAY.
[000:02:03;189] WHAT IS THE HURRY?
[000:02:12;632] >> I THINK A COUPLE OF THINGS.
[000:02:13;333] THEY FEEL THIS IS A POSITION
[000:02:14;167] THEY CAN FILL WITH RELATIVE EASE
[000:02:14;901] AND FIND A VERY HIGHLY QUALIFIED
[000:02:15;635] CANDIDATE.
[000:02:16;002] IN FACT, YOU CAN MAKE A
[000:02:16;603] PLAUSIBLE ARGUMENT THAT
[000:02:17;203] WHITTLING DOWN THE FIELD IS
[000:02:17;871] PROBABLY GOING TO BE THE MOST
[000:02:19;706] DIFFICULT PART HAS AS I SHOW YOU
[000:02:20;440] THE NAMES AND FACES WE'VE
[000:02:22;208] ALREADY TALKED ABOUT, WE ARE
[000:02:27;313] TALKING OF SOME OF THE MOST
[000:02:27;981] HIGHLY QUALIFIED SPECIALISTS IN
[000:02:28;715] THIS AREA.
[000:02:30;984] BIG NAMES INCLUDE FRAN TOWNSEND,
[000:02:35;288] MIKE ROGERS, HIMSELF A FORMER
[000:02:40;393] FBI AGENT AND HE HAS ALSO BEEN
[000:02:42;662] ENDORSED BY A GROUP OF FORMER
[000:02:47;400] AND CURRENT FBI AGENTS.
[000:02:48;001] FOR HIS PART, THE PRESIDENT
[000:02:48;668] SPENT HIS SATURDAY DELIVERING
[000:02:49;869] HIS VERY FIRST COMMENCEMENT
[000:02:53;006] ADDRESS AT LIBERTY UNIVERSITY.
[000:02:54;207] HE SAID THIS SHOULDN'T TAKE A
[000:02:56;442] GREAT DEAL OF TIME TO WHITTLE
[000:02:58;645] DOWN.
[000:03:04;317] >> BEFORE YOU LEAVE BEFORE
[000:03:04;951] SATURDAY'S DEPARTURE.
[000:03:05;585] >> THESE ARE OUTSTANDING PEOPLE
[000:03:07;086] WHO ARE VERY WELL KNOWN.
[000:03:09;255] >> BEFORE THE TRIP NEXT WEEK?
[000:03:11;191] >> EVEN THAT IS POSSIBLE.
[000:03:15;728] >> SOURCES TELL FOX NEWS IT'S
[000:03:16;529] UNLIKELY THE PRESIDENT WILL LOOK
[000:03:18;531] FOR SOMEONE WHO COMES FROM A
[000:03:24;837] SPECIFIC OR STRICTLY POLITICAL
[000:03:25;538] BACKGROUND.
[000:03:25;939] LIKELY HE WILL DRAW ON SOMEONE
[000:03:26;639] WHO HAS EXPERIENCE FROM THE
[000:03:27;307] INTELLIGENCE COMMUNITY
[000:03:27;874] SPECIFICALLY AND MAYBE SOMEONE
[000:03:29;609] WHO CAN SAY THEY'VE DONE A BIT
[000:03:31;010] OF BOTH.
[000:03:36;049] LAURA: SOME FROM CAPITOL HILL
[000:03:36;749] ARE FLOATING THEIR OWN IDEAS
[000:03:38;151] ABOUT WHO THEY THINK MIGHT BE A
[000:03:39;886] GOOD PERSON TO LEAD THE FBI.
[000:03:41;888] WHAT ARE YOU HEARING.
[000:03:45;992] >> YOU WANT SOMEONE WHO IS NOT
[000:03:46;693] JUST HIGHLY QUALIFIED.
[000:03:49;529] LAWMAKERS WILL TELL YOU YOU WANT
[000:03:51;030] SOMEONE WHO IS NOT JUST
[000:03:52;365] QUALIFIED, BUT PASSABLE AND THAT
[000:03:58;805] MEANS APOLITICAL AS BEST YOU CAN
[000:03:59;539] MANAGE THAT.
[000:03:59;939] ONE NAME THAT'S BEEN TOSSED OUT,
[000:04:01;407] IT'S COMPLETELY COUNTERINTUITIVE
[000:04:04;544] BUT IT'S A NAME THAT PEOPLE ARE
[000:04:05;278] TALKING ABOUT AND THAT IS
[000:04:05;912] MERRICK GARLAND.
[000:04:07;146] CHIEF JUDGE MERRICK GARLAND.
[000:04:10;250] REMEMBER HIM, NOMINATED FOR THE
[000:04:10;984] SUPREME COURT.
[000:04:11;985] HE NEVER GOT AN UP OR DOWN VOTE.
[000:04:12;719] THERE ARE SOME WHO FEEL HE WOULD
[000:04:14;687] BE A GREAT COMPROMISE CANDIDATE.
[000:04:19;659] >> THE OUTCOME OF INVESTIGATIONS
[000:04:26;633] SHOULD NOT HAVE PARTISAN
[000:04:27;233] AFFILIATION.
[000:04:27;667] I THINK IN THIS INSTANCE THERE
[000:04:30;603] ARE A LOT OF OPTIONS AVAILABLE.
[000:04:33;906] MERRICK GARLAND WOULD BE A GOOD
[000:04:34;641] OPTION GIVEN THAT HE COULD HAVE
[000:04:35;375] SO MUCH SUPPORT FROM BOTH SIDES
[000:04:36;109] OF THE AISLE.
[000:04:37;510] >> I WOULD STRONGLY URGE THE
[000:04:40;613] ADMINISTRATION TO PICK SOMEONE
[000:04:41;314] WHO IS APOLITICAL.
[000:04:41;814] ONE OF THE HEIGHTENED
[000:04:42;382] RESPONSIBILITIES WE WILL HAVE IS
[000:04:44;550] MAKING SURE THAT WHOEVER COMES
[000:04:47;654] IN, THIS INVESTIGATION GOES ON
[000:04:49;922] UNIMPEDED.
[000:04:51;090] >> MAKE NO MISTAKE ABOUT IT,
[000:04:53;092] GARLAND WOULD BE A VERY
[000:04:54;093] LONGSHOT, BUT KEEP IN MIND THERE
[000:04:56;763] ARE A NUMBER OF LAWMAKERS ON THE
[000:04:58;965] HILL WHO FEEL THAT BECAUSE HE IS
[000:05:00;533] APOLITICAL, HE WOULD BE ABLE TO
[000:05:01;467] MAINTAIN THE INTEGRITY OF THE
[000:05:03;803] INVESTIGATION INTO RUSSIAN
[000:05:06;005] MEDDLING IN THE 2016 ELECTION
[000:05:07;106] CAMPAIGN.
[000:05:08;708] BY THE WAY, FOR THOSE OF YOU
[000:05:11;577] KEEPING TRACK, IT ENDED SIX
[000:05:12;845] MONTHS AGO.
[000:05:17;083] LAURA: WE KNOW IT WILL BE AN
[000:05:18;284] INTERESTING WEEK RIGHT WHERE YOU
[000:05:19;686] ARE PAIRED NEW DETAILS ON THE
[000:05:27;393] NORTH KOREAN MISSILE LAUNCH.
[000:05:28;061] U.S. OFFICIALS TELLING FOX NEWS
[000:05:28;795] THE REGIME APPEARS TO HAVE FIRED
[000:05:29;529] WHAT IS KNOWN AS A CAYENNE 17
[000:05:30;229] BALLISTIC MISSILE.
[000:05:31;331] EXPERTS BELIEVE NORTH KOREA
[000:05:32;365] WOULD USE THIS PARTICULAR
[000:05:33;800] MISSILE TO TARGET SHIPS.
[000:05:35;902] IT IS ALSO IMPORTANT TO POINT
[000:05:44;844] OUT THIS WAS THE FIRST WEAPONS
[000:05:45;545] TEST SINCE THE NEW SOUTH KOREAN
[000:05:46;279] PRESIDENT TOOK OFFICE.
[000:05:46;846] THE NORTH HAS CONDUCTED AT LEAST
[000:05:47;580] TWO DOZEN TESTS OVER THE PAST
[000:05:48;281] YEAR.
[000:05:50;450] AT LEAST SEVEN OF THOSE FAILED.
[000:05:53;820] THIS LATEST TEST APPEARS TO HAVE
[000:05:56;189] SUNK THE IDEA OF THE U.S.
[000:05:59;359] SPEAKING WITH NORTH KOREA.
[000:06:01;728] NIKKI HALEY SAYS THE U.S. CANNOT
[000:06:03;029] LET UP.
[000:06:06;833] >> I THINK YOU HAVE TO GET INTO
[000:06:07;567] KIM JONG-UN'S HEAD.
[000:06:09;502] HE IS IN A STATE OF PARANOIA.
[000:06:17;377] HE IS CONCERNED ABOUT ANYTHING
[000:06:18;077] AND EVERYTHING AROUND HIM.
[000:06:18;711] THIS WAS A MESSAGE TO SOUTH
[000:06:19;379] KOREA AFTER THE ELECTION AND
[000:06:20;046] WHAT WE WILL DO IS TIGHTEN THE
[000:06:20;747] SCREWS.
[000:06:21;080] HE FEELS IT.
[000:06:21;948] WE WILL CONTINUE WHETHER IT
[000:06:22;749] SANCTIONS, PRESS STATEMENTS,
[000:06:27;186] ANYTHING WE HAVE TO DO.
[000:06:28;187] LAURA: CAROLINE SHIVELY IS LIVE
[000:06:31;023] IN WASHINGTON.
[000:06:45;805] IF THIS IS A MEDIUM RANGE
[000:06:46;706] MISSILE, WHAT DAMAGE CAN IT DO?
[000:06:47;507] >> IT CAN DO SOME DEFINITE
[000:06:48;141] DAMAGE.
[000:06:48;474] WITHIN THE LAST HOUR, THE NEWS
[000:06:49;175] AGENCY SAID THE AIM WAS TO
[000:06:49;809] VERIFY THAT THE MISSILE COULD
[000:06:50;510] CARRY A LARGE SCALE NUCLEAR
[000:06:51;177] WARHEAD AND THEY ARE CALLING IT
[000:06:51;911] A SUCCESS.
[000:06:52;278] THERE IS WHAT U.S. OFFICIALS
[000:06:52;945] SAY.
[000:06:53;212] IT IS A SINGLE STAGE LIQUID
[000:06:53;946] FUELED MISSILE, NOT THE SOLID
[000:07:04;957] FUEL MISSILE THAT WAS TESTED
[000:07:05;625] BACK IN FEBRUARY.
[000:07:06;125] THAT CAUSED MORE CONCERN FOR
[000:07:06;793] PENTAGON OFFICIALS.
[000:07:07;326] IT WAS IN THE AIR FOR ROUGHLY 30
[000:07:08;060] MINUTES AND TRAVELED ABOUT
[000:07:08;694] 430 MILES ACCORDING TO THE SOUTH
[000:07:09;429] KOREAN MILITARY.
[000:07:09;896] A MEDIUM RANGE MISSILE CAN GO
[000:07:10;596] FURTHER BUT THIS HAD A VERY HIGH
[000:07:11;664] TRAJECTORY.
[000:07:16;569] THE U.S. OFFICIALS THAT IT
[000:07:17;203] SPLASHED DOWN IN THE SEAS
[000:07:19;205] 60 MILES SOUTH OF RUSSIA AND 25.
[000:07:21;841] IT COULD NOT HAVE REACHED THE
[000:07:24;544] U.S. BUT THE STATEMENT, JUST OUT
[000:07:25;845] FROM THE NORTH REAFFIRMS IT IS
[000:07:26;946] ONE OF KIM JONG-UN'S MAIN GOALS
[000:07:30;183] FOR HIS NUCLEAR PROGRAM.
[000:07:33;586] DAN SULLIVAN OF ALASKA SAID HE
[000:07:34;287] PLANS TO INTRODUCE LEGISLATION
[000:07:35;521] NEXT WEEK THAT AUTHORIZES
[000:07:37;490] GROUND-BASED INTERCEPTORS TO BE
[000:07:39;725] LINED UP IN ALASKA AND
[000:07:41;160] CALIFORNIA.
[000:07:44;197] THAT IS A THIRD MORE THAN THE
[000:07:44;897] U.S. HAS RIGHT NOW.
[000:07:47;233] >> WE KNOW THE U.S. IS PUSHING
[000:07:49;469] BACK ON NORTH KOREA.
[000:07:52;939] WE'VE BEEN REPORTING.
[000:07:53;706] WHAT ABOUT THE REST OF THE
[000:07:54;340] INTERNATIONAL COMMUNITY?
[000:07:55;007] >> CHINA AND RUSSIA BOTH SAID
[000:07:56;642] THEY WERE CONCERNED ABOUT THE
[000:07:58;945] LAUNCH, BUT IT WAS A PRETTY
[000:08:00;480] TEPID RESPONSE.
[000:08:01;080] NOT THE U.S. THOUGH.
[000:08:01;614] THEY SEEM TO BE PUSHING
[000:08:02;615] COUNTRIES IN THE REGION TO GET
[000:08:04;650] TOUGHER.
[000:08:09;255] >> WHAT WE DO KNOW IS THE
[000:08:09;889] INTERNATIONAL COMMUNITY IS
[000:08:10;523] CONCERNED.
[000:08:10;890] IT'S NOT JUST US AGAINST THEM.
[000:08:11;591] YOU WILL SEE THE ENTIRE
[000:08:12;191] INTERNATIONAL COMMUNITY ISOLATE
[000:08:12;992] NORTH KOREA AND LET THEM KNOW
[000:08:17;897] THIS IS NOT ACCEPTABLE.
[000:08:18;698] >> THE UN SECURITY COUNCIL WILL
[000:08:19;432] HOLD URGENT MEETINGS ON THE TEST
[000:08:22;068] THIS TUESDAY.
[000:08:24;070] THE U.S., JAPAN AND SOUTH KOREA
[000:08:24;804] ALL ASKED FOR THE MEETING.
[000:08:25;471] THEY HAVE ADOPTED TOUGH
[000:08:26;239] SANCTIONS BUT THEY DON'T APPEAR
[000:08:27;907] TO BE SLOWING KIM JONG-UN DOWN.
[000:08:30;443] AMBASSADOR HALEY SAID MORE
[000:08:32;311] SANCTIONS COULD BE ON THE WAY
[000:08:34;447] AND THE POTENTIAL MEETING
[000:08:39;785] BETWEEN KIM JONG-UN AND
[000:08:40;386] PRESIDENT TRUMP, NOT HAPPENING.
[000:08:41;187] >> HAVING A MISSILE TEST IS NOT
[000:08:42;822] THE WAY TO SIT DOWN WITH THE
[000:08:43;489] PRESIDENT.
[000:08:44;891] HE ABSOLUTELY WON'T DO IT.
[000:08:47;093] HE CAN SAY ALL THE CONDITIONS HE
[000:08:49;128] WANTS.
[000:08:51;931] UNTIL HE MEETS OUR CONDITIONS WE
[000:08:52;665] AREN'T SITTING DOWN WITH HIM.
[000:08:54;367] LAURA: YOU MENTION THE TIMING
[000:08:58;070] JUST DAYS AFTER THE SOUTH KOREAN
[000:08:58;804] PRESIDENT CAME INTO OFFICE.
[000:09:00;873] IT ALSO COMES AS THE U.S. AND
[000:09:01;574] JAPANESE NAVIES HAVE COME
[000:09:02;708] TOGETHER FOR WARGAMES IN THE
[000:09:04;210] SOUTH PACIFIC.
[000:09:10;283] LAURA: WE HAVE A LOT TO TALK
[000:09:10;950] ABOUT.
[000:09:11;250] LET'S BRING IN KEVIN RUDD WHO
[000:09:11;951] JOINS US BY PHONE.
[000:09:12;451] HE IS THE FORMER PRIME MINISTER
[000:09:13;586] OF AUSTRALIA AND PRESIDENT OF
[000:09:14;987] THE ASIA POLICY INSTITUTE.
[000:09:18;424] THANK YOU FOR BEING WITH US.
[000:09:22;228] >> DO YOU THINK THE RESPONSE
[000:09:24;130] FROM THE TRUMP ADMINISTRATION IS
[000:09:27;500] GOING TO BE EFFECTIVE ENOUGH TO
[000:09:28;234] CALM THE SITUATION DOWN?
[000:09:29;569] HOW DO YOU THINK OUR ALLIES WILL
[000:09:33;306] HELP HANDLE THIS WITH DIPLOMACY?
[000:09:36;275] >> REMEMBER THE KEY OBJECTIVE IS
[000:09:39;712] TO BRING ABOUT A CHANGE IN NORTH
[000:09:40;446] KOREAN BEHAVIOR.
[000:09:42;248] EVERYTHING ELSE IS A SOUND AND
[000:09:44;584] LIGHT SHOW.
[000:09:46;452] THE BOTTOM LINE IS WHAT CAN YOU
[000:09:48;087] DO TO BRING ABOUT A CHANGE IN
[000:09:49;288] BEHAVIOR.
[000:09:51;591] THE OUTCOME OF THE MAR-A-LAGO
[000:09:53;826] MEETING WAS FOR THE TWO SIDES TO
[000:09:56;762] WORK ON A COMMON DIPLOMATIC
[000:09:59;131] STRATEGY TO BRING ABOUT THAT
[000:10:00;533] CHANGE IN NORTH KOREA.
[000:10:02;468] SO FAR, WITHOUT RESULT AS YOU'VE
[000:10:04;537] JUST DISCUSSED WITH THE MOST
[000:10:06;973] RECENT MISSILE TEST, BUT FROM
[000:10:08;808] CHINA'S PERSPECTIVE, THIS
[000:10:14;046] MISSILE TEST BY THE NORTH KOREAN
[000:10:16;482] IS THE LEAST WELCOMED
[000:10:17;049] DEVELOPMENT.
[000:10:18;751] IT SENDS A DIRECT SIGNAL TO THE
[000:10:24;790] NEWLY ELECTED PRESIDENT OF SOUTH
[000:10:25;524] KOREA LESS THAN A WEEK AGO THAT
[000:10:26;258] THE NORTH KOREANS ARE IN A
[000:10:26;892] BELLIGERENT MOOD.
[000:10:28;327] FROM CHINA'S PERSPECTIVE IN
[000:10:30;329] BEIJING, IT WAS A MAJOR GLOBAL
[000:10:33;466] CONFERENCE HOSTED HERE YESTERDAY
[000:10:35;167] ON A BIG INFRASTRUCTURE
[000:10:37;169] CONFERENCE.
[000:10:40;239] WHO UPSETS THE PARTY BUT THE GUY
[000:10:43;009] NEXT DOOR.
[000:10:44;076] HE DOESN'T DO A LOT IN TERMS OF
[000:10:45;745] IMPROVING CHINA'S SENSE OF HUMOR
[000:10:46;646] ABOUT WHAT THE NORTH KOREAN
[000:10:48;447] LEADER IS UP TOO.
[000:10:50;750] >> PRESIDENT TRUMP HAS BEEN
[000:10:52;351] CALLING FOR EVEN STRONGER
[000:10:54;754] SANCTIONS AND EVEN THOUGH THE
[000:10:55;588] U.S. IS APPLYING PRESSURE, WE
[000:10:57;590] HAVE NORTH KOREA WRITING A
[000:11:01;827] LETTER TO THE CONGRESS
[000:11:02;828] COMPLAINING ABOUT THESE
[000:11:03;429] SANCTIONS.
[000:11:05;731] WHAT DOES THAT TELL US?
[000:11:09;568] >> THE BOTTOM LINE IS THE NORTH
[000:11:11;370] KOREAN DIPLOMATIC BEHAVIOR HAS A
[000:11:12;104] HISTORY OF BEING ALL OVER THE
[000:11:13;406] PLACE.
[000:11:16;475] SOMETIMES IT IS HARSH.
[000:11:19;412] I DON'T THINK IT'S ANYTHING THAT
[000:11:25;518] ANYONE IN THE UNITED STATES
[000:11:26;252] SHOULD TAKE TERRIBLY SERIOUSLY.
[000:11:26;986] THE BOTTOM LINE IS PEOPLE WATCH
[000:11:28;888] THEIR BEHAVIOR AND THE MISSILE
[000:11:30;156] TEST IS AN ACTION BY THE NORTH
[000:11:31;190] KOREANS WHICH IS BY DEFINITION
[000:11:31;991] BELLIGERENT.
[000:11:32;391] LET'S NOT GET DISTRACTED FROM
[000:11:34;293] THE CORE ACTION WHICH IS WHAT IS
[000:11:37;563] THE UNITED STATES DOING WITH THE
[000:11:39;732] CHINESE TO BRING ABOUT
[000:11:40;700] SUBSTANTIAL CHANGE IN NORTH
[000:11:42;601] KOREAN BEHAVIOR?
[000:11:46;672] THE KEY TO THIS, IF THERE IS
[000:11:47;873] FURTHER SANCTIONS AND WHETHER
[000:11:49;508] THAT WOULD INCLUDE THE SUPPLY OF
[000:11:51;110] OIL FROM CHINA TO NORTH KOREA.
[000:11:52;645] THIS IS THE CORE POINT OF
[000:11:55;381] LEVERAGE.
[000:11:57;149] NORTH KOREA DEPENDS ON CHINA OIL
[000:12:02;021] TO KEEP THEIR ECONOMY RUNNING.
[000:12:04;690] THIS IS THE POINT AT WHICH CHINA
[000:12:06;992] LEVERAGE WOULD BEGIN TO HAVE AN
[000:12:07;760] IMPACT.
[000:12:08;494] LAURA: I WANTED TO ASK YOU ABOUT
[000:12:10;796] A REPORT THAT WAS OUT TODAY.
[000:12:13;232] CONGRESS IS WEIGHING OPTIONS FOR
[000:12:15;534] BOLSTERING SANCTIONS AGAINST
[000:12:18;070] NORTH KOREA BY INCREASING THE
[000:12:24;110] MISSILES ON THE WEST COAST.
[000:12:26;612] THIS RECENT MISSILE CAME
[000:12:31;851] 60 MILES OFF RUSSIA.
[000:12:36;388] >> THESE FALL INTO THREE
[000:12:37;356] CATEGORIES.
[000:12:38;691] SHORT RANGE WHICH CAN WORK FOR
[000:12:41;393] THEM ACROSS THE PARALLEL WITH
[000:12:43;395] SOUTH KOREA, MEDIUM RANGE WHICH
[000:12:45;331] WOULD AFFECT JAPAN AND AMERICAN
[000:12:49;635] DEPLOYMENTS IN GUAM, AND
[000:12:53;873] LONG-RANGE MISSILES OR
[000:12:54;507] INTERCONTINENTAL MISSILES WHICH
[000:12:56;809] COULD REACH ALASKA AND THE U.S.
[000:13:00;412] WEST COAST.
[000:13:01;680] THE NORTH KOREANS HAVE BEEN
[000:13:02;615] TESTING THE FIRST TWO SETS OF
[000:13:05;651] CATEGORIES OF THAT AND THAT IN
[000:13:07;820] OF ITSELF IS DESTABILIZING.
[000:13:09;955] THE CORE QUESTION IS, I
[000:13:11;991] UNDERSTAND THE DEBATE IN THE
[000:13:17;997] U.S. THAT THERE ARE ANTIMISSILE
[000:13:18;731] DEFENSE.
[000:13:19;131] THAT IS A NORMAL REACTION TO
[000:13:19;799] WHAT THE NORTH KOREANS ARE DOING
[000:13:20;533] AND IRRATIONAL REASON BUT IF
[000:13:22;535] THEY REQUIRE A LARGE NUMBER OF
[000:13:23;936] MISSILES, AND THEY ALREADY HAVE
[000:13:25;538] A LARGE NUMBER OF BOMBS, IF THEY
[000:13:27;540] ARE ABLE TO MILITARIZE THOSE
[000:13:30;176] NUCLEAR WEAPONS AND HAVE A LARGE
[000:13:34;647] STOCK, THE DANGER FOR ALL OF US
[000:13:35;381] IN THE UNITED STATES AND THE
[000:13:37;116] U.S. ALLIES IN THE REGION IS
[000:13:39;585] THAT THEY HAVE A LARGE NUMBER
[000:13:41;954] AND THEY CAN OVERWHELM A MISSILE
[000:13:44;757] DEFENSE SYSTEM SO THERE IS A
[000:13:46;358] RACE AGAINST CAPABILITY AND THE
[000:13:49;428] NUMBER OF MISSILES AS WELL.
[000:13:51;597] LAURA: KEVIN RUDD IS RIGHT IN
[000:13:54;967] THE MIDDLE OF EVERYTHING IN
[000:13:55;634] CHINA.
[000:13:55;935] THANK YOU FOR JOINING US WITH
[000:13:56;836] YOUR PERSPECTIVE.
[000:13:57;870] >> THANK YOU.
[000:14:00;039] LAURA: AND INTERNATIONAL EFFORT
[000:14:02;775] TO TRACK DOWN HACKERS TARGETING
[000:14:05;578] MORE THAN 100 COUNTRIES.
[000:14:07;813] THE HIGHLY ORGANIZED CYBER CROOK
[000:14:08;981] INFECTING COMPUTERS AROUND THE
[000:14:11;250] GLOBE WITH RENT SOMEWHERE.
[000:14:14;920] >> THIS IS A VERY SERIOUS
[000:14:16;555] PROBLEM AND I THINK IT WILL
[000:14:17;223] GROW.
[000:14:19;191] LAURA: A COLD HARD LOOK AMID A
[000:14:24;029] GROWING OPIOID CRISIS.
[000:14:26;265] WHAT PARENTS OF VICTIMS ARE
[000:14:29;635] DOING NOW TO HELP SAVE LIVES.
[000:14:32;905] I've found a permanent
[000:14:32;905] escape from monotony.
[000:14:36;575] Together, we are
[000:14:36;575] perfectly balanced,
[000:14:39;979] our senses awake,
[000:14:42;214] our hearts racing as one.
[000:14:45;184] I know this is sudden,
[000:14:47;086] but they say: If you
[000:14:47;086] love something...
[000:14:50;422] set it free.
[000:14:52;591] See you around, Giulia
[000:14:54;593] ♪
[000:14:58;597] when this guy got a flat tire
[000:14:59;865] in the middle of the night,
[000:15:00;900] so he got home safe.
[000:15:03;802] Yeah, my dad says our
[000:15:03;802] insurance doesn't have that.
[000:15:06;572] What?!
[000:15:07;439] You can leave worry behind
[000:15:08;807] when Liberty stands with you™.
[000:15:10;509] Liberty Mutual Insurance.
[000:15:14;914] Yet up 90% fall short in getting
[000:15:14;914] key nutrients from food alone.
[000:15:18;050] Let's do more.
[000:15:18;050] Add One A Day Women's
[000:15:20;252] complete with key
[000:15:20;252] nutrients we may need.
[000:15:22;254] Plus it supports
[000:15:22;254] bone health
[000:15:23;555] with calcium
[000:15:23;555] and vitamin D.
[000:15:24;823] One A Day Women's in
[000:15:24;823] gummies and tablets.
[000:15:35;935] ♪
[000:15:45;945] ♪
[000:15:49;581] I'm Dr. Kelsey McNeely and some
[000:15:49;581] day you might be
[000:15:52;284] calling me an energy farmer.
[000:15:53;953] ♪
[000:15:55;120] Energy lives here.
[000:16:00;225] even if you're
[000:16:00;225] trying your best.be
[000:16:00;225] a daily struggle,
[000:16:02;261] Along with diet
[000:16:02;261] and exercise,
[000:16:04;096] once-daily Toujeo® may help
[000:16:04;096] you control your blood sugar.
[000:16:07;166] Get into a daily groove.
[000:16:08;600] ♪ Let's groove tonight.
[000:16:12;504] ♪ Share the spice of life.
[000:16:16;308] ♪ Baby, slice it right.
[000:16:18;644] From the makers of Lantus®,
[000:16:20;479] ♪ We're gonna groove tonight.
[000:16:20;479] Toujeo® provides blood
[000:16:20;479] sugar-lowering activity
[000:16:22;648] for 24 hours and beyond,
[000:16:24;750] proven blood sugar control
[000:16:24;750] all day and all night,
[000:16:27;286] and significant
[000:16:27;286] A1C reduction.
[000:16:29;855] Toujeo® is used to control
[000:16:29;855] high blood sugar in adults
[000:16:32;257] with diabetes.
[000:16:33;826] It contains 3 times
[000:16:33;826] as much insulin
[000:16:35;527] in 1 milliliter as
[000:16:35;527] standard insulin.
[000:16:38;097] Don't use Toujeo® to treat
[000:16:38;097] diabetic ketoacidosis,
[000:16:41;000] during episodes
[000:16:41;000] of low blood sugar
[000:16:42;601] or if you're
[000:16:42;601] allergic to insulin.
[000:16:44;069] Get medical help right away
[000:16:45;237] if you have a serious
[000:16:45;237] allergic reaction
[000:16:46;772] such as body rash
[000:16:46;772] or trouble breathing.
[000:16:49;408] Don't reuse needles
[000:16:49;408] or share insulin pens.
[000:16:52;878] The most common side
[000:16:52;878] effect is low blood sugar,
[000:16:54;847] which can be
[000:16:54;847] life threatening.
[000:16:56;448] It may cause shaking,
[000:16:57;683] sweating, fast heartbeat,
[000:16:57;683] and blurred vision.
[000:17:00;386] Check your blood
[000:17:00;386] sugar levels daily.
[000:17:02;621] Injection site
[000:17:02;621] reactions may occur.
[000:17:04;723] Don't change your
[000:17:04;723] dose of insulin
[000:17:06;025] without talking
[000:17:06;025] to your doctor.
[000:17:07;659] Tell your doctor about
[000:17:07;659] all your medicines
[000:17:09;228] and medical conditions.
